model,draw,layer,r2_mean,r2_std
pythia-410m,draw_1,16,0.751435926558579,0.020698336220598926
pythia-410m,draw_1,17,0.7660782529336757,0.0168450676660363
pythia-410m,draw_1,18,0.7277552323469213,0.021514051330571292
pythia-410m,draw_1,19,0.7350982474733929,0.018137204371068628
pythia-410m,draw_1,20,0.7666302510539342,0.02263747477612966
pythia-410m,draw_1,21,0.7829924054372513,0.017337637528861718
pythia-410m,draw_1,22,0.786219430071356,0.013452684564495766
pythia-410m,draw_1,23,0.7698145370705843,0.022123370534799375
pythia-410m,draw_2,0,0.7128145017775251,0.025530986586620372
pythia-410m,draw_2,1,0.7286897940294301,0.013764787855748938
pythia-410m,draw_2,2,0.713487470516369,0.03465074721665657
pythia-410m,draw_2,3,0.7235184541935971,0.02623125623649431
pythia-410m,draw_2,4,0.7453319838840365,0.01938363128262664
pythia-410m,draw_2,5,0.7274952359588325,0.014429772614574435
pythia-410m,draw_2,6,0.7624399884417448,0.013759727238879062
pythia-410m,draw_2,7,0.7501521029654616,0.01849151406713426
pythia-410m,draw_2,8,0.7756077479168787,0.019004195629036682
pythia-410m,draw_2,9,0.7458234150272565,0.025268648994944222
pythia-410m,draw_2,10,0.7619454130664043,0.012790172886922193
pythia-410m,draw_2,11,0.7523761733518306,0.0247004191414564
pythia-410m,draw_2,12,0.8131319962212992,0.013915079359309458
pythia-410m,draw_2,13,0.8246416222167771,0.013173613289366826
pythia-410m,draw_2,14,0.7834120770366562,0.010183081298664395
pythia-410m,draw_2,15,0.7801372501243456,0.019194160748364667
pythia-410m,draw_2,16,0.791189592172965,0.023087542474152248
pythia-410m,draw_2,17,0.7991907626885497,0.01704024225510314
pythia-410m,draw_2,18,0.7695851651576303,0.017074494034383235
pythia-410m,draw_2,19,0.7565982523469028,0.022064961162968088
pythia-410m,draw_2,20,0.7409833970730149,0.014673036757513722
pythia-410m,draw_2,21,0.7460027053955373,0.02102513062671417
pythia-410m,draw_2,22,0.7911473353934022,0.018370502393304306
pythia-410m,draw_2,23,0.7978894031639007,0.021999793262450558
pythia-410m,draw_3,0,0.7304128745112719,0.04584910127957243
pythia-410m,draw_3,1,0.7261213255887976,0.028013181939429612
pythia-410m,draw_3,2,0.720892083136393,0.023894624287253256
pythia-410m,draw_3,3,0.6798496002756439,0.040761376786873575
pythia-410m,draw_3,4,0.7053860939821187,0.05387323243984927
pythia-410m,draw_3,5,0.719579972285192,0.02961465282592629
pythia-410m,draw_3,6,0.739130970688344,0.013978835073927443
pythia-410m,draw_3,7,0.7683143165055333,0.024104219630194088
pythia-410m,draw_3,8,0.7227870225878298,0.034847703193564165
pythia-410m,draw_3,9,0.7453160798886566,0.014568164123727512
pythia-410m,draw_3,10,0.7655304995498197,0.019432006913802657
pythia-410m,draw_3,11,0.7491102989116254,0.02234998770410321
pythia-410m,draw_3,12,0.7869365280860156,0.016346406273100283
pythia-410m,draw_3,13,0.7876448367094564,0.024301398976446585
pythia-410m,draw_3,14,0.781655412754248,0.01912315169998782
pythia-410m,draw_3,15,0.7763455417303722,0.022919755366881088
pythia-410m,draw_3,16,0.7649987553270723,0.01964922260154288
pythia-410m,draw_3,17,0.7884153971454009,0.009295346294206041
pythia-410m,draw_3,18,0.753592202550068,0.02318070455604971
pythia-410m,draw_3,19,0.7906381165769009,0.01441501306204765
pythia-410m,draw_3,20,0.7800393271005854,0.014383575823784404
pythia-410m,draw_3,21,0.7799649910383656,0.012011577770335123
pythia-410m,draw_3,22,0.792565881447099,0.012433298498012096
pythia-410m,draw_3,23,0.7807257337202136,0.015511398818688587
pythia-1b,draw_1,0,0.9068239752222521,0.009920896709646344
pythia-1b,draw_1,1,0.9043114641190833,0.00886316834177847
pythia-1b,draw_1,2,0.8938389082084713,0.008071966403379021
pythia-1b,draw_1,3,0.8899682842848037,0.007712652676678299
pythia-1b,draw_1,4,0.8809248075732421,0.00839078995439078
pythia-1b,draw_1,5,0.9020959283162456,0.007437581787783127
pythia-1b,draw_1,6,0.8875823003896782,0.008511755985058916
pythia-1b,draw_1,7,0.8863037600841605,0.0060886185848630595
pythia-1b,draw_1,8,0.8819146761373478,0.007415096148301341
pythia-1b,draw_1,9,0.8793949617940923,0.006632018631222478
pythia-1b,draw_1,10,0.8676517307429255,0.007141999496036514
pythia-1b,draw_1,11,0.8743579132182809,0.006435613693190386
pythia-1b,draw_1,12,0.8733668265096609,0.003738880039397378
pythia-1b,draw_1,13,0.883535675393491,0.005857224351591271
pythia-1b,draw_1,14,0.8759268217021855,0.006502716577313718
pythia-1b,draw_1,15,0.8843294014674882,0.006022200826802722
pythia-1b,draw_2,0,0.8889094664242382,0.00496315166111094
pythia-1b,draw_2,1,0.8939248528888546,0.007321705342896846
pythia-1b,draw_2,2,0.8918321131712885,0.0057891633693142345
pythia-1b,draw_2,3,0.8833429251093786,0.005924350272010148
pythia-1b,draw_2,4,0.871718005324861,0.008696986600240738
pythia-1b,draw_2,5,0.8987808855692048,0.009590682955604678
pythia-1b,draw_2,6,0.8813576039961202,0.010445227360011375
pythia-1b,draw_2,7,0.8869234126851676,0.014937046427669506
pythia-1b,draw_2,8,0.8912189759206777,0.011908358206030157
pythia-1b,draw_2,9,0.8908147411464137,0.010453768667433586
pythia-1b,draw_2,10,0.8933309586912224,0.004379349319653633
pythia-1b,draw_2,11,0.9047036029448703,0.011531551494011862
pythia-1b,draw_2,12,0.9100943878837912,0.007733380816614235
pythia-1b,draw_2,13,0.9105512596165676,0.004683343943062959
pythia-1b,draw_2,14,0.917184721077118,0.006257204490369933
pythia-1b,draw_2,15,0.9168069258240482,0.009522910956594683
pythia-1b,draw_3,0,0.9087644045148859,0.00475516504924483
pythia-1b,draw_3,1,0.9026226247045797,0.00755827238882583
pythia-1b,draw_3,2,0.8942066089719871,0.00789376770095473
pythia-1b,draw_3,3,0.8920205567498861,0.008714095069935642
pythia-1b,draw_3,4,0.8860598185459434,0.011049367203571931
pythia-1b,draw_3,5,0.9041095072897656,0.007225556239809142
pythia-1b,draw_3,6,0.8835909331265057,0.008642887940434453
pythia-1b,draw_3,7,0.88446235552423,0.00786962157641857
pythia-1b,draw_3,8,0.874441189480233,0.010088097569793772
pythia-1b,draw_3,9,0.9005678633422594,0.007938811747700001
pythia-1b,draw_3,10,0.8849066536563207,0.010272174554947623
pythia-1b,draw_3,11,0.8966120447144219,0.013178962740386529
pythia-1b,draw_3,12,0.9087844246355992,0.011076484421409726
pythia-1b,draw_3,13,0.9202592033041421,0.011362054742775287
pythia-1b,draw_3,14,0.913180043061328,0.007868177688866343
pythia-1b,draw_3,15,0.9050544537051612,0.012773062527524411
pythia-1.4b,draw_1,0,0.8793866733827134,0.005579827365517024
pythia-1.4b,draw_1,1,0.8843411166028773,0.011789644428035291
pythia-1.4b,draw_1,2,0.8873313596093201,0.00823205139449265
pythia-1.4b,draw_1,3,0.898535781111986,0.007667096171177159
pythia-1.4b,draw_1,4,0.8988020320802338,0.016248593235313216
pythia-1.4b,draw_1,5,0.9014470214156354,0.013371959343645304
pythia-1.4b,draw_1,6,0.8804103172165778,0.011017331972190474
pythia-1.4b,draw_1,7,0.8913167023100813,0.010468352393499032
pythia-1.4b,draw_1,8,0.8907430444255885,0.007073709475232677
pythia-1.4b,draw_1,9,0.8759707272049091,0.007868653339728523
pythia-1.4b,draw_1,10,0.9002271499305442,0.009778328952445105
pythia-1.4b,draw_1,11,0.9042179208662189,0.008457492641930374
pythia-1.4b,draw_1,12,0.9094712300495053,0.006702640168613432
pythia-1.4b,draw_1,13,0.8859034673462386,0.007748699458112929
pythia-1.4b,draw_1,14,0.8854397442551395,0.007731684279357231
pythia-1.4b,draw_1,15,0.8891358158049394,0.007389940634534664
pythia-1.4b,draw_1,16,0.8983478533207121,0.0018624691874051694
pythia-1.4b,draw_1,17,0.8980215512641536,0.003575320860718405
pythia-1.4b,draw_1,18,0.8978870246800691,0.00434498260171621
pythia-1.4b,draw_1,19,0.9021978573093744,0.004505340339221696
pythia-1.4b,draw_1,20,0.9037341758185742,0.006791422698703633
pythia-1.4b,draw_1,21,0.9003061363914384,0.006495377753602025
pythia-1.4b,draw_1,22,0.9041182178149203,0.005721346243542549
pythia-1.4b,draw_1,23,0.8999466769138401,0.0043012133407183085
pythia-1.4b,draw_2,0,0.8819354317519554,0.011161016869230427
pythia-1.4b,draw_2,1,0.8963118176914604,0.010966788068469362
pythia-1.4b,draw_2,2,0.891926803862162,0.009664553092648928
pythia-1.4b,draw_2,3,0.8961259231409426,0.01237353447622872
pythia-1.4b,draw_2,4,0.8921657154187429,0.007762395902474551
pythia-1.4b,draw_2,5,0.8999746416656083,0.006454588588221212
pythia-1.4b,draw_2,6,0.8783756948673054,0.006399521198764092
pythia-1.4b,draw_2,7,0.890645836206526,0.010523004069999398
pythia-1.4b,draw_2,8,0.8867634625375288,0.008384835505780905
pythia-1.4b,draw_2,9,0.8901311840868054,0.0075999781658869624
pythia-1.4b,draw_2,10,0.9050643007824938,0.003789276866514269
pythia-1.4b,draw_2,11,0.9143594726881681,0.0055131634945358885
pythia-1.4b,draw_2,12,0.9089230539070365,0.0087406183886609
pythia-1.4b,draw_2,13,0.9075158146540702,0.00470044109555544
pythia-1.4b,draw_2,14,0.909052962033526,0.00577148717490272
pythia-1.4b,draw_2,15,0.9092992386154928,0.00742489057120789
pythia-1.4b,draw_2,16,0.9110676017110618,0.003332330028226241
pythia-1.4b,draw_2,17,0.9110116421861424,0.0036645077218280314
pythia-1.4b,draw_2,18,0.914759421433771,0.0030984990565105634
pythia-1.4b,draw_2,19,0.9190943638868297,0.001598232247855345
pythia-1.4b,draw_2,20,0.9228846288136978,0.0027199652541087973
pythia-1.4b,draw_2,21,0.9223605496520813,0.0038723818063816427
pythia-1.4b,draw_2,22,0.920428155820313,0.0034680853260896966
pythia-1.4b,draw_2,23,0.9169850846657311,0.005357058606436848
pythia-1.4b,draw_3,0,0.8791932318369435,0.014628580968352546
pythia-1.4b,draw_3,1,0.8906274894226884,0.005165359375007427
pythia-1.4b,draw_3,2,0.8884720821803972,0.003959630261096535
pythia-1.4b,draw_3,3,0.8790248489998429,0.006078901087968017
pythia-1.4b,draw_3,4,0.8975832923238496,0.0025913501422464755
pythia-1.4b,draw_3,5,0.8944232306748001,0.009839403492334167
pythia-1.4b,draw_3,6,0.8775298478961924,0.01726284772434845
pythia-1.4b,draw_3,7,0.8746756266524984,0.009899225127677628
pythia-1.4b,draw_3,8,0.8756213286935323,0.009660965892691496
pythia-1.4b,draw_3,9,0.8765781919426345,0.01008031671759183
pythia-1.4b,draw_3,10,0.8874838753428375,0.009840785030465728
pythia-1.4b,draw_3,11,0.8934444153962332,0.007201541404054264
pythia-1.4b,draw_3,12,0.8967833733292648,0.006458295360035385
pythia-1.4b,draw_3,13,0.8863715818841585,0.006086703778489621
pythia-1.4b,draw_3,14,0.8965978245885232,0.006562582980977792
pythia-1.4b,draw_3,15,0.902327248523239,0.008426955754996997
pythia-1.4b,draw_3,16,0.9010590010871707,0.007045331898393074
pythia-1.4b,draw_3,17,0.9103749337406436,0.005844974072065155
pythia-1.4b,draw_3,18,0.9173745050355435,0.005602239958724843
pythia-1.4b,draw_3,19,0.9233832034396322,0.004251443573765241
pythia-1.4b,draw_3,20,0.9235382075752373,0.00606262924888181
pythia-1.4b,draw_3,21,0.9265648641072133,0.006998293974323722
pythia-1.4b,draw_3,22,0.9214465051224495,0.007425248991355601
pythia-1.4b,draw_3,23,0.9216823480425871,0.010182501881569874
