model,draw,layer,separation_ratio,mean_centroid_dist,mean_spread
pythia-410m,draw_1,11,8.269758622869976,4.811250498663491,0.5817885041236878
pythia-410m,draw_1,12,8.454265285711347,4.569230635001714,0.5404645442962647
pythia-410m,draw_1,13,8.947934651995945,5.022894955773556,0.5613468527793884
pythia-410m,draw_1,14,9.335827527373954,4.943492915287881,0.5295184493064881
pythia-410m,draw_1,15,9.790942642866991,5.2702481636838865,0.5382779121398926
pythia-410m,draw_1,16,9.844760439180842,5.805148645960383,0.5896688580513001
pythia-410m,draw_1,17,11.46078414723395,7.9764454063872705,0.6959772825241088
pythia-410m,draw_1,18,12.5916927979872,10.6642963810019,0.8469311118125915
pythia-410m,draw_1,19,13.331982973766555,11.251742981737594,0.8439661979675293
pythia-410m,draw_1,20,11.218525116130582,11.109703012060134,0.9902997851371765
pythia-410m,draw_1,21,10.314200932682061,9.813972254990635,0.9515009760856629
pythia-410m,draw_1,22,10.764131698140893,10.410602051922819,0.9671566963195801
pythia-410m,draw_1,23,12.843659221551498,12.808184935714346,0.9972379922866821
pythia-410m,draw_2,0,7.2708986801025866,2.664440452020565,0.36645269989967344
pythia-410m,draw_2,1,7.627581266053786,2.9879584907516348,0.391730797290802
pythia-410m,draw_2,2,7.757750976428344,3.1954521820077586,0.4119044542312622
pythia-410m,draw_2,3,8.492354295793008,3.6232102127126034,0.4266437888145447
pythia-410m,draw_2,4,8.336914676839505,3.611424092019999,0.43318472504615785
pythia-410m,draw_2,5,7.8473673578001994,3.521138046920627,0.44870309829711913
pythia-410m,draw_2,6,7.780180163137747,3.600099645216262,0.462727028131485
pythia-410m,draw_2,7,7.757623608029847,3.6176816347812837,0.46633889675140383
pythia-410m,draw_2,8,7.958402512628785,3.771635157933215,0.47391862273216245
pythia-410m,draw_2,9,8.29799140928651,4.082742015089748,0.4920156955718994
pythia-410m,draw_2,10,8.470034496783077,4.390715247802805,0.518382215499878
pythia-410m,draw_2,11,8.549303556285226,4.962288527443242,0.5804319024085999
pythia-410m,draw_2,12,8.757970372924616,4.714097140762341,0.5382636547088623
pythia-410m,draw_2,13,9.416195803147893,5.25105737394836,0.5576622962951661
pythia-410m,draw_2,14,9.83368173872568,5.178143463017539,0.5265722036361694
pythia-410m,draw_2,15,10.414357690331459,5.573978887185579,0.5352206110954285
pythia-410m,draw_2,16,10.545834595826214,6.181008008089152,0.586108946800232
pythia-410m,draw_2,17,12.700901509334521,8.823333118576203,0.694701325893402
pythia-410m,draw_2,18,14.093836746848691,11.9803160092123,0.8500393629074097
pythia-410m,draw_2,19,15.474612957298074,12.95893557139328,0.8374319672584534
pythia-410m,draw_2,20,13.897383474649093,13.536275668694392,0.9740161299705505
pythia-410m,draw_2,21,11.038921637540868,10.43864087419593,0.9456214308738708
pythia-410m,draw_2,22,12.121916163797467,11.705900709706416,0.965680718421936
pythia-410m,draw_2,23,13.6052979593958,13.537744960634077,0.9950348019599915
pythia-410m,draw_3,0,7.084111993174245,2.5954648766348956,0.36637829542160033
pythia-410m,draw_3,1,7.393038782729391,2.9000324581845276,0.3922652840614319
pythia-410m,draw_3,2,7.516965045550103,3.1044280177585324,0.41298955082893374
pythia-410m,draw_3,3,8.257742379424123,3.543890544739303,0.42915973663330076
pythia-410m,draw_3,4,8.06879936626839,3.5189306609575253,0.4361157715320587
pythia-410m,draw_3,5,7.778114336138352,3.508025803978254,0.45101237297058105
pythia-410m,draw_3,6,7.84270520021681,3.6429110738815993,0.4644967496395111
pythia-410m,draw_3,7,7.843237062915643,3.6737062421752227,0.4683915853500366
pythia-410m,draw_3,8,8.0120559052572,3.81165588714141,0.47574005126953123
pythia-410m,draw_3,9,8.080515165451315,3.9914647495430082,0.49396166801452634
pythia-410m,draw_3,10,8.157692716823968,4.2401536231364245,0.5197736382484436
pythia-410m,draw_3,11,8.148770012902796,4.743672945552719,0.5821336150169373
pythia-410m,draw_3,12,8.225864099517162,4.445180704830627,0.5403907299041748
pythia-410m,draw_3,13,8.673611800226071,4.847646985399962,0.558896005153656
pythia-410m,draw_3,14,9.058103924450695,4.773186559253869,0.526952064037323
pythia-410m,draw_3,15,9.567631126372643,5.122238113522886,0.5353716135025024
pythia-410m,draw_3,16,9.680800879858015,5.680815852615473,0.5868125915527344
pythia-410m,draw_3,17,11.554032342494377,8.132486178389964,0.7038656234741211
pythia-410m,draw_3,18,12.136175525265445,10.51656345968164,0.8665467500686646
pythia-410m,draw_3,19,13.102826901905441,11.119370916073876,0.8486238121986389
pythia-410m,draw_3,20,11.477668503546912,11.295336897880226,0.9841142296791077
pythia-410m,draw_3,21,10.614988273016992,9.991351789880857,0.9412494421005249
pythia-410m,draw_3,22,10.785868439930088,10.342365437197618,0.9588811039924622
pythia-410m,draw_3,23,12.918424023854897,12.832275407227005,0.9933313369750977
pythia-1b,draw_1,0,11.09401976939629,4.68974467861947,0.4227272689342499
pythia-1b,draw_1,1,11.715993473747695,5.286964876892069,0.4512604832649231
pythia-1b,draw_1,2,11.567604912310985,5.653984394015407,0.48877744674682616
pythia-1b,draw_1,3,11.445565981515767,6.2640562599927305,0.5472910881042481
pythia-1b,draw_1,4,11.501961525632245,6.730319625954877,0.585145378112793
pythia-1b,draw_1,5,11.581244506732864,7.365327893517886,0.6359703302383423
pythia-1b,draw_1,6,11.213315013648222,7.387697325962063,0.658832585811615
pythia-1b,draw_1,7,11.486029691724683,8.865254748828734,0.771829342842102
pythia-1b,draw_1,8,11.155688546969396,8.369175321721539,0.7502159357070923
pythia-1b,draw_1,9,11.914662244089502,9.240321091869742,0.7755420088768006
pythia-1b,draw_1,10,11.903066878061601,10.383878791601877,0.8723700284957886
pythia-1b,draw_1,11,13.145339298327114,14.27061129958209,1.085602355003357
pythia-1b,draw_1,12,13.804090318790271,15.400255072277869,1.1156298398971558
pythia-1b,draw_1,13,14.835542050093322,17.688202584266016,1.1922855615615844
pythia-1b,draw_1,14,15.544321607809136,24.908078892744918,1.6023908615112306
pythia-1b,draw_1,15,18.080351484435976,36.261464956537495,2.005573010444641
pythia-1b,draw_2,0,11.101517423207664,4.6849187298724235,0.42200706005096433
pythia-1b,draw_2,1,11.459011606043935,5.1786175487513235,0.45192532539367675
pythia-1b,draw_2,2,11.235051383772495,5.513825232552636,0.49076991677284243
pythia-1b,draw_2,3,11.168681746729506,6.144572098751038,0.5501609086990357
pythia-1b,draw_2,4,11.516634176166484,6.779374755324254,0.5886593818664551
pythia-1b,draw_2,5,11.81395468721197,7.564921061115546,0.6403377413749695
pythia-1b,draw_2,6,11.354103920603235,7.518082571347753,0.6621467113494873
