model,band,draw,layer,mean_norm,std_norm,participation_ratio,isotropy
pythia-70m,medium,draw_2,2,19.110071182250977,14.55031681060791,1.5328408634596258,0.4207932949066162
pythia-70m,medium,draw_2,3,19.750099182128906,13.993597030639648,1.6014966505147143,0.44067972898483276
pythia-70m,medium,draw_2,4,16.255006790161133,4.68529748916626,5.789930745759264,0.37758249044418335
pythia-70m,medium,draw_2,5,69.72256469726562,10.229876518249512,4.619320757183486,0.030467510223388672
pythia-70m,medium,draw_3,0,9.98061752319336,0.8588508367538452,52.10897822307453,0.4519011378288269
pythia-70m,medium,draw_3,1,11.809837341308594,1.5984528064727783,21.271405918473157,0.3984496593475342
pythia-70m,medium,draw_3,2,22.51740264892578,18.80277442932129,1.3125059061733462,0.41191232204437256
pythia-70m,medium,draw_3,3,22.918243408203125,18.104049682617188,1.3667216225232104,0.449909508228302
pythia-70m,medium,draw_3,4,17.384422302246094,6.4278130531311035,3.717164457852299,0.3817939758300781
pythia-70m,medium,draw_3,5,71.62696838378906,10.286859512329102,4.513318153957167,0.02852475643157959
pythia-70m,high,draw_1,0,9.31609058380127,0.6774605512619019,55.432150156475196,0.47242265939712524
pythia-70m,high,draw_1,1,11.026239395141602,1.1173522472381592,33.492192226841546,0.4112839102745056
pythia-70m,high,draw_1,2,17.605134963989258,12.07855224609375,1.7527761368924417,0.4240116477012634
pythia-70m,high,draw_1,3,18.31062889099121,11.436330795288086,1.8783008413152567,0.4681665301322937
pythia-70m,high,draw_1,4,15.806647300720215,3.4551286697387695,7.784168342040277,0.3895251154899597
pythia-70m,high,draw_1,5,71.53848266601562,8.718217849731445,6.8691293411821,0.028765559196472168
pythia-70m,high,draw_2,0,9.321943283081055,0.7365819215774536,50.06790058115919,0.46263426542282104
pythia-70m,high,draw_2,1,10.903061866760254,0.9995877146720886,37.41038685248545,0.4048880338668823
pythia-70m,high,draw_2,2,15.818870544433594,9.906028747558594,2.1935236198427606,0.43363064527511597
pythia-70m,high,draw_2,3,16.67173957824707,9.454071044921875,2.407496591790586,0.46536439657211304
pythia-70m,high,draw_2,4,15.245098114013672,3.199653148651123,10.607741000781752,0.37970560789108276
pythia-70m,high,draw_2,5,70.23258972167969,8.517483711242676,7.392825838112954,0.030276954174041748
pythia-70m,high,draw_3,0,9.340292930603027,0.7066147923469543,50.89472706596614,0.48138999938964844
pythia-70m,high,draw_3,1,10.890037536621094,1.1133023500442505,34.87340390416432,0.42585086822509766
pythia-70m,high,draw_3,2,16.793411254882812,12.001933097839355,1.800853113705116,0.44378525018692017
pythia-70m,high,draw_3,3,17.53176498413086,11.511387825012207,1.89530495180442,0.48115748167037964
pythia-70m,high,draw_3,4,15.522258758544922,3.6888089179992676,8.117846879820462,0.3991202712059021
pythia-70m,high,draw_3,5,70.9776611328125,9.12868595123291,6.389774606759452,0.030176103115081787
pythia-70m,very_high,draw_1,0,8.609397888183594,0.6651443839073181,48.90115579305834,0.5202095210552216
pythia-70m,very_high,draw_1,1,10.15131950378418,0.8684911131858826,43.1573413892753,0.46313905715942383
pythia-70m,very_high,draw_1,2,14.135071754455566,8.265753746032715,2.919904197839323,0.4620773196220398
pythia-70m,very_high,draw_1,3,15.628253936767578,7.8779826164245605,3.402256374321717,0.48419785499572754
pythia-70m,very_high,draw_1,4,14.916136741638184,2.63568115234375,12.93979002409907,0.4377058744430542
pythia-70m,very_high,draw_1,5,72.14967346191406,9.145882606506348,6.858213013553575,0.03020578622817993
pythia-70m,very_high,draw_2,0,8.565515518188477,0.626106858253479,57.02808673376481,0.4957376718521118
pythia-70m,very_high,draw_2,1,10.258285522460938,0.9781236052513123,42.848032976635274,0.43152403831481934
pythia-70m,very_high,draw_2,2,14.880777359008789,9.528312683105469,2.3147902315517666,0.44953006505966187
pythia-70m,very_high,draw_2,3,16.38163185119629,9.078441619873047,2.5820582520342077,0.47464263439178467
pythia-70m,very_high,draw_2,4,15.150713920593262,2.841625452041626,11.306440817474162,0.4094902276992798
pythia-70m,very_high,draw_2,5,72.33350372314453,9.160879135131836,6.704344799798924,0.0291631817817688
pythia-70m,very_high,draw_3,0,8.530449867248535,0.6127667427062988,53.781045505120545,0.5105917453765869
pythia-70m,very_high,draw_3,1,10.132888793945312,0.8950638175010681,45.84214535840817,0.449379026889801
pythia-70m,very_high,draw_3,2,14.036011695861816,9.09195327758789,2.5767243955183012,0.45945650339126587
pythia-70m,very_high,draw_3,3,15.756568908691406,8.642621994018555,3.0790107670223845,0.48845207691192627
pythia-70m,very_high,draw_3,4,14.829957008361816,2.9365956783294678,13.98121210399955,0.43262553215026855
pythia-70m,very_high,draw_3,5,72.16858673095703,8.535538673400879,8.20737019454278,0.0307120680809021
pythia-70m,control,draw_1,0,8.758149147033691,0.7870575189590454,54.05472043209124,0.4993557333946228
pythia-70m,control,draw_1,1,10.277827262878418,0.9652917981147766,45.20388168362684,0.43599897623062134
pythia-70m,control,draw_1,2,14.022278785705566,8.161600112915039,3.0667278351369442,0.45145183801651
pythia-70m,control,draw_1,3,15.422419548034668,7.824378490447998,3.6341788263252233,0.4858214259147644
pythia-70m,control,draw_1,4,14.902923583984375,2.780445098876953,16.431357620521705,0.4143291115760803
pythia-70m,control,draw_1,5,71.8403091430664,8.223912239074707,9.19970932034241,0.030774712562561035
pythia-70m,control,draw_2,0,8.65098762512207,0.805751621723175,48.890462114737694,0.5163640379905701
pythia-70m,control,draw_2,1,10.275507926940918,1.1121755838394165,38.783456941300216,0.454681396484375
pythia-70m,control,draw_2,2,14.863912582397461,11.152292251586914,2.0260709135917168,0.4554983377456665
pythia-70m,control,draw_2,3,16.023462295532227,10.649397850036621,2.38439086076323,0.5017327070236206
pythia-70m,control,draw_2,4,15.150464057922363,3.8704512119293213,11.142355785878452,0.4368976950645447
pythia-70m,control,draw_2,5,71.68560791015625,8.569951057434082,8.094434605273463,0.030246317386627197
pythia-70m,control,draw_3,0,8.824997901916504,0.8394702672958374,48.19551595314361,0.5059919953346252
pythia-70m,control,draw_3,1,10.348176956176758,1.1200203895568848,39.03800514613997,0.4451335072517395
pythia-70m,control,draw_3,2,15.138721466064453,11.27723217010498,1.971983966243284,0.4605048894882202
pythia-70m,control,draw_3,3,16.574562072753906,10.761086463928223,2.2409544165312814,0.49129152297973633
pythia-70m,control,draw_3,4,15.320528030395508,3.689882755279541,9.537361772955448,0.42104846239089966
pythia-70m,control,draw_3,5,71.72531127929688,8.904644966125488,7.369416503769547,0.030711770057678223
pythia-160m,low,draw_1,0,12.942066192626953,0.7568458914756775,99.42152385325652,0.6029619574546814
pythia-160m,low,draw_1,1,16.559022903442383,1.2085436582565308,90.77286438698165,0.4050726294517517
pythia-160m,low,draw_1,2,15.986297607421875,1.0129669904708862,78.22031457258235,0.45261842012405396
pythia-160m,low,draw_1,3,16.30536460876465,0.7715549468994141,82.91209814375189,0.5204355716705322
pythia-160m,low,draw_1,4,17.202924728393555,0.7867836952209473,78.86603007765619,0.4442906975746155
pythia-160m,low,draw_1,5,21.759178161621094,1.1992264986038208,58.81222456330827,0.3415069580078125
pythia-160m,low,draw_1,6,23.70182228088379,1.1677137613296509,51.91647675461533,0.2918127775192261
pythia-160m,low,draw_1,7,27.650590896606445,1.4349170923233032,37.90535362422607,0.24585896730422974
pythia-160m,low,draw_1,8,28.11036491394043,3.417214870452881,15.347075291518825,0.3498120903968811
pythia-160m,low,draw_1,9,29.2620906829834,2.233839511871338,14.803493275690325,0.36950743198394775
pythia-160m,low,draw_1,10,30.677759170532227,1.5600602626800537,23.446952899487975,0.36654162406921387
pythia-160m,low,draw_1,11,112.67311096191406,12.818803787231445,11.216251698141754,0.037214457988739014
pythia-160m,low,draw_2,0,12.813475608825684,0.6799647808074951,105.82138121957216,0.6096881926059723
pythia-160m,low,draw_2,1,16.33293342590332,1.060351014137268,95.63951946840581,0.4183923006057739
pythia-160m,low,draw_2,2,16.01112937927246,0.8564755916595459,78.7387400452839,0.45957881212234497
pythia-160m,low,draw_2,3,16.399913787841797,0.6976478099822998,81.38455825469664,0.5235482156276703
pythia-160m,low,draw_2,4,17.248497009277344,0.7593332529067993,77.03989909229853,0.4467562437057495
pythia-160m,low,draw_2,5,21.744152069091797,1.2777552604675293,57.01737834479768,0.33575576543807983
pythia-160m,low,draw_2,6,23.765243530273438,1.4578765630722046,46.801957771868054,0.29071998596191406
pythia-160m,low,draw_2,7,27.73802947998047,1.4462430477142334,35.64929349333476,0.24961942434310913
pythia-160m,low,draw_2,8,28.127092361450195,3.7042627334594727,14.527149143629014,0.34603530168533325
pythia-160m,low,draw_2,9,29.186948776245117,2.3382411003112793,17.236794049181505,0.35056376457214355
pythia-160m,low,draw_2,10,30.661340713500977,1.4790639877319336,28.01377117099112,0.35627925395965576
pythia-160m,low,draw_2,11,111.29012298583984,11.498468399047852,14.592581412659731,0.03796178102493286
pythia-160m,low,draw_3,0,12.721718788146973,0.7482022643089294,105.28723664825579,0.6107902824878693
pythia-160m,low,draw_3,1,16.28639030456543,1.142822027206421,91.6555349437937,0.4182869791984558
pythia-160m,low,draw_3,2,15.861307144165039,0.9480189085006714,77.33027817057778,0.4640844464302063
pythia-160m,low,draw_3,3,16.297348022460938,0.7725909948348999,82.45321020280157,0.5280421674251556
pythia-160m,low,draw_3,4,17.186691284179688,0.7980629205703735,77.38596866839585,0.44947266578674316
pythia-160m,low,draw_3,5,21.567134857177734,1.3818258047103882,59.47275880448197,0.34449678659439087
pythia-160m,low,draw_3,6,23.41192054748535,1.3417459726333618,51.91058511015601,0.29561662673950195
pythia-160m,low,draw_3,7,27.554851531982422,1.3656738996505737,35.93391176625419,0.25174474716186523
pythia-160m,low,draw_3,8,27.82509422302246,3.429401159286499,14.169994677447683,0.36617326736450195
pythia-160m,low,draw_3,9,28.81815528869629,2.138437509536743,14.695611637748959,0.3739880323410034
pythia-160m,low,draw_3,10,30.739482879638672,1.3255623579025269,20.033949613859924,0.371334433555603
pythia-160m,low,draw_3,11,113.78828430175781,11.602219581604004,14.15824923579123,0.03581845760345459
pythia-160m,medium,draw_1,0,12.23824405670166,0.7609405517578125,108.7169412480603,0.614205002784729
pythia-160m,medium,draw_1,1,15.702713012695312,1.1250818967819214,99.16280668834001,0.42389267683029175
pythia-160m,medium,draw_1,2,15.28934383392334,0.8547817468643188,82.07691859004434,0.47895628213882446
pythia-160m,medium,draw_1,3,15.943155288696289,0.6715801358222961,82.8802073106688,0.5498912036418915
pythia-160m,medium,draw_1,4,17.095182418823242,0.8126983046531677,74.84683968546143,0.4630495309829712
pythia-160m,medium,draw_1,5,21.28630828857422,1.2977311611175537,40.76561697209882,0.380157470703125
pythia-160m,medium,draw_1,6,23.07419204711914,1.3640968799591064,38.6842373402847,0.32579487562179565
pythia-160m,medium,draw_1,7,27.640594482421875,1.498719334602356,31.338894068191674,0.26063263416290283
pythia-160m,medium,draw_1,8,27.221179962158203,3.6586153507232666,10.377924267508405,0.416415274143219
pythia-160m,medium,draw_1,9,28.969385147094727,2.4150240421295166,12.19799908063512,0.4125003218650818
pythia-160m,medium,draw_1,10,30.813142776489258,1.5183542966842651,14.568883100648092,0.3791043162345886
pythia-160m,medium,draw_1,11,114.86238098144531,11.136659622192383,15.90266174124483,0.033929646015167236
pythia-160m,medium,draw_2,0,12.232208251953125,0.6707803010940552,103.71598249125329,0.6158137917518616
pythia-160m,medium,draw_2,1,15.705841064453125,1.0384066104888916,95.8320459020476,0.424163818359375
pythia-160m,medium,draw_2,2,15.258859634399414,0.8240634799003601,81.57212856123147,0.4788473844528198
pythia-160m,medium,draw_2,3,15.91307258605957,0.667161762714386,81.51938703683564,0.5513411462306976
pythia-160m,medium,draw_2,4,17.061622619628906,0.7392773032188416,77.69320375570905,0.45903289318084717
pythia-160m,medium,draw_2,5,21.354591369628906,1.3522366285324097,48.61872225772481,0.3649470806121826
pythia-160m,medium,draw_2,6,23.208480834960938,1.3962384462356567,45.48138905109165,0.31081604957580566
pythia-160m,medium,draw_2,7,27.922712326049805,1.4696154594421387,30.672227164671114,0.2551525831222534
pythia-160m,medium,draw_2,8,27.0982723236084,3.110405206680298,12.570332079012344,0.39961832761764526
pythia-160m,medium,draw_2,9,28.845691680908203,2.3471579551696777,13.994822782283993,0.3852170705795288
pythia-160m,medium,draw_2,10,30.902368545532227,1.4403411149978638,15.645427690199025,0.37457937002182007
pythia-160m,medium,draw_2,11,116.69453430175781,11.479645729064941,14.47464810330728,0.03289216756820679
pythia-160m,medium,draw_3,0,12.229050636291504,0.7314788699150085,100.96857718912388,0.6082972288131714
pythia-160m,medium,draw_3,1,15.721327781677246,1.1018139123916626,92.82701828753046,0.4162338972091675
pythia-160m,medium,draw_3,2,15.242382049560547,0.8891230225563049,79.50142930648894,0.4702364206314087
pythia-160m,medium,draw_3,3,15.835054397583008,0.6854754686355591,81.95480471894957,0.5426343381404877
pythia-160m,medium,draw_3,4,17.015810012817383,0.814009428024292,76.21651975575159,0.45198535919189453
pythia-160m,medium,draw_3,5,21.293376922607422,1.289458155632019,42.06106649560481,0.3640192151069641
pythia-160m,medium,draw_3,6,23.151914596557617,1.3166393041610718,43.40422539214567,0.3101138472557068
pythia-160m,medium,draw_3,7,27.619930267333984,1.3877081871032715,30.700094808026375,0.2580775022506714
pythia-160m,medium,draw_3,8,27.109838485717773,3.2335076332092285,13.164700985956324,0.3943151831626892
pythia-160m,medium,draw_3,9,28.835481643676758,2.3753035068511963,13.15958280822058,0.39470231533050537
pythia-160m,medium,draw_3,10,30.79878044128418,1.4633489847183228,14.70799311278264,0.38683414459228516
pythia-160m,medium,draw_3,11,116.15628814697266,11.199172019958496,15.630256047792892,0.03342461585998535
pythia-160m,high,draw_1,0,11.516976356506348,0.6070197820663452,99.71201099327646,0.6077012717723846
pythia-160m,high,draw_1,1,14.5742769241333,0.9655907154083252,92.42928726845369,0.4507352113723755
pythia-160m,high,draw_1,2,14.410284042358398,0.780982494354248,77.54220290692112,0.5132649838924408
pythia-160m,high,draw_1,3,15.426726341247559,0.6473150253295898,78.20421977626174,0.5843662917613983
pythia-160m,high,draw_1,4,16.875883102416992,0.9216662049293518,71.28627296746531,0.4804658889770508
pythia-160m,high,draw_1,5,21.032913208007812,1.3468399047851562,31.7117564063654,0.4035791754722595
pythia-160m,high,draw_1,6,22.658924102783203,1.400154709815979,39.379038055938175,0.340259313583374
pythia-160m,high,draw_1,7,27.725486755371094,1.640993595123291,30.09529299815669,0.26674485206604004
pythia-160m,high,draw_1,8,25.994470596313477,2.8714118003845215,12.368443568777902,0.45459216833114624
pythia-160m,high,draw_1,9,29.22642707824707,2.2874977588653564,13.268981997355615,0.3994349241256714
pythia-160m,high,draw_1,10,31.03929328918457,1.5356454849243164,13.63550608168673,0.3711908459663391
pythia-160m,high,draw_1,11,117.20452880859375,11.02638053894043,14.372927525113107,0.029771387577056885
pythia-160m,high,draw_2,0,11.480262756347656,0.6606860160827637,99.23286306542713,0.5965401530265808
pythia-160m,high,draw_2,1,14.63107681274414,1.0946428775787354,89.67861023263183,0.44018125534057617
pythia-160m,high,draw_2,2,14.374236106872559,0.7834478616714478,75.71883530358026,0.5059297382831573
pythia-160m,high,draw_2,3,15.388521194458008,0.6080085635185242,75.23262166762109,0.5807822942733765
pythia-160m,high,draw_2,4,16.847230911254883,0.867980420589447,71.09525646313763,0.47277945280075073
pythia-160m,high,draw_2,5,20.960004806518555,1.3769817352294922,37.2525462858158,0.3887617588043213
pythia-160m,high,draw_2,6,22.683258056640625,1.494134783744812,39.72085314623139,0.33288711309432983
pythia-160m,high,draw_2,7,27.68029022216797,1.7135018110275269,24.285586701598884,0.27276355028152466
pythia-160m,high,draw_2,8,25.714298248291016,2.9721577167510986,12.859718301275246,0.4578782320022583
pythia-160m,high,draw_2,9,29.35772132873535,2.4245266914367676,12.283028721427309,0.4043605923652649
pythia-160m,high,draw_2,10,31.087697982788086,1.4899275302886963,12.18938633305563,0.3730672001838684
pythia-160m,high,draw_2,11,117.66200256347656,10.306264877319336,17.179464249591,0.02954798936843872
pythia-160m,high,draw_3,0,11.49915885925293,0.5736256837844849,98.802426766836,0.6110751032829285
pythia-160m,high,draw_3,1,14.622638702392578,0.9290497899055481,89.79984457339177,0.4512113928794861
pythia-160m,high,draw_3,2,14.296512603759766,0.7117533087730408,77.25549691737275,0.5198220312595367
pythia-160m,high,draw_3,3,15.289273262023926,0.5813837647438049,80.1858376294499,0.5901512503623962
pythia-160m,high,draw_3,4,16.821041107177734,0.808702826499939,75.63299117318252,0.4761471152305603
pythia-160m,high,draw_3,5,20.98549461364746,1.3363994359970093,31.541802176717844,0.40340179204940796
pythia-160m,high,draw_3,6,22.78802490234375,1.371775507926941,39.3027803681966,0.3388197422027588
pythia-160m,high,draw_3,7,27.643630981445312,1.6445282697677612,26.595299310936234,0.2766396999359131
pythia-160m,high,draw_3,8,25.621484756469727,2.7652928829193115,12.710317403563195,0.4596971869468689
pythia-160m,high,draw_3,9,28.959341049194336,2.3786468505859375,12.398402993599152,0.4154963493347168
pythia-160m,high,draw_3,10,30.86043930053711,1.4792976379394531,13.031726504139428,0.3744083046913147
pythia-160m,high,draw_3,11,117.43895721435547,11.245952606201172,14.132635950985328,0.030136048793792725
pythia-160m,very_high,draw_1,0,10.89438247680664,0.5071005821228027,92.12533331594568,0.6023354232311249
pythia-160m,very_high,draw_1,1,13.829487800598145,0.9051788449287415,87.95129614100162,0.4642619490623474
pythia-160m,very_high,draw_1,2,13.729902267456055,0.7589986324310303,73.41600213971485,0.5424288213253021
pythia-160m,very_high,draw_1,3,14.771106719970703,0.7074801921844482,77.9179924552543,0.6163184940814972
pythia-160m,very_high,draw_1,4,16.54279327392578,1.0284974575042725,74.81230820789608,0.48810434341430664
pythia-160m,very_high,draw_1,5,20.716466903686523,1.5337926149368286,31.534080560925982,0.4199777841567993
pythia-160m,very_high,draw_1,6,22.514001846313477,1.5030497312545776,39.90464911171213,0.34784436225891113
pythia-160m,very_high,draw_1,7,27.52398681640625,1.7533397674560547,24.844368941964923,0.2791028618812561
pythia-160m,very_high,draw_1,8,24.695627212524414,2.5715835094451904,13.981208334430761,0.4812443256378174
pythia-160m,very_high,draw_1,9,29.40855598449707,2.7208802700042725,13.911977053321905,0.37312912940979004
pythia-160m,very_high,draw_1,10,30.679779052734375,1.5142810344696045,13.406715407451882,0.35308635234832764
pythia-160m,very_high,draw_1,11,119.09969329833984,10.769621849060059,13.939500794228646,0.026472747325897217
pythia-160m,very_high,draw_2,0,10.79406452178955,0.5077422261238098,102.64119494211212,0.5988720059394836
pythia-160m,very_high,draw_2,1,13.776773452758789,0.8773123621940613,95.75358308781435,0.4575467109680176
pythia-160m,very_high,draw_2,2,13.669326782226562,0.6917429566383362,80.49044504372621,0.5260424315929413
pythia-160m,very_high,draw_2,3,14.841056823730469,0.6326566934585571,81.45382687254772,0.5988988280296326
pythia-160m,very_high,draw_2,4,16.691951751708984,0.9325708746910095,74.45612975522546,0.4734574556350708
pythia-160m,very_high,draw_2,5,21.005586624145508,1.3984304666519165,31.762837259669773,0.4044225215911865
pythia-160m,very_high,draw_2,6,22.759445190429688,1.4426374435424805,38.84485587313609,0.3364942669868469
pythia-160m,very_high,draw_2,7,27.874309539794922,1.7686775922775269,23.56252296587311,0.27263563871383667
pythia-160m,very_high,draw_2,8,24.62986183166504,2.4621241092681885,14.859093424393281,0.47298234701156616
pythia-160m,very_high,draw_2,9,29.353038787841797,2.491452693939209,13.785961468174715,0.37840765714645386
pythia-160m,very_high,draw_2,10,30.678836822509766,1.3894891738891602,13.534912409924587,0.35034412145614624
pythia-160m,very_high,draw_2,11,119.76109313964844,11.3611421585083,12.48565495911895,0.02604508399963379
pythia-160m,very_high,draw_3,0,10.843947410583496,0.504989504814148,96.38866377451134,0.5953893661499023
pythia-160m,very_high,draw_3,1,13.799128532409668,0.9174866676330566,88.57848890758244,0.4627618193626404
pythia-160m,very_high,draw_3,2,13.672480583190918,0.7350384593009949,77.14863723897633,0.5327699482440948
pythia-160m,very_high,draw_3,3,14.778777122497559,0.6925163269042969,79.18113894434856,0.6106628179550171
pythia-160m,very_high,draw_3,4,16.570842742919922,1.0138386487960815,75.73019619915054,0.48672932386398315
pythia-160m,very_high,draw_3,5,20.751237869262695,1.3676857948303223,36.47909010061597,0.4137151837348938
pythia-160m,very_high,draw_3,6,22.53386688232422,1.3580893278121948,41.47139599701974,0.3437742590904236
pythia-160m,very_high,draw_3,7,27.763729095458984,1.698822021484375,19.904160441193373,0.28753435611724854
pythia-160m,very_high,draw_3,8,24.818788528442383,2.540144205093384,14.071559552984127,0.4812588095664978
pythia-160m,very_high,draw_3,9,29.006080627441406,2.5825226306915283,13.520926340049677,0.39337295293807983
pythia-160m,very_high,draw_3,10,30.518115997314453,1.466148853302002,11.741360463020046,0.3684353828430176
pythia-160m,very_high,draw_3,11,118.42816162109375,11.611066818237305,11.717335659794543,0.026800572872161865
pythia-160m,control,draw_1,0,11.083680152893066,0.6495347619056702,102.25522744795725,0.6013050973415375
pythia-160m,control,draw_1,1,14.07612419128418,0.9238635301589966,94.73155583198665,0.45596545934677124
pythia-160m,control,draw_1,2,13.943065643310547,0.8209494352340698,77.75520907286342,0.5282525420188904
pythia-160m,control,draw_1,3,15.050251960754395,0.7269929051399231,80.16929200280383,0.5999886393547058
pythia-160m,control,draw_1,4,16.727155685424805,0.992046594619751,70.96662893043042,0.4846969246864319
pythia-160m,control,draw_1,5,20.854509353637695,1.4550610780715942,32.757011188486906,0.4060403108596802
pythia-160m,control,draw_1,6,22.680810928344727,1.386857271194458,38.565989590477066,0.34488797187805176
pythia-160m,control,draw_1,7,27.761661529541016,1.5929245948791504,25.479213182461574,0.276367723941803
pythia-160m,control,draw_1,8,25.181808471679688,2.6037652492523193,13.064080804704707,0.4833502769470215
pythia-160m,control,draw_1,9,29.200490951538086,2.4477531909942627,12.496166342495027,0.4033697247505188
pythia-160m,control,draw_1,10,30.720027923583984,1.480582356452942,14.11574744929057,0.3607792854309082
pythia-160m,control,draw_1,11,118.43006896972656,10.986345291137695,14.038551172481593,0.0277060866355896
pythia-160m,control,draw_2,0,11.10340690612793,0.7365338802337646,103.1619553021809,0.6036374270915985
pythia-160m,control,draw_2,1,14.132608413696289,1.0416982173919678,95.35522621755307,0.4553750157356262
pythia-160m,control,draw_2,2,13.920686721801758,0.924558162689209,79.63452865843651,0.5301801562309265
pythia-160m,control,draw_2,3,14.94098949432373,0.8101473450660706,80.55563918344092,0.6081368923187256
pythia-160m,control,draw_2,4,16.63178253173828,1.1006563901901245,74.38726488513926,0.4887264370918274
pythia-160m,control,draw_2,5,20.858064651489258,1.601852536201477,30.202189405400247,0.41583895683288574
pythia-160m,control,draw_2,6,22.626970291137695,1.4556704759597778,36.197877769568045,0.3525775671005249
pythia-160m,control,draw_2,7,27.71470832824707,1.6846858263015747,25.414931980254245,0.28403961658477783
pythia-160m,control,draw_2,8,25.398880004882812,2.5709102153778076,12.305117459247485,0.4920717477798462
pythia-160m,control,draw_2,9,29.385360717773438,2.5416862964630127,11.976630852238639,0.4104381203651428
pythia-160m,control,draw_2,10,30.905790328979492,1.4888023138046265,11.472033187142982,0.38315314054489136
pythia-160m,control,draw_2,11,119.59492492675781,11.360806465148926,13.198475596677996,0.028175175189971924
pythia-160m,control,draw_3,0,11.073038101196289,0.7941750288009644,104.66174129358714,0.596674919128418
pythia-160m,control,draw_3,1,14.08209228515625,1.1286451816558838,96.32163486162123,0.4517199397087097
pythia-160m,control,draw_3,2,13.815990447998047,0.9651378393173218,80.01062670651781,0.5262863039970398
pythia-160m,control,draw_3,3,14.891277313232422,0.7596736550331116,82.9154237050113,0.6051591634750366
pythia-160m,control,draw_3,4,16.633319854736328,0.9993156790733337,75.825378802139,0.4883524179458618
pythia-160m,control,draw_3,5,20.97756004333496,1.390307903289795,41.52876305983521,0.4020735025405884
pythia-160m,control,draw_3,6,22.739057540893555,1.5711779594421387,39.60411634336991,0.3442341089248657
pythia-160m,control,draw_3,7,27.617233276367188,1.7314800024032593,21.329700576376283,0.2943861484527588
pythia-160m,control,draw_3,8,25.128393173217773,2.67219614982605,12.408426180846819,0.4986956715583801
pythia-160m,control,draw_3,9,29.15207862854004,2.5194389820098877,13.799179201992427,0.407215416431427
pythia-160m,control,draw_3,10,30.821765899658203,1.4481706619262695,13.883392114053406,0.3685237765312195
pythia-160m,control,draw_3,11,120.61206817626953,10.946635246276855,14.458265891132713,0.027525246143341064
pythia-410m,low,draw_1,0,16.601348876953125,1.0653268098831177,107.50408612099059,0.7072725296020508
pythia-410m,low,draw_1,1,20.26818084716797,1.38983154296875,110.58247147479288,0.5039505958557129
pythia-410m,low,draw_1,2,23.205989837646484,1.5634238719940186,105.50588393985609,0.40695375204086304
pythia-410m,low,draw_1,3,24.40118408203125,1.5859302282333374,105.013017730189,0.37853848934173584
pythia-410m,low,draw_1,4,24.272974014282227,1.526822805404663,100.9501979772258,0.382341206073761
pythia-410m,low,draw_1,5,22.110239028930664,1.2648556232452393,95.9153747599594,0.4647216796875
pythia-410m,low,draw_1,6,22.929086685180664,1.0803031921386719,94.74649616495206,0.4477652311325073
