model,draw,layer,accuracy,std
pythia-410m,draw_2,5,0.5928888888888888,0.04231335194813124
pythia-410m,draw_2,6,0.6053333333333333,0.02440805372043731
pythia-410m,draw_2,7,0.624,0.018981472448055654
pythia-410m,draw_2,8,0.6524444444444444,0.01893980066903334
pythia-410m,draw_2,9,0.6542222222222221,0.03690762576360303
pythia-410m,draw_2,10,0.647111111111111,0.012757955639473177
pythia-410m,draw_2,11,0.6435555555555557,0.01975654290746033
pythia-410m,draw_2,12,0.6311111111111112,0.025141574442188355
pythia-410m,draw_2,13,0.6373333333333333,0.03261144236061181
pythia-410m,draw_2,14,0.6302222222222224,0.028305214805494482
pythia-410m,draw_2,15,0.6355555555555557,0.03802533268659101
pythia-410m,draw_2,16,0.6613333333333333,0.03354304402509011
pythia-410m,draw_2,17,0.6613333333333333,0.03548882627142599
pythia-410m,draw_2,18,0.64,0.020846292265881916
pythia-410m,draw_2,19,0.6746666666666666,0.04412328407463415
pythia-410m,draw_2,20,0.6862222222222222,0.03617242657666809
pythia-410m,draw_2,21,0.6924444444444444,0.02701988293968118
pythia-410m,draw_2,22,0.6773333333333333,0.016534289100211822
pythia-410m,draw_2,23,0.6648888888888889,0.023618364898820295
pythia-410m,draw_3,0,0.5884444444444444,0.03356659126844302
pythia-410m,draw_3,1,0.5937777777777777,0.025235679229472674
pythia-410m,draw_3,2,0.5822222222222221,0.029614811109258107
pythia-410m,draw_3,3,0.5937777777777777,0.03162746111050166
pythia-410m,draw_3,4,0.5955555555555556,0.03632500754080453
pythia-410m,draw_3,5,0.5768888888888888,0.014166557733785985
pythia-410m,draw_3,6,0.5857777777777777,0.024408053720437292
pythia-410m,draw_3,7,0.5955555555555555,0.004868644955601467
pythia-410m,draw_3,8,0.6248888888888888,0.022592471159357964
pythia-410m,draw_3,9,0.6115555555555556,0.014497339049155641
pythia-410m,draw_3,10,0.632,0.03999012223716263
pythia-410m,draw_3,11,0.6079999999999999,0.023076897752439415
pythia-410m,draw_3,12,0.6106666666666667,0.020386391006541733
pythia-410m,draw_3,13,0.5866666666666667,0.01799862820561476
pythia-410m,draw_3,14,0.6008888888888889,0.020921959637226355
pythia-410m,draw_3,15,0.5768888888888888,0.011030821018658524
pythia-410m,draw_3,16,0.6035555555555556,0.013003323411846943
pythia-410m,draw_3,17,0.6195555555555556,0.024114951051112065
pythia-410m,draw_3,18,0.616,0.021517721665618137
pythia-410m,draw_3,19,0.632,0.03270821243195396
pythia-410m,draw_3,20,0.6586666666666667,0.018517925916444133
pythia-410m,draw_3,21,0.6631111111111111,0.005896221849520705
pythia-410m,draw_3,22,0.6328888888888888,0.018560544904729873
pythia-410m,draw_3,23,0.6319999999999999,0.03929250863164506
pythia-1b,draw_1,0,0.64,0.02026978533509579
pythia-1b,draw_1,1,0.6177777777777778,0.029880420113727314
pythia-1b,draw_1,2,0.608,0.018939800669033346
pythia-1b,draw_1,3,0.5964444444444444,0.01672434464197938
pythia-1b,draw_1,4,0.616,0.026158113723666044
pythia-1b,draw_1,5,0.6559999999999999,0.014222222222222225
pythia-1b,draw_1,6,0.664,0.017005445750852458
pythia-1b,draw_1,7,0.703111111111111,0.004354648431614539
pythia-1b,draw_1,8,0.6755555555555556,0.028527656063788816
pythia-1b,draw_1,9,0.6791111111111111,0.024408053720437296
pythia-1b,draw_1,10,0.6773333333333333,0.023785045618239374
pythia-1b,draw_1,11,0.7075555555555556,0.018939800669033342
pythia-1b,draw_1,12,0.7137777777777777,0.01999506111858134
pythia-1b,draw_1,13,0.7457777777777778,0.025047116095298437
pythia-1b,draw_1,14,0.7075555555555556,0.012380789579719201
pythia-1b,draw_1,15,0.7004444444444444,0.026607341417059102
pythia-1b,draw_2,0,0.6728888888888889,0.010740485309861847
pythia-1b,draw_2,1,0.6453333333333333,0.0076465113484823375
pythia-1b,draw_2,2,0.64,0.023517789431685265
pythia-1b,draw_2,3,0.6302222222222222,0.020347596697350378
pythia-1b,draw_2,4,0.6488888888888888,0.026218455473337992
pythia-1b,draw_2,5,0.704,0.03890856645020316
pythia-1b,draw_2,6,0.7173333333333334,0.010740485309861833
pythia-1b,draw_2,7,0.7297777777777779,0.022204437327638743
pythia-1b,draw_2,8,0.704,0.03236825147739224
pythia-1b,draw_2,9,0.6897777777777777,0.027883354917969998
pythia-1b,draw_2,10,0.7075555555555556,0.02456937770859598
pythia-1b,draw_2,11,0.7208888888888889,0.018517925916444116
pythia-1b,draw_2,12,0.7200000000000001,0.02466566564535395
pythia-1b,draw_2,13,0.7431111111111111,0.03999012223716267
pythia-1b,draw_2,14,0.7004444444444444,0.025078641741628223
pythia-1b,draw_2,15,0.7031111111111111,0.040675773115191306
pythia-1b,draw_3,0,0.6186666666666667,0.019147252647589333
pythia-1b,draw_3,1,0.6257777777777778,0.029534662623708727
pythia-1b,draw_3,2,0.6195555555555555,0.027049109430582995
pythia-1b,draw_3,3,0.6106666666666667,0.026607341417059102
pythia-1b,draw_3,4,0.6453333333333333,0.030843291685151084
pythia-1b,draw_3,5,0.656,0.026755407899186495
pythia-1b,draw_3,6,0.6702222222222222,0.023076897752439433
pythia-1b,draw_3,7,0.6844444444444444,0.029880420113727314
pythia-1b,draw_3,8,0.6746666666666666,0.03526548342200422
pythia-1b,draw_3,9,0.6417777777777778,0.036063044933512534
pythia-1b,draw_3,10,0.6684444444444444,0.021147337339325008
pythia-1b,draw_3,11,0.6693333333333333,0.03808761828556189
pythia-1b,draw_3,12,0.6773333333333335,0.026902659467416084
pythia-1b,draw_3,13,0.7066666666666667,0.03739677149860021
pythia-1b,draw_3,14,0.6515555555555556,0.03777516330822361
pythia-1b,draw_3,15,0.6826666666666666,0.03187630413696199
pythia-1.4b,draw_1,0,0.6062222222222222,0.0437817257103102
pythia-1.4b,draw_1,1,0.6142222222222221,0.014166557733785966
pythia-1.4b,draw_1,2,0.6346666666666667,0.03197529910863102
pythia-1.4b,draw_1,3,0.6142222222222223,0.01893980066903332
pythia-1.4b,draw_1,4,0.6426666666666667,0.022061642037317093
pythia-1.4b,draw_1,5,0.6426666666666667,0.02114733733932504
pythia-1.4b,draw_1,6,0.6497777777777778,0.02885810325466297
pythia-1.4b,draw_1,7,0.6471111111111111,0.02328142373992675
pythia-1.4b,draw_1,8,0.6613333333333334,0.023917553861464366
pythia-1.4b,draw_1,9,0.6746666666666667,0.028582995894779573
pythia-1.4b,draw_1,10,0.6613333333333333,0.026873273702810632
pythia-1.4b,draw_1,11,0.6764444444444445,0.03898971057682011
pythia-1.4b,draw_1,12,0.6844444444444444,0.030534336066342503
pythia-1.4b,draw_1,13,0.6711111111111111,0.02026978533509579
pythia-1.4b,draw_1,14,0.656,0.017910614826319896
pythia-1.4b,draw_1,15,0.672,0.03172723252902179
pythia-1.4b,draw_1,16,0.6702222222222222,0.02034759669735038
pythia-1.4b,draw_1,17,0.6995555555555556,0.016049306742460252
pythia-1.4b,draw_1,18,0.7066666666666667,0.022662308949301244
pythia-1.4b,draw_1,19,0.704,0.015032475133589102
pythia-1.4b,draw_1,20,0.7093333333333334,0.025235679229472695
pythia-1.4b,draw_1,21,0.7235555555555556,0.02885810325466297
pythia-1.4b,draw_1,22,0.7066666666666667,0.033140181124101754
pythia-1.4b,draw_1,23,0.7057777777777778,0.023416781995234642
pythia-1.4b,draw_2,0,0.6124444444444445,0.024082163882922794
pythia-1.4b,draw_2,1,0.6364444444444446,0.024888888888888887
pythia-1.4b,draw_2,2,0.6533333333333333,0.015650503877030247
pythia-1.4b,draw_2,3,0.6453333333333333,0.026127890589687223
pythia-1.4b,draw_2,4,0.6711111111111111,0.016147468555186596
pythia-1.4b,draw_2,5,0.6648888888888889,0.024920614700224327
pythia-1.4b,draw_2,6,0.7004444444444444,0.017910614826319907
pythia-1.4b,draw_2,7,0.7075555555555557,0.012695872761853943
pythia-1.4b,draw_2,8,0.7137777777777777,0.022592471159357926
pythia-1.4b,draw_2,9,0.7075555555555556,0.012380789579719215
pythia-1.4b,draw_2,10,0.6497777777777778,0.02774130939435953
pythia-1.4b,draw_2,11,0.6782222222222222,0.014767331311854339
pythia-1.4b,draw_2,12,0.704,0.016534289100211777
pythia-1.4b,draw_2,13,0.6631111111111112,0.013003323411846924
pythia-1.4b,draw_2,14,0.6595555555555556,0.022061642037317072
pythia-1.4b,draw_2,15,0.6408888888888888,0.0102896328024802
pythia-1.4b,draw_2,16,0.6817777777777778,0.015293022696964684
pythia-1.4b,draw_2,17,0.7093333333333334,0.03125048147777236
pythia-1.4b,draw_2,18,0.7253333333333333,0.012380789579719218
pythia-1.4b,draw_2,19,0.7368888888888889,0.011383331977658402
pythia-1.4b,draw_2,20,0.7422222222222222,0.024665665645353985
pythia-1.4b,draw_2,21,0.7635555555555555,0.014166557733785985
pythia-1.4b,draw_2,22,0.7795555555555557,0.020579265604960397
pythia-1.4b,draw_2,23,0.7324444444444446,0.006531972647421799
pythia-1.4b,draw_3,0,0.591111111111111,0.025762447548781202
pythia-1.4b,draw_3,1,0.6337777777777778,0.0292929014280606
pythia-1.4b,draw_3,2,0.6622222222222222,0.03104755412724089
pythia-1.4b,draw_3,3,0.6577777777777778,0.0208462922658819
pythia-1.4b,draw_3,4,0.6497777777777778,0.025670273916788697
pythia-1.4b,draw_3,5,0.6613333333333333,0.021664102412362572
pythia-1.4b,draw_3,6,0.664,0.024920614700224327
pythia-1.4b,draw_3,7,0.6657777777777778,0.013003323411846901
pythia-1.4b,draw_3,8,0.6542222222222223,0.029534662623708737
pythia-1.4b,draw_3,9,0.6311111111111111,0.027107467879070035
pythia-1.4b,draw_3,10,0.599111111111111,0.006531972647421823
pythia-1.4b,draw_3,11,0.6346666666666667,0.00949073622402783
pythia-1.4b,draw_3,12,0.6417777777777778,0.01918847390659813
pythia-1.4b,draw_3,13,0.6426666666666667,0.02188183755571764
pythia-1.4b,draw_3,14,0.6471111111111112,0.03187630413696197
pythia-1.4b,draw_3,15,0.6195555555555555,0.03285283308902458
pythia-1.4b,draw_3,16,0.6559999999999999,0.04528973938793598
pythia-1.4b,draw_3,17,0.6817777777777778,0.03941297649314731
pythia-1.4b,draw_3,18,0.7066666666666666,0.035108298058900415
pythia-1.4b,draw_3,19,0.7235555555555555,0.040578532304047364
pythia-1.4b,draw_3,20,0.7457777777777779,0.036692919894311636
pythia-1.4b,draw_3,21,0.7448888888888888,0.039412976493147324
pythia-1.4b,draw_3,22,0.7128888888888888,0.04581012880613379
pythia-1.4b,draw_3,23,0.6968888888888889,0.020152504975563774
