model,draw,layer,accuracy,std
pythia-410m,draw_2,6,0.49777777777777776,0.03204934467079101
pythia-410m,draw_2,7,0.5431111111111111,0.02816529692045306
pythia-410m,draw_2,8,0.6,0.012570787221094195
pythia-410m,draw_2,9,0.5742222222222222,0.02844444444444446
pythia-410m,draw_2,10,0.5893333333333334,0.02444040370643113
pythia-410m,draw_2,11,0.5804444444444445,0.02151772166561813
pythia-410m,draw_2,12,0.6044444444444445,0.012252487779635751
pythia-410m,draw_2,13,0.6142222222222222,0.0259762474599155
pythia-410m,draw_2,14,0.6124444444444445,0.033068578200423616
pythia-410m,draw_2,15,0.5946666666666667,0.011725249740687033
pythia-410m,draw_2,16,0.6115555555555556,0.017236195048591394
pythia-410m,draw_2,17,0.607111111111111,0.01503247513358911
pythia-410m,draw_2,18,0.6275555555555555,0.04630761343157729
pythia-410m,draw_2,19,0.6231111111111112,0.02774130939435952
pythia-410m,draw_2,20,0.6435555555555555,0.033894535048778
pythia-410m,draw_2,21,0.6373333333333333,0.024920614700224338
pythia-410m,draw_2,22,0.6426666666666666,0.03756541619398299
pythia-410m,draw_2,23,0.6364444444444445,0.028994678098311282
pythia-410m,draw_3,0,0.528888888888889,0.028527656063788827
pythia-410m,draw_3,1,0.5288888888888889,0.036864784628138164
pythia-410m,draw_3,2,0.4533333333333333,0.04178723297259789
pythia-410m,draw_3,3,0.46311111111111114,0.017418593726458168
pythia-410m,draw_3,4,0.45155555555555554,0.025235679229472688
pythia-410m,draw_3,5,0.5333333333333334,0.02046375899239348
pythia-410m,draw_3,6,0.488,0.042294674678650016
pythia-410m,draw_3,7,0.5671111111111111,0.03285283308902456
pythia-410m,draw_3,8,0.592,0.021109941488067396
pythia-410m,draw_3,9,0.6071111111111112,0.026458446339799505
pythia-410m,draw_3,10,0.5768888888888888,0.02672586022821851
pythia-410m,draw_3,11,0.5777777777777777,0.032294937110373255
pythia-410m,draw_3,12,0.5706666666666667,0.02733965599863056
pythia-410m,draw_3,13,0.5457777777777778,0.013303670708529568
pythia-410m,draw_3,14,0.576,0.010366136701947188
pythia-410m,draw_3,15,0.5297777777777778,0.030843291685151045
pythia-410m,draw_3,16,0.5573333333333333,0.014222222222222233
pythia-410m,draw_3,17,0.5804444444444445,0.0199950611185813
pythia-410m,draw_3,18,0.5608888888888888,0.026873273702810615
pythia-410m,draw_3,19,0.5591111111111111,0.022204437327638743
pythia-410m,draw_3,20,0.5946666666666667,0.013884888312722948
pythia-410m,draw_3,21,0.5884444444444444,0.020579265604960373
pythia-410m,draw_3,22,0.5991111111111111,0.01497982181898018
pythia-410m,draw_3,23,0.6151111111111112,0.021333333333333326
pythia-1b,draw_1,0,0.5484444444444445,0.03460963970476761
pythia-1b,draw_1,1,0.5964444444444444,0.01624503722888627
pythia-1b,draw_1,2,0.5226666666666667,0.026458446339799508
pythia-1b,draw_1,3,0.5564444444444444,0.03999012223716261
pythia-1b,draw_1,4,0.5155555555555555,0.015900927839998524
pythia-1b,draw_1,5,0.5306666666666667,0.029292901428060562
pythia-1b,draw_1,6,0.6479999999999999,0.02307689775243943
pythia-1b,draw_1,7,0.6293333333333333,0.021333333333333357
pythia-1b,draw_1,8,0.6551111111111111,0.01554920505292078
pythia-1b,draw_1,9,0.6222222222222222,0.01192569587999889
pythia-1b,draw_1,10,0.624,0.012757955639473184
pythia-1b,draw_1,11,0.6177777777777778,0.027107467879070053
pythia-1b,draw_1,12,0.6488888888888888,0.02159103609153976
pythia-1b,draw_1,13,0.6426666666666667,0.02460151556106318
pythia-1b,draw_1,14,0.6542222222222221,0.03045660746490989
pythia-1b,draw_1,15,0.6844444444444444,0.03192583999300972
pythia-1b,draw_2,0,0.5537777777777778,0.009151671236432884
pythia-1b,draw_2,1,0.6577777777777778,0.02140727925118632
pythia-1b,draw_2,2,0.5351111111111111,0.014767331311854384
pythia-1b,draw_2,3,0.6106666666666667,0.0292929014280606
pythia-1b,draw_2,4,0.5422222222222222,0.03384788047050625
pythia-1b,draw_2,5,0.5511111111111111,0.03577708763999663
pythia-1b,draw_2,6,0.6648888888888889,0.025391745523707897
pythia-1b,draw_2,7,0.6479999999999999,0.0466476151587624
pythia-1b,draw_2,8,0.6711111111111112,0.030143688813890086
pythia-1b,draw_2,9,0.64,0.029481109247603547
pythia-1b,draw_2,10,0.6426666666666667,0.028193336048273274
pythia-1b,draw_2,11,0.656888888888889,0.022025798565980224
pythia-1b,draw_2,12,0.6595555555555556,0.007221367470787532
pythia-1b,draw_2,13,0.6195555555555555,0.02969474326842681
pythia-1b,draw_2,14,0.6666666666666667,0.02046375899239351
pythia-1b,draw_2,15,0.7004444444444444,0.0330924630559756
pythia-1b,draw_3,0,0.5386666666666666,0.020921959637226376
pythia-1b,draw_3,1,0.5875555555555556,0.02536060909811042
pythia-1b,draw_3,2,0.5297777777777778,0.02899467809831127
pythia-1b,draw_3,3,0.5608888888888889,0.019955506062794334
pythia-1b,draw_3,4,0.5235555555555556,0.01648643288088125
pythia-1b,draw_3,5,0.5457777777777777,0.0268732737028106
pythia-1b,draw_3,6,0.599111111111111,0.0102896328024802
pythia-1b,draw_3,7,0.6302222222222221,0.017190292982945523
pythia-1b,draw_3,8,0.6497777777777778,0.03197529910863104
pythia-1b,draw_3,9,0.607111111111111,0.006028737762778016
pythia-1b,draw_3,10,0.6231111111111112,0.037962944896111336
pythia-1b,draw_3,11,0.5982222222222222,0.040597999099268374
pythia-1b,draw_3,12,0.6151111111111112,0.04511494236604274
pythia-1b,draw_3,13,0.6106666666666667,0.036063044933512534
pythia-1b,draw_3,14,0.6702222222222223,0.03515327988139586
pythia-1b,draw_3,15,0.6675555555555556,0.03743900389093811
pythia-1.4b,draw_1,0,0.5599999999999999,0.03192583999300973
pythia-1.4b,draw_1,1,0.568,0.037227362829105645
pythia-1.4b,draw_1,2,0.47733333333333333,0.03495040578015557
pythia-1.4b,draw_1,3,0.5244444444444445,0.017098119165930067
pythia-1.4b,draw_1,4,0.5439999999999999,0.013063945294843617
