model,draw,layer,mean_selectivity_index,median_selectivity_index,max_selectivity_index,n_selective_2x,n_highly_selective_3x,frac_selective_2x,frac_selective_3x,mean_f_stat_sample,median_f_stat_sample
pythia-410m,draw_1,20,1.1206626892089844,1.1037689447402954,1.5643718242645264,0,0,0.0,0.0,13.11465150804737,6.994603450712277
pythia-410m,draw_1,21,1.1286280155181885,1.1112959384918213,1.498716115951538,0,0,0.0,0.0,15.257909265963834,8.921741424285152
pythia-410m,draw_1,22,1.1382837295532227,1.113311767578125,1.9030497074127197,0,0,0.0,0.0,15.989681457058195,8.214715389914367
pythia-410m,draw_1,23,1.1387767791748047,1.1122928857803345,2.0273399353027344,1,0,0.000244140625,0.0,19.519168021889378,9.266015730083275
pythia-1b,draw_1,0,1.2995598316192627,1.3069493770599365,1.6159206628799438,0,0,0.0,0.0,65.69975469763314,62.73239695885731
pythia-1b,draw_1,1,1.1050362586975098,1.0838496685028076,1.7202434539794922,0,0,0.0,0.0,9.26910236270042,4.6116928308806635
pythia-1b,draw_1,2,1.088975429534912,1.0763652324676514,1.4528883695602417,0,0,0.0,0.0,5.458381045465732,3.4885559080668154
pythia-1b,draw_1,3,1.103982925415039,1.0912666320800781,1.4727325439453125,0,0,0.0,0.0,5.730676611364675,3.571590388227433
pythia-1b,draw_1,4,1.0941729545593262,1.0818850994110107,1.4556812047958374,0,0,0.0,0.0,7.409254439146131,4.449986687314474
pythia-1b,draw_1,5,1.09401535987854,1.0830574035644531,1.5417062044143677,0,0,0.0,0.0,6.439867264037627,4.1676644592248575
pythia-1b,draw_1,6,1.101107120513916,1.0878585577011108,1.5306907892227173,0,0,0.0,0.0,7.146087241609882,4.610463710239883
pythia-1b,draw_1,7,1.0979671478271484,1.084779977798462,1.6283175945281982,0,0,0.0,0.0,7.648931240941193,4.484471701222208
pythia-1b,draw_1,8,1.098978042602539,1.0846178531646729,1.5564688444137573,0,0,0.0,0.0,7.680208845633925,4.531070594947257
pythia-1b,draw_1,9,1.0896053314208984,1.0775113105773926,1.6867306232452393,0,0,0.0,0.0,7.7433588207703545,4.464002202236056
pythia-1b,draw_1,10,1.0906317234039307,1.076629877090454,1.5197066068649292,0,0,0.0,0.0,8.365594041591406,4.6816822726056895
pythia-1b,draw_1,11,1.096007227897644,1.0813782215118408,1.473517656326294,0,0,0.0,0.0,8.432193574169384,4.909653495381871
pythia-1b,draw_1,12,1.1076529026031494,1.0878465175628662,1.5754022598266602,0,0,0.0,0.0,9.305120719791958,5.343991560380649
pythia-1b,draw_1,13,1.1237690448760986,1.103859782218933,1.740463137626648,0,0,0.0,0.0,12.33413348769609,6.516000523563337
pythia-1b,draw_1,14,1.1417618989944458,1.1190667152404785,1.6767456531524658,0,0,0.0,0.0,14.502981076083856,8.103610359776654
pythia-1b,draw_1,15,1.1511340141296387,1.1242554187774658,1.9649769067764282,0,0,0.0,0.0,18.518375798677567,10.305289379935793
pythia-1.4b,draw_1,0,1.2810487747192383,1.2830294370651245,1.6178042888641357,0,0,0.0,0.0,58.94654692090301,57.677252629112175
pythia-1.4b,draw_1,1,1.0923906564712524,1.0767154693603516,1.5914040803909302,0,0,0.0,0.0,8.094742577444503,3.884456024391643
pythia-1.4b,draw_1,2,1.096869945526123,1.0835022926330566,1.430692195892334,0,0,0.0,0.0,7.523170293965542,4.310478065448439
pythia-1.4b,draw_1,3,1.1007320880889893,1.0858027935028076,2.1241939067840576,1,0,0.0001220703125,0.0,9.454636762417707,4.216565408328043
pythia-1.4b,draw_1,4,1.0963479280471802,1.0835230350494385,1.5714621543884277,0,0,0.0,0.0,5.499025634685579,3.2563732891426502
pythia-1.4b,draw_1,5,1.0999538898468018,1.0855576992034912,1.624045729637146,0,0,0.0,0.0,7.99602680401192,4.294841172620779
pythia-1.4b,draw_1,6,1.0987467765808105,1.0849703550338745,1.6489391326904297,0,0,0.0,0.0,7.611980690865175,3.9071608772143254
pythia-1.4b,draw_1,7,1.101135492324829,1.0853756666183472,1.5993900299072266,0,0,0.0,0.0,9.228082106586191,5.6281530988983715
pythia-1.4b,draw_1,8,1.1011229753494263,1.0868157148361206,1.5384718179702759,0,0,0.0,0.0,8.830924129701245,5.244256653308213
pythia-1.4b,draw_1,9,1.1015535593032837,1.0867021083831787,1.8692495822906494,0,0,0.0,0.0,8.726194154556683,5.474710477179805
pythia-1.4b,draw_1,10,1.0997459888458252,1.0848305225372314,1.6737743616104126,0,0,0.0,0.0,8.769170066022538,5.35591948586438
pythia-1.4b,draw_1,11,1.097846508026123,1.0844249725341797,1.5882939100265503,0,0,0.0,0.0,9.277641243542675,5.2857968655844
pythia-1.4b,draw_1,12,1.0996330976486206,1.085227608680725,1.5476492643356323,0,0,0.0,0.0,9.863060081644514,5.371588501250569
pythia-1.4b,draw_1,13,1.0995341539382935,1.085430383682251,1.4401293992996216,0,0,0.0,0.0,9.656135384197068,5.5932100778864555
pythia-1.4b,draw_1,14,1.103813886642456,1.0884532928466797,1.5282084941864014,0,0,0.0,0.0,8.634332474221173,5.1983644605254415
pythia-1.4b,draw_1,15,1.1062135696411133,1.0885066986083984,1.7118315696716309,0,0,0.0,0.0,9.765565878645713,4.972939552758376
pythia-1.4b,draw_1,16,1.1089143753051758,1.0903232097625732,1.5983659029006958,0,0,0.0,0.0,11.216156519694293,6.593956767936719
pythia-1.4b,draw_1,17,1.110919713973999,1.0927891731262207,1.7248269319534302,0,0,0.0,0.0,12.894235407546836,6.035332669840474
pythia-1.4b,draw_1,18,1.1157259941101074,1.0969865322113037,1.5672210454940796,0,0,0.0,0.0,12.824322891763769,7.146278902570438
pythia-1.4b,draw_1,19,1.1168172359466553,1.0968728065490723,1.6763501167297363,0,0,0.0,0.0,12.642439843988013,7.300376587086173
pythia-1.4b,draw_1,20,1.1232125759124756,1.1035411357879639,1.6754789352416992,0,0,0.0,0.0,13.618780543081947,7.232097679943559
pythia-1.4b,draw_1,21,1.1225324869155884,1.1008853912353516,1.613223671913147,0,0,0.0,0.0,13.547804153949928,6.861858589087401
pythia-1.4b,draw_1,22,1.1326096057891846,1.1094458103179932,1.8473209142684937,0,0,0.0,0.0,16.31276582652682,8.99139368520676
pythia-1.4b,draw_1,23,1.1472346782684326,1.11936616897583,1.898296594619751,0,0,0.0,0.0,20.62267665943449,12.378898976670433
