method,model,band,draw,size_multiplier,n_edges,n_edges_acdc_ref,total_edges,size_fraction,n_edges_method,n_edges_acdc,n_intersection,n_union,jaccard,recall_in_acdc,recall_in_method,dice
eap_ig,pythia-70m,very_low,draw_2,0.75,289,385,1324,0.21827794561933533,289,385,242,432,0.5601851851851852,0.6285714285714286,0.8373702422145328,0.7181008902077152
eap_ig,pythia-70m,very_low,draw_2,1.0,385,385,1324,0.290785498489426,385,385,290,480,0.6041666666666666,0.7532467532467533,0.7532467532467533,0.7532467532467533
eap_ig,pythia-70m,very_low,draw_2,1.5,578,385,1324,0.43655589123867067,578,385,347,616,0.5633116883116883,0.9012987012987013,0.6003460207612457,0.7206645898234684
eap_ig,pythia-70m,very_low,draw_2,2.0,770,385,1324,0.581570996978852,770,385,367,788,0.46573604060913704,0.9532467532467532,0.4766233766233766,0.6354978354978355
eap_ig,pythia-70m,very_low,draw_2,3.0,1155,385,1324,0.872356495468278,1155,385,384,1156,0.33217993079584773,0.9974025974025974,0.33246753246753247,0.4987012987012987
eap_ig,pythia-70m,very_low,draw_2,5.0,1324,385,1324,1.0,1324,385,385,1324,0.290785498489426,1.0,0.290785498489426,0.4505558806319485
eap_ig,pythia-70m,very_low,draw_3,0.1,38,378,1324,0.028700906344410877,38,378,38,378,0.10052910052910052,0.10052910052910052,1.0,0.18269230769230768
eap_ig,pythia-70m,very_low,draw_3,0.2,76,378,1324,0.05740181268882175,76,378,75,379,0.19788918205804748,0.1984126984126984,0.9868421052631579,0.3303964757709251
eap_ig,pythia-70m,very_low,draw_3,0.3,113,378,1324,0.08534743202416918,113,378,111,380,0.29210526315789476,0.29365079365079366,0.9823008849557522,0.45213849287169044
eap_ig,pythia-70m,very_low,draw_3,0.5,189,378,1324,0.14274924471299094,189,378,178,389,0.45758354755784064,0.4708994708994709,0.9417989417989417,0.6278659611992945
eap_ig,pythia-70m,very_low,draw_3,0.75,284,378,1324,0.21450151057401812,284,378,246,416,0.5913461538461539,0.6507936507936508,0.8661971830985915,0.743202416918429
eap_ig,pythia-70m,very_low,draw_3,1.0,378,378,1324,0.2854984894259819,378,378,289,467,0.6188436830835118,0.7645502645502645,0.7645502645502645,0.7645502645502645
eap_ig,pythia-70m,very_low,draw_3,1.5,567,378,1324,0.4282477341389728,567,378,333,612,0.5441176470588235,0.8809523809523809,0.5873015873015873,0.7047619047619048
eap_ig,pythia-70m,very_low,draw_3,2.0,756,378,1324,0.5709969788519638,756,378,355,779,0.4557124518613607,0.9391534391534392,0.4695767195767196,0.6261022927689595
