model,draw,layer,delta_mi,cumulative_mi
pythia-160m,draw_3,11,-0.04700002814695692,0.734788986327556
pythia-410m,draw_1,0,0.868375788053639,0.868375788053639
pythia-410m,draw_1,1,0.0927964596299693,0.9611722476836083
pythia-410m,draw_1,2,-0.015664583145670097,0.9455076645379382
pythia-410m,draw_1,3,0.03639491848955356,0.9819025830274918
pythia-410m,draw_1,4,-0.087191417591999,0.8947111654354928
pythia-410m,draw_1,5,-0.021260968954403325,0.8734501964810895
pythia-410m,draw_1,6,0.0030751013116728787,0.8765252977927623
pythia-410m,draw_1,7,-0.03585582493948081,0.8406694728532815
pythia-410m,draw_1,8,-0.03692117786411098,0.8037482949891706
pythia-410m,draw_1,9,-0.018041555368954687,0.7857067396202159
pythia-410m,draw_1,10,0.023315913228243668,0.8090226528484595
pythia-410m,draw_1,11,0.04680058981448321,0.8558232426629427
pythia-410m,draw_1,12,-0.030939534639741195,0.8248837080232015
pythia-410m,draw_1,13,-0.015934412890567407,0.8089492951326341
pythia-410m,draw_1,14,0.05408790126821683,0.863037196400851
pythia-410m,draw_1,15,0.02976079091056749,0.8927979873114185
pythia-410m,draw_1,16,0.038700159383431076,0.9314981466948495
pythia-410m,draw_1,17,-0.07748852345149204,0.8540096232433575
pythia-410m,draw_1,18,-0.07465490991319557,0.7793547133301619
pythia-410m,draw_1,19,0.0028611688467550245,0.782215882176917
pythia-410m,draw_1,20,-0.030632750761114047,0.7515831314158029
pythia-410m,draw_1,21,0.00793871448940453,0.7595218459052074
pythia-410m,draw_1,22,0.07139240401784319,0.8309142499230506
pythia-410m,draw_1,23,0.09259051747863845,0.9235047674016891
pythia-410m,draw_2,0,0.8907300674082018,0.8907300674082018
pythia-410m,draw_2,1,0.10713233747756168,0.9978624048857635
pythia-410m,draw_2,2,-0.027807821230861562,0.9700545836549019
pythia-410m,draw_2,3,0.04364601591672734,1.0137005995716293
pythia-410m,draw_2,4,-0.08754515885859615,0.9261554407130331
pythia-410m,draw_2,5,0.002071874401704199,0.9282273151147373
pythia-410m,draw_2,6,-0.010233415215749386,0.9179938998989879
pythia-410m,draw_2,7,-0.043802679104493425,0.8741912207944945
pythia-410m,draw_2,8,-0.0031304090146072605,0.8710608117798873
pythia-410m,draw_2,9,0.009837100432222967,0.8808979122121102
pythia-410m,draw_2,10,-0.007072533215673027,0.8738253789964372
pythia-410m,draw_2,11,0.005312107916211506,0.8791374869126487
pythia-410m,draw_2,12,-0.004257249531604557,0.8748802373810441
pythia-410m,draw_2,13,-0.005288315764883644,0.8695919216161605
pythia-410m,draw_2,14,0.03748440973744305,0.9070763313536035
pythia-410m,draw_2,15,0.053589747374859,0.9606660787284625
pythia-410m,draw_2,16,0.03126721926976239,0.9919332979982249
pythia-410m,draw_2,17,-0.10711264834379397,0.884820649654431
pythia-410m,draw_2,18,-0.08999711492162243,0.7948235347328085
pythia-410m,draw_2,19,0.022199239756855005,0.8170227744896635
pythia-410m,draw_2,20,-0.03329061509423337,0.7837321593954302
pythia-410m,draw_2,21,-0.03958804368868463,0.7441441157067455
pythia-410m,draw_2,22,0.15010166622544174,0.8942457819321873
pythia-410m,draw_2,23,0.11512047987070895,1.0093662618028962
pythia-410m,draw_3,0,0.8643203342379653,0.8643203342379653
pythia-410m,draw_3,1,0.10366395393578187,0.9679842881737472
pythia-410m,draw_3,2,-0.02293234870345018,0.945051939470297
pythia-410m,draw_3,3,0.022293358330772728,0.9673452978010697
pythia-410m,draw_3,4,-0.04363882095922467,0.923706476841845
pythia-410m,draw_3,5,-0.03977493620200945,0.8839315406398356
pythia-410m,draw_3,6,-0.012371377308085463,0.8715601633317501
pythia-410m,draw_3,7,-0.01316306199663897,0.8583971013351112
pythia-410m,draw_3,8,0.007854145176131477,0.8662512465112426
pythia-410m,draw_3,9,-0.028731093426903942,0.8375201530843387
pythia-410m,draw_3,10,0.04673425145049748,0.8842544045348362
pythia-410m,draw_3,11,-0.04993319094952209,0.8343212135853141
pythia-410m,draw_3,12,-0.02221674832352938,0.8121044652617847
pythia-410m,draw_3,13,0.016416926944333277,0.828521392206118
pythia-410m,draw_3,14,0.04507452751114771,0.8735959197172657
pythia-410m,draw_3,15,0.016546981069909705,0.8901429007871754
pythia-410m,draw_3,16,0.01898909184082964,0.909131992628005
pythia-410m,draw_3,17,-0.0799977634762008,0.8291342291518042
pythia-410m,draw_3,18,-0.06963948971280587,0.7594947394389984
pythia-410m,draw_3,19,0.016235186145155067,0.7757299255841534
pythia-410m,draw_3,20,-0.057697667964871635,0.7180322576192818
pythia-410m,draw_3,21,0.029768906808882778,0.7478011644281646
pythia-410m,draw_3,22,0.14540976505875558,0.8932109294869202
pythia-410m,draw_3,23,0.06284731515037978,0.9560582446372999
pythia-1b,draw_1,0,1.1203560112455606,1.1203560112455606
pythia-1b,draw_1,1,0.005171674955246397,1.125527686200807
pythia-1b,draw_1,2,-0.057447029815820505,1.0680806563849865
pythia-1b,draw_1,3,-0.05265473911070906,1.0154259172742774
pythia-1b,draw_1,4,-0.016854796746069378,0.9985711205282081
pythia-1b,draw_1,5,0.01824220956579825,1.0168133300940063
pythia-1b,draw_1,6,-0.03329424962300831,0.983519080470998
pythia-1b,draw_1,7,-0.07217873051937285,0.9113403499516252
pythia-1b,draw_1,8,-0.031891125214114524,0.8794492247375106
pythia-1b,draw_1,9,0.03568467168401901,0.9151338964215296
pythia-1b,draw_1,10,0.046188233092482545,0.9613221295140122
pythia-1b,draw_1,11,0.11834149682399331,1.0796636263380055
pythia-1b,draw_1,12,0.04194385868718853,1.121607485025194
pythia-1b,draw_1,13,0.029302153539130682,1.1509096385643247
pythia-1b,draw_1,14,0.0006529436966820068,1.1515625822610067
pythia-1b,draw_1,15,-0.12763279092288027,1.0239297913381264
pythia-1b,draw_2,0,1.1505468983091354,1.1505468983091354
pythia-1b,draw_2,1,0.018071931980391698,1.168618830289527
pythia-1b,draw_2,2,-0.07398466501420997,1.094634165275317
pythia-1b,draw_2,3,-0.024572922431794986,1.070061242843522
pythia-1b,draw_2,4,-0.015739218480522066,1.054322024363
pythia-1b,draw_2,5,-0.05268218595479923,1.0016398384082008
pythia-1b,draw_2,6,-0.02152165785333171,0.9801181805548691
pythia-1b,draw_2,7,-0.032748037758726145,0.947370142796143
pythia-1b,draw_2,8,-0.040585272450795795,0.9067848703453472
pythia-1b,draw_2,9,0.04621193844316296,0.9529968087885101
pythia-1b,draw_2,10,0.01743453721573518,0.9704313460042453
pythia-1b,draw_2,11,0.12524579162257066,1.095677137626816
pythia-1b,draw_2,12,0.024353710128225403,1.1200308477550414
pythia-1b,draw_2,13,0.04173104112969028,1.1617618888847316
pythia-1b,draw_2,14,0.0035385181877625183,1.1653004070724942
pythia-1b,draw_2,15,-0.09481817061272935,1.0704822364597648
pythia-1b,draw_3,0,1.137856990921581,1.137856990921581
pythia-1b,draw_3,1,-0.007892559066148719,1.1299644318554323
pythia-1b,draw_3,2,-0.048978990558313784,1.0809854412971185
pythia-1b,draw_3,3,-0.05506984443322316,1.0259155968638953
pythia-1b,draw_3,4,0.029862934235521665,1.055778531099417
pythia-1b,draw_3,5,0.03532485140554087,1.0911033825049579
pythia-1b,draw_3,6,-0.11002433148506197,0.9810790510198959
pythia-1b,draw_3,7,-0.025502612506522748,0.9555764385133731
pythia-1b,draw_3,8,-0.0477799412250135,0.9077964972883596
pythia-1b,draw_3,9,0.0348134498038577,0.9426099470922173
pythia-1b,draw_3,10,0.032759470750029385,0.9753694178422467
pythia-1b,draw_3,11,0.11211017442620896,1.0874795922684557
pythia-1b,draw_3,12,0.006497294137489007,1.0939768864059447
pythia-1b,draw_3,13,0.018758594997037248,1.112735481402982
pythia-1b,draw_3,14,0.04009172768269553,1.1528272090856775
pythia-1b,draw_3,15,-0.13763947506398422,1.0151877340216933
pythia-1.4b,draw_1,0,0.9956799563637833,0.9956799563637833
pythia-1.4b,draw_1,1,0.1069795419555335,1.1026594983193168
pythia-1.4b,draw_1,2,-0.035151766635346915,1.0675077316839698
pythia-1.4b,draw_1,3,-0.019698497126227732,1.047809234557742
pythia-1.4b,draw_1,4,-0.033816363989099374,1.0139928705686427
pythia-1.4b,draw_1,5,-0.09945898736409287,0.9145338832045499
pythia-1.4b,draw_1,6,0.014701156327223242,0.9292350395317731
pythia-1.4b,draw_1,7,-0.1439844979456174,0.7852505415861557
pythia-1.4b,draw_1,8,0.039577872561003535,0.8248284141471592
pythia-1.4b,draw_1,9,-0.0831447638858569,0.7416836502613023
pythia-1.4b,draw_1,10,0.11072346488448892,0.8524071151457913
pythia-1.4b,draw_1,11,0.11319350009159013,0.9656006152373814
pythia-1.4b,draw_1,12,0.029360828036493647,0.994961443273875
pythia-1.4b,draw_1,13,0.018882622222919365,1.0138440654967944
pythia-1.4b,draw_1,14,0.0018918546110566759,1.015735920107851
pythia-1.4b,draw_1,15,0.030306947624777036,1.0460428677326281
pythia-1.4b,draw_1,16,0.02769055278282151,1.0737334205154496
pythia-1.4b,draw_1,17,0.0017087595743705553,1.0754421800898202
pythia-1.4b,draw_1,18,-0.0027160617089256878,1.0727261183808945
pythia-1.4b,draw_1,19,0.01532828426356625,1.0880544026444607
pythia-1.4b,draw_1,20,-0.006606458163952,1.0814479444805087
pythia-1.4b,draw_1,21,0.01364808630368386,1.0950960307841926
pythia-1.4b,draw_1,22,0.027798254764887842,1.1228942855490804
pythia-1.4b,draw_1,23,-0.02445024622205505,1.0984440393270254
pythia-1.4b,draw_2,0,0.9968355746137534,0.9968355746137534
pythia-1.4b,draw_2,1,0.15326555083887006,1.1501011254526234
pythia-1.4b,draw_2,2,0.010835798061685109,1.1609369235143085
pythia-1.4b,draw_2,3,-0.03223020377476926,1.1287067197395393
pythia-1.4b,draw_2,4,-0.05764215667449757,1.0710645630650417
pythia-1.4b,draw_2,5,-0.08257205197143413,0.9884925110936076
pythia-1.4b,draw_2,6,-0.0449819290979413,0.9435105819956663
pythia-1.4b,draw_2,7,-0.09070513853946716,0.8528054434561991
pythia-1.4b,draw_2,8,0.024337781509787826,0.877143224965987
pythia-1.4b,draw_2,9,-0.04426637170104575,0.8328768532649412
pythia-1.4b,draw_2,10,0.029185229212884356,0.8620620824778256
pythia-1.4b,draw_2,11,0.15793916564909716,1.0200012481269227
pythia-1.4b,draw_2,12,0.02571413056452898,1.0457153786914517
pythia-1.4b,draw_2,13,-0.029167064252336283,1.0165483144391154
pythia-1.4b,draw_2,14,0.00976624654180136,1.0263145609809168
pythia-1.4b,draw_2,15,0.006489673102412885,1.0328042340833297
pythia-1.4b,draw_2,16,0.03664143452629398,1.0694456686096236
pythia-1.4b,draw_2,17,-0.009017025498401221,1.0604286431112224
pythia-1.4b,draw_2,18,0.014529145248573183,1.0749577883597956
pythia-1.4b,draw_2,19,0.025635730435616733,1.1005935187954123
pythia-1.4b,draw_2,20,0.005905334631762349,1.1064988534271747
pythia-1.4b,draw_2,21,0.017471258424622604,1.1239701118517973
pythia-1.4b,draw_2,22,0.017484473489058017,1.1414545853408553
pythia-1.4b,draw_2,23,-0.019873139491280334,1.121581445849575
pythia-1.4b,draw_3,0,0.9783713821323746,0.9783713821323746
pythia-1.4b,draw_3,1,0.13416400347801238,1.112535385610387
pythia-1.4b,draw_3,2,-0.0034166776319504155,1.1091187079784366
pythia-1.4b,draw_3,3,-0.054965821946715954,1.0541528860317206
pythia-1.4b,draw_3,4,-0.0401272700007409,1.0140256160309797
pythia-1.4b,draw_3,5,-0.048209435190426975,0.9658161808405528
pythia-1.4b,draw_3,6,-0.027040712371278697,0.9387754684692741
pythia-1.4b,draw_3,7,-0.06719960922689328,0.8715758592423808
pythia-1.4b,draw_3,8,-0.01928442325333346,0.8522914359890473
pythia-1.4b,draw_3,9,-0.0670991190549226,0.7851923169341247
pythia-1.4b,draw_3,10,0.04724133662107366,0.8324336535551984
pythia-1.4b,draw_3,11,0.15569907784744863,0.988132731402647
pythia-1.4b,draw_3,12,-0.011458670526579007,0.976674060876068
pythia-1.4b,draw_3,13,0.019545820150012272,0.9962198810260803
pythia-1.4b,draw_3,14,0.01731234729964215,1.0135322283257224
pythia-1.4b,draw_3,15,0.00019238060047155336,1.013724608926194
pythia-1.4b,draw_3,16,0.0369413675490724,1.0506659764752664
pythia-1.4b,draw_3,17,-0.011223108376515079,1.0394428680987513
pythia-1.4b,draw_3,18,0.010994796043476196,1.0504376641422275
pythia-1.4b,draw_3,19,0.0067203163793232434,1.0571579805215507
pythia-1.4b,draw_3,20,0.004036805201186544,1.0611947857227373
pythia-1.4b,draw_3,21,0.0146296350287205,1.0758244207514578
pythia-1.4b,draw_3,22,0.0017311564429189907,1.0775555771943768
pythia-1.4b,draw_3,23,-0.04273179793915172,1.034823779255225
