model,draw,layer,mi_probe,mi_fano,probe_accuracy,method
pythia-160m,draw_3,11,0.9880535642451909,0.6099151345325473,0.6222222222222222,probe
pythia-410m,draw_1,0,0.7589136625628528,0.45025584351981873,0.5591111111111111,probe
pythia-410m,draw_1,1,0.796205553982483,0.4544299300601351,0.5608888888888888,probe
pythia-410m,draw_1,2,0.8075796790946268,0.4419631461602511,0.5555555555555556,probe
pythia-410m,draw_1,3,0.8645532429990168,0.48201351349336585,0.5724444444444444,probe
pythia-410m,draw_1,4,0.8406924088474628,0.4993789342480264,0.5795555555555556,probe
pythia-410m,draw_1,5,0.8250693633995936,0.49283188866387095,0.5768888888888888,probe
pythia-410m,draw_1,6,0.8313867152923109,0.4670633349055866,0.5662222222222222,probe
pythia-410m,draw_1,7,0.8385344433413442,0.45442993006013555,0.560888888888889,probe
pythia-410m,draw_1,8,0.842706931488022,0.45442993006013555,0.5608888888888889,probe
pythia-410m,draw_1,9,0.8245487316608959,0.42966256407980796,0.5502222222222223,probe
pythia-410m,draw_1,10,0.904529697003138,0.4993789342480264,0.5795555555555556,probe
pythia-410m,draw_1,11,0.9008338399933424,0.47557839742608854,0.5697777777777777,probe
pythia-410m,draw_1,12,0.9054254724490343,0.5259889047405477,0.5902222222222223,probe
pythia-410m,draw_1,13,0.9479916955886079,0.5125994083938079,0.5848888888888888,probe
pythia-410m,draw_1,14,0.9159342570293987,0.4971919112439438,0.5786666666666667,probe
pythia-410m,draw_1,15,0.9158831348198033,0.48849054638647393,0.5751111111111111,probe
pythia-410m,draw_1,16,1.0109381776920525,0.5327472384616458,0.5928888888888889,probe
pythia-410m,draw_1,17,1.0327084184210327,0.5931099195702583,0.616,probe
pythia-410m,draw_1,18,1.1182285160623948,0.7001319179897099,0.6542222222222223,probe
pythia-410m,draw_1,19,1.1616581167582727,0.7184242167028143,0.6604444444444445,probe
pythia-410m,draw_1,20,1.1920565555496887,0.7611741883850058,0.6746666666666666,probe
pythia-410m,draw_1,21,1.1964984305630049,0.7830459473921663,0.6817777777777778,probe
pythia-410m,draw_1,22,1.1955893968367475,0.7830459473921663,0.6817777777777778,probe
pythia-410m,draw_1,23,1.2057349350720794,0.7858034797271729,0.6826666666666666,probe
pythia-410m,draw_2,0,0.8074876448047832,0.3859766811530534,0.5306666666666666,probe
pythia-410m,draw_2,1,0.808624794800348,0.38985640153694834,0.5324444444444445,probe
pythia-410m,draw_2,2,0.830121433926752,0.4175278049095841,0.5448888888888889,probe
pythia-410m,draw_2,3,0.8445351272296029,0.4135196749562049,0.5431111111111112,probe
pythia-410m,draw_2,4,0.8229400409250471,0.39767079804983463,0.536,probe
pythia-410m,draw_2,5,0.8426609488339569,0.4055585294219264,0.5395555555555556,probe
pythia-410m,draw_2,6,0.8781934860442266,0.4135196749562047,0.5431111111111111,probe
pythia-410m,draw_2,7,0.8706811342865899,0.4135196749562049,0.5431111111111112,probe
pythia-410m,draw_2,8,0.8801151505311753,0.4440293908657289,0.5564444444444444,probe
pythia-410m,draw_2,9,0.878119770750168,0.4440293908657291,0.5564444444444445,probe
pythia-410m,draw_2,10,0.9141301228422931,0.4276285983879382,0.5493333333333335,probe
pythia-410m,draw_2,11,0.9192078963508863,0.45025584351981873,0.5591111111111111,probe
pythia-410m,draw_2,12,0.9484065407598092,0.5103842753578995,0.584,probe
pythia-410m,draw_2,13,0.9766500602154207,0.5304897422019836,0.592,probe
pythia-410m,draw_2,14,0.9763055723352934,0.5215069196770674,0.5884444444444445,probe
pythia-410m,draw_2,15,0.9603480385903065,0.5327472384616456,0.5928888888888888,probe
pythia-410m,draw_2,16,1.0380783803002056,0.6123352418285122,0.6231111111111111,probe
pythia-410m,draw_2,17,1.0521672430730877,0.6220642556776397,0.6266666666666667,probe
pythia-410m,draw_2,18,1.1258070598481609,0.7131725260412265,0.6586666666666666,probe
pythia-410m,draw_2,19,1.1234884805218772,0.7105542892107339,0.6577777777777778,probe
pythia-410m,draw_2,20,1.160509843449839,0.7666108183283173,0.6764444444444445,probe
pythia-410m,draw_2,21,1.1648547378953982,0.7720682811908446,0.6782222222222222,probe
pythia-410m,draw_2,22,1.2043789906118523,0.8052539881310117,0.6888888888888889,probe
pythia-410m,draw_2,23,1.2216017508805002,0.8249651254866286,0.6951111111111111,probe
pythia-410m,draw_3,0,0.7732849872809509,0.4055585294219264,0.5395555555555556,probe
pythia-410m,draw_3,1,0.8227887553970401,0.42155432161618744,0.5466666666666666,probe
pythia-410m,draw_3,2,0.8197504805153843,0.4357921045104427,0.5528888888888889,probe
pythia-410m,draw_3,3,0.811329442910816,0.4440293908657291,0.5564444444444445,probe
pythia-410m,draw_3,4,0.8186414437287144,0.45862252970300377,0.5626666666666666,probe
pythia-410m,draw_3,5,0.8194522898404704,0.4628336589741271,0.5644444444444444,probe
pythia-410m,draw_3,6,0.8779579158657749,0.47986382063603994,0.5715555555555556,probe
pythia-410m,draw_3,7,0.8528360905145038,0.43784450479828774,0.5537777777777777,probe
pythia-410m,draw_3,8,0.8305428084970377,0.4255992371522528,0.5484444444444445,probe
pythia-410m,draw_3,9,0.8572160407193028,0.4357921045104427,0.5528888888888889,probe
pythia-410m,draw_3,10,0.8985021620061473,0.4691851333305961,0.5671111111111111,probe
pythia-410m,draw_3,11,0.8828120357634188,0.464946177522956,0.5653333333333334,probe
pythia-410m,draw_3,12,0.918015606197879,0.5081738343822289,0.583111111111111,probe
pythia-410m,draw_3,13,0.9306408662051808,0.5463915061024367,0.5982222222222222,probe
pythia-410m,draw_3,14,0.8976389836802754,0.4971919112439438,0.5786666666666667,probe
pythia-410m,draw_3,15,0.9200704813276148,0.5441056246480929,0.5973333333333333,probe
pythia-410m,draw_3,16,0.9749413130240392,0.6220642556776397,0.6266666666666667,probe
pythia-410m,draw_3,17,0.9680819675207541,0.6147602030261099,0.624,probe
pythia-410m,draw_3,18,1.0408440468061633,0.6846494134590968,0.6488888888888888,probe
pythia-410m,draw_3,19,1.1213420978652646,0.7913343381229794,0.6844444444444444,probe
pythia-410m,draw_3,20,1.1182453292950019,0.7830459473921663,0.6817777777777778,probe
pythia-410m,draw_3,21,1.132713246343576,0.7913343381229794,0.6844444444444444,probe
pythia-410m,draw_3,22,1.1568192341679397,0.7996702297556166,0.6871111111111111,probe
pythia-410m,draw_3,23,1.144488463170327,0.7802936691358451,0.6808888888888889,probe
pythia-1b,draw_1,0,1.0042793526420764,0.597887250394538,0.6177777777777778,probe
pythia-1b,draw_1,1,0.9384258745573888,0.5372764021058603,0.5946666666666667,probe
pythia-1b,draw_1,2,0.9580307035996976,0.5350094573467001,0.5937777777777777,probe
pythia-1b,draw_1,3,0.8711392038439021,0.4734426623021091,0.5688888888888889,probe
pythia-1b,draw_1,4,0.9118384611140535,0.4928318886638714,0.5768888888888889,probe
pythia-1b,draw_1,5,0.9829734588300376,0.5695117501102023,0.607111111111111,probe
pythia-1b,draw_1,6,0.9861882055353417,0.5327472384616456,0.5928888888888888,probe
pythia-1b,draw_1,7,1.0241928169829864,0.5812508527001228,0.6115555555555556,probe
