model,draw,layer,h_y,h_y_given_x,info_fraction
pythia-1b,draw_1,7,2.321928094887362,1.4105877449357371,0.39249292515056744
pythia-1b,draw_1,8,2.321928094887362,1.4424788701498517,0.37875816511026494
pythia-1b,draw_1,9,2.321928094887362,1.4067941984658325,0.3941267166871174
pythia-1b,draw_1,10,2.321928094887362,1.36060596537335,0.41401890593887936
pythia-1b,draw_1,11,2.321928094887362,1.2422644685493567,0.46498581446829024
pythia-1b,draw_1,12,2.321928094887362,1.2003206098621682,0.4830500511600053
pythia-1b,draw_1,13,2.321928094887362,1.1710184563230375,0.49566980179037623
pythia-1b,draw_1,14,2.321928094887362,1.1703655126263555,0.49595100933427894
pythia-1b,draw_1,15,2.321928094887362,1.2979983035492357,0.4409825582423119
pythia-1b,draw_2,0,2.321928094887362,1.1713811965782268,0.49551357806579666
pythia-1b,draw_2,1,2.321928094887362,1.1533092645978351,0.5032967355288482
pythia-1b,draw_2,2,2.321928094887362,1.227293929612045,0.47143327465031526
pythia-1b,draw_2,3,2.321928094887362,1.25186685204384,0.46085029299558533
pythia-1b,draw_2,4,2.321928094887362,1.2676060705243621,0.45407178055362896
pythia-1b,draw_2,5,2.321928094887362,1.3202882564791614,0.4313827980348336
pythia-1b,draw_2,6,2.321928094887362,1.341809914332493,0.4221139245065274
pythia-1b,draw_2,7,2.321928094887362,1.3745579520912192,0.40801011232094175
pythia-1b,draw_2,8,2.321928094887362,1.415143224542015,0.3905309868733621
pythia-1b,draw_2,9,2.321928094887362,1.368931286098852,0.410433385463963
pythia-1b,draw_2,10,2.321928094887362,1.3514967488831169,0.4179420319436383
pythia-1b,draw_2,11,2.321928094887362,1.2262509572605462,0.4718824583928245
pythia-1b,draw_2,12,2.321928094887362,1.2018972471323208,0.4823710304471658
pythia-1b,draw_2,13,2.321928094887362,1.1601662060026305,0.5003436116057199
pythia-1b,draw_2,14,2.321928094887362,1.156627687814868,0.5018675684395056
pythia-1b,draw_2,15,2.321928094887362,1.2514458584275974,0.46103160507719965
pythia-1b,draw_3,0,2.321928094887362,1.1840711039657812,0.49004833242985457
pythia-1b,draw_3,1,2.321928094887362,1.19196366303193,0.48664919225685466
pythia-1b,draw_3,2,2.321928094887362,1.2409426535902437,0.46555508918529087
pythia-1b,draw_3,3,2.321928094887362,1.2960124980234669,0.4418377981311531
pythia-1b,draw_3,4,2.321928094887362,1.2661495637879452,0.4546990638616797
pythia-1b,draw_3,5,2.321928094887362,1.2308247123824043,0.46991264927947207
pythia-1b,draw_3,6,2.321928094887362,1.3408490438674663,0.4225277488911595
pythia-1b,draw_3,7,2.321928094887362,1.366351656373989,0.4115443715149709
pythia-1b,draw_3,8,2.321928094887362,1.4141315975990025,0.390966670883233
pythia-1b,draw_3,9,2.321928094887362,1.3793181477951448,0.4059600076194193
pythia-1b,draw_3,10,2.321928094887362,1.3465586770451154,0.42006874372634795
pythia-1b,draw_3,11,2.321928094887362,1.2344485026189065,0.4683519677732354
pythia-1b,draw_3,12,2.321928094887362,1.2279512084814175,0.47115020004915964
pythia-1b,draw_3,13,2.321928094887362,1.2091926134843802,0.47922908717677637
pythia-1b,draw_3,14,2.321928094887362,1.1691008858016847,0.4964956544623754
pythia-1b,draw_3,15,2.321928094887362,1.306740360865669,0.43721755908679016
pythia-1.4b,draw_1,0,2.321928094887362,1.326248138523579,0.42881601654942036
pythia-1.4b,draw_1,1,2.321928094887362,1.2192685965680454,0.47488959746309767
pythia-1.4b,draw_1,2,2.321928094887362,1.2544203632033923,0.4597505555983874
pythia-1.4b,draw_1,3,2.321928094887362,1.27411886032962,0.451266874656845
pythia-1.4b,draw_1,4,2.321928094887362,1.3079352243187194,0.4367029594074626
pythia-1.4b,draw_1,5,2.321928094887362,1.4073942116828122,0.39386830506003
pythia-1.4b,draw_1,6,2.321928094887362,1.392693055355589,0.40019974846673745
pythia-1.4b,draw_1,7,2.321928094887362,1.5366775533012065,0.3381890004755933
pythia-1.4b,draw_1,8,2.321928094887362,1.4970996807402028,0.35523426240603384
pythia-1.4b,draw_1,9,2.321928094887362,1.58024444462606,0.31942576167384784
pythia-1.4b,draw_1,10,2.321928094887362,1.469520979741571,0.3671117624282598
pythia-1.4b,draw_1,11,2.321928094887362,1.356327479649981,0.4158615494439861
pythia-1.4b,draw_1,12,2.321928094887362,1.3269666516134873,0.42850656980492796
pythia-1.4b,draw_1,13,2.321928094887362,1.3080840293905678,0.4366388725512951
pythia-1.4b,draw_1,14,2.321928094887362,1.306192174779511,0.4374536499835603
pythia-1.4b,draw_1,15,2.321928094887362,1.275885227154734,0.45050614187230986
pythia-1.4b,draw_1,16,2.321928094887362,1.2481946743719126,0.462431813835965
pythia-1.4b,draw_1,17,2.321928094887362,1.246485914797542,0.4631677365280299
pythia-1.4b,draw_1,18,2.321928094887362,1.2492019765064677,0.46199799241971484
pythia-1.4b,draw_1,19,2.321928094887362,1.2338736922429014,0.4685995251275181
pythia-1.4b,draw_1,20,2.321928094887362,1.2404801504068534,0.4657542784644114
pythia-1.4b,draw_1,21,2.321928094887362,1.2268320641031696,0.47163218929797057
pythia-1.4b,draw_1,22,2.321928094887362,1.1990338093382817,0.48360424598055973
pythia-1.4b,draw_1,23,2.321928094887362,1.2234840555603368,0.4730740980935981
pythia-1.4b,draw_2,0,2.321928094887362,1.3250925202736088,0.4293137142397643
pythia-1.4b,draw_2,1,2.321928094887362,1.1718269694347387,0.4953215941462715
pythia-1.4b,draw_2,2,2.321928094887362,1.1609911713730536,0.49998831835945645
pythia-1.4b,draw_2,3,2.321928094887362,1.193221375147823,0.4861075251317347
pythia-1.4b,draw_2,4,2.321928094887362,1.2508635318223205,0.46128239949523486
pythia-1.4b,draw_2,5,2.321928094887362,1.3334355837937546,0.4257205523591202
pythia-1.4b,draw_2,6,2.321928094887362,1.378417512891696,0.4063478899597174
pythia-1.4b,draw_2,7,2.321928094887362,1.469122651431163,0.36728331309396944
pythia-1.4b,draw_2,8,2.321928094887362,1.4447848699213752,0.37776502506574716
pythia-1.4b,draw_2,9,2.321928094887362,1.489051241622421,0.35870053646314326
