model,draw,source_band,test_band,n_edges,accuracy,top5_accuracy,source_variant,test_variant
pythia-160m,draw_2,medium,very_low,1513,0.8622222222222222,0.96,matched,unmatched
pythia-160m,draw_2,medium,low,1513,0.8266666666666667,0.9733333333333334,matched,matched
pythia-160m,draw_2,medium,medium,1513,0.9244444444444444,0.9866666666666668,matched,matched
pythia-160m,draw_2,medium,high,1513,0.9511111111111112,0.9955555555555556,matched,matched
pythia-160m,draw_2,medium,very_high,1513,0.9022222222222224,0.9644444444444444,matched,matched
pythia-160m,draw_2,medium,control,1513,0.9244444444444444,0.9866666666666668,matched,matched
pythia-160m,draw_2,high,very_low,1454,0.8222222222222222,0.9333333333333332,matched,unmatched
pythia-160m,draw_2,high,low,1454,0.8222222222222222,0.9422222222222222,matched,matched
pythia-160m,draw_2,high,medium,1454,0.8844444444444445,0.9911111111111112,matched,matched
pythia-160m,draw_2,high,high,1454,0.9333333333333332,0.9866666666666668,matched,matched
pythia-160m,draw_2,high,very_high,1454,0.9111111111111112,0.9822222222222222,matched,matched
pythia-160m,draw_2,high,control,1454,0.9155555555555556,0.9866666666666668,matched,matched
pythia-160m,draw_2,very_high,very_low,1306,0.7288888888888889,0.9066666666666666,matched,unmatched
pythia-160m,draw_2,very_high,low,1306,0.7733333333333333,0.9466666666666668,matched,matched
pythia-160m,draw_2,very_high,medium,1306,0.8755555555555555,0.9866666666666668,matched,matched
pythia-160m,draw_2,very_high,high,1306,0.9333333333333332,1.0,matched,matched
pythia-160m,draw_2,very_high,very_high,1306,0.9377777777777778,0.9866666666666668,matched,matched
pythia-160m,draw_2,very_high,control,1306,0.9288888888888888,0.9911111111111112,matched,matched
pythia-160m,draw_2,control,very_low,1380,0.8266666666666667,0.9511111111111112,matched,unmatched
pythia-160m,draw_2,control,low,1380,0.8577777777777778,0.9644444444444444,matched,matched
pythia-160m,draw_2,control,medium,1380,0.9111111111111112,0.9911111111111112,matched,matched
pythia-160m,draw_2,control,high,1380,0.92,1.0,matched,matched
pythia-160m,draw_2,control,very_high,1380,0.9333333333333332,0.9822222222222222,matched,matched
pythia-160m,draw_2,control,control,1380,0.9377777777777778,0.9911111111111112,matched,matched
pythia-160m,draw_3,very_low,very_low,1323,0.8355555555555556,0.9555555555555556,unmatched,unmatched
pythia-160m,draw_3,very_low,low,1323,0.8355555555555556,0.96,unmatched,matched
pythia-160m,draw_3,very_low,medium,1323,0.8444444444444444,0.96,unmatched,matched
pythia-160m,draw_3,very_low,high,1323,0.8888888888888888,0.9466666666666668,unmatched,matched
pythia-160m,draw_3,very_low,very_high,1323,0.8311111111111111,0.9155555555555556,unmatched,matched
pythia-160m,draw_3,very_low,control,1323,0.8533333333333334,0.9377777777777778,unmatched,matched
pythia-160m,draw_3,low,very_low,1408,0.8266666666666667,0.9511111111111112,matched,unmatched
pythia-160m,draw_3,low,low,1408,0.8977777777777778,0.9688888888888888,matched,matched
pythia-160m,draw_3,low,medium,1408,0.9066666666666666,0.9866666666666668,matched,matched
pythia-160m,draw_3,low,high,1408,0.9066666666666666,0.9733333333333334,matched,matched
pythia-160m,draw_3,low,very_high,1408,0.9288888888888888,0.9822222222222222,matched,matched
pythia-160m,draw_3,low,control,1408,0.8888888888888888,0.9822222222222222,matched,matched
pythia-160m,draw_3,medium,very_low,1475,0.8177777777777778,0.9555555555555556,matched,unmatched
pythia-160m,draw_3,medium,low,1475,0.8533333333333334,0.9511111111111112,matched,matched
pythia-160m,draw_3,medium,medium,1475,0.8933333333333333,0.9733333333333334,matched,matched
pythia-160m,draw_3,medium,high,1475,0.9244444444444444,0.9777777777777776,matched,matched
pythia-160m,draw_3,medium,very_high,1475,0.9288888888888888,0.9688888888888888,matched,matched
pythia-160m,draw_3,medium,control,1475,0.9155555555555556,0.9822222222222222,matched,matched
pythia-160m,draw_3,high,very_low,1385,0.7911111111111111,0.9377777777777778,matched,unmatched
pythia-160m,draw_3,high,low,1385,0.8577777777777778,0.9466666666666668,matched,matched
pythia-160m,draw_3,high,medium,1385,0.9066666666666666,0.9733333333333334,matched,matched
pythia-160m,draw_3,high,high,1385,0.9244444444444444,0.9688888888888888,matched,matched
pythia-160m,draw_3,high,very_high,1385,0.9155555555555556,0.9866666666666668,matched,matched
pythia-160m,draw_3,high,control,1385,0.9288888888888888,0.9866666666666668,matched,matched
pythia-160m,draw_3,very_high,very_low,1330,0.7822222222222223,0.9244444444444444,matched,unmatched
pythia-160m,draw_3,very_high,low,1330,0.8755555555555555,0.9644444444444444,matched,matched
pythia-160m,draw_3,very_high,medium,1330,0.9111111111111112,0.9777777777777776,matched,matched
pythia-160m,draw_3,very_high,high,1330,0.9288888888888888,0.9866666666666668,matched,matched
pythia-160m,draw_3,very_high,very_high,1330,0.9511111111111112,0.9911111111111112,matched,matched
pythia-160m,draw_3,very_high,control,1330,0.9333333333333332,0.9911111111111112,matched,matched
pythia-160m,draw_3,control,very_low,1345,0.7688888888888888,0.9288888888888888,matched,unmatched
pythia-160m,draw_3,control,low,1345,0.8044444444444444,0.9511111111111112,matched,matched
pythia-160m,draw_3,control,medium,1345,0.88,0.9688888888888888,matched,matched
pythia-160m,draw_3,control,high,1345,0.9155555555555556,0.9911111111111112,matched,matched
pythia-160m,draw_3,control,very_high,1345,0.9377777777777778,0.9733333333333334,matched,matched
pythia-160m,draw_3,control,control,1345,0.9466666666666668,0.9866666666666668,matched,matched
