model,draw,layer,separation_ratio
pythia-1.4b,draw_2,14,11.32653423296763
pythia-1.4b,draw_2,15,14.473672041559157
pythia-1.4b,draw_2,16,14.288541458015647
pythia-1.4b,draw_2,17,11.42232673708443
pythia-1.4b,draw_2,18,12.24553172426772
pythia-1.4b,draw_2,19,12.41356182536281
pythia-1.4b,draw_2,20,12.203767158546034
pythia-1.4b,draw_2,21,12.674860214230955
pythia-1.4b,draw_2,22,18.30305866889115
pythia-1.4b,draw_2,23,29.824706142232948
pythia-1.4b,draw_3,0,9.908537561227456
pythia-1.4b,draw_3,1,14.743951248555073
pythia-1.4b,draw_3,2,8.765071654641675
pythia-1.4b,draw_3,3,9.452832069613747
pythia-1.4b,draw_3,4,9.334104464541173
pythia-1.4b,draw_3,5,9.664260393895072
pythia-1.4b,draw_3,6,10.038664740675632
pythia-1.4b,draw_3,7,10.438688758559474
pythia-1.4b,draw_3,8,11.04497000511871
pythia-1.4b,draw_3,9,10.83091696371837
pythia-1.4b,draw_3,10,11.00047965820274
pythia-1.4b,draw_3,11,10.253290626310632
pythia-1.4b,draw_3,12,13.533658257672373
pythia-1.4b,draw_3,13,11.312990012619618
pythia-1.4b,draw_3,14,11.113953844862504
pythia-1.4b,draw_3,15,14.29793953764883
pythia-1.4b,draw_3,16,14.31398712883673
pythia-1.4b,draw_3,17,11.752472623609043
pythia-1.4b,draw_3,18,12.186440430092023
pythia-1.4b,draw_3,19,12.346633318936377
pythia-1.4b,draw_3,20,12.087250494461333
pythia-1.4b,draw_3,21,12.742722551239794
pythia-1.4b,draw_3,22,17.76199207870747
pythia-1.4b,draw_3,23,29.516865922025453
