model,draw,band,layer,mean_norm,std_norm,median_norm
pythia-410m,draw_1,very_high,22,20.999635696411133,2.1906049251556396,20.891176223754883
pythia-410m,draw_1,very_high,23,47.944252014160156,4.4386749267578125,47.64175033569336
pythia-410m,draw_1,control,0,10.840904235839844,0.9442502856254578,10.646849632263184
pythia-410m,draw_1,control,1,6.020963668823242,0.6866881847381592,5.927671909332275
pythia-410m,draw_1,control,2,6.494302749633789,0.47673550248146057,6.454575538635254
pythia-410m,draw_1,control,3,6.641523361206055,0.5052170753479004,6.6009626388549805
pythia-410m,draw_1,control,4,6.834630012512207,0.5438726544380188,6.767892360687256
pythia-410m,draw_1,control,5,9.022085189819336,0.5639945268630981,8.930624008178711
pythia-410m,draw_1,control,6,7.358460903167725,0.37064120173454285,7.342067241668701
pythia-410m,draw_1,control,7,8.191267013549805,0.4776705801486969,8.177750587463379
pythia-410m,draw_1,control,8,10.895499229431152,0.8195621371269226,10.862439155578613
pythia-410m,draw_1,control,9,11.477508544921875,0.9470637440681458,11.455270767211914
pythia-410m,draw_1,control,10,10.211073875427246,0.8217948079109192,10.149286270141602
pythia-410m,draw_1,control,11,10.30542278289795,0.7024070024490356,10.293357849121094
pythia-410m,draw_1,control,12,8.434332847595215,0.560792863368988,8.389495849609375
pythia-410m,draw_1,control,13,13.96983528137207,2.5849716663360596,14.043813705444336
pythia-410m,draw_1,control,14,10.547673225402832,1.348034381866455,10.624428749084473
pythia-410m,draw_1,control,15,10.670607566833496,1.1023685932159424,10.52521800994873
pythia-410m,draw_1,control,16,13.942971229553223,1.2040789127349854,14.016858100891113
pythia-410m,draw_1,control,17,13.166871070861816,4.77361536026001,11.44070053100586
pythia-410m,draw_1,control,18,14.301582336425781,3.107409954071045,13.795659065246582
pythia-410m,draw_1,control,19,25.38988494873047,3.940484046936035,25.681312561035156
pythia-410m,draw_1,control,20,16.894411087036133,7.876399993896484,13.87852954864502
pythia-410m,draw_1,control,21,20.570207595825195,4.054197788238525,20.38206672668457
pythia-410m,draw_1,control,22,20.93192481994629,2.4193761348724365,20.997665405273438
pythia-410m,draw_1,control,23,47.51750183105469,4.5898566246032715,47.24973678588867
pythia-410m,draw_2,low,0,13.735091209411621,1.306626796722412,13.778996467590332
pythia-410m,draw_2,low,1,6.278393745422363,0.7967845797538757,6.2481584548950195
pythia-410m,draw_2,low,2,6.433277606964111,0.5141782164573669,6.377791404724121
pythia-410m,draw_2,low,3,6.260758399963379,0.390979140996933,6.2800068855285645
pythia-410m,draw_2,low,4,6.8117780685424805,0.4881454110145569,6.805781841278076
pythia-410m,draw_2,low,5,9.720382690429688,0.5641777515411377,9.649701118469238
pythia-410m,draw_2,low,6,7.523190975189209,0.3694394826889038,7.572658538818359
pythia-410m,draw_2,low,7,8.440563201904297,0.47238075733184814,8.469720840454102
pythia-410m,draw_2,low,8,11.0086030960083,0.740433931350708,11.035236358642578
pythia-410m,draw_2,low,9,11.867847442626953,0.9360493421554565,11.81683349609375
pythia-410m,draw_2,low,10,11.06802749633789,0.8757893443107605,11.05557918548584
pythia-410m,draw_2,low,11,11.150145530700684,0.7019616365432739,11.149246215820312
pythia-410m,draw_2,low,12,8.816859245300293,0.495891809463501,8.801698684692383
pythia-410m,draw_2,low,13,14.944514274597168,2.3439128398895264,14.876566886901855
pythia-410m,draw_2,low,14,11.253812789916992,1.2030000686645508,11.318089485168457
pythia-410m,draw_2,low,15,11.315254211425781,1.2054376602172852,11.313634872436523
pythia-410m,draw_2,low,16,13.435356140136719,0.9837539792060852,13.345624923706055
pythia-410m,draw_2,low,17,16.258792877197266,6.2872772216796875,13.619453430175781
pythia-410m,draw_2,low,18,15.965704917907715,4.391685485839844,15.021894454956055
pythia-410m,draw_2,low,19,24.85647964477539,3.5217809677124023,25.13329315185547
pythia-410m,draw_2,low,20,16.125856399536133,6.101443290710449,14.373656272888184
pythia-410m,draw_2,low,21,20.410524368286133,2.998154401779175,20.245071411132812
pythia-410m,draw_2,low,22,22.606470108032227,3.3246777057647705,21.951343536376953
pythia-410m,draw_2,low,23,46.11114501953125,4.37511682510376,46.1503791809082
pythia-410m,draw_2,medium,0,12.522538185119629,1.2000144720077515,12.448821067810059
pythia-410m,draw_2,medium,1,6.375671863555908,0.9069980382919312,6.181842803955078
pythia-410m,draw_2,medium,2,6.544624328613281,0.4940650165081024,6.5091471672058105
pythia-410m,draw_2,medium,3,6.427863121032715,0.3900928795337677,6.3885111808776855
pythia-410m,draw_2,medium,4,6.757486820220947,0.48779296875,6.686922550201416
pythia-410m,draw_2,medium,5,9.442556381225586,0.5417932868003845,9.425848007202148
pythia-410m,draw_2,medium,6,7.432528018951416,0.3433034121990204,7.436932563781738
pythia-410m,draw_2,medium,7,8.364261627197266,0.48975101113319397,8.380409240722656
pythia-410m,draw_2,medium,8,10.9357271194458,0.7389810085296631,10.930999755859375
