model,draw,band,model_capacity,d_mlp,n_layers,peak_probe_accuracy,peak_probe_layer,peak_separation_ratio,mean_mlp_frac,mean_gini,mean_frac_selective,max_mean_f_stat,peak_logit_contrib
pythia-160m,draw_2,low,160,3072,12,,,16.446130908465616,0.6309500356515249,0.4200232122965697,,,261.0254821777344
pythia-160m,draw_2,medium,160,3072,12,,,16.446130908465616,0.6309500356515249,0.41964912074519695,,,275.116455078125
pythia-160m,draw_2,high,160,3072,12,,,16.446130908465616,0.6309500356515249,0.42035403588971904,,,279.3293762207031
pythia-160m,draw_2,very_high,160,3072,12,,,16.446130908465616,0.6309500356515249,0.41885155892109044,,,285.6277770996094
pythia-160m,draw_2,control,160,3072,12,,,16.446130908465616,0.6309500356515249,0.4188220795337638,,,283.3685302734375
pythia-160m,draw_3,low,160,3072,12,,,15.919527556083166,0.6321826130151749,0.4192733823953115,,,267.64630126953125
pythia-160m,draw_3,medium,160,3072,12,,,15.919527556083166,0.6321826130151749,0.41975390552025016,,,274.00579833984375
pythia-160m,draw_3,high,160,3072,12,,,15.919527556083166,0.6321826130151749,0.41958830106165285,,,278.32513427734375
pythia-160m,draw_3,very_high,160,3072,12,,,15.919527556083166,0.6321826130151749,0.41835140074101074,,,282.9158020019531
pythia-160m,draw_3,control,160,3072,12,,,15.919527556083166,0.6321826130151749,0.4184173560287578,,,286.7751159667969
pythia-410m,draw_1,low,410,4096,24,0.6559999999999999,23.0,25.61451426020804,0.6160850062966347,0.39135339161050425,0.6377665201822916,55.50084706788419,2.681931972503662
pythia-410m,draw_1,medium,410,4096,24,0.6559999999999999,23.0,25.61451426020804,0.6160850062966347,0.39229143377480585,0.6377665201822916,55.50084706788419,2.8123273849487305
pythia-410m,draw_1,high,410,4096,24,0.6559999999999999,23.0,25.61451426020804,0.6160850062966347,0.3920557707054191,0.6377665201822916,55.50084706788419,2.871347665786743
pythia-410m,draw_1,very_high,410,4096,24,0.6559999999999999,23.0,25.61451426020804,0.6160850062966347,0.39063421845414803,0.6377665201822916,55.50084706788419,2.8642539978027344
pythia-410m,draw_1,control,410,4096,24,0.6559999999999999,23.0,25.61451426020804,0.6160850062966347,0.39123543122539123,0.6377665201822916,55.50084706788419,2.8389434814453125
pythia-410m,draw_2,low,410,4096,24,,,28.43798000779489,0.6161797997852166,0.3922154116566465,,,2.5865745544433594
pythia-410m,draw_2,medium,410,4096,24,,,28.43798000779489,0.6161797997852166,0.39251105096478006,,,2.8277266025543213
pythia-410m,draw_2,high,410,4096,24,,,28.43798000779489,0.6161797997852166,0.39231414720197494,,,2.8449954986572266
pythia-410m,draw_2,very_high,410,4096,24,,,28.43798000779489,0.6161797997852166,0.39076049804866814,,,2.8845648765563965
pythia-410m,draw_2,control,410,4096,24,,,28.43798000779489,0.6161797997852166,0.39079023509209704,,,2.86853289604187
pythia-410m,draw_3,low,410,4096,24,,,25.588986368035616,0.6165732060869534,0.3916678926744173,,,2.7990286350250244
pythia-410m,draw_3,medium,410,4096,24,,,25.588986368035616,0.6165732060869534,0.39265861012495346,,,2.78942608833313
pythia-410m,draw_3,high,410,4096,24,,,25.588986368035616,0.6165732060869534,0.39202983867002866,,,2.8300282955169678
pythia-410m,draw_3,very_high,410,4096,24,,,25.588986368035616,0.6165732060869534,0.39111593029118336,,,2.9314420223236084
pythia-410m,draw_3,control,410,4096,24,,,25.588986368035616,0.6165732060869534,0.3907872614674777,,,2.793356418609619
pythia-1b,draw_1,low,1000,8192,16,0.6373333333333333,15.0,20.702621440435276,0.5534111559391022,0.377439829614472,0.624114990234375,64.25996289039566,5.049742698669434
pythia-1b,draw_1,medium,1000,8192,16,0.6373333333333333,15.0,20.702621440435276,0.5534111559391022,0.3768282066530202,0.624114990234375,64.25996289039566,5.1932053565979
pythia-1b,draw_1,high,1000,8192,16,0.6373333333333333,15.0,20.702621440435276,0.5534111559391022,0.374964109405125,0.624114990234375,64.25996289039566,4.92930793762207
pythia-1b,draw_1,very_high,1000,8192,16,0.6373333333333333,15.0,20.702621440435276,0.5534111559391022,0.3734685968985951,0.624114990234375,64.25996289039566,4.126652240753174
pythia-1b,draw_1,control,1000,8192,16,0.6373333333333333,15.0,20.702621440435276,0.5534111559391022,0.3738152911239206,0.624114990234375,64.25996289039566,4.599093437194824
pythia-1b,draw_2,low,1000,8192,16,,,20.8361658906312,0.5533223941922187,0.37766652701326925,,,5.387423992156982
pythia-1b,draw_2,medium,1000,8192,16,,,20.8361658906312,0.5533223941922187,0.37706707569394743,,,5.1507062911987305
pythia-1b,draw_2,high,1000,8192,16,,,20.8361658906312,0.5533223941922187,0.3750396037594061,,,4.7570929527282715
pythia-1b,draw_2,very_high,1000,8192,16,,,20.8361658906312,0.5533223941922187,0.3735151783623427,,,4.383486747741699
pythia-1b,draw_2,control,1000,8192,16,,,20.8361658906312,0.5533223941922187,0.37366146135002287,,,4.339982509613037
pythia-1b,draw_3,low,1000,8192,16,,,20.253506081071542,0.5539728965610266,0.3773513929707968,,,5.335748672485352
pythia-1b,draw_3,medium,1000,8192,16,,,20.253506081071542,0.5539728965610266,0.37717729743379,,,5.390861988067627
pythia-1b,draw_3,high,1000,8192,16,,,20.253506081071542,0.5539728965610266,0.3750829910551018,,,4.915943145751953
pythia-1b,draw_3,very_high,1000,8192,16,,,20.253506081071542,0.5539728965610266,0.37360118951393445,,,4.475770473480225
pythia-1b,draw_3,control,1000,8192,16,,,20.253506081071542,0.5539728965610266,0.373641376587058,,,4.477755069732666
pythia-1.4b,draw_1,low,1400,8192,24,0.6764444444444445,23.0,29.786575696921126,0.5704525244732698,0.37151695317158673,0.649688720703125,58.85332072654265,9.7431058883667
pythia-1.4b,draw_1,medium,1400,8192,24,0.6764444444444445,23.0,29.786575696921126,0.5704525244732698,0.3699485901753981,0.649688720703125,58.85332072654265,8.29056167602539
pythia-1.4b,draw_1,high,1400,8192,24,0.6764444444444445,23.0,29.786575696921126,0.5704525244732698,0.36789738084121515,0.649688720703125,58.85332072654265,6.585917949676514
pythia-1.4b,draw_1,very_high,1400,8192,24,0.6764444444444445,23.0,29.786575696921126,0.5704525244732698,0.3659588412545287,0.649688720703125,58.85332072654265,4.445033550262451
