model,draw,band,layer,mean_logit_contrib,std_logit_contrib,median_logit_contrib,method
pythia-410m,draw_1,very_high,23,2.8642539978027344,0.7552708387374878,2.8501594066619873,direct
pythia-410m,draw_1,control,0,-0.009087108075618744,0.2481231987476349,-0.0071332380175590515,direct
pythia-410m,draw_1,control,1,-0.01300264336168766,0.1283261775970459,-0.02384384721517563,direct
pythia-410m,draw_1,control,2,-0.02761184237897396,0.14999598264694214,-0.026651129126548767,direct
pythia-410m,draw_1,control,3,-0.0008733729482628405,0.1523776650428772,-0.006714954972267151,direct
pythia-410m,draw_1,control,4,0.023707373067736626,0.14954350888729095,0.008466258645057678,direct
pythia-410m,draw_1,control,5,0.03792982175946236,0.18977761268615723,0.04305237531661987,direct
pythia-410m,draw_1,control,6,0.01154148019850254,0.16510072350502014,0.0072004348039627075,direct
pythia-410m,draw_1,control,7,-0.04135029762983322,0.19505539536476135,-0.05330244079232216,direct
pythia-410m,draw_1,control,8,-0.01235188078135252,0.24878180027008057,-0.003764558583498001,direct
pythia-410m,draw_1,control,9,-0.03872048109769821,0.27603980898857117,-0.026709258556365967,direct
pythia-410m,draw_1,control,10,-0.07366745918989182,0.20976252853870392,-0.06726719439029694,direct
pythia-410m,draw_1,control,11,-0.1420864760875702,0.24299772083759308,-0.14703881740570068,direct
pythia-410m,draw_1,control,12,-0.11318085342645645,0.18549010157585144,-0.10558995604515076,direct
pythia-410m,draw_1,control,13,-0.08123871684074402,0.2373771071434021,-0.092368945479393,direct
pythia-410m,draw_1,control,14,0.0462271049618721,0.2273247390985489,0.05806814134120941,direct
pythia-410m,draw_1,control,15,0.1518290489912033,0.2530858516693115,0.12014421075582504,direct
pythia-410m,draw_1,control,16,0.014114582911133766,0.2790505588054657,-0.004712358117103577,direct
pythia-410m,draw_1,control,17,0.13413023948669434,0.2585635185241699,0.11301440000534058,direct
pythia-410m,draw_1,control,18,0.09731228649616241,0.29777786135673523,0.10093480348587036,direct
