model,draw,band,layer,mlp_frac_mean,mlp_frac_std,attn_frac_mean,mlp_norm_mean,attn_norm_mean
pythia-70m,draw_2,very_high,4,0.7732145190238953,0.046402204781770706,0.22678545117378235,13.705080032348633,3.7384002208709717
pythia-70m,draw_2,very_high,5,0.6739071607589722,0.03863397613167763,0.32609283924102783,48.850120544433594,23.20358657836914
pythia-70m,draw_2,control,0,0.5081782937049866,0.03296145051717758,0.4918217360973358,5.666326999664307,5.50031042098999
pythia-70m,draw_2,control,1,0.4832153618335724,0.04474921524524689,0.51678466796875,4.832776069641113,5.083338737487793
pythia-70m,draw_2,control,2,0.447344034910202,0.1091342642903328,0.5526559948921204,7.50786018371582,7.117934226989746
pythia-70m,draw_2,control,3,0.47222623229026794,0.10053076595067978,0.5277737975120544,8.405693054199219,9.9038667678833
pythia-70m,draw_2,control,4,0.7714706659317017,0.04695466533303261,0.22852931916713715,13.467576026916504,3.691803455352783
pythia-70m,draw_2,control,5,0.6715047955513,0.04107438772916794,0.32849520444869995,48.3135986328125,23.18385124206543
pythia-70m,draw_3,low,0,0.5173088312149048,0.036622896790504456,0.4826911687850952,6.691485404968262,6.27177619934082
pythia-70m,draw_3,low,1,0.5127277374267578,0.06371840834617615,0.4872722029685974,5.502208232879639,5.045419216156006
pythia-70m,draw_3,low,2,0.545341432094574,0.18045364320278168,0.45465853810310364,14.169659614562988,7.008998394012451
pythia-70m,draw_3,low,3,0.5574581623077393,0.13456840813159943,0.44254183769226074,9.228862762451172,7.8179168701171875
pythia-70m,draw_3,low,4,0.7954555749893188,0.06660356372594833,0.20454445481300354,17.282255172729492,3.6262803077697754
pythia-70m,draw_3,low,5,0.6615309715270996,0.04467081278562546,0.3384690284729004,48.049278259277344,23.937498092651367
pythia-70m,draw_3,medium,0,0.5016816258430481,0.03772694617509842,0.4983183741569519,6.347412109375,6.329494476318359
pythia-70m,draw_3,medium,1,0.5129876136779785,0.06603239476680756,0.4870123863220215,5.6106109619140625,5.118165016174316
pythia-70m,draw_3,medium,2,0.5417175889015198,0.1804320514202118,0.4582824110984802,14.13860034942627,7.015678405761719
pythia-70m,draw_3,medium,3,0.5426590442657471,0.1412615031003952,0.45734095573425293,9.152288436889648,8.3191556930542
pythia-70m,draw_3,medium,4,0.7938595414161682,0.06523625552654266,0.20614047348499298,17.335430145263672,3.683135747909546
pythia-70m,draw_3,medium,5,0.6608642339706421,0.046499863266944885,0.3391357362270355,47.83363723754883,23.878616333007812
pythia-70m,draw_3,high,0,0.5022398829460144,0.03801647946238518,0.497760146856308,5.999114513397217,5.967112064361572
pythia-70m,draw_3,high,1,0.492766410112381,0.04858360439538956,0.5072335600852966,5.087064743041992,5.131818771362305
pythia-70m,draw_3,high,2,0.47737917304039,0.13656756281852722,0.5226207971572876,9.066558837890625,7.1455078125
pythia-70m,draw_3,high,3,0.49762532114982605,0.11565729975700378,0.5023746490478516,8.66421127319336,9.319594383239746
pythia-70m,draw_3,high,4,0.7809491753578186,0.05113804712891579,0.219050794839859,14.169568061828613,3.5826022624969482
pythia-70m,draw_3,high,5,0.6592249870300293,0.04275055229663849,0.3407749831676483,46.76543426513672,23.6643009185791
pythia-70m,draw_3,very_high,0,0.5067868232727051,0.03217484429478645,0.4932132065296173,5.577566146850586,5.445991516113281
pythia-70m,draw_3,very_high,1,0.47489094734191895,0.039931539446115494,0.525109052658081,4.7322235107421875,5.173812389373779
pythia-70m,draw_3,very_high,2,0.4378019869327545,0.09811495989561081,0.5621979832649231,6.848848342895508,7.120924472808838
pythia-70m,draw_3,very_high,3,0.45084258913993835,0.09385986626148224,0.549157440662384,8.394698143005371,10.71399974822998
pythia-70m,draw_3,very_high,4,0.7737740278244019,0.043979011476039886,0.22622598707675934,13.406036376953125,3.693795680999756
pythia-70m,draw_3,very_high,5,0.6721817255020142,0.03607741743326187,0.32781827449798584,48.58002471923828,23.315143585205078
pythia-70m,draw_3,control,0,0.5084105730056763,0.033992424607276917,0.49158942699432373,5.7536211013793945,5.577968597412109
pythia-70m,draw_3,control,1,0.4826258718967438,0.04565589129924774,0.5173741579055786,4.858935356140137,5.114684104919434
pythia-70m,draw_3,control,2,0.4502946734428406,0.11620057374238968,0.5497053265571594,7.83607292175293,7.141141414642334
pythia-70m,draw_3,control,3,0.465182900428772,0.10042387247085571,0.534817099571228,8.518301963806152,10.252723693847656
pythia-70m,draw_3,control,4,0.7742692828178406,0.04940831661224365,0.22573065757751465,13.766131401062012,3.693077564239502
pythia-70m,draw_3,control,5,0.6665300130844116,0.03776074945926666,0.3334699869155884,47.752681732177734,23.464344024658203
pythia-160m,draw_1,low,0,0.5935168266296387,0.021944940090179443,0.40648314356803894,9.9371919631958,6.79834508895874
pythia-160m,draw_1,low,1,0.521435558795929,0.040203556418418884,0.47856444120407104,5.5101752281188965,5.038957118988037
pythia-160m,draw_1,low,2,0.6244341135025024,0.02661712095141411,0.3755658268928528,6.387007236480713,3.835068941116333
pythia-160m,draw_1,low,3,0.44864538311958313,0.020819371566176414,0.5513545870780945,6.561375141143799,8.059842109680176
pythia-160m,draw_1,low,4,0.44786226749420166,0.021630052477121353,0.5521377325057983,6.915490627288818,8.536702156066895
pythia-160m,draw_1,low,5,0.4933643937110901,0.036079760640859604,0.5066356062889099,9.75189208984375,10.061720848083496
pythia-160m,draw_1,low,6,0.5294609069824219,0.04469090327620506,0.47053906321525574,10.822427749633789,9.580548286437988
pythia-160m,draw_1,low,7,0.6432619690895081,0.034229449927806854,0.3567379415035248,13.511460304260254,7.419259071350098
pythia-160m,draw_1,low,8,0.8258793354034424,0.05111829936504364,0.1741207242012024,24.882511138916016,4.973874568939209
pythia-160m,draw_1,low,9,0.7930464744567871,0.03119194321334362,0.2069534957408905,21.57107162475586,5.593666076660156
pythia-160m,draw_1,low,10,0.7923579812049866,0.028932925313711166,0.20764204859733582,18.566726684570312,4.8403730392456055
pythia-160m,draw_1,low,11,0.8052701354026794,0.019914960488677025,0.19472987949848175,89.2313003540039,21.305299758911133
pythia-160m,draw_1,medium,0,0.5842072367668152,0.019938217476010323,0.4157927334308624,9.332768440246582,6.636259078979492
pythia-160m,draw_1,medium,1,0.5214171409606934,0.04105247184634209,0.47858282923698425,5.419401168823242,4.957572937011719
pythia-160m,draw_1,medium,2,0.6279832720756531,0.026289796456694603,0.3720167577266693,6.353941917419434,3.761686086654663
pythia-160m,draw_1,medium,3,0.44023945927619934,0.021136201918125153,0.5597605109214783,6.347963333129883,8.075382232666016
pythia-160m,draw_1,medium,4,0.44253191351890564,0.026878979057073593,0.5574681162834167,6.817927360534668,8.61361026763916
pythia-160m,draw_1,medium,5,0.5021136999130249,0.04646853357553482,0.4978862702846527,9.9155912399292,9.835867881774902
pythia-160m,draw_1,medium,6,0.550643265247345,0.05353166535496712,0.44935673475265503,11.091721534729004,8.97266674041748
pythia-160m,draw_1,medium,7,0.6510009765625,0.036837369203567505,0.3489989638328552,14.01175594329834,7.416872978210449
pythia-160m,draw_1,medium,8,0.8176394104957581,0.0646665021777153,0.18236057460308075,23.9206600189209,4.9122819900512695
pythia-160m,draw_1,medium,9,0.7918460965156555,0.036363035440444946,0.20815391838550568,21.351449966430664,5.545950412750244
pythia-160m,draw_1,medium,10,0.7994316816329956,0.028534626588225365,0.20056825876235962,19.130664825439453,4.777326583862305
pythia-160m,draw_1,medium,11,0.8078181147575378,0.01704445667564869,0.19218188524246216,92.07766723632812,21.717039108276367
pythia-160m,draw_1,high,0,0.5759827494621277,0.020567618310451508,0.4240172207355499,8.636819839477539,6.354436874389648
pythia-160m,draw_1,high,1,0.5312496423721313,0.038155920803546906,0.46875032782554626,5.305168151855469,4.673395156860352
pythia-160m,draw_1,high,2,0.6327901482582092,0.030591696500778198,0.36720988154411316,6.2996039390563965,3.6517908573150635
pythia-160m,draw_1,high,3,0.43698349595069885,0.02128278836607933,0.5630164742469788,6.185600280761719,7.968079090118408
pythia-160m,draw_1,high,4,0.4432345926761627,0.03293781355023384,0.5567654371261597,6.801792144775391,8.589963912963867
pythia-160m,draw_1,high,5,0.5128647685050964,0.05718519166111946,0.4871352016925812,10.314059257507324,9.668883323669434
pythia-160m,draw_1,high,6,0.5574772357940674,0.05701835826039314,0.442522794008255,10.935551643371582,8.563079833984375
pythia-160m,draw_1,high,7,0.6652050614356995,0.040249116718769073,0.33479490876197815,14.872163772583008,7.353782653808594
pythia-160m,draw_1,high,8,0.8168440461158752,0.06133541837334633,0.18315590918064117,22.700695037841797,4.750608921051025
pythia-160m,draw_1,high,9,0.7965712547302246,0.03325140103697777,0.20342877507209778,21.72702407836914,5.480274677276611
pythia-160m,draw_1,high,10,0.8162163496017456,0.02676425687968731,0.1837836354970932,19.667285919189453,4.401740074157715
pythia-160m,draw_1,high,11,0.8105190992355347,0.016545657068490982,0.1894809603691101,93.88711547851562,21.770780563354492
pythia-160m,draw_1,very_high,0,0.571489691734314,0.019042672589421272,0.42851030826568604,8.072009086608887,6.0556206703186035
pythia-160m,draw_1,very_high,1,0.539556622505188,0.034922145307064056,0.460443377494812,5.2608160972595215,4.476069450378418
pythia-160m,draw_1,very_high,2,0.6404901742935181,0.028584962710738182,0.35950976610183716,6.343163967132568,3.560122013092041
pythia-160m,draw_1,very_high,3,0.44306519627571106,0.02545642852783203,0.5569348335266113,6.144807815551758,7.723482131958008
pythia-160m,draw_1,very_high,4,0.4397018849849701,0.0376318134367466,0.5602981448173523,6.772745609283447,8.693902969360352
pythia-160m,draw_1,very_high,5,0.5111783742904663,0.05635489895939827,0.48882168531417847,10.35549545288086,9.761394500732422
pythia-160m,draw_1,very_high,6,0.5579515695571899,0.05912790074944496,0.44204840064048767,11.087291717529297,8.676582336425781
pythia-160m,draw_1,very_high,7,0.6743012070655823,0.04306156933307648,0.32569876313209534,15.522183418273926,7.336472511291504
pythia-160m,draw_1,very_high,8,0.8180845975875854,0.05743233114480972,0.18191543221473694,21.68659782409668,4.541658878326416
pythia-160m,draw_1,very_high,9,0.7994056344032288,0.039681658148765564,0.20059430599212646,21.87706184387207,5.368309020996094
pythia-160m,draw_1,very_high,10,0.8372055292129517,0.02264150232076645,0.16279450058937073,20.75015640258789,4.00763463973999
pythia-160m,draw_1,very_high,11,0.8133866190910339,0.01737341284751892,0.18661339581012726,95.54036712646484,21.733495712280273
pythia-160m,draw_1,control,0,0.5739656686782837,0.020166222006082535,0.42603442072868347,8.26908016204834,6.137964725494385
pythia-160m,draw_1,control,1,0.5324370265007019,0.03648696839809418,0.46756303310394287,5.235036849975586,4.587265491485596
pythia-160m,draw_1,control,2,0.6381087303161621,0.028688762336969376,0.3618912696838379,6.334547519683838,3.5891757011413574
pythia-160m,draw_1,control,3,0.43861889839172363,0.0227096825838089,0.5613811016082764,6.12846040725708,7.84306001663208
pythia-160m,draw_1,control,4,0.43861687183380127,0.034025512635707855,0.5613831281661987,6.79718542098999,8.758222579956055
pythia-160m,draw_1,control,5,0.5102035999298096,0.05298767238855362,0.4897964596748352,10.121996879577637,9.654031753540039
pythia-160m,draw_1,control,6,0.5575632452964783,0.060068923979997635,0.44243672490119934,10.955709457397461,8.59078311920166
pythia-160m,draw_1,control,7,0.6666725277900696,0.0415135957300663,0.3333275020122528,15.082399368286133,7.381485462188721
pythia-160m,draw_1,control,8,0.8130334615707397,0.05414886027574539,0.18696655333042145,21.51776123046875,4.687055587768555
pythia-160m,draw_1,control,9,0.8009238243103027,0.03515268862247467,0.19907617568969727,21.781755447387695,5.317275524139404
pythia-160m,draw_1,control,10,0.8282425999641418,0.026264509186148643,0.17175737023353577,20.488073348999023,4.2179856300354
pythia-160m,draw_1,control,11,0.8106827735900879,0.016369353979825974,0.18931718170642853,94.36985778808594,21.859418869018555
pythia-160m,draw_2,low,0,0.5934146642684937,0.019805703312158585,0.40658536553382874,9.911301612854004,6.783107757568359
pythia-160m,draw_2,low,1,0.5212883949279785,0.04357045888900757,0.4787116050720215,5.49498176574707,5.01465368270874
pythia-160m,draw_2,low,2,0.620861291885376,0.027746979147195816,0.37913864850997925,6.333609580993652,3.8576784133911133
pythia-160m,draw_2,low,3,0.44973301887512207,0.024808267131447792,0.5502669811248779,6.623867034912109,8.10130786895752
pythia-160m,draw_2,low,4,0.45105746388435364,0.023891020566225052,0.548942506313324,6.956803321838379,8.483060836791992
pythia-160m,draw_2,low,5,0.49381938576698303,0.0334036648273468,0.5061806440353394,9.760537147521973,10.050654411315918
pythia-160m,draw_2,low,6,0.5274820327758789,0.05047111585736275,0.4725179374217987,10.799062728881836,9.64808177947998
pythia-160m,draw_2,low,7,0.6431497931480408,0.0366419218480587,0.35685017704963684,13.6285982131958,7.479881763458252
pythia-160m,draw_2,low,8,0.8254331946372986,0.04879129305481911,0.17456680536270142,24.88791275024414,4.986884117126465
pythia-160m,draw_2,low,9,0.7964373230934143,0.02787434682250023,0.2035626620054245,21.432878494262695,5.455644607543945
pythia-160m,draw_2,low,10,0.7903842329978943,0.028475355356931686,0.20961572229862213,18.472152709960938,4.8778581619262695
pythia-160m,draw_2,low,11,0.8044353127479553,0.017568469047546387,0.19556468725204468,88.45738220214844,21.299943923950195
pythia-160m,draw_2,medium,0,0.5819901823997498,0.02033265307545662,0.41800984740257263,9.278976440429688,6.6600847244262695
pythia-160m,draw_2,medium,1,0.5195842385292053,0.041531916707754135,0.48041579127311707,5.431817531585693,4.997419834136963
pythia-160m,draw_2,medium,2,0.625461995601654,0.02878713607788086,0.37453800439834595,6.337939262390137,3.788975715637207
pythia-160m,draw_2,medium,3,0.4401373267173767,0.02086193487048149,0.5598626732826233,6.362186431884766,8.091876029968262
pythia-160m,draw_2,medium,4,0.4451041519641876,0.028676507994532585,0.5548958778381348,6.815129280090332,8.528965950012207
pythia-160m,draw_2,medium,5,0.5030087232589722,0.04291432723402977,0.4969913065433502,9.811738014221191,9.730996131896973
pythia-160m,draw_2,medium,6,0.5445897579193115,0.04970519244670868,0.45541027188301086,10.83910846710205,9.008512496948242
pythia-160m,draw_2,medium,7,0.6467495560646057,0.036530014127492905,0.3532504737377167,13.92862606048584,7.511155605316162
pythia-160m,draw_2,medium,8,0.8168851733207703,0.059608448296785355,0.18311485648155212,23.9823055267334,5.012701988220215
pythia-160m,draw_2,medium,9,0.7929056882858276,0.03274531662464142,0.20709435641765594,21.252422332763672,5.504845142364502
pythia-160m,draw_2,medium,10,0.7950630784034729,0.02660973183810711,0.2049369364976883,18.795467376708984,4.832528114318848
pythia-160m,draw_2,medium,11,0.8070674538612366,0.016898268833756447,0.19293250143527985,92.77519989013672,21.98233413696289
pythia-160m,draw_2,high,0,0.5761107206344604,0.01817714236676693,0.42388930916786194,8.56543254852295,6.299968719482422
pythia-160m,draw_2,high,1,0.5310459136962891,0.03809577226638794,0.46895405650138855,5.298949718475342,4.669849395751953
pythia-160m,draw_2,high,2,0.631024956703186,0.03127427399158478,0.36897504329681396,6.2960968017578125,3.672093629837036
pythia-160m,draw_2,high,3,0.4364015758037567,0.02231328934431076,0.5635984539985657,6.209814548492432,8.01436996459961
pythia-160m,draw_2,high,4,0.44092366099357605,0.03194799646735191,0.5590763092041016,6.790098667144775,8.656078338623047
pythia-160m,draw_2,high,5,0.5052160024642944,0.04661526903510094,0.49478399753570557,10.000802993774414,9.78698444366455
pythia-160m,draw_2,high,6,0.5563538670539856,0.055811893194913864,0.4436461627483368,10.998323440551758,8.674943923950195
pythia-160m,draw_2,high,7,0.6649837493896484,0.03905368223786354,0.33501628041267395,15.068424224853516,7.448298454284668
pythia-160m,draw_2,high,8,0.8172104358673096,0.05870303884148598,0.18278957903385162,22.92058753967285,4.8171257972717285
pythia-160m,draw_2,high,9,0.797552764415741,0.03346778452396393,0.20244720578193665,21.741350173950195,5.450814723968506
pythia-160m,draw_2,high,10,0.8153275847434998,0.027435405179858208,0.18467244505882263,19.651241302490234,4.435091018676758
pythia-160m,draw_2,high,11,0.8102371692657471,0.015798091888427734,0.18976284563541412,94.10092163085938,21.875967025756836
pythia-160m,draw_2,very_high,0,0.5713701844215393,0.018640922382473946,0.4286297559738159,8.009228706359863,6.009108066558838
pythia-160m,draw_2,very_high,1,0.531488835811615,0.03703100606799126,0.4685111939907074,5.204570293426514,4.581279277801514
pythia-160m,draw_2,very_high,2,0.6404210329055786,0.029568273574113846,0.3595789670944214,6.351660251617432,3.564903736114502
pythia-160m,draw_2,very_high,3,0.4397582411766052,0.02363143302500248,0.5602417588233948,6.150786876678467,7.833728313446045
pythia-160m,draw_2,very_high,4,0.43372368812561035,0.031939323991537094,0.5662762522697449,6.785572528839111,8.910171508789062
pythia-160m,draw_2,very_high,5,0.5054081082344055,0.052817173302173615,0.4945918321609497,10.271659851074219,9.980595588684082
pythia-160m,draw_2,very_high,6,0.5609798431396484,0.05722523108124733,0.43902018666267395,11.241273880004883,8.691460609436035
pythia-160m,draw_2,very_high,7,0.6749647259712219,0.0409402959048748,0.3250351846218109,15.635090827941895,7.374094009399414
pythia-160m,draw_2,very_high,8,0.8184505701065063,0.052946120500564575,0.18154941499233246,21.47532081604004,4.531835079193115
pythia-160m,draw_2,very_high,9,0.8011564016342163,0.03728887066245079,0.19884350895881653,21.92861557006836,5.331128120422363
pythia-160m,draw_2,very_high,10,0.8376879096031189,0.02218995988368988,0.1623120754957199,20.85637664794922,4.0175886154174805
pythia-160m,draw_2,very_high,11,0.8128918409347534,0.017286082729697227,0.187108114361763,95.93700408935547,21.893335342407227
pythia-160m,draw_2,control,0,0.572631299495697,0.02077118121087551,0.427368700504303,8.2374906539917,6.143326759338379
pythia-160m,draw_2,control,1,0.5329375267028809,0.03863964602351189,0.46706244349479675,5.218428611755371,4.559384822845459
pythia-160m,draw_2,control,2,0.6387752294540405,0.03168119490146637,0.36122480034828186,6.351756572723389,3.5869088172912598
pythia-160m,draw_2,control,3,0.44256240129470825,0.02280787006020546,0.5574375987052917,6.20779275894165,7.819071292877197
pythia-160m,draw_2,control,4,0.4387676417827606,0.03428760915994644,0.5612323880195618,6.786732196807861,8.740850448608398
pythia-160m,draw_2,control,5,0.5125154852867126,0.056209467351436615,0.4874844551086426,10.332072257995605,9.730082511901855
pythia-160m,draw_2,control,6,0.5533375144004822,0.05794328823685646,0.44666245579719543,10.829333305358887,8.626694679260254
pythia-160m,draw_2,control,7,0.6644746661186218,0.04305299371480942,0.335525244474411,14.981779098510742,7.410022258758545
pythia-160m,draw_2,control,8,0.8116909265518188,0.05327911302447319,0.18830901384353638,21.535064697265625,4.733791828155518
pythia-160m,draw_2,control,9,0.7994439601898193,0.037474505603313446,0.20055606961250305,21.869977951049805,5.370426654815674
pythia-160m,draw_2,control,10,0.830624520778656,0.026897968724370003,0.1693754345178604,20.668516159057617,4.183382034301758
pythia-160m,draw_2,control,11,0.8125077486038208,0.017595654353499413,0.18749229609966278,95.280517578125,21.780315399169922
pythia-160m,draw_3,low,0,0.5917816758155823,0.021378101781010628,0.40821829438209534,9.799483299255371,6.74885368347168
pythia-160m,draw_3,low,1,0.5206224322319031,0.04649915546178818,0.47937753796577454,5.495818138122559,5.040286540985107
pythia-160m,draw_3,low,2,0.6229720711708069,0.02919904701411724,0.3770279288291931,6.4095540046691895,3.8712971210479736
pythia-160m,draw_3,low,3,0.44744619727134705,0.0216571893543005,0.5525538325309753,6.607553005218506,8.160491943359375
pythia-160m,draw_3,low,4,0.4499024748802185,0.02479342371225357,0.5500975251197815,6.9206671714782715,8.480875968933105
pythia-160m,draw_3,low,5,0.4974667727947235,0.03747342899441719,0.5025332570075989,9.730260848999023,9.884064674377441
pythia-160m,draw_3,low,6,0.5312570929527283,0.046837251633405685,0.46874290704727173,10.65836238861084,9.381921768188477
pythia-160m,draw_3,low,7,0.6422039270401001,0.0322301872074604,0.3577960133552551,13.307469367980957,7.350049018859863
pythia-160m,draw_3,low,8,0.8208836317062378,0.05266819894313812,0.17911632359027863,24.30144500732422,5.004568576812744
pythia-160m,draw_3,low,9,0.796050488948822,0.028537705540657043,0.2039494812488556,21.42587661743164,5.461366176605225
pythia-160m,draw_3,low,10,0.7872342467308044,0.02858835645020008,0.21276573836803436,18.382802963256836,4.952395915985107
pythia-160m,draw_3,low,11,0.8065922260284424,0.018040668219327927,0.1934078186750412,90.42516326904297,21.4741268157959
pythia-160m,draw_3,medium,0,0.5829581618309021,0.01939268223941326,0.4170418083667755,9.278968811035156,6.633730888366699
pythia-160m,draw_3,medium,1,0.523286759853363,0.03778199851512909,0.47671326994895935,5.446673393249512,4.948604106903076
pythia-160m,draw_3,medium,2,0.6313279867172241,0.025614503771066666,0.36867207288742065,6.407087802886963,3.736887216567993
pythia-160m,draw_3,medium,3,0.44126302003860474,0.02028083987534046,0.5587369203567505,6.392175674438477,8.094569206237793
pythia-160m,draw_3,medium,4,0.44470685720443726,0.028261549770832062,0.555293083190918,6.853622913360596,8.586472511291504
pythia-160m,draw_3,medium,5,0.5079162120819092,0.04381759837269783,0.492083877325058,9.987176895141602,9.70007610321045
pythia-160m,draw_3,medium,6,0.5502610206604004,0.05145423859357834,0.4497389793395996,11.100696563720703,9.042085647583008
pythia-160m,draw_3,medium,7,0.6564947962760925,0.03367428109049797,0.3435051739215851,14.231180191040039,7.367798328399658
pythia-160m,draw_3,medium,8,0.8229452967643738,0.057678379118442535,0.1770547479391098,24.348047256469727,4.917967796325684
pythia-160m,draw_3,medium,9,0.7946581840515137,0.03023769147694111,0.20534183084964752,21.55065155029297,5.529585361480713
pythia-160m,draw_3,medium,10,0.7974110841751099,0.026845457032322884,0.20258894562721252,18.98052978515625,4.808526515960693
