model,draw,layer,mean_f_stat,median_f_stat,max_f_stat,n_selective_p001,n_highly_selective_f10,frac_selective
pythia-1b,draw_1,2,6.058857198772305,3.4507084875725678,153.14627062315878,4192,1347,0.51171875
pythia-1b,draw_1,3,6.637205167336973,3.655831997007412,224.52006698248,4371,1547,0.5335693359375
pythia-1b,draw_1,4,6.9433964253254175,4.055345941266033,116.72527799554739,4605,1804,0.5621337890625
pythia-1b,draw_1,5,6.611765221470749,3.895345753418016,126.88013420227033,4554,1579,0.555908203125
pythia-1b,draw_1,6,8.400338237634772,4.674299885350633,200.8946091332732,5013,2135,0.6119384765625
pythia-1b,draw_1,7,7.717972215049565,4.437904952221272,137.13111636120922,4852,2003,0.59228515625
pythia-1b,draw_1,8,7.661176662087823,4.3053267377164826,274.4337540489596,4794,1904,0.585205078125
pythia-1b,draw_1,9,6.397614802077211,3.793216740374097,150.12354350159,4455,1569,0.5438232421875
pythia-1b,draw_1,10,7.428908173612899,4.188426121367286,259.37238322523547,4684,1852,0.57177734375
pythia-1b,draw_1,11,7.522110780356723,4.3046430623642795,157.6001807104926,4796,1907,0.58544921875
pythia-1b,draw_1,12,8.81837726276925,4.9438216616108415,250.7849519221848,5135,2275,0.6268310546875
pythia-1b,draw_1,13,9.360964120038211,5.1072993785517955,187.84756460920835,5242,2374,0.639892578125
pythia-1b,draw_1,14,12.344924295378414,6.561153823614104,188.28707333568408,5696,3035,0.6953125
pythia-1b,draw_1,15,16.645277733634817,8.320113478397227,546.3025851104795,6114,3643,0.746337890625
pythia-1.4b,draw_1,0,58.85332072654265,57.35346709250945,323.6886230484787,8138,7985,0.993408203125
pythia-1.4b,draw_1,1,7.906171601633969,4.060411205721655,475.4336000829768,4658,1863,0.568603515625
pythia-1.4b,draw_1,2,8.132805559571693,4.761095044441035,102.00616483638171,4999,2173,0.6102294921875
pythia-1.4b,draw_1,3,8.009782287300803,3.9998298125056473,556.2284272674824,4632,1723,0.5654296875
pythia-1.4b,draw_1,4,6.92296973444736,3.8957789734539836,175.83290066199754,4531,1707,0.5531005859375
pythia-1.4b,draw_1,5,7.850061322899535,4.3200375490267415,185.05515395049963,4783,2019,0.5838623046875
pythia-1.4b,draw_1,6,6.897831422878508,3.8641017963463664,121.67770185884368,4544,1711,0.5546875
pythia-1.4b,draw_1,7,8.033291557043096,4.502723721202558,128.68321359470443,4888,2054,0.5966796875
pythia-1.4b,draw_1,8,7.516534430486679,4.293069691278845,87.60532231427523,4780,1936,0.58349609375
pythia-1.4b,draw_1,9,7.862223533218839,4.332459378265305,357.54051944138183,4806,1981,0.586669921875
pythia-1.4b,draw_1,10,7.382046996731386,4.068680317711741,224.86720382133743,4700,1846,0.57373046875
pythia-1.4b,draw_1,11,7.188695869376863,4.080115181190729,159.24420515809769,4630,1844,0.565185546875
pythia-1.4b,draw_1,12,8.135694501692008,4.560105151063123,258.03218696165413,4909,2098,0.5992431640625
pythia-1.4b,draw_1,13,8.424735235845475,4.7989141956214105,171.19149374432342,5083,2200,0.6204833984375
pythia-1.4b,draw_1,14,8.715817557269482,4.777522405544715,221.1162993750458,5031,2245,0.6141357421875
pythia-1.4b,draw_1,15,9.453203981629528,5.184792906845178,160.95284741982218,5206,2463,0.635498046875
pythia-1.4b,draw_1,16,10.797777945867914,5.759575176403498,207.51891456400747,5374,2771,0.656005859375
pythia-1.4b,draw_1,17,11.409606812252022,6.165388482547572,147.76893899832393,5571,2941,0.6800537109375
pythia-1.4b,draw_1,18,11.538154038410319,6.576593790701416,199.48968130274116,5707,3020,0.6966552734375
pythia-1.4b,draw_1,19,12.246442759051941,6.678231428035475,154.11420942272912,5843,3077,0.7132568359375
pythia-1.4b,draw_1,20,13.805265511935723,7.4680608725404865,170.33925456004042,6066,3386,0.740478515625
pythia-1.4b,draw_1,21,14.666495335108818,7.558370624092412,312.57444145858983,5982,3406,0.730224609375
pythia-1.4b,draw_1,22,16.676057105169686,8.565653476815502,311.8141376492573,6262,3736,0.764404296875
pythia-1.4b,draw_1,23,21.86227773059939,11.115581637824777,509.87728799486274,6611,4316,0.8070068359375
