model,band,draw,layer,head,base_induction_score,circuit_induction_score,delta_induction,in_base_induction,in_circuit_induction
pythia-160m,control,draw_1,6,10,0.1786615401506424,0.17595544457435608,-0.002706095576286316,True,True
pythia-160m,control,draw_1,1,10,0.6213967800140381,0.6180676221847534,-0.003329157829284668,True,True
pythia-160m,control,draw_1,1,6,0.4766046106815338,0.4750293791294098,-0.0015752315521240234,True,True
pythia-160m,control,draw_2,0,7,0.8163211941719055,0.8163211941719055,0.0,True,True
pythia-160m,control,draw_2,3,3,0.3835490643978119,0.38894185423851013,0.005392789840698242,True,True
pythia-160m,control,draw_2,6,10,0.1791626363992691,0.17702138423919678,-0.0021412521600723267,True,True
pythia-160m,control,draw_2,1,10,0.6162479519844055,0.6164737343788147,0.0002257823944091797,True,True
pythia-160m,control,draw_2,1,6,0.4696662127971649,0.4699762761592865,0.00031006336212158203,True,True
pythia-160m,control,draw_3,0,7,0.8201608657836914,0.8201608657836914,0.0,True,True
pythia-160m,control,draw_3,3,3,0.39573243260383606,0.42273831367492676,0.027005881071090698,True,True
pythia-160m,control,draw_3,6,10,0.16043107211589813,0.15704619884490967,-0.0033848732709884644,True,True
pythia-160m,control,draw_3,1,10,0.6019685864448547,0.5999668836593628,-0.0020017027854919434,True,True
pythia-160m,control,draw_3,1,6,0.4640611410140991,0.46462157368659973,0.0005604326725006104,True,True
pythia-410m,low,draw_1,9,9,0.34482091665267944,0.33594462275505066,-0.008876293897628784,True,True
pythia-410m,low,draw_1,2,10,0.5968383550643921,0.5960165858268738,-0.0008217692375183105,True,True
pythia-410m,low,draw_1,7,0,0.3839828073978424,0.395548015832901,0.011565208435058594,True,True
pythia-410m,low,draw_1,1,4,0.6049420833587646,0.6055406332015991,0.0005985498428344727,True,True
pythia-410m,low,draw_1,9,8,0.6984440088272095,0.6853041052818298,-0.013139903545379639,True,True
pythia-410m,low,draw_1,0,5,0.6863580942153931,0.6863580942153931,0.0,True,True
pythia-410m,low,draw_1,6,0,0.9444306492805481,0.9540424346923828,0.009611785411834717,True,True
pythia-410m,low,draw_1,7,8,0.8790701031684875,0.8784208297729492,-0.0006492733955383301,True,True
pythia-410m,low,draw_2,9,9,0.32547247409820557,0.33385926485061646,0.008386790752410889,True,True
pythia-410m,low,draw_2,2,10,0.6065190434455872,0.6076193451881409,0.001100301742553711,True,True
pythia-410m,low,draw_2,7,0,0.39853695034980774,0.4013954699039459,0.0028585195541381836,True,True
pythia-410m,low,draw_2,1,4,0.6069368720054626,0.6094849705696106,0.0025480985641479492,True,True
pythia-410m,low,draw_2,9,8,0.7212121486663818,0.7053102850914001,-0.01590186357498169,True,True
pythia-410m,low,draw_2,0,5,0.6993426084518433,0.6993426084518433,0.0,True,True
pythia-410m,low,draw_2,6,0,0.9456074833869934,0.9552320837974548,0.009624600410461426,True,True
pythia-410m,low,draw_2,7,8,0.8676251769065857,0.8812280297279358,0.013602852821350098,True,True
pythia-410m,low,draw_3,9,9,0.3201000988483429,0.3147696256637573,-0.005330473184585571,True,True
pythia-410m,low,draw_3,2,10,0.5943185687065125,0.5998216271400452,0.005503058433532715,True,True
pythia-410m,low,draw_3,7,0,0.38838937878608704,0.3868030607700348,-0.001586318016052246,True,True
pythia-410m,low,draw_3,1,4,0.5944478511810303,0.6003979444503784,0.0059500932693481445,True,True
pythia-410m,low,draw_3,9,8,0.7078371047973633,0.7018319964408875,-0.00600510835647583,True,True
pythia-410m,low,draw_3,0,5,0.7102344036102295,0.7102344036102295,0.0,True,True
pythia-410m,low,draw_3,6,0,0.9486747980117798,0.9573168158531189,0.008642017841339111,True,True
pythia-410m,low,draw_3,7,8,0.8787902593612671,0.8845041394233704,0.0057138800621032715,True,True
pythia-410m,medium,draw_1,9,9,0.31424057483673096,0.3063065707683563,-0.007934004068374634,True,True
pythia-410m,medium,draw_1,2,10,0.5913891792297363,0.5920718908309937,0.0006827116012573242,True,True
