model,draw,band,layer,head,entropy_mean,entropy_std,entropy_median
pythia-1b,draw_1,high,13,4,3.0607025623321533,0.5471364855766296,3.130681037902832
pythia-1b,draw_1,high,13,5,1.3168624639511108,0.34023576974868774,1.25713050365448
pythia-1b,draw_1,high,13,6,3.090656042098999,0.4717028737068176,3.132807493209839
pythia-1b,draw_1,high,13,7,2.4026644229888916,0.6083969473838806,2.382451295852661
pythia-1b,draw_1,high,14,0,3.2677314281463623,0.48258331418037415,3.352167844772339
pythia-1b,draw_1,high,14,1,3.2236292362213135,0.46408382058143616,3.2726454734802246
pythia-1b,draw_1,high,14,2,1.634748101234436,0.7903189063072205,1.5371177196502686
pythia-1b,draw_1,high,14,3,3.2203726768493652,0.5471020340919495,3.349094867706299
pythia-1b,draw_1,high,14,4,3.7893853187561035,0.23029857873916626,3.8252382278442383
pythia-1b,draw_1,high,14,5,2.9341037273406982,0.45654118061065674,2.970989227294922
pythia-1b,draw_1,high,14,6,2.8496298789978027,0.7462198734283447,3.053065776824951
pythia-1b,draw_1,high,14,7,2.5418221950531006,0.47652626037597656,2.587920665740967
pythia-1b,draw_1,high,15,0,1.8079744577407837,0.5819391012191772,1.7813715934753418
pythia-1b,draw_1,high,15,1,2.596614122390747,0.8030409216880798,2.691089391708374
pythia-1b,draw_1,high,15,2,3.4845025539398193,0.4437297582626343,3.5776374340057373
pythia-1b,draw_1,high,15,3,3.2891616821289062,0.3618341088294983,3.351140022277832
pythia-1b,draw_1,high,15,4,2.6507346630096436,0.49096837639808655,2.68365216255188
pythia-1b,draw_1,high,15,5,2.622875690460205,0.5972175002098083,2.6741116046905518
pythia-1b,draw_1,high,15,6,3.409550428390503,0.2395259141921997,3.439927816390991
pythia-1b,draw_1,high,15,7,2.859304904937744,0.5351147651672363,2.9288783073425293
pythia-1b,draw_1,very_high,0,0,3.8573267459869385,0.0325922966003418,3.8547134399414062
pythia-1b,draw_1,very_high,0,1,3.70648455619812,0.33551427721977234,3.777045249938965
pythia-1b,draw_1,very_high,0,2,0.007066095247864723,0.0036898108664900064,0.00591154582798481
pythia-1b,draw_1,very_high,0,3,3.3176708221435547,0.5144978761672974,3.4748244285583496
pythia-1b,draw_1,very_high,0,4,4.16644287109375,0.10071752965450287,4.189202308654785
pythia-1b,draw_1,very_high,0,5,4.049262523651123,0.17271500825881958,4.104730606079102
pythia-1b,draw_1,very_high,0,6,2.413723945617676,0.25509700179100037,2.4360005855560303
pythia-1b,draw_1,very_high,0,7,2.6986522674560547,0.6941134333610535,2.7808752059936523
pythia-1b,draw_1,very_high,1,0,2.3465065956115723,0.4573243260383606,2.355714797973633
pythia-1b,draw_1,very_high,1,1,3.8678619861602783,0.12213428318500519,3.8755247592926025
pythia-1b,draw_1,very_high,1,2,1.808805227279663,0.5884864926338196,1.7078077793121338
pythia-1b,draw_1,very_high,1,3,1.8992160558700562,0.27406784892082214,1.8911480903625488
pythia-1b,draw_1,very_high,1,4,0.8817471265792847,0.38192641735076904,0.8505290746688843
pythia-1b,draw_1,very_high,1,5,3.984312057495117,0.2913030683994293,4.052799701690674
pythia-1b,draw_1,very_high,1,6,3.6787109375,0.06037573143839836,3.67714786529541
pythia-1b,draw_1,very_high,1,7,1.2321248054504395,0.237786203622818,1.2263152599334717
pythia-1b,draw_1,very_high,2,0,3.5047173500061035,0.3456932008266449,3.530442714691162
pythia-1b,draw_1,very_high,2,1,2.3527302742004395,0.30963918566703796,2.3572661876678467
pythia-1b,draw_1,very_high,2,2,3.5737690925598145,0.2831495404243469,3.607616901397705
pythia-1b,draw_1,very_high,2,3,2.273803234100342,0.2072843611240387,2.2822728157043457
pythia-1b,draw_1,very_high,2,4,3.989833354949951,0.21741518378257751,4.031816005706787
