model,draw,test_band,source_level_acc_zero,n_hooks,n_circuit_edges,edge_level_acc_zero,diff_zero
pythia-160m,draw_2,medium,0.8888888888888888,12,723,0.0,0.8888888888888888
pythia-160m,draw_2,high,0.88,12,723,0.0,0.88
pythia-160m,draw_2,very_high,0.8266666666666667,12,723,0.0,0.8266666666666667
pythia-160m,draw_2,control,0.8933333333333333,12,723,0.0044444444444444444,0.8888888888888888
pythia-160m,draw_3,low,0.9288888888888889,12,723,0.0,0.9288888888888889
pythia-160m,draw_3,medium,0.9288888888888889,12,723,0.008888888888888889,0.92
pythia-160m,draw_3,high,0.9422222222222222,12,723,0.0044444444444444444,0.9377777777777777
pythia-160m,draw_3,very_high,0.92,12,723,0.013333333333333334,0.9066666666666667
pythia-160m,draw_3,control,0.9066666666666666,12,723,0.0044444444444444444,0.9022222222222221
pythia-410m,draw_1,low,0.21333333333333335,22,1283,0.0,0.21333333333333335
pythia-410m,draw_1,medium,0.26666666666666666,22,1283,0.0,0.26666666666666666
pythia-410m,draw_1,high,0.3377777777777778,22,1283,0.0,0.3377777777777778
pythia-410m,draw_1,very_high,0.5688888888888889,22,1283,0.0,0.5688888888888889
pythia-410m,draw_1,control,0.5377777777777778,22,1283,0.0,0.5377777777777778
pythia-410m,draw_2,low,0.20444444444444446,22,1301,0.0,0.20444444444444446
pythia-410m,draw_2,medium,0.23555555555555555,22,1301,0.0,0.23555555555555555
pythia-410m,draw_2,high,0.3511111111111111,22,1301,0.0,0.3511111111111111
pythia-410m,draw_2,very_high,0.4444444444444444,22,1301,0.0,0.4444444444444444
pythia-410m,draw_2,control,0.40444444444444444,22,1301,0.0,0.40444444444444444
pythia-410m,draw_3,low,0.19111111111111112,24,1324,0.0,0.19111111111111112
pythia-410m,draw_3,medium,0.2577777777777778,24,1324,0.0,0.2577777777777778
pythia-410m,draw_3,high,0.3688888888888889,24,1324,0.0,0.3688888888888889
pythia-410m,draw_3,very_high,0.4577777777777778,24,1324,0.0,0.4577777777777778
pythia-410m,draw_3,control,0.40444444444444444,24,1324,0.0,0.40444444444444444
pythia-1b,draw_1,low,0.76,16,348,0.0,0.76
pythia-1b,draw_1,medium,0.9066666666666666,16,348,0.0,0.9066666666666666
pythia-1b,draw_1,high,0.9377777777777778,16,348,0.0,0.9377777777777778
pythia-1b,draw_1,very_high,0.9733333333333334,16,348,0.0,0.9733333333333334
pythia-1b,draw_1,control,0.9688888888888889,16,348,0.0,0.9688888888888889
pythia-1b,draw_2,low,0.6444444444444445,16,356,0.0,0.6444444444444445
pythia-1b,draw_2,medium,0.8355555555555556,16,356,0.0,0.8355555555555556
pythia-1b,draw_2,high,0.9066666666666666,16,356,0.0,0.9066666666666666
pythia-1b,draw_2,very_high,0.9022222222222223,16,356,0.0,0.9022222222222223
pythia-1b,draw_2,control,0.9288888888888889,16,356,0.0,0.9288888888888889
pythia-1b,draw_3,low,0.48444444444444446,16,364,0.0,0.48444444444444446
pythia-1b,draw_3,medium,0.6133333333333333,16,364,0.0,0.6133333333333333
pythia-1b,draw_3,high,0.68,16,364,0.0,0.68
pythia-1b,draw_3,very_high,0.7511111111111111,16,364,0.0,0.7511111111111111
pythia-1b,draw_3,control,0.7777777777777778,16,364,0.0,0.7777777777777778
pythia-1.4b,draw_1,low,0.8844444444444445,24,625,0.0,0.8844444444444445
pythia-1.4b,draw_1,medium,0.96,24,625,0.0,0.96
pythia-1.4b,draw_1,high,0.9466666666666667,24,625,0.0,0.9466666666666667
pythia-1.4b,draw_1,very_high,0.92,24,625,0.0,0.92
pythia-1.4b,draw_1,control,0.9333333333333333,24,625,0.0,0.9333333333333333
pythia-1.4b,draw_2,low,0.7244444444444444,24,616,0.0,0.7244444444444444
pythia-1.4b,draw_2,medium,0.8355555555555556,24,616,0.0,0.8355555555555556
pythia-1.4b,draw_2,high,0.8977777777777778,24,616,0.0,0.8977777777777778
pythia-1.4b,draw_2,very_high,0.8088888888888889,24,616,0.0,0.8088888888888889
pythia-1.4b,draw_2,control,0.8577777777777778,24,616,0.0,0.8577777777777778
pythia-1.4b,draw_3,low,0.6533333333333333,24,619,0.0,0.6533333333333333
pythia-1.4b,draw_3,medium,0.8,24,619,0.0,0.8
pythia-1.4b,draw_3,high,0.8133333333333334,24,619,0.0,0.8133333333333334
pythia-1.4b,draw_3,very_high,0.8,24,619,0.0,0.8
pythia-1.4b,draw_3,control,0.7377777777777778,24,619,0.0,0.7377777777777778
