model,draw,test_band,k_sample,n_edges,accuracy,top5_accuracy,mean_correct_prob
pythia-70m,draw_2,low,4,229,0.0,0.0044444444444444444,0.00011653916946318473
pythia-70m,draw_2,medium,4,229,0.0,0.0,6.82021778338609e-05
pythia-70m,draw_2,high,4,229,0.0,0.0,0.00011835772629722561
pythia-70m,draw_2,very_high,4,229,0.0,0.0,0.00032297549052560254
pythia-70m,draw_2,control,4,229,0.0,0.0044444444444444444,0.00022453791750740243
pythia-70m,draw_2,low,5,229,0.0,0.0044444444444444444,0.00011196870501291852
pythia-70m,draw_2,medium,5,229,0.0,0.0,6.916776810796301e-05
pythia-70m,draw_2,high,5,229,0.0,0.0,0.00013665058827479567
pythia-70m,draw_2,very_high,5,229,0.0,0.0,0.0003067090118294797
pythia-70m,draw_2,control,5,229,0.0044444444444444444,0.0044444444444444444,0.00027490835448564356
pythia-70m,draw_3,low,1,226,0.0,0.0,2.009742018288241e-05
pythia-70m,draw_3,medium,1,226,0.0,0.0,8.428492217255205e-05
pythia-70m,draw_3,high,1,226,0.0,0.0,0.00012365130522149295
pythia-70m,draw_3,very_high,1,226,0.0,0.0044444444444444444,0.00043107258179158784
pythia-70m,draw_3,control,1,226,0.0,0.0,0.00023523977853872995
pythia-70m,draw_3,low,2,226,0.0,0.0,1.9928486494476722e-05
pythia-70m,draw_3,medium,2,226,0.0,0.0,8.363279594112329e-05
pythia-70m,draw_3,high,2,226,0.0,0.0,0.00012025495721573348
pythia-70m,draw_3,very_high,2,226,0.0,0.0044444444444444444,0.00043060112387894364
pythia-70m,draw_3,control,2,226,0.0,0.0,0.00023547767912164927
pythia-70m,draw_3,low,3,226,0.0,0.0,1.8933177720850802e-05
pythia-70m,draw_3,medium,3,226,0.0,0.0,7.582550437656913e-05
pythia-70m,draw_3,high,3,226,0.0,0.0,0.00014093733202675374
pythia-70m,draw_3,very_high,3,226,0.0,0.0044444444444444444,0.0004046597731559396
pythia-70m,draw_3,control,3,226,0.0,0.0,0.0002526161645912437
pythia-70m,draw_3,low,4,226,0.0,0.0,2.040269195476865e-05
pythia-70m,draw_3,medium,4,226,0.0,0.0044444444444444444,0.00010517828810645829
pythia-70m,draw_3,high,4,226,0.0,0.0,0.00014931345361677827
pythia-70m,draw_3,very_high,4,226,0.0,0.0044444444444444444,0.00044951285771362636
pythia-70m,draw_3,control,4,226,0.0,0.0,0.00025743488219374754
pythia-70m,draw_3,low,5,226,0.0,0.0,1.9972305894764286e-05
pythia-70m,draw_3,medium,5,226,0.0,0.0,7.884172670017916e-05
pythia-70m,draw_3,high,5,226,0.0,0.0,0.00011593818762354275
pythia-70m,draw_3,very_high,5,226,0.0,0.0044444444444444444,0.0004164731268094421
pythia-70m,draw_3,control,5,226,0.0,0.0,0.00023004948999472437
pythia-160m,draw_1,low,1,1642,0.0,0.0,3.274501755562061e-05
pythia-160m,draw_1,medium,1,1642,0.0,0.0,6.710785665859476e-05
pythia-160m,draw_1,high,1,1642,0.0,0.0,0.0003127726505540017
pythia-160m,draw_1,very_high,1,1642,0.0,0.017777777777777778,0.0008738497815723178
pythia-160m,draw_1,control,1,1642,0.0,0.0,0.0003667433002533787
pythia-160m,draw_1,low,2,1642,0.0,0.0,3.325479406977176e-05
pythia-160m,draw_1,medium,2,1642,0.0,0.0,6.864683572378757e-05
pythia-160m,draw_1,high,2,1642,0.0,0.0044444444444444444,0.0003173942336694482
pythia-160m,draw_1,very_high,2,1642,0.0044444444444444444,0.013333333333333334,0.0008875832351152171
pythia-160m,draw_1,control,2,1642,0.0,0.0,0.00037022897369234264
pythia-160m,draw_1,low,3,1642,0.0,0.0,3.344052093595846e-05
pythia-160m,draw_1,medium,3,1642,0.0,0.0,6.86269400866182e-05
pythia-160m,draw_1,high,3,1642,0.0,0.0,0.0003165748346395958
pythia-160m,draw_1,very_high,3,1642,0.0,0.013333333333333334,0.0008812031234040063
pythia-160m,draw_1,control,3,1642,0.0,0.0,0.0003656767399314099
pythia-160m,draw_1,low,4,1642,0.0,0.0,3.4306659196319505e-05
pythia-160m,draw_1,medium,4,1642,0.0,0.0,7.20712917722229e-05
pythia-160m,draw_1,high,4,1642,0.0,0.0,0.00031323621712696576
pythia-160m,draw_1,very_high,4,1642,0.0044444444444444444,0.017777777777777778,0.0008759388883142252
pythia-160m,draw_1,control,4,1642,0.0,0.0,0.0003826573166812055
pythia-160m,draw_1,low,5,1642,0.0,0.0,3.331861861582692e-05
pythia-160m,draw_1,medium,5,1642,0.0,0.0,6.842108112430702e-05
pythia-160m,draw_1,high,5,1642,0.0,0.0,0.0003125389447000594
pythia-160m,draw_1,very_high,5,1642,0.0,0.013333333333333334,0.0008824819568308663
pythia-160m,draw_1,control,5,1642,0.0,0.0,0.00037094492713789706
pythia-160m,draw_2,low,1,1672,0.0,0.0,4.4743805531260884e-05
pythia-160m,draw_2,medium,1,1672,0.0,0.0,9.948917349397056e-05
pythia-160m,draw_2,high,1,1672,0.0,0.0044444444444444444,0.00032583788572082995
pythia-160m,draw_2,very_high,1,1672,0.0,0.013333333333333334,0.0008927302082383903
pythia-160m,draw_2,control,1,1672,0.0,0.0,0.0003807167749394264
pythia-160m,draw_2,low,2,1672,0.0,0.0,4.4718205349707e-05
pythia-160m,draw_2,medium,2,1672,0.0,0.0,9.909297817027134e-05
pythia-160m,draw_2,high,2,1672,0.0,0.0044444444444444444,0.00033199567924131973
pythia-160m,draw_2,very_high,2,1672,0.0,0.013333333333333334,0.0009057032628728242
pythia-160m,draw_2,control,2,1672,0.0,0.0,0.0003779688046587479
pythia-160m,draw_2,low,3,1672,0.0,0.0,4.47552752516837e-05
pythia-160m,draw_2,medium,3,1672,0.0,0.0,0.00010004239564523232
pythia-160m,draw_2,high,3,1672,0.0,0.0044444444444444444,0.00032530642554522474
pythia-160m,draw_2,very_high,3,1672,0.0,0.013333333333333334,0.0008972901478187446
pythia-160m,draw_2,control,3,1672,0.0,0.0,0.00038175465147345574
pythia-160m,draw_2,low,4,1672,0.0,0.0,4.83094613793532e-05
pythia-160m,draw_2,medium,4,1672,0.0,0.0,0.00010948474276688103
pythia-160m,draw_2,high,4,1672,0.0,0.0,0.0002634465723031099
pythia-160m,draw_2,very_high,4,1672,0.0,0.0044444444444444444,0.0007962501197491495
pythia-160m,draw_2,control,4,1672,0.0,0.0,0.0003832668879254521
pythia-160m,draw_2,low,5,1672,0.0,0.0,4.473465580278773e-05
pythia-160m,draw_2,medium,5,1672,0.0,0.0,0.00010031847259344633
pythia-160m,draw_2,high,5,1672,0.0,0.0044444444444444444,0.00032849420264230704
pythia-160m,draw_2,very_high,5,1672,0.0,0.013333333333333334,0.0008931258193671156
pythia-160m,draw_2,control,5,1672,0.0,0.0,0.0003816411078435067
pythia-160m,draw_3,low,1,1538,0.0,0.0,4.805749792909511e-05
pythia-160m,draw_3,medium,1,1538,0.0,0.0,9.05973087841024e-05
pythia-160m,draw_3,high,1,1538,0.0044444444444444444,0.0044444444444444444,0.00037762210287812397
pythia-160m,draw_3,very_high,1,1538,0.0,0.0,0.0006126003956008693
pythia-160m,draw_3,control,1,1538,0.0,0.0,0.0004360350359456788
pythia-160m,draw_3,low,2,1538,0.0,0.0,4.7776719747313715e-05
pythia-160m,draw_3,medium,2,1538,0.0,0.0,9.079754700097611e-05
pythia-160m,draw_3,high,2,1538,0.0,0.0044444444444444444,0.00037470857794207605
pythia-160m,draw_3,very_high,2,1538,0.0,0.0,0.0006068918642257712
pythia-160m,draw_3,control,2,1538,0.0,0.0,0.0004333660535654518
pythia-160m,draw_3,low,3,1538,0.0,0.0,4.875667404993085e-05
pythia-160m,draw_3,medium,3,1538,0.0,0.0,9.181043160828671e-05
pythia-160m,draw_3,high,3,1538,0.0044444444444444444,0.0044444444444444444,0.0004012120276103006
pythia-160m,draw_3,very_high,3,1538,0.0,0.0,0.0006166696349540265
pythia-160m,draw_3,control,3,1538,0.0,0.0,0.00043501491592198567
pythia-160m,draw_3,low,4,1538,0.0,0.0,4.806769789588038e-05
pythia-160m,draw_3,medium,4,1538,0.0,0.0,9.069948668638972e-05
pythia-160m,draw_3,high,4,1538,0.0044444444444444444,0.0044444444444444444,0.00037760522803283593
pythia-160m,draw_3,very_high,4,1538,0.0,0.0,0.0006125017312888304
pythia-160m,draw_3,control,4,1538,0.0,0.0,0.00043652099438708724
pythia-160m,draw_3,low,5,1538,0.0,0.0,4.700654168658502e-05
pythia-160m,draw_3,medium,5,1538,0.0,0.0,9.313433819493689e-05
pythia-160m,draw_3,high,5,1538,0.0044444444444444444,0.0044444444444444444,0.00037981349749164413
pythia-160m,draw_3,very_high,5,1538,0.0,0.0,0.0005982448886313957
pythia-160m,draw_3,control,5,1538,0.0,0.0,0.0004235945344438126
pythia-410m,draw_1,low,1,5907,0.0,0.0,8.477741228312476e-05
pythia-410m,draw_1,medium,1,5907,0.0,0.0,0.0001646927457950811
pythia-410m,draw_1,high,1,5907,0.0,0.008888888888888889,0.0005521555339176211
pythia-410m,draw_1,very_high,1,5907,0.0,0.013333333333333334,0.0013979391415058571
pythia-410m,draw_1,control,1,5907,0.0,0.0,0.0007521906605350321
pythia-410m,draw_1,low,2,5907,0.0,0.0,8.485408329483511e-05
pythia-410m,draw_1,medium,2,5907,0.0,0.0,0.00016442040947592002
pythia-410m,draw_1,high,2,5907,0.0,0.008888888888888889,0.0005523348578413431
pythia-410m,draw_1,very_high,2,5907,0.0,0.013333333333333334,0.001399248720952326
pythia-410m,draw_1,control,2,5907,0.0,0.0,0.0007533500389568972
pythia-410m,draw_1,low,3,5907,0.0,0.0,8.483073447779235e-05
pythia-410m,draw_1,medium,3,5907,0.0,0.0,0.00016432338733567224
pythia-410m,draw_1,high,3,5907,0.0,0.008888888888888889,0.0005523707576334876
pythia-410m,draw_1,very_high,3,5907,0.0,0.013333333333333334,0.0013986386296811462
pythia-410m,draw_1,control,3,5907,0.0,0.0,0.0007524545666572319
pythia-410m,draw_1,low,4,5907,0.0,0.0,8.482766943340418e-05
pythia-410m,draw_1,medium,4,5907,0.0,0.0,0.00016438301521156341
pythia-410m,draw_1,high,4,5907,0.0,0.008888888888888889,0.00055243440802118
pythia-410m,draw_1,very_high,4,5907,0.0,0.013333333333333334,0.0013991067232806624
pythia-410m,draw_1,control,4,5907,0.0,0.0,0.000752756717521
pythia-410m,draw_1,low,5,5907,0.0,0.0,8.475745637851004e-05
pythia-410m,draw_1,medium,5,5907,0.0,0.0,0.00016432757243147004
pythia-410m,draw_1,high,5,5907,0.0,0.008888888888888889,0.0005520595294224664
pythia-410m,draw_1,very_high,5,5907,0.0,0.013333333333333334,0.0013992190007492253
pythia-410m,draw_1,control,5,5907,0.0,0.0,0.0007527685528409873
pythia-410m,draw_2,low,1,5897,0.0,0.0,8.170761894840931e-05
pythia-410m,draw_2,medium,1,5897,0.0044444444444444444,0.0044444444444444444,0.00029719539588187317
pythia-410m,draw_2,high,1,5897,0.0,0.0,0.0004998345239043071
pythia-410m,draw_2,very_high,1,5897,0.0,0.02666666666666667,0.0015177484204448573
pythia-410m,draw_2,control,1,5897,0.0044444444444444444,0.0044444444444444444,0.0008717915683458462
pythia-410m,draw_2,low,2,5897,0.0,0.0,8.145913595550761e-05
pythia-410m,draw_2,medium,2,5897,0.0044444444444444444,0.0044444444444444444,0.00029597063605314765
pythia-410m,draw_2,high,2,5897,0.0,0.0,0.0005033008071920145
pythia-410m,draw_2,very_high,2,5897,0.0,0.02666666666666667,0.0015108947355111013
pythia-410m,draw_2,control,2,5897,0.0044444444444444444,0.0044444444444444444,0.0008722374050305208
pythia-410m,draw_2,low,3,5897,0.0,0.0,8.116993753598459e-05
pythia-410m,draw_2,medium,3,5897,0.0044444444444444444,0.0044444444444444444,0.0002937258715809637
pythia-410m,draw_2,high,3,5897,0.0,0.0,0.0005038583336641346
pythia-410m,draw_2,very_high,3,5897,0.0,0.022222222222222223,0.001497447887053972
pythia-410m,draw_2,control,3,5897,0.0044444444444444444,0.0044444444444444444,0.0008735635586112443
pythia-410m,draw_2,low,4,5897,0.0,0.0,8.146270660543248e-05
pythia-410m,draw_2,medium,4,5897,0.0044444444444444444,0.0044444444444444444,0.0002969141721636801
pythia-410m,draw_2,high,4,5897,0.0,0.0,0.0005031420036094561
pythia-410m,draw_2,very_high,4,5897,0.0,0.02666666666666667,0.0015110994620206636
pythia-410m,draw_2,control,4,5897,0.0044444444444444444,0.0044444444444444444,0.0008716980900701148
pythia-410m,draw_2,low,5,5897,0.0,0.0,8.113343347253654e-05
pythia-410m,draw_2,medium,5,5897,0.0044444444444444444,0.0044444444444444444,0.0002978959351625892
pythia-410m,draw_2,high,5,5897,0.0,0.0,0.0004976528899856526
pythia-410m,draw_2,very_high,5,5897,0.0,0.022222222222222223,0.0015135003674529596
pythia-410m,draw_2,control,5,5897,0.0044444444444444444,0.0044444444444444444,0.000864667385687628
pythia-410m,draw_3,low,1,5900,0.0,0.0,0.00010027835981105682
pythia-410m,draw_3,medium,1,5900,0.0,0.0,0.0001763600395320787
pythia-410m,draw_3,high,1,5900,0.0,0.0,0.0004929850431350739
pythia-410m,draw_3,very_high,1,5900,0.0,0.013333333333333334,0.0013072942384314955
pythia-410m,draw_3,control,1,5900,0.0,0.0,0.0008336342494716418
pythia-410m,draw_3,low,2,5900,0.0,0.0,0.0001000960878950726
pythia-410m,draw_3,medium,2,5900,0.0,0.0,0.0001760518803780542
pythia-410m,draw_3,high,2,5900,0.0,0.0,0.0004939091172935959
pythia-410m,draw_3,very_high,2,5900,0.0,0.013333333333333334,0.001305732991766288
pythia-410m,draw_3,control,2,5900,0.0,0.0,0.0008313178773043243
pythia-410m,draw_3,low,3,5900,0.0,0.0,9.499899083564856e-05
pythia-410m,draw_3,medium,3,5900,0.0,0.0,0.00017405781677148804
pythia-410m,draw_3,high,3,5900,0.0,0.0,0.0004903446816650911
pythia-410m,draw_3,very_high,3,5900,0.0,0.013333333333333334,0.0013375541113196554
pythia-410m,draw_3,control,3,5900,0.0,0.0,0.0008331218762694132
pythia-410m,draw_3,low,4,5900,0.0,0.0,0.00010027216107652571
pythia-410m,draw_3,medium,4,5900,0.0,0.0,0.00017634201475377469
pythia-410m,draw_3,high,4,5900,0.0,0.0,0.0004929545949380554
pythia-410m,draw_3,very_high,4,5900,0.0,0.013333333333333334,0.0013070912062863095
pythia-410m,draw_3,control,4,5900,0.0,0.0,0.0008333203679409154
pythia-410m,draw_3,low,5,5900,0.0,0.0,0.00010021512467211046
pythia-410m,draw_3,medium,5,5900,0.0,0.0,0.0001764005323176813
pythia-410m,draw_3,high,5,5900,0.0,0.0,0.0004929976718631223
pythia-410m,draw_3,very_high,5,5900,0.0,0.013333333333333334,0.0013066590591309553
pythia-410m,draw_3,control,5,5900,0.0,0.0,0.0008333434925344187
pythia-1b,draw_1,low,1,1402,0.0,0.0,6.741310967302954e-05
pythia-1b,draw_1,medium,1,1402,0.0,0.0,0.0001313417017658796
pythia-1b,draw_1,high,1,1402,0.0,0.0,0.0004320547638762188
pythia-1b,draw_1,very_high,1,1402,0.0,0.008888888888888889,0.0009754435441411463
pythia-1b,draw_1,control,1,1402,0.0,0.0,0.0005217925044111224
pythia-1b,draw_1,low,2,1402,0.0,0.0,6.717194415017502e-05
pythia-1b,draw_1,medium,2,1402,0.0,0.0,0.00013088451151121362
pythia-1b,draw_1,high,2,1402,0.0,0.0,0.0004328897416333651
pythia-1b,draw_1,very_high,2,1402,0.0,0.008888888888888889,0.000972045239717166
pythia-1b,draw_1,control,2,1402,0.0,0.0,0.0005234884389604607
pythia-1b,draw_1,low,3,1402,0.0,0.0,6.728538397415681e-05
pythia-1b,draw_1,medium,3,1402,0.0,0.0,0.00013135494237316277
pythia-1b,draw_1,high,3,1402,0.0,0.0,0.0004319353116121268
pythia-1b,draw_1,very_high,3,1402,0.0,0.008888888888888889,0.0009753946823527965
pythia-1b,draw_1,control,3,1402,0.0,0.0,0.0005221903393382692
pythia-1b,draw_1,low,4,1402,0.0,0.0,6.678702860139336e-05
pythia-1b,draw_1,medium,4,1402,0.0,0.0,0.00013086263460776435
pythia-1b,draw_1,high,4,1402,0.0,0.0,0.0004302831879678908
pythia-1b,draw_1,very_high,4,1402,0.0,0.013333333333333334,0.0009807979810425927
pythia-1b,draw_1,control,4,1402,0.0,0.0,0.0005296236601485463
pythia-1b,draw_1,low,5,1402,0.0,0.0,6.74472025954742e-05
pythia-1b,draw_1,medium,5,1402,0.0,0.0,0.0001310750680721008
pythia-1b,draw_1,high,5,1402,0.0,0.0,0.00043202189598951516
pythia-1b,draw_1,very_high,5,1402,0.0,0.013333333333333334,0.0009746113838425824
pythia-1b,draw_1,control,5,1402,0.0,0.0,0.0005217122226791718
pythia-1b,draw_2,low,1,1385,0.0,0.0,7.486987241059574e-05
pythia-1b,draw_2,medium,1,1385,0.0,0.0,0.00014317971239718316
pythia-1b,draw_2,high,1,1385,0.0,0.0,0.00041627077847913873
pythia-1b,draw_2,very_high,1,1385,0.0044444444444444444,0.0044444444444444444,0.0009605667322304928
pythia-1b,draw_2,control,1,1385,0.0,0.0,0.0005617561732247446
pythia-1b,draw_2,low,2,1385,0.0,0.0,7.504021735586421e-05
pythia-1b,draw_2,medium,2,1385,0.0,0.0,0.0001438316335552751
pythia-1b,draw_2,high,2,1385,0.0,0.0,0.00041824957730000276
pythia-1b,draw_2,very_high,2,1385,0.0044444444444444444,0.0044444444444444444,0.0009668543244818769
pythia-1b,draw_2,control,2,1385,0.0,0.0,0.0005623027196533157
pythia-1b,draw_2,low,3,1385,0.0,0.0,7.527802769851001e-05
pythia-1b,draw_2,medium,3,1385,0.0,0.0,0.00014282031791089544
pythia-1b,draw_2,high,3,1385,0.0,0.0,0.00041614017592912154
pythia-1b,draw_2,very_high,3,1385,0.0044444444444444444,0.0044444444444444444,0.0009587462336639874
pythia-1b,draw_2,control,3,1385,0.0,0.0,0.0005591862158123857
pythia-1b,draw_2,low,4,1385,0.0,0.0,7.47743843850104e-05
pythia-1b,draw_2,medium,4,1385,0.0,0.0,0.00014290750353214638
pythia-1b,draw_2,high,4,1385,0.0,0.0,0.00041819577735907387
pythia-1b,draw_2,very_high,4,1385,0.0044444444444444444,0.0044444444444444444,0.0009635759743105154
pythia-1b,draw_2,control,4,1385,0.0,0.0,0.0005600892858102371
pythia-1b,draw_2,low,5,1385,0.0,0.0,7.487612758571534e-05
pythia-1b,draw_2,medium,5,1385,0.0,0.0,0.0001429945108250763
pythia-1b,draw_2,high,5,1385,0.0,0.0,0.00041650046575752086
pythia-1b,draw_2,very_high,5,1385,0.0044444444444444444,0.0044444444444444444,0.0009623986791525062
pythia-1b,draw_2,control,5,1385,0.0,0.0,0.0005618210150785469
pythia-1b,draw_3,low,1,1336,0.0,0.0,6.953173246996711e-05
pythia-1b,draw_3,medium,1,1336,0.0,0.0,0.00014414136080277888
pythia-1b,draw_3,high,1,1336,0.0,0.0,0.000372762077176958
pythia-1b,draw_3,very_high,1,1336,0.0,0.0,0.0008860482617309471
pythia-1b,draw_3,control,1,1336,0.0,0.0044444444444444444,0.0006864552481576741
pythia-1b,draw_3,low,2,1336,0.0,0.0,6.94942131581734e-05
pythia-1b,draw_3,medium,2,1336,0.0,0.0,0.00014413918538543335
pythia-1b,draw_3,high,2,1336,0.0,0.0,0.00037308083176362236
pythia-1b,draw_3,very_high,2,1336,0.0,0.0,0.0008861184672286981
pythia-1b,draw_3,control,2,1336,0.0,0.0044444444444444444,0.0006860332733210978
pythia-1b,draw_3,low,3,1336,0.0,0.0,6.95365987251585e-05
pythia-1b,draw_3,medium,3,1336,0.0,0.0,0.0001443014716707896
pythia-1b,draw_3,high,3,1336,0.0,0.0,0.000372563367932849
pythia-1b,draw_3,very_high,3,1336,0.0,0.0,0.0008863392849836297
pythia-1b,draw_3,control,3,1336,0.0,0.0044444444444444444,0.0006861211390443916
pythia-1b,draw_3,low,4,1336,0.0,0.0,6.95185473301131e-05
pythia-1b,draw_3,medium,4,1336,0.0,0.0,0.00014433913756218116
pythia-1b,draw_3,high,4,1336,0.0,0.0,0.0003732078188527844
pythia-1b,draw_3,very_high,4,1336,0.0,0.0,0.0008852317046960757
pythia-1b,draw_3,control,4,1336,0.0,0.0044444444444444444,0.0006858506842993646
pythia-1b,draw_3,low,5,1336,0.0,0.0,6.955803137221513e-05
pythia-1b,draw_3,medium,5,1336,0.0,0.0,0.00014415331994364856
pythia-1b,draw_3,high,5,1336,0.0,0.0,0.0003725337515950539
pythia-1b,draw_3,very_high,5,1336,0.0,0.0,0.0008836201696330035
pythia-1b,draw_3,control,5,1336,0.0,0.0044444444444444444,0.000687400877548296
pythia-1.4b,draw_1,low,1,4460,0.0,0.0044444444444444444,0.00012209740427099151
pythia-1.4b,draw_1,medium,1,4460,0.0,0.0,0.00016304400977769183
pythia-1.4b,draw_1,high,1,4460,0.0,0.0044444444444444444,0.0005194833515644051
pythia-1.4b,draw_1,very_high,1,4460,0.0,0.0044444444444444444,0.0012965341417162158
pythia-1.4b,draw_1,control,1,4460,0.0044444444444444444,0.008888888888888889,0.000784964820070147
pythia-1.4b,draw_1,low,2,4460,0.0,0.0044444444444444444,0.0001221020798074177
pythia-1.4b,draw_1,medium,2,4460,0.0,0.0,0.00016280725102964607
pythia-1.4b,draw_1,high,2,4460,0.0,0.0044444444444444444,0.0005192465226173226
pythia-1.4b,draw_1,very_high,2,4460,0.0,0.0044444444444444444,0.0012960907244673257
pythia-1.4b,draw_1,control,2,4460,0.0044444444444444444,0.008888888888888889,0.0007862971753734706
pythia-1.4b,draw_1,low,3,4460,0.0,0.0044444444444444444,0.00012203143051263194
pythia-1.4b,draw_1,medium,3,4460,0.0,0.0,0.0001627984042887773
pythia-1.4b,draw_1,high,3,4460,0.0,0.0044444444444444444,0.000519229961381724
pythia-1.4b,draw_1,very_high,3,4460,0.0,0.0044444444444444444,0.0012962293868703353
pythia-1.4b,draw_1,control,3,4460,0.0044444444444444444,0.008888888888888889,0.0007864076857807353
pythia-1.4b,draw_1,low,4,4460,0.0,0.0044444444444444444,0.00012205633432207226
pythia-1.4b,draw_1,medium,4,4460,0.0,0.0,0.00016283093294106662
pythia-1.4b,draw_1,high,4,4460,0.0,0.0044444444444444444,0.0005192838700269122
pythia-1.4b,draw_1,very_high,4,4460,0.0,0.0044444444444444444,0.0012960901080421334
pythia-1.4b,draw_1,control,4,4460,0.0044444444444444444,0.008888888888888889,0.0007864535423040151
pythia-1.4b,draw_1,low,5,4460,0.0,0.0,0.0001213765213356055
pythia-1.4b,draw_1,medium,5,4460,0.0,0.0,0.00016215702648638894
pythia-1.4b,draw_1,high,5,4460,0.0,0.0044444444444444444,0.0005191197050074455
pythia-1.4b,draw_1,very_high,5,4460,0.0,0.0,0.0012950798297859162
pythia-1.4b,draw_1,control,5,4460,0.0044444444444444444,0.008888888888888889,0.000786444426662456
pythia-1.4b,draw_2,low,1,4562,0.0,0.0,0.00012405873000059526
pythia-1.4b,draw_2,medium,1,4562,0.0,0.0,0.0001714151959108613
pythia-1.4b,draw_2,high,1,4562,0.0044444444444444444,0.0044444444444444444,0.0005553026918737993
pythia-1.4b,draw_2,very_high,1,4562,0.0,0.013333333333333334,0.0013610569115270563
pythia-1.4b,draw_2,control,1,4562,0.0,0.0044444444444444444,0.0007307260916978622
pythia-1.4b,draw_2,low,2,4562,0.0,0.0,0.00012453711615762587
pythia-1.4b,draw_2,medium,2,4562,0.0,0.0,0.00017099847458477293
pythia-1.4b,draw_2,high,2,4562,0.0044444444444444444,0.0044444444444444444,0.0005543440168766109
pythia-1.4b,draw_2,very_high,2,4562,0.0,0.013333333333333334,0.0013568676859965004
pythia-1.4b,draw_2,control,2,4562,0.0,0.0044444444444444444,0.0007306986237967471
pythia-1.4b,draw_2,low,3,4562,0.0,0.0,0.00012424690489852867
pythia-1.4b,draw_2,medium,3,4562,0.0,0.0,0.00017139684805528077
pythia-1.4b,draw_2,high,3,4562,0.0044444444444444444,0.0044444444444444444,0.000555425395281822
pythia-1.4b,draw_2,very_high,3,4562,0.0,0.013333333333333334,0.0013614539964085755
pythia-1.4b,draw_2,control,3,4562,0.0,0.0044444444444444444,0.0007304152315555257
pythia-1.4b,draw_2,low,4,4562,0.0,0.0,0.0001241323775917004
pythia-1.4b,draw_2,medium,4,4562,0.0,0.0,0.00017139713540027893
pythia-1.4b,draw_2,high,4,4562,0.0044444444444444444,0.0044444444444444444,0.0005553705118371807
pythia-1.4b,draw_2,very_high,4,4562,0.0,0.013333333333333334,0.0013614570864430992
pythia-1.4b,draw_2,control,4,4562,0.0,0.0044444444444444444,0.000730662695762779
pythia-1.4b,draw_2,low,5,4562,0.0,0.0,0.00012410106740895168
