model,draw,test_band,source_level_acc,source_level_top5,source_level_prob,n_hooks,n_circuit_edges,edge_level_acc,diff
pythia-410m,draw_3,very_high,1.0,1.0,0.4984055303865009,24,1324,0.5733333333333334,0.42666666666666664
pythia-410m,draw_3,control,0.9822222222222222,1.0,0.4926401596930292,24,1324,0.5688888888888889,0.41333333333333333
pythia-1b,draw_1,low,0.9777777777777777,1.0,0.5913791264593601,16,348,0.1511111111111111,0.8266666666666667
pythia-1b,draw_1,medium,1.0,1.0,0.648002079361015,16,348,0.3644444444444444,0.6355555555555557
pythia-1b,draw_1,high,0.9866666666666667,1.0,0.6364704257249832,16,348,0.4222222222222222,0.5644444444444445
pythia-1b,draw_1,very_high,0.9911111111111112,1.0,0.6180472902953624,16,348,0.4844444444444444,0.5066666666666668
pythia-1b,draw_1,control,1.0,1.0,0.6252249700493283,16,348,0.3733333333333333,0.6266666666666667
pythia-1b,draw_2,low,0.9822222222222222,0.9955555555555555,0.6710076361646254,16,356,0.1688888888888889,0.8133333333333334
pythia-1b,draw_2,medium,0.9866666666666667,1.0,0.6285710931320985,16,356,0.3155555555555555,0.6711111111111112
pythia-1b,draw_2,high,0.9955555555555555,1.0,0.59662652845184,16,356,0.3866666666666666,0.6088888888888889
pythia-1b,draw_2,very_high,1.0,1.0,0.5669521025154326,16,356,0.4711111111111111,0.528888888888889
pythia-1b,draw_2,control,0.9955555555555555,1.0,0.5855019450187683,16,356,0.3911111111111111,0.6044444444444445
pythia-1b,draw_3,low,0.9866666666666667,0.9955555555555555,0.5676357931022843,16,364,0.36,0.6266666666666667
pythia-1b,draw_3,medium,0.9822222222222222,1.0,0.5376433073729276,16,364,0.5511111111111111,0.4311111111111111
pythia-1b,draw_3,high,0.9911111111111112,1.0,0.5270315176082983,16,364,0.6533333333333333,0.33777777777777784
pythia-1b,draw_3,very_high,1.0,1.0,0.4614768090016312,16,364,0.5777777777777777,0.4222222222222223
pythia-1b,draw_3,control,0.9911111111111112,1.0,0.4824346635407872,16,364,0.5911111111111111,0.4
pythia-1.4b,draw_1,low,0.9644444444444444,0.9955555555555555,0.43240979290670817,24,625,0.0222222222222222,0.9422222222222223
pythia-1.4b,draw_1,medium,0.9955555555555555,1.0,0.44499827740920916,24,625,0.0577777777777777,0.9377777777777778
pythia-1.4b,draw_1,high,0.9866666666666667,1.0,0.5169453935407929,24,625,0.0488888888888888,0.9377777777777779
pythia-1.4b,draw_1,very_high,0.9911111111111112,1.0,0.4783481678532229,24,625,0.16,0.8311111111111111
pythia-1.4b,draw_1,control,0.9733333333333334,0.9911111111111112,0.49800007822612924,24,625,0.1422222222222222,0.8311111111111111
pythia-1.4b,draw_2,low,0.9644444444444444,0.9955555555555555,0.4080548161878768,24,616,0.0088888888888888,0.9555555555555556
pythia-1.4b,draw_2,medium,0.9822222222222222,0.9955555555555555,0.40612126984323066,24,616,0.0177777777777777,0.9644444444444445
pythia-1.4b,draw_2,high,0.9822222222222222,0.9911111111111112,0.37117782069370153,24,616,0.0533333333333333,0.9288888888888889
pythia-1.4b,draw_2,very_high,0.9777777777777777,0.9955555555555555,0.3475265214468042,24,616,0.1422222222222222,0.8355555555555556
pythia-1.4b,draw_2,control,0.9733333333333334,1.0,0.3520373880780405,24,616,0.0666666666666666,0.9066666666666667
pythia-1.4b,draw_3,low,0.96,0.9955555555555555,0.28782745622098443,24,619,0.0711111111111111,0.8888888888888888
pythia-1.4b,draw_3,medium,0.9688888888888889,0.9955555555555555,0.2573657036200166,24,619,0.1422222222222222,0.8266666666666667
pythia-1.4b,draw_3,high,0.9688888888888889,0.9866666666666667,0.27637783997381726,24,619,0.2844444444444444,0.6844444444444445
pythia-1.4b,draw_3,very_high,0.9644444444444444,0.9955555555555555,0.28719957428259985,24,619,0.2888888888888888,0.6755555555555557
pythia-1.4b,draw_3,control,0.96,0.9822222222222222,0.2898953614083843,24,619,0.3466666666666667,0.6133333333333333
