model,layer,n_layers,peak_layer,unpatched_acc,base_faithfulness,source_iia,n_pairs
pythia-410m,14,24,23,0.9700000286102295,0.0,0.18000000715255737,100
pythia-410m,15,24,23,0.9700000286102295,0.0,0.23000000417232513,100
pythia-410m,16,24,23,0.9700000286102295,0.0,0.6000000238418579,100
pythia-410m,17,24,23,0.9700000286102295,0.0,0.8600000143051147,100
pythia-410m,18,24,23,0.9700000286102295,0.0,0.9599999785423279,100
pythia-410m,19,24,23,0.9700000286102295,0.0,0.9700000286102295,100
pythia-410m,20,24,23,0.9700000286102295,0.0,0.9700000286102295,100
pythia-410m,21,24,23,0.9700000286102295,0.0,0.9800000190734863,100
pythia-410m,22,24,23,0.9700000286102295,0.0,0.9800000190734863,100
pythia-410m,23,24,23,0.9700000286102295,0.0,0.9800000190734863,100
pythia-1b,0,16,13,0.9900000095367432,0.0,0.0,100
pythia-1b,1,16,13,0.9900000095367432,0.0,0.0,100
pythia-1b,2,16,13,0.9900000095367432,0.009999999776482582,0.0,100
pythia-1b,3,16,13,0.9900000095367432,0.0,0.0,100
pythia-1b,4,16,13,0.9900000095367432,0.029999999329447746,0.0,100
pythia-1b,5,16,13,0.9900000095367432,0.07000000029802322,0.0,100
pythia-1b,6,16,13,0.9900000095367432,0.029999999329447746,0.0,100
pythia-1b,7,16,13,0.9900000095367432,0.03999999910593033,0.019999999552965164,100
pythia-1b,8,16,13,0.9900000095367432,0.03999999910593033,0.029999999329447746,100
pythia-1b,9,16,13,0.9900000095367432,0.019999999552965164,0.05999999865889549,100
pythia-1b,10,16,13,0.9900000095367432,0.0,0.46000000834465027,100
pythia-1b,11,16,13,0.9900000095367432,0.0,0.9399999976158142,100
pythia-1b,12,16,13,0.9900000095367432,0.0,0.9599999785423279,100
pythia-1b,13,16,13,0.9900000095367432,0.0,0.949999988079071,100
pythia-1b,14,16,13,0.9900000095367432,0.0,0.949999988079071,100
pythia-1b,15,16,13,0.9900000095367432,0.0,0.949999988079071,100
pythia-1.4b,0,24,21,0.949999988079071,0.019999999552965164,0.0,100
pythia-1.4b,1,24,21,0.949999988079071,0.0,0.0,100
pythia-1.4b,2,24,21,0.949999988079071,0.019999999552965164,0.0,100
pythia-1.4b,3,24,21,0.949999988079071,0.009999999776482582,0.0,100
pythia-1.4b,4,24,21,0.949999988079071,0.05999999865889549,0.0,100
pythia-1.4b,5,24,21,0.949999988079071,0.20000000298023224,0.0,100
pythia-1.4b,6,24,21,0.949999988079071,0.18000000715255737,0.0,100
pythia-1.4b,7,24,21,0.949999988079071,0.18000000715255737,0.0,100
pythia-1.4b,8,24,21,0.949999988079071,0.07999999821186066,0.0,100
pythia-1.4b,9,24,21,0.949999988079071,0.07999999821186066,0.0,100
pythia-1.4b,10,24,21,0.949999988079071,0.009999999776482582,0.019999999552965164,100
pythia-1.4b,11,24,21,0.949999988079071,0.009999999776482582,0.029999999329447746,100
pythia-1.4b,12,24,21,0.949999988079071,0.009999999776482582,0.07999999821186066,100
pythia-1.4b,13,24,21,0.949999988079071,0.009999999776482582,0.3199999928474426,100
pythia-1.4b,14,24,21,0.949999988079071,0.009999999776482582,0.4399999976158142,100
pythia-1.4b,15,24,21,0.949999988079071,0.0,0.7699999809265137,100
pythia-1.4b,16,24,21,0.949999988079071,0.0,0.8799999952316284,100
pythia-1.4b,17,24,21,0.949999988079071,0.0,0.9200000166893005,100
pythia-1.4b,18,24,21,0.949999988079071,0.0,0.9200000166893005,100
pythia-1.4b,19,24,21,0.949999988079071,0.0,0.9399999976158142,100
pythia-1.4b,20,24,21,0.949999988079071,0.0,0.949999988079071,100
pythia-1.4b,21,24,21,0.949999988079071,0.0,0.9399999976158142,100
pythia-1.4b,22,24,21,0.949999988079071,0.0,0.9399999976158142,100
pythia-1.4b,23,24,21,0.949999988079071,0.0,0.9300000071525574,100
