model,test_band,base_acc,full_circuit_acc,full_circuit_std,full_n_edges,full_retention,universal_acc,universal_acc_std,universal_top5,universal_n_edges,specific_acc,specific_acc_std,specific_n_edges,random_acc,universal_retention
pythia-410m,low,0.9822222222222222,0.9466666666666668,0.0117588947158426,3975.6666666666665,0.9637799667211432,0.3585185185185185,0.08713076120019327,0.5422222222222223,1302.6666666666667,0.0,0.0,2673.0,,0.378716744913928
pythia-410m,medium,0.9866666666666668,0.9748148148148148,0.0092518488865161,3812.6666666666665,0.9880622367169452,0.4918518518518518,0.09577064508974209,0.6577777777777778,1302.6666666666667,0.0014814814814814814,0.002566001196398337,2510.0,,0.5045592705167173
pythia-410m,high,0.9925925925925926,0.9674074074074074,0.0111849399041047,3447.333333333333,0.9746156310057656,0.6088888888888889,0.1006644591369433,0.7585185185185185,1302.6666666666667,0.0,0.0,2144.6666666666665,,0.6294027565084227
pythia-410m,very_high,0.991111111111111,0.9629629629629628,0.0128300059819916,3295.6666666666665,0.9716049881491058,0.5644444444444444,0.049491238780711315,0.7185185185185184,1302.6666666666667,0.0,0.0,1993.0,,0.5861538461538462
pythia-410m,control,0.9896296296296296,0.9688888888888888,0.0076980035891949,3374.6666666666665,0.9790597772660552,0.5466666666666667,0.07581654270769772,0.7051851851851851,1302.6666666666667,0.0014814814814814814,0.002566001196398337,2072.0,,0.5642201834862387
pythia-1b,low,0.9762962962962964,0.9051851851851852,0.0420072500111343,967.3333333333334,0.9270928462709284,0.22666666666666666,0.1158116819626256,0.39999999999999997,356.0,0.0,0.0,611.3333333333334,,0.2504091653027823
pythia-1b,medium,0.9896296296296296,0.9348148148148148,0.0102640047855933,937.0,0.9446428571428572,0.41037037037037033,0.1243120989380633,0.5733333333333334,356.0,0.0,0.0,581.0,,0.438985736925515
pythia-1b,high,0.9896296296296296,0.9362962962962964,0.0185036977730322,949.6666666666666,0.9461042943395884,0.48740740740740734,0.14479160560439247,0.64,356.0,0.0,0.0,593.6666666666666,,0.5205696202531644
pythia-1b,very_high,0.9911111111111112,0.9362962962962964,0.0092518488865161,846.6666666666666,0.944699464038029,0.5111111111111111,0.0581186525805423,0.677037037037037,356.0,0.0014814814814814814,0.002566001196398337,490.6666666666667,,0.545886075949367
pythia-1b,control,0.9896296296296296,0.9407407407407408,0.0025660011963982,873.6666666666666,0.9506247318747318,0.4518518518518519,0.12092918718306678,0.64,356.0,0.0,0.0,517.6666666666666,,0.4803149606299213
pythia-1.4b,low,0.9585185185185184,0.7985185185185185,0.0228071175086528,2566.6666666666665,0.8332268500571899,0.03407407407407407,0.032760510203697746,0.08888888888888889,620.0,0.0,0.0,1946.6666666666667,0.0,0.04267161410018552
pythia-1.4b,medium,0.9703703703703704,0.8592592592592592,0.0135780020591284,2485.0,0.8854956502311033,0.0725925925925926,0.06353120486634538,0.16296296296296295,620.0,0.0,0.0,1865.0,0.0,0.08448275862068967
pythia-1.4b,high,0.9896296296296296,0.8948148148148148,0.0179620083747883,2155.0,0.9042522383777988,0.1288888888888889,0.1347333901442144,0.3111111111111111,620.0,0.0014814814814814814,0.002566001196398337,1535.0,0.0014814814814814812,0.14403973509933773
pythia-1.4b,very_high,0.994074074074074,0.9185185185185184,0.0185036977730322,2024.3333333333333,0.9239514514514514,0.19703703703703704,0.08004114168438575,0.38814814814814813,620.0,0.0,0.0,1404.3333333333333,0.0,0.21451612903225808
pythia-1.4b,control,0.9837037037037036,0.9244444444444444,0.0117588947158426,2153.333333333333,0.9398034398034398,0.1851851851851852,0.14485980167015866,0.3377777777777778,620.0,0.0014814814814814814,0.002566001196398337,1533.3333333333333,0.0014814814814814812,0.20032051282051286
