model,layer,total_edges,universal_count,universal_fraction,dominant_role,n_heads,n_universal_heads,mean_induction_score,universal_head_fraction,position
pythia-160m,8,296.3333333333333,83.0,0.28032274350608694,bos_sink,12,7,0.01491229572790563,0.5833333333333334,middle
pythia-160m,9,345.6666666666667,92.33333333333333,0.26725928641251223,bos_sink,12,8,0.01472352090316533,0.6666666666666666,late
pythia-160m,10,252.33333333333334,64.0,0.2543005543525676,bos_sink,12,6,0.009641316924209739,0.5,late
pythia-160m,11,279.3333333333333,185.33333333333334,0.6637732429976683,bos_sink,12,3,0.006541510756666592,0.25,late
pythia-1b,0,7.333333333333333,3.0,0.41071428571428575,diffuse,8,3,0.025042606652277734,0.375,early
pythia-1b,1,13.333333333333334,4.0,0.30036630036630035,bos_sink,8,3,0.11152009390781356,0.375,early
pythia-1b,2,27.666666666666668,3.6666666666666665,0.1325513196480938,diffuse,8,2,0.015930674489936757,0.25,early
pythia-1b,3,46.333333333333336,10.666666666666666,0.23096067695370825,bos_sink,8,3,0.011415908102208014,0.375,early
pythia-1b,4,78.33333333333333,18.666666666666668,0.23801615051615047,bos_sink,8,4,0.12095529481302943,0.5,early
pythia-1b,5,104.0,15.333333333333334,0.1475335883102873,bos_sink,8,4,0.12614323100569888,0.5,early
pythia-1b,6,86.66666666666667,17.666666666666668,0.20530652475096914,bos_sink,8,4,0.02010930190063395,0.5,middle
pythia-1b,7,144.0,43.666666666666664,0.302802547913158,diffuse,8,3,0.01216695051698475,0.375,middle
pythia-1b,8,136.66666666666666,26.666666666666668,0.1955144727457612,bos_sink,8,4,0.026942563650663887,0.5,middle
pythia-1b,9,138.33333333333334,24.333333333333332,0.17718248186998187,bos_sink,8,5,0.0130208012706134,0.625,middle
pythia-1b,10,160.66666666666666,32.0,0.19973214889526514,bos_sink,8,5,0.04098575423631697,0.625,middle
pythia-1b,11,239.66666666666666,35.0,0.14628804729685138,bos_sink,8,6,0.032525482121854965,0.75,late
pythia-1b,12,151.33333333333334,13.0,0.08554538922637077,bos_sink,8,4,0.02003735996549944,0.5,late
pythia-1b,13,123.66666666666667,12.666666666666666,0.10480601239829723,bos_sink,8,5,0.017106547995354014,0.625,late
pythia-1b,14,105.0,21.333333333333332,0.2035358197825653,bos_sink,8,2,0.01614742190577085,0.25,late
pythia-1b,15,167.33333333333334,74.33333333333333,0.44403292181069953,bos_sink,8,1,0.01852640529978085,0.125,late
pythia-410m,0,14.0,3.0,0.21428571428571422,diffuse,16,2,0.06544505346084857,0.125,early
pythia-410m,1,41.0,4.0,0.09675324675324674,previous_token,16,4,0.05387825704929124,0.25,early
pythia-410m,2,41.666666666666664,4.666666666666667,0.11503596619875683,bos_sink,16,1,0.06263895193114874,0.0625,early
pythia-410m,3,47.666666666666664,4.0,0.08407407407407404,bos_sink,16,1,0.028023002029684056,0.0625,early
pythia-410m,4,62.0,6.333333333333333,0.1036882719994092,diffuse,16,2,0.033685915699720646,0.125,early
pythia-410m,5,99.33333333333333,11.333333333333334,0.11393857110726913,bos_sink,16,3,0.007722607273668038,0.1875,early
pythia-410m,6,125.33333333333333,17.333333333333332,0.1394948006222877,bos_sink,16,5,0.08610908489299612,0.3125,early
pythia-410m,7,220.33333333333334,35.333333333333336,0.1610353228361554,bos_sink,16,9,0.10461809355570034,0.5625,early
pythia-410m,8,295.6666666666667,37.0,0.1252722260368607,diffuse,16,15,0.024263250970761825,0.9375,middle
pythia-410m,9,357.3333333333333,61.333333333333336,0.17171362825357392,bos_sink,16,13,0.0788618764309454,0.8125,middle
pythia-410m,10,430.0,68.33333333333333,0.15892848218783925,diffuse,16,14,0.040251906983030446,0.875,middle
pythia-410m,11,503.0,95.33333333333333,0.18956424745148878,bos_sink,16,9,0.017946671403478782,0.5625,middle
pythia-410m,12,519.3333333333334,67.66666666666667,0.1301298704517069,bos_sink,16,10,0.019617537298472564,0.625,middle
pythia-410m,13,279.6666666666667,55.0,0.1977199944305207,bos_sink,16,4,0.00807306310070995,0.25,middle
pythia-410m,14,311.0,39.333333333333336,0.12668623547862864,bos_sink,16,6,0.019438146155152897,0.375,middle
pythia-410m,15,404.3333333333333,44.0,0.10879713173754317,bos_sink,16,10,0.010051664066850156,0.625,middle
pythia-410m,16,675.6666666666666,96.0,0.14207876785578732,bos_sink,16,12,0.01951243734947633,0.75,middle
pythia-410m,17,481.3333333333333,61.0,0.1267550852888917,bos_sink,16,9,0.012219758597167231,0.5625,late
pythia-410m,18,504.0,67.66666666666667,0.13431740969592273,bos_sink,16,8,0.016354137918824518,0.5,late
pythia-410m,19,502.6666666666667,65.33333333333333,0.13015711622042955,bos_sink,16,9,0.022161550034070332,0.5625,late
pythia-410m,20,215.66666666666666,33.333333333333336,0.1547418161163795,bos_sink,16,3,0.015117171784784634,0.1875,late
pythia-410m,21,242.33333333333334,42.333333333333336,0.17491948928985965,bos_sink,16,5,0.01847802350312117,0.3125,late
pythia-410m,22,274.3333333333333,60.0,0.2187214250219299,bos_sink,16,4,0.024350821906182266,0.25,late
pythia-410m,23,556.3333333333334,323.0,0.5805697611891687,bos_sink,16,1,0.01222514880106469,0.0625,late
pythia-70m,0,9.0,9.0,1.0,bos_sink,8,8,0.17960714258515506,1.0,early
pythia-70m,1,37.0,21.666666666666668,0.5859649122807018,bos_sink,8,4,0.022631875814113273,0.5,early
pythia-70m,2,87.66666666666667,34.333333333333336,0.3916362232320532,diffuse,8,8,0.08402928571687426,1.0,middle
pythia-70m,3,153.33333333333334,94.33333333333333,0.6151971326164875,diffuse,8,7,0.008505348552716849,0.875,middle
pythia-70m,4,97.66666666666667,41.0,0.4201328564128768,bos_sink,8,4,0.020346867248008462,0.5,middle
pythia-70m,5,148.0,101.33333333333333,0.6847694269612078,bos_sink,8,5,0.000190024027836515,0.625,late
