model,threshold_k,test_band,mean_acc,std_acc,mean_top5,mean_n_edges,base_acc,full_circuit_acc,universal_acc,recovery,edge_fraction
pythia-410m,5,control,0.5466666666666667,0.07581654270769772,0.7051851851851851,1302.6666666666667,0.9896296296296296,0.9688888888888888,0.5466666666666667,0.5642201834862387,0.3637514427193864
pythia-410m,5,high,0.6088888888888889,0.1006644591369433,0.7585185185185185,1302.6666666666667,0.9925925925925926,0.9674074074074074,0.6088888888888889,0.6294027565084227,0.3637514427193864
pythia-410m,5,low,0.3585185185185185,0.08713076120019327,0.5422222222222223,1302.6666666666667,0.9822222222222222,0.9466666666666668,0.3585185185185185,0.378716744913928,0.3637514427193864
pythia-410m,5,medium,0.4918518518518518,0.09577064508974209,0.6577777777777778,1302.6666666666667,0.9866666666666668,0.9748148148148148,0.4918518518518518,0.5045592705167173,0.3637514427193864
pythia-410m,5,very_high,0.5644444444444444,0.049491238780711315,0.7185185185185184,1302.6666666666667,0.991111111111111,0.9629629629629628,0.5644444444444444,0.5861538461538462,0.3637514427193864
pythia-70m,1,control,0.5866666666666668,0.04239729784075314,0.7481481481481481,532.6666666666666,0.5955555555555555,0.525925925925926,0.354074074074074,1.115492957746479,1.3015149047076071
pythia-70m,1,high,0.48888888888888893,0.03111111111111113,0.6251851851851852,532.6666666666666,0.5022222222222222,0.4162962962962963,0.2903703703703704,1.1743772241992885,1.3015149047076071
pythia-70m,1,low,0.29333333333333333,0.06984992731334093,0.44148148148148153,532.6666666666666,0.3007407407407407,0.2429629629629629,0.1822222222222222,1.207317073170732,1.3015149047076071
pythia-70m,1,medium,0.3866666666666667,0.029144171219120014,0.5274074074074074,532.6666666666666,0.3999999999999999,0.3481481481481481,0.2607407407407407,1.1106382978723408,1.3015149047076071
pythia-70m,1,very_high,0.6133333333333333,0.024745619390355657,0.7644444444444445,532.6666666666666,0.6696296296296297,0.5496296296296297,0.3851851851851851,1.1159029649595684,1.3015149047076071
pythia-70m,2,control,0.5407407407407407,0.028573780032571716,0.7377777777777778,455.6666666666667,0.5955555555555555,0.525925925925926,0.354074074074074,1.0281690140845068,1.113373513601564
pythia-70m,2,high,0.46222222222222226,0.05777777777777776,0.6222222222222222,455.6666666666667,0.5022222222222222,0.4162962962962963,0.2903703703703704,1.110320284697509,1.113373513601564
pythia-70m,2,low,0.2888888888888889,0.03797334997918901,0.43703703703703706,455.6666666666667,0.3007407407407407,0.2429629629629629,0.1822222222222222,1.1890243902439028,1.113373513601564
pythia-70m,2,medium,0.38518518518518513,0.026042067898143617,0.5081481481481481,455.6666666666667,0.3999999999999999,0.3481481481481481,0.2607407407407407,1.1063829787234043,1.113373513601564
pythia-70m,2,very_high,0.5881481481481482,0.04105601914237341,0.7466666666666667,455.6666666666667,0.6696296296296297,0.5496296296296297,0.3851851851851851,1.0700808625336926,1.113373513601564
pythia-70m,3,control,0.4711111111111111,0.026666666666666672,0.6577777777777778,401.6666666666667,0.5955555555555555,0.525925925925926,0.354074074074074,0.8957746478873237,0.9814302003583646
pythia-70m,3,high,0.3955555555555556,0.03111111111111111,0.5718518518518518,401.6666666666667,0.5022222222222222,0.4162962962962963,0.2903703703703704,0.9501779359430607,0.9814302003583646
pythia-70m,3,low,0.2474074074074074,0.0605054158715915,0.41333333333333333,401.6666666666667,0.3007407407407407,0.2429629629629629,0.1822222222222222,1.0182926829268295,0.9814302003583646
pythia-70m,3,medium,0.33777777777777773,0.02914417121912,0.4651851851851852,401.6666666666667,0.3999999999999999,0.3481481481481481,0.2607407407407407,0.9702127659574469,0.9814302003583646
pythia-70m,3,very_high,0.5362962962962963,0.048956182642543145,0.7022222222222222,401.6666666666667,0.6696296296296297,0.5496296296296297,0.3851851851851851,0.9757412398921831,0.9814302003583646
pythia-70m,4,control,0.42814814814814817,0.03727332037158257,0.5940740740740741,354.6666666666667,0.5955555555555555,0.525925925925926,0.354074074074074,0.8140845070422534,0.8665906499429875
pythia-70m,4,high,0.3511111111111111,0.029144171219120028,0.5303703703703704,354.6666666666667,0.5022222222222222,0.4162962962962963,0.2903703703703704,0.8434163701067616,0.8665906499429875
pythia-70m,4,low,0.2162962962962963,0.03619790140109811,0.3703703703703704,354.6666666666667,0.3007407407407407,0.2429629629629629,0.1822222222222222,0.8902439024390246,0.8665906499429875
pythia-70m,4,medium,0.29185185185185186,0.006789001029564216,0.42814814814814817,354.6666666666667,0.3999999999999999,0.3481481481481481,0.2607407407407407,0.8382978723404257,0.8665906499429875
pythia-70m,4,very_high,0.4711111111111111,0.05979388465366096,0.6474074074074074,354.6666666666667,0.6696296296296297,0.5496296296296297,0.3851851851851851,0.857142857142857,0.8665906499429875
pythia-70m,5,control,0.35407407407407404,0.013578002059128399,0.5525925925925926,301.6666666666667,0.5955555555555555,0.525925925925926,0.354074074074074,0.6732394366197181,0.7370907313894772
pythia-70m,5,high,0.2903703703703704,0.03365279019733498,0.4696296296296296,301.6666666666667,0.5022222222222222,0.4162962962962963,0.2903703703703704,0.6975088967971531,0.7370907313894772
pythia-70m,5,low,0.1822222222222222,0.02775554665954844,0.33481481481481484,301.6666666666667,0.3007407407407407,0.2429629629629629,0.1822222222222222,0.7500000000000001,0.7370907313894772
pythia-70m,5,medium,0.2607407407407407,0.044959973053314096,0.3940740740740741,301.6666666666667,0.3999999999999999,0.3481481481481481,0.2607407407407407,0.748936170212766,0.7370907313894772
pythia-70m,5,very_high,0.38518518518518513,0.05557036839558831,0.5792592592592593,301.6666666666667,0.6696296296296297,0.5496296296296297,0.3851851851851851,0.700808625336927,0.7370907313894772
