model,draw,test_band,k_sample,n_edges,accuracy,top5_accuracy,mean_correct_prob
pythia-160m,draw_3,high,3,723,0.0,0.0044444444444444444,0.0003701914270560438
pythia-160m,draw_3,very_high,3,723,0.0,0.0,0.0006085206422004476
pythia-160m,draw_3,control,3,723,0.0,0.0,0.0004349141418581187
pythia-160m,draw_3,low,4,723,0.0,0.0,4.804620402751425e-05
pythia-160m,draw_3,medium,4,723,0.0,0.0,9.068221167530686e-05
pythia-160m,draw_3,high,4,723,0.0044444444444444444,0.0044444444444444444,0.0003773688796119738
pythia-160m,draw_3,very_high,4,723,0.0,0.0,0.0006121455639246657
pythia-160m,draw_3,control,4,723,0.0,0.0,0.00043635428713034545
pythia-160m,draw_3,low,5,723,0.0,0.0,4.8155569836959935e-05
pythia-160m,draw_3,medium,5,723,0.0,0.0,9.085072162280186e-05
pythia-160m,draw_3,high,5,723,0.0044444444444444444,0.0044444444444444444,0.0003768884783767135
pythia-160m,draw_3,very_high,5,723,0.0,0.0,0.0006125619655015018
pythia-160m,draw_3,control,5,723,0.0,0.0,0.0004358716429866642
pythia-160m,draw_3,low,6,723,0.0,0.0,4.8040261779899794e-05
pythia-160m,draw_3,medium,6,723,0.0,0.0,9.067809297296966e-05
pythia-160m,draw_3,high,6,723,0.0044444444444444444,0.0044444444444444444,0.00037769006954881156
pythia-160m,draw_3,very_high,6,723,0.0,0.0,0.0006121734328902069
pythia-160m,draw_3,control,6,723,0.0,0.0,0.0004364232060940291
pythia-160m,draw_3,low,7,723,0.0,0.0,4.8042002246783494e-05
pythia-160m,draw_3,medium,7,723,0.0,0.0,9.067857788522816e-05
pythia-160m,draw_3,high,7,723,0.0044444444444444444,0.0044444444444444444,0.00037759295939521404
pythia-160m,draw_3,very_high,7,723,0.0,0.0,0.0006121503682126988
pythia-160m,draw_3,control,7,723,0.0,0.0,0.0004363787049083435
pythia-160m,draw_3,low,8,723,0.0,0.0,4.803758042047295e-05
pythia-160m,draw_3,medium,8,723,0.0,0.0,9.06631309115053e-05
pythia-160m,draw_3,high,8,723,0.0044444444444444444,0.0044444444444444444,0.00037765092976769664
pythia-160m,draw_3,very_high,8,723,0.0,0.0,0.0006121675002921417
pythia-160m,draw_3,control,8,723,0.0,0.0,0.00043667964852703436
pythia-160m,draw_3,low,9,723,0.0,0.0,4.773661026326358e-05
pythia-160m,draw_3,medium,9,723,0.0,0.0,9.090907183134631e-05
pythia-160m,draw_3,high,9,723,0.0,0.0044444444444444444,0.0003704942423243867
pythia-160m,draw_3,very_high,9,723,0.0,0.0,0.0006084309626865231
pythia-160m,draw_3,control,9,723,0.0,0.0,0.0004348212760588568
pythia-160m,draw_3,low,10,723,0.0,0.0,4.8048741459215055e-05
pythia-160m,draw_3,medium,10,723,0.0,0.0,9.068058248582626e-05
pythia-160m,draw_3,high,10,723,0.0044444444444444444,0.0044444444444444444,0.00037784022702554566
pythia-160m,draw_3,very_high,10,723,0.0,0.0,0.0006123343214691582
pythia-160m,draw_3,control,10,723,0.0,0.0,0.00043630862843403723
pythia-410m,draw_1,low,1,1283,0.0,0.0,8.480375978504324e-05
pythia-410m,draw_1,medium,1,1283,0.0,0.0,0.00016436646153184458
pythia-410m,draw_1,high,1,1283,0.0,0.008888888888888889,0.0005523435985782596
pythia-410m,draw_1,very_high,1,1283,0.0,0.013333333333333334,0.0013990626020313358
pythia-410m,draw_1,control,1,1283,0.0,0.0,0.0007527675358930234
pythia-410m,draw_1,low,2,1283,0.0,0.0,8.48035596931772e-05
pythia-410m,draw_1,medium,2,1283,0.0,0.0,0.00016436201945528714
pythia-410m,draw_1,high,2,1283,0.0,0.008888888888888889,0.0005523361864397853
pythia-410m,draw_1,very_high,2,1283,0.0,0.013333333333333334,0.0013990638640158674
pythia-410m,draw_1,control,2,1283,0.0,0.0,0.0007527794818234826
pythia-410m,draw_1,low,3,1283,0.0,0.0,8.48036834786904e-05
pythia-410m,draw_1,medium,3,1283,0.0,0.0,0.00016436371155148462
pythia-410m,draw_1,high,3,1283,0.0,0.008888888888888889,0.0005523393041304795
pythia-410m,draw_1,very_high,3,1283,0.0,0.013333333333333334,0.0013990660420859057
pythia-410m,draw_1,control,3,1283,0.0,0.0,0.0007527819437998713
pythia-410m,draw_1,low,4,1283,0.0,0.0,8.480341534019923e-05
pythia-410m,draw_1,medium,4,1283,0.0,0.0,0.00016436219767017394
pythia-410m,draw_1,high,4,1283,0.0,0.008888888888888889,0.0005523423063673031
pythia-410m,draw_1,very_high,4,1283,0.0,0.013333333333333334,0.0013990667444765373
pythia-410m,draw_1,control,4,1283,0.0,0.0,0.0007527790728323048
pythia-410m,draw_1,low,5,1283,0.0,0.0,8.480401260107505e-05
pythia-410m,draw_1,medium,5,1283,0.0,0.0,0.00016436429654798228
pythia-410m,draw_1,high,5,1283,0.0,0.008888888888888889,0.0005523432759921576
pythia-410m,draw_1,very_high,5,1283,0.0,0.013333333333333334,0.0013990731821690537
pythia-410m,draw_1,control,5,1283,0.0,0.0,0.0007527814689883093
pythia-410m,draw_1,low,6,1283,0.0,0.0,8.480374301800313e-05
pythia-410m,draw_1,medium,6,1283,0.0,0.0,0.0001643636720108235
pythia-410m,draw_1,high,6,1283,0.0,0.008888888888888889,0.0005523166056853057
pythia-410m,draw_1,very_high,6,1283,0.0,0.013333333333333334,0.0013990701150618811
pythia-410m,draw_1,control,6,1283,0.0,0.0,0.0007527878568243472
pythia-410m,draw_1,low,7,1283,0.0,0.0,8.480286553094629e-05
pythia-410m,draw_1,medium,7,1283,0.0,0.0,0.00016434950876146104
pythia-410m,draw_1,high,7,1283,0.0,0.008888888888888889,0.0005523530342668832
pythia-410m,draw_1,very_high,7,1283,0.0,0.013333333333333334,0.0013990396526484497
pythia-410m,draw_1,control,7,1283,0.0,0.0,0.0007528045527384267
pythia-410m,draw_1,low,8,1283,0.0,0.0,8.480360265341207e-05
pythia-410m,draw_1,medium,8,1283,0.0,0.0,0.00016436388313211285
pythia-410m,draw_1,high,8,1283,0.0,0.008888888888888889,0.0005523404526768635
pythia-410m,draw_1,very_high,8,1283,0.0,0.013333333333333334,0.0013990657911724864
pythia-410m,draw_1,control,8,1283,0.0,0.0,0.0007527822942668334
pythia-410m,draw_1,low,9,1283,0.0,0.0,8.480385286980487e-05
pythia-410m,draw_1,medium,9,1283,0.0,0.0,0.0001643636908378691
pythia-410m,draw_1,high,9,1283,0.0,0.008888888888888889,0.0005523388503794516
pythia-410m,draw_1,very_high,9,1283,0.0,0.013333333333333334,0.0013990677523583548
pythia-410m,draw_1,control,9,1283,0.0,0.0,0.0007527796970705619
pythia-410m,draw_1,low,10,1283,0.0,0.0,8.480173241777164e-05
pythia-410m,draw_1,medium,10,1283,0.0,0.0,0.00016436678365187795
pythia-410m,draw_1,high,10,1283,0.0,0.008888888888888889,0.0005523318431698953
pythia-410m,draw_1,very_high,10,1283,0.0,0.013333333333333334,0.0013990609304467701
pythia-410m,draw_1,control,10,1283,0.0,0.0,0.0007527780030570991
pythia-410m,draw_2,low,1,1301,0.0,0.0,8.147491879854998e-05
pythia-410m,draw_2,medium,1,1301,0.0044444444444444444,0.0044444444444444444,0.00029631511004273156
pythia-410m,draw_2,high,1,1301,0.0,0.0,0.0005032230646955011
pythia-410m,draw_2,very_high,1,1301,0.0,0.02666666666666667,0.0015115167645288036
pythia-410m,draw_2,control,1,1301,0.0044444444444444444,0.0044444444444444444,0.0008719653535869535
pythia-410m,draw_2,low,2,1301,0.0,0.0,8.143457864055867e-05
