model,test_band,full_circuit_acc,universal_acc,gap,acc_gte4,gap_closed_gte4,acc_gte3,gap_closed_gte3,acc_gte2,gap_closed_gte2,acc_gte1,gap_closed_gte1,source_level_acc,edge_level_acc,source_edge_diff,critical_layer_group,drop_early,drop_middle,drop_late
pythia-410m,low,0.9466666666666668,0.3585185185185185,0.5881481481481483,0.8074074074074075,0.7689688020957369,0.9333333333333332,0.9807520309068295,0.96,1.0260326532772348,0.9614814814814815,1.0285711765587926,0.9822222222222222,0.35851851851851846,0.6237037037037038,late,0.03407407407407418,0.1748148148148149,0.22814814814814824
pythia-410m,medium,0.9748148148148148,0.4918518518518518,0.482962962962963,0.9125925925925925,0.8691072008181285,0.9792592592592593,1.011152369216178,0.9822222222222222,1.0157957885848994,0.9851851851851853,1.020027697864003,0.9896296296296296,0.49185185185185193,0.4977777777777779,late,0.020740740740740726,0.10222222222222221,0.13037037037037036
pythia-410m,high,0.9674074074074074,0.6088888888888889,0.35851851851851846,0.9481481481481482,0.9451880643231622,0.9762962962962963,1.0247064790327551,0.9837037037037039,1.0454338035176853,0.9866666666666668,1.0566069878752276,0.9866666666666667,0.6088888888888889,0.37777777777777777,middle,0.020740740740740726,0.09037037037037032,0.08740740740740742
pythia-410m,very_high,0.9629629629629628,0.5644444444444444,0.3985185185185184,0.9303703703703703,0.917294968516881,0.9674074074074074,1.0094069885926347,0.9807407407407408,1.0429621542731529,0.9837037037037039,1.0500431241665644,1.0,0.5644444444444444,0.43555555555555553,middle,0.04740740740740723,0.11999999999999984,0.05629629629629614
pythia-410m,control,0.9688888888888888,0.5466666666666667,0.42222222222222205,0.9288888888888889,0.9046350444011265,0.9762962962962964,1.0201646090534984,0.9837037037037039,1.0374918778427553,0.9822222222222222,1.033008447043535,0.9881481481481482,0.5466666666666667,0.44148148148148153,middle,0.039999999999999925,0.1259259259259258,0.06814814814814803
pythia-1b,low,0.9051851851851852,0.2266666666666666,0.6785185185185186,0.7288888888888888,0.7435952844426256,0.9362962962962963,1.043646273730192,0.9407407407407407,1.051045692881127,0.9614814814814814,1.081751367090387,0.9822222222222222,0.22666666666666666,0.7555555555555555,late,0.0503703703703704,0.19259259259259262,0.4222222222222222
pythia-1b,medium,0.9348148148148148,0.4103703703703703,0.5244444444444445,0.8340740740740741,0.800589311115627,0.957037037037037,1.0392898708688183,0.9688888888888889,1.065123496702444,0.9822222222222221,1.0933494670336774,0.9896296296296296,0.41037037037037033,0.5792592592592594,late,0.03259259259259254,0.1229629629629629,0.25481481481481477
pythia-1b,high,0.9362962962962964,0.4874074074074073,0.4488888888888891,0.8696296296296296,0.8495525619483072,0.9614814814814815,1.0652579692182202,0.9748148148148147,1.0955292308882338,0.9866666666666667,1.1203784638733612,0.991111111111111,0.48740740740740734,0.5037037037037037,late,0.04592592592592604,0.12592592592592602,0.17333333333333342
pythia-1b,very_high,0.9362962962962964,0.5111111111111111,0.42518518518518533,0.8474074074074074,0.7894837580049306,0.96,1.0557504765635985,0.9703703703703703,1.081073974579247,0.9748148148148147,1.0927111010625488,0.997037037037037,0.5111111111111111,0.48592592592592604,middle,0.05037037037037051,0.19555555555555568,0.1392592592592594
pythia-1b,control,0.9407407407407408,0.4518518518518519,0.4888888888888889,0.8903703703703704,0.9042787028834183,0.9674074074074074,1.0592897084470936,0.9748148148148149,1.072428990466616,0.9748148148148149,1.070802668388464,0.9955555555555556,0.4518518518518519,0.5437037037037037,late,0.031111111111111162,0.1525925925925926,0.17925925925925926
pythia-1.4b,low,0.7985185185185185,0.034074074074074,0.7644444444444445,0.5555555555555555,0.6797515396291693,0.8325925925925927,1.0456866960632751,0.917037037037037,1.155104098979634,0.8948148148148148,1.1245857907278085,0.9629629629629629,0.034074074074074034,0.9288888888888889,middle,0.17777777777777778,0.6874074074074074,0.27555555555555555
pythia-1.4b,medium,0.8592592592592592,0.0725925925925926,0.7866666666666666,0.7111111111111111,0.8078620782915363,0.9140740740740741,1.07199545326526,0.9585185185185185,1.1273105898340503,0.9644444444444445,1.133917469621198,0.9822222222222222,0.07259259259259253,0.9096296296296297,middle,0.12740740740740733,0.714074074074074,0.22518518518518513
pythia-1.4b,high,0.8948148148148148,0.1288888888888889,0.7659259259259259,0.8118518518518517,0.8826626850008967,0.9451851851851852,1.067519235591058,0.9792592592592593,1.1119471705857886,0.9792592592592593,1.1099380574334075,0.9792592592592593,0.12888888888888883,0.8503703703703703,middle,0.1333333333333334,0.5614814814814815,0.13481481481481483
pythia-1.4b,very_high,0.9185185185185184,0.197037037037037,0.7214814814814814,0.8385185185185184,0.8867007535361475,0.9525925925925925,1.050414023911091,0.9762962962962963,1.0830843764032332,0.9837037037037036,1.0918714568365515,0.9777777777777779,0.19703703703703698,0.7807407407407408,middle,0.1525925925925925,0.5748148148148147,0.06666666666666654
pythia-1.4b,control,0.9244444444444444,0.1851851851851852,0.7392592592592592,0.8088888888888889,0.8363441610203269,0.9525925925925925,1.0390077539041271,0.9792592592592593,1.076449478845852,0.9748148148148147,1.0721079870043602,0.9688888888888889,0.18518518518518515,0.7837037037037037,middle,0.12592592592592589,0.562962962962963,0.07851851851851847
