model,draw,band,layer,mean_kl,median_kl,std_kl
pythia-160m,draw_2,low,1,16.106891632080078,15.701437950134277,2.523599147796631
pythia-160m,draw_2,low,2,16.37541961669922,16.111099243164062,2.424889087677002
pythia-160m,draw_2,low,3,16.893457412719727,16.779640197753906,2.4143247604370117
pythia-160m,draw_2,low,4,15.18011474609375,15.132989883422852,3.0524983406066895
pythia-160m,draw_2,low,5,10.93113899230957,10.752131462097168,3.1553232669830322
pythia-160m,draw_2,low,6,11.544378280639648,11.428229331970215,3.0933589935302734
pythia-160m,draw_2,low,7,10.711562156677246,10.57117748260498,3.0040781497955322
pythia-160m,draw_2,low,8,7.965869903564453,8.273834228515625,2.641955614089966
pythia-160m,draw_2,low,9,6.140817165374756,6.553103446960449,2.6917269229888916
pythia-160m,draw_2,low,10,6.073273181915283,6.193024635314941,2.8428664207458496
pythia-160m,draw_2,low,11,0.0,0.0,0.0
pythia-160m,draw_2,medium,0,16.58651351928711,16.36433219909668,2.735405206680298
pythia-160m,draw_2,medium,1,16.1783447265625,16.007083892822266,2.759458541870117
pythia-160m,draw_2,medium,2,16.65056610107422,16.42473030090332,2.835214853286743
pythia-160m,draw_2,medium,3,17.1015682220459,16.94312858581543,2.6675732135772705
pythia-160m,draw_2,medium,4,15.08992862701416,15.220376014709473,3.370746374130249
pythia-160m,draw_2,medium,5,10.426220893859863,10.573495864868164,3.3527846336364746
pythia-160m,draw_2,medium,6,10.88243579864502,10.631477355957031,3.521094799041748
pythia-160m,draw_2,medium,7,9.802804946899414,9.740345001220703,3.2956645488739014
pythia-160m,draw_2,medium,8,7.0044684410095215,7.387484073638916,2.841916084289551
pythia-160m,draw_2,medium,9,5.660951614379883,5.677952289581299,2.7127795219421387
pythia-160m,draw_2,medium,10,5.869603633880615,6.031593322753906,2.997098207473755
pythia-160m,draw_2,medium,11,0.0,0.0,0.0
pythia-160m,draw_2,high,0,16.8772029876709,16.78266143798828,2.701242446899414
pythia-160m,draw_2,high,1,16.45510482788086,16.470073699951172,2.755861282348633
pythia-160m,draw_2,high,2,17.00511932373047,17.230676651000977,2.7149879932403564
pythia-160m,draw_2,high,3,17.106666564941406,17.401344299316406,2.752192258834839
pythia-160m,draw_2,high,4,14.413177490234375,14.352818489074707,3.535308361053467
pythia-160m,draw_2,high,5,9.872541427612305,10.042171478271484,3.4921529293060303
pythia-160m,draw_2,high,6,10.185725212097168,10.36511516571045,3.406742811203003
pythia-160m,draw_2,high,7,9.054314613342285,9.181466102600098,3.2892367839813232
pythia-160m,draw_2,high,8,6.538475513458252,6.476083278656006,3.2214603424072266
