model,draw,band,model_capacity,n_layers,convergence_layer,frac_convergence,frac_converged,final_prob_correct,final_mean_rank,final_frac_top1,mean_attn_frac,mean_mlp_frac,frequency_rank
pythia-1b,draw_3,high,1000,16,11.431111111111111,0.7144444444444444,1.0,0.6723552346229553,0.03111111111111111,0.9866666666666667,0.5988615941009204,0.40113840582242405,3.0
pythia-1b,draw_3,very_high,1000,16,10.915555555555555,0.6822222222222222,1.0,0.5803636312484741,0.008888888888888889,0.9955555555555555,0.6037192511231007,0.39628074879722147,4.0
pythia-1b,draw_3,control,1000,16,11.195555555555556,0.6997222222222222,1.0,0.6365318894386292,0.02666666666666667,0.9866666666666667,0.60119977503283,0.39880022488769135,
pythia-1.4b,draw_1,low,1400,24,21.426666666666666,0.8927777777777778,1.0,0.5388140678405762,0.07111111111111111,0.9466666666666667,0.5455896861813095,0.4544103137349409,1.0
pythia-1.4b,draw_1,medium,1400,24,19.275555555555556,0.8031481481481482,1.0,0.5340842604637146,0.17777777777777778,0.9688888888888889,0.5566575559440742,0.4433424439696188,2.0
pythia-1.4b,draw_1,high,1400,24,16.92,0.7050000000000001,1.0,0.5325555205345154,0.022222222222222223,0.9777777777777777,0.5722400943614534,0.4277599055533104,3.0
pythia-1.4b,draw_1,very_high,1400,24,14.746666666666666,0.6144444444444445,1.0,0.5436775088310242,0.1688888888888889,0.9866666666666667,0.5652530450895737,0.4347469548299703,4.0
pythia-1.4b,draw_1,control,1400,24,15.364444444444445,0.6401851851851852,1.0,0.5397730469703674,1.1777777777777778,0.9866666666666667,0.5615473183380634,0.43845268157979217,
pythia-1.4b,draw_2,low,1400,24,21.493333333333332,0.8955555555555555,1.0,0.5839020013809204,0.1111111111111111,0.9688888888888889,0.5401877235184728,0.4598122763976205,1.0
pythia-1.4b,draw_2,medium,1400,24,19.217777777777776,0.8007407407407406,1.0,0.5665205121040344,0.09333333333333334,0.9733333333333334,0.5567885988245056,0.44321140109202584,2.0
pythia-1.4b,draw_2,high,1400,24,16.41777777777778,0.6840740740740742,1.0,0.5600730180740356,1.008888888888889,0.9911111111111112,0.5684052911609094,0.43159470875398426,3.0
pythia-1.4b,draw_2,very_high,1400,24,14.488888888888889,0.6037037037037037,1.0,0.5676743984222412,0.0,1.0,0.5591781288360774,0.4408218710839536,4.0
pythia-1.4b,draw_2,control,1400,24,15.062222222222223,0.6275925925925926,1.0,0.5466083884239197,0.013333333333333334,0.9866666666666667,0.5626989933378779,0.43730100658047416,
pythia-1.4b,draw_3,low,1400,24,21.77777777777778,0.9074074074074074,1.0,0.5533764362335205,0.04888888888888889,0.96,0.5462412813545116,0.4537587185559759,1.0
pythia-1.4b,draw_3,medium,1400,24,19.622222222222224,0.8175925925925926,1.0,0.5651969313621521,0.06222222222222222,0.9688888888888889,0.5558352948953843,0.44416470501711663,2.0
pythia-1.4b,draw_3,high,1400,24,17.04,0.71,1.0,0.5556079745292664,0.0,1.0,0.566548216675576,0.4334517832390581,3.0
pythia-1.4b,draw_3,very_high,1400,24,14.604444444444445,0.6085185185185186,1.0,0.5425938367843628,0.0044444444444444444,0.9955555555555555,0.5635914763203279,0.43640852360173593,4.0
pythia-1.4b,draw_3,control,1400,24,15.035555555555556,0.6264814814814815,1.0,0.5580512285232544,0.06666666666666667,0.9777777777777777,0.5682993428987926,0.43170065702083066,
