model,band,metric,mean,std,cv
pythia-160m,high,frac_convergence,0.745679012345679,0.001864156650684106,0.0024999451772419303
pythia-160m,high,final_prob_correct,0.5070582826932272,0.0016971131524896278,0.0033469784646361646
pythia-160m,high,mean_attn_frac,0.3973360289937103,0.005193404532186984,0.013070560314753623
pythia-160m,very_high,convergence_layer,8.672592592592594,0.15878136740104218,0.01830840843794046
pythia-160m,very_high,frac_convergence,0.7227160493827162,0.013231780616753494,0.018308408437940432
pythia-160m,very_high,final_prob_correct,0.5469598372777303,0.01451889268561361,0.02654471443072581
pythia-160m,very_high,mean_attn_frac,0.40634375176106846,0.004543872162051663,0.011182335503766957
pythia-160m,control,convergence_layer,8.69037037037037,0.19838027248264434,0.022827596987007318
pythia-160m,control,frac_convergence,0.7241975308641976,0.016531689373553673,0.022827596987007287
pythia-160m,control,final_prob_correct,0.5146791140238444,0.004167821022034906,0.008097901990718467
pythia-160m,control,mean_attn_frac,0.4080092704477947,0.0020316436420846733,0.004979405590110543
pythia-410m,low,convergence_layer,21.013333333333332,0.1790509962531894,0.008520827867378938
pythia-410m,low,frac_convergence,0.8755555555555555,0.007460458177216253,0.008520827867378969
pythia-410m,low,final_prob_correct,0.622758150100708,0.02441000718899813,0.03919660816169281
pythia-410m,low,mean_attn_frac,0.5208521391637694,0.005420210630659526,0.010406428663923125
pythia-410m,medium,convergence_layer,20.12,0.196563061222187,0.00976953584603315
pythia-410m,medium,frac_convergence,0.8383333333333334,0.008190127550924417,0.009769535846033102
pythia-410m,medium,final_prob_correct,0.5726243654886881,0.01700556596137857,0.029697594070880497
pythia-410m,medium,mean_attn_frac,0.5260725296709495,0.0018461554082793625,0.0035093172597970568
pythia-410m,high,convergence_layer,18.863703703703703,0.047936858332928836,0.0025412219724123904
pythia-410m,high,frac_convergence,0.7859876543209876,0.001997369097205339,0.002541221972412353
pythia-410m,high,final_prob_correct,0.56415323416392,0.0033482527753665803,0.0059350059037217425
pythia-410m,high,mean_attn_frac,0.5388417442174777,0.002146012775381182,0.003982640169235008
pythia-410m,very_high,convergence_layer,17.562962962962967,0.08318752676365264,0.0047365314690396895
pythia-410m,very_high,frac_convergence,0.7317901234567902,0.0034661469484854983,0.004736531469039651
pythia-410m,very_high,final_prob_correct,0.5261775453885397,0.010901752079952741,0.020718771022246257
pythia-410m,very_high,mean_attn_frac,0.534278331678641,0.004478036717560671,0.008381467957892274
pythia-410m,control,convergence_layer,17.844444444444445,0.12911856930074683,0.00723578532818631
pythia-410m,control,frac_convergence,0.7435185185185186,0.005379940387531137,0.0072357853281863355
pythia-410m,control,final_prob_correct,0.5258821447690328,0.019972471857987603,0.03797898836584289
pythia-410m,control,mean_attn_frac,0.5329262119635301,0.004265780229845434,0.008004448147011683
pythia-1b,low,convergence_layer,12.487407407407408,0.06227510979847058,0.004987032757618655
pythia-1b,low,frac_convergence,0.780462962962963,0.0038921943624044115,0.004987032757618655
pythia-1b,low,final_prob_correct,0.6697704792022705,0.024355995889711664,0.03636469006325995
pythia-1b,low,mean_attn_frac,0.5905955782196312,0.005144390149944148,0.008710512471922111
pythia-1b,medium,convergence_layer,11.92148148148148,0.028226013160380987,0.0023676598587370657
pythia-1b,medium,frac_convergence,0.7450925925925925,0.0017641258225238117,0.0023676598587370657
pythia-1b,medium,final_prob_correct,0.6925957202911377,0.017823094412353743,0.025733763420977645
pythia-1b,medium,mean_attn_frac,0.5997949137742932,0.0035214908218257853,0.005871158192500022
pythia-1b,high,convergence_layer,11.413333333333332,0.023517789431685237,0.0020605539805798982
pythia-1b,high,frac_convergence,0.7133333333333333,0.0014698618394803273,0.0020605539805798982
pythia-1b,high,final_prob_correct,0.6600308418273926,0.024210026647094898,0.03668014449152993
pythia-1b,high,mean_attn_frac,0.6002943403929998,0.0012734302240923973,0.002121343045244621
