model,draw,band,layer,mean_rank,median_rank,frac_top1,frac_top5
pythia-160m,draw_1,medium,3,15310.511111111111,12373.0,0.0,0.0
pythia-160m,draw_1,medium,4,5534.982222222222,2706.0,0.0044444444444444444,0.008888888888888889
pythia-160m,draw_1,medium,5,1130.9377777777777,199.0,0.044444444444444446,0.09777777777777778
pythia-160m,draw_1,medium,6,1282.4666666666667,331.0,0.017777777777777778,0.044444444444444446
pythia-160m,draw_1,medium,7,1100.4933333333333,260.0,0.017777777777777778,0.06222222222222222
pythia-160m,draw_1,medium,8,156.17333333333335,18.0,0.2,0.3377777777777778
pythia-160m,draw_1,medium,9,17.11111111111111,0.0,0.5422222222222223,0.7733333333333333
pythia-160m,draw_1,medium,10,1.7644444444444445,0.0,0.7644444444444445,0.9244444444444444
pythia-160m,draw_1,medium,11,0.057777777777777775,0.0,0.9555555555555556,1.0
pythia-160m,draw_1,high,0,11356.555555555555,9317.0,0.0,0.0
pythia-160m,draw_1,high,1,10963.275555555556,7755.0,0.0,0.0044444444444444444
pythia-160m,draw_1,high,2,11020.617777777778,8088.0,0.0,0.0044444444444444444
pythia-160m,draw_1,high,3,11454.76888888889,8814.0,0.0,0.0044444444444444444
pythia-160m,draw_1,high,4,3651.5022222222224,1685.0,0.0044444444444444444,0.013333333333333334
pythia-160m,draw_1,high,5,765.8044444444445,116.0,0.07111111111111111,0.16444444444444445
pythia-160m,draw_1,high,6,835.5377777777778,138.0,0.06222222222222222,0.16444444444444445
pythia-160m,draw_1,high,7,659.1288888888889,126.0,0.04888888888888889,0.18222222222222223
pythia-160m,draw_1,high,8,103.11111111111111,4.0,0.29333333333333333,0.5333333333333333
pythia-160m,draw_1,high,9,14.586666666666666,0.0,0.6577777777777778,0.8311111111111111
pythia-160m,draw_1,high,10,1.6622222222222223,0.0,0.8355555555555556,0.9377777777777778
pythia-160m,draw_1,high,11,0.1111111111111111,0.0,0.9688888888888889,0.9911111111111112
pythia-160m,draw_1,very_high,0,11130.057777777778,8537.0,0.0,0.0
pythia-160m,draw_1,very_high,1,9395.15111111111,6384.0,0.0,0.0
pythia-160m,draw_1,very_high,2,9244.697777777777,6165.0,0.0,0.0
pythia-160m,draw_1,very_high,3,9450.533333333333,5769.0,0.0,0.0044444444444444444
pythia-160m,draw_1,very_high,4,2995.831111111111,740.0,0.013333333333333334,0.044444444444444446
pythia-160m,draw_1,very_high,5,800.4977777777777,49.0,0.10666666666666667,0.2222222222222222
