model,kind,run_a,run_b,cos_positional_global,cos_actual_aggregated,cos_marginal_mass,cos_pos_17,cos_pos_18,cos_pos_19,cos_pos_20,cos_pos_21,n_shared_acdc_edges,shared_profile_cos_unweighted,shared_profile_cos_weighted,shared_profile_tv_unweighted,shared_profile_tv_weighted
pythia-1b,between,low/draw_3,high/draw_3,0.9583643674850464,0.9742806553840637,0.9753929972648621,0.9524796605110168,0.9699186682701111,0.97590571641922,0.9814562201499939,0.9549437165260315,604,0.9580207467079163,0.9875625371932983,0.11957386136054993,0.06225849315524101
pythia-1b,other,low/draw_3,very_high/draw_1,0.8886641263961792,0.9360630512237549,0.9374067187309265,0.9204874038696289,0.9473788738250732,0.9652188420295715,0.9694052338600159,0.8742361068725586,551,0.9540364146232605,0.984428882598877,0.12483935058116913,0.06897705793380737
pythia-1b,other,low/draw_3,very_high/draw_2,0.8950848579406738,0.9362781643867493,0.9373911619186401,0.9112364053726196,0.9335446357727051,0.9530127644538879,0.9659625291824341,0.8837652206420898,583,0.9512937068939209,0.9840594530105591,0.1266932487487793,0.07151883840560913
pythia-1b,between,low/draw_3,very_high/draw_3,0.8701478838920593,0.9267799258232117,0.9283532500267029,0.9160528779029846,0.9416358470916748,0.9563884735107422,0.965873658657074,0.8527962565422058,535,0.9506623148918152,0.980498194694519,0.12801802158355713,0.07654594630002975
pythia-1b,other,low/draw_3,control/draw_1,0.9147117733955383,0.9525411128997803,0.9542513489723206,0.9538357257843018,0.9605699777603149,0.9673829078674316,0.9696167707443237,0.9042246341705322,600,0.9593081474304199,0.9841005802154541,0.12125767767429352,0.07099325209856033
pythia-1b,other,low/draw_3,control/draw_2,0.9221134185791016,0.9556263089179993,0.9576708078384399,0.9472023844718933,0.9589805603027344,0.9670776724815369,0.9721511006355286,0.91316819190979,547,0.9546136260032654,0.9845413565635681,0.1237591952085495,0.06772877275943756
pythia-1b,between,low/draw_3,control/draw_3,0.9115800857543945,0.9506220817565918,0.9524276852607727,0.9497271180152893,0.9557063579559326,0.95957350730896,0.970565676689148,0.9010756611824036,598,0.9486114382743835,0.9817055463790894,0.13437004387378693,0.07663093507289886
pythia-1b,within,medium/draw_1,medium/draw_2,0.9960909485816956,0.998410701751709,0.9984237551689148,0.9960258603096008,0.9973927140235901,0.996816873550415,0.9954957365989685,0.9963276386260986,613,0.9782591462135315,0.9953124523162842,0.07165510952472687,0.03262680768966675
pythia-1b,within,medium/draw_1,medium/draw_3,0.9956490993499756,0.9980926513671875,0.9981245994567871,0.9952024221420288,0.9969163537025452,0.9967188835144043,0.9951780438423157,0.9957183599472046,575,0.9747223258018494,0.9946904182434082,0.0722985789179802,0.031421877443790436
pythia-1b,between,medium/draw_1,high/draw_1,0.9829750061035156,0.9898906350135803,0.9902805685997009,0.9840340614318848,0.9853662252426147,0.98532634973526,0.9896430969238281,0.9821674823760986,593,0.9600477814674377,0.9904811382293701,0.1032639741897583,0.048339493572711945
pythia-1b,other,medium/draw_1,high/draw_2,0.9828667640686035,0.9895026087760925,0.989740252494812,0.9855852127075195,0.9875284433364868,0.9874280095100403,0.9899700880050659,0.9817487001419067,559,0.9675998091697693,0.9919688701629639,0.09466248005628586,0.04431135207414627
pythia-1b,other,medium/draw_1,high/draw_3,0.9812847375869751,0.9893465042114258,0.9896764755249023,0.98565274477005,0.9861574172973633,0.9868059158325195,0.9898208975791931,0.9799619317054749,580,0.9653282165527344,0.9915734529495239,0.10024572163820267,0.04979474097490311
pythia-1b,between,medium/draw_1,very_high/draw_1,0.9219967126846313,0.9576739072799683,0.9580743312835693,0.9598003625869751,0.966273307800293,0.974994421005249,0.9773119688034058,0.9110872149467468,571,0.9622858166694641,0.9887101054191589,0.11085110157728195,0.058474089950323105
pythia-1b,other,medium/draw_1,very_high/draw_2,0.9269392490386963,0.957810640335083,0.9579061269760132,0.9537620544433594,0.9530454874038696,0.9637819528579712,0.972716748714447,0.918507993221283,547,0.9557147026062012,0.9874183535575867,0.11639180034399033,0.06212928146123886
pythia-1b,other,medium/draw_1,very_high/draw_3,0.906356930732727,0.9499305486679077,0.9507564902305603,0.9572088122367859,0.962648868560791,0.9676194787025452,0.9766759872436523,0.8922964930534363,519,0.9601210951805115,0.987406849861145,0.10973107069730759,0.0594390407204628
pythia-1b,between,medium/draw_1,control/draw_1,0.9443899393081665,0.9711558222770691,0.9719703793525696,0.9792666435241699,0.9807829856872559,0.9799248576164246,0.982413113117218,0.9362620115280151,566,0.9621886014938354,0.989004909992218,0.10806640982627869,0.05634260177612305
pythia-1b,other,medium/draw_1,control/draw_2,0.9485501050949097,0.9727698564529419,0.9737502336502075,0.9759753942489624,0.9795317649841309,0.9794774055480957,0.9832220077514648,0.9416411519050598,536,0.9635199904441833,0.9882500767707825,0.10566007345914841,0.05598750337958336
pythia-1b,other,medium/draw_1,control/draw_3,0.9424291253089905,0.9698126912117004,0.9707381129264832,0.9788782000541687,0.9775952696800232,0.973456084728241,0.9845153093338013,0.9340012669563293,545,0.9568290114402771,0.9872515201568604,0.11602175980806351,0.05855311080813408
pythia-1b,within,medium/draw_2,medium/draw_3,0.9959903955459595,0.9983968138694763,0.9984281659126282,0.9953393936157227,0.9957090020179749,0.9966047406196594,0.9965513348579407,0.9961816668510437,607,0.9780740737915039,0.9951149821281433,0.07128675282001495,0.03319872170686722
pythia-1b,other,medium/draw_2,high/draw_1,0.9835138320922852,0.9898059368133545,0.9904860854148865,0.979300320148468,0.9849573969841003,0.984990656375885,0.9916239380836487,0.9829995036125183,696,0.9636040925979614,0.9910564422607422,0.09925474971532822,0.047565072774887085
pythia-1b,between,medium/draw_2,high/draw_2,0.982853889465332,0.9893519282341003,0.9896237850189209,0.9814221262931824,0.9871287941932678,0.985986590385437,0.98997563123703,0.9822977781295776,587,0.9697721004486084,0.9927798509597778,0.09226569533348083,0.0445483922958374
pythia-1b,other,medium/draw_2,high/draw_3,0.9826772809028625,0.9895697236061096,0.9901111721992493,0.9812716841697693,0.9853403568267822,0.9867790341377258,0.9921061396598816,0.9816118478775024,603,0.9683295488357544,0.9926261305809021,0.09722042828798294,0.04518059641122818
pythia-1b,other,medium/draw_2,very_high/draw_1,0.9235907196998596,0.9584410786628723,0.9589855074882507,0.9536178708076477,0.9656777381896973,0.9776352643966675,0.9810939431190491,0.9129806160926819,567,0.9622215032577515,0.9894199967384338,0.10975595563650131,0.05603411793708801
pythia-1b,between,medium/draw_2,very_high/draw_2,0.9281554818153381,0.9584366083145142,0.9587405323982239,0.9469692707061768,0.9525195360183716,0.9660720229148865,0.9775860905647278,0.9204245209693909,585,0.9567174315452576,0.9878143072128296,0.11735899746417999,0.06260451674461365
pythia-1b,other,medium/draw_2,very_high/draw_3,0.906838059425354,0.950337827205658,0.9512211084365845,0.9510359168052673,0.9622851610183716,0.970509946346283,0.9791227579116821,0.8934304118156433,568,0.9607303142547607,0.9868679046630859,0.11425966769456863,0.06187329441308975
pythia-1b,other,medium/draw_2,control/draw_1,0.9446970820426941,0.9703335165977478,0.9712435603141785,0.9761820435523987,0.981419563293457,0.9790052175521851,0.9807687997817993,0.9374027252197266,599,0.9604893922805786,0.9895254373550415,0.10951245576143265,0.0549585297703743
pythia-1b,between,medium/draw_2,control/draw_2,0.9486509561538696,0.9716730713844299,0.9728410243988037,0.9725033044815063,0.9790818095207214,0.9789311289787292,0.9805145263671875,0.9425201416015625,575,0.9665578007698059,0.9895333647727966,0.10310270637273788,0.054183587431907654
pythia-1b,other,medium/draw_2,control/draw_3,0.9423633813858032,0.9689405560493469,0.9699327349662781,0.9751812219619751,0.977546215057373,0.971323549747467,0.9827059507369995,0.9347513914108276,592,0.9615122675895691,0.9886642694473267,0.10997097194194794,0.05689258873462677
pythia-1b,other,medium/draw_3,high/draw_1,0.9835944175720215,0.9898708462715149,0.9906098246574402,0.9790917038917542,0.9853799343109131,0.9859598278999329,0.9924344420433044,0.9828766584396362,616,0.9705632328987122,0.9916956424713135,0.09152143448591232,0.045308105647563934
pythia-1b,other,medium/draw_3,high/draw_2,0.9821598529815674,0.9890589118003845,0.9894686341285706,0.9811941385269165,0.9865484237670898,0.9875932931900024,0.9898054003715515,0.981332004070282,562,0.9707400798797607,0.9922740459442139,0.08822527527809143,0.04372763633728027
pythia-1b,between,medium/draw_3,high/draw_3,0.9816142320632935,0.989204466342926,0.9898927211761475,0.9814454913139343,0.9863004088401794,0.9874387979507446,0.9921982884407043,0.9801955223083496,570,0.970134973526001,0.9919942617416382,0.09057950228452682,0.045874014496803284
pythia-1b,other,medium/draw_3,very_high/draw_1,0.919672966003418,0.9567034244537354,0.9574604034423828,0.9540402889251709,0.9643239378929138,0.9747883677482605,0.9825620651245117,0.9085478782653809,530,0.9576685428619385,0.9881515502929688,0.11336001753807068,0.05815054476261139
pythia-1b,other,medium/draw_3,very_high/draw_2,0.9234110116958618,0.9564511179924011,0.9568799734115601,0.9474623799324036,0.9508849382400513,0.963986873626709,0.9787315726280212,0.9146268367767334,564,0.9504120945930481,0.9863071441650391,0.12110597640275955,0.06229384243488312
pythia-1b,between,medium/draw_3,very_high/draw_3,0.9000011086463928,0.9473221302032471,0.9484869241714478,0.9520289897918701,0.9592910408973694,0.9675278663635254,0.9796088933944702,0.8853963613510132,569,0.9521744847297668,0.9858632683753967,0.11908257007598877,0.06328845024108887
pythia-1b,other,medium/draw_3,control/draw_1,0.9411962628364563,0.9688705801963806,0.9700285196304321,0.9756986498832703,0.9777849316596985,0.9805144667625427,0.9834451675415039,0.9329537749290466,575,0.9631474018096924,0.9892256259918213,0.10432425886392593,0.05540002882480621
pythia-1b,other,medium/draw_3,control/draw_2,0.9459289908409119,0.9706398248672485,0.9719950556755066,0.9716847538948059,0.9768170714378357,0.9803773760795593,0.9838117361068726,0.9387972950935364,569,0.9662660956382751,0.9898309111595154,0.10406851023435593,0.054108306765556335
pythia-1b,between,medium/draw_3,control/draw_3,0.9380863904953003,0.967162549495697,0.9683094024658203,0.9743750691413879,0.973086953163147,0.9751650094985962,0.9841732978820801,0.9295422434806824,573,0.9609250426292419,0.9879791736602783,0.1097990870475769,0.05797337740659714
pythia-1b,within,high/draw_1,high/draw_2,0.9956637024879456,0.9980712532997131,0.9981836676597595,0.9966205954551697,0.9953780770301819,0.9944647550582886,0.9957312345504761,0.9957589507102966,588,0.9710133075714111,0.9940110445022583,0.0818793922662735,0.03382972627878189
