model,band,draw,threshold,n_edges,total_edges,size_fraction,base_accuracy,base_top5_accuracy,base_top10_accuracy,base_mean_correct_prob,circuit_accuracy,circuit_top5_accuracy,circuit_top10_accuracy,circuit_mean_correct_prob,circuit_kl_div,ablation_accuracy,ablation_top5_accuracy,ablation_top10_accuracy,ablation_mean_correct_prob,ablation_kl_div,retention_ratio,completeness,top1_top5_gap,frequency_rank,necessity_pass,training_time_seconds
pythia-160m,medium,draw_2,0.000631,1513,11467,0.13194383884189412,0.96,1.0,1.0,0.45761598655747043,0.9244444444444444,0.9866666666666667,0.9911111111111112,0.41365339236644405,0.29229846596717834,0.0,0.0,0.0,9.846366129775359e-05,5.143143653869629,0.9629629629629629,1.0,0.06222222222222229,2.0,True,2560.5875980854034
pythia-160m,medium,draw_3,0.000631,1475,11467,0.12862998168657888,0.9555555555555556,0.9822222222222222,0.9955555555555555,0.4583518081924154,0.8933333333333333,0.9733333333333334,0.9911111111111112,0.4067286523814417,0.27565640211105347,0.0,0.0,0.0,9.020446198317384e-05,5.180262088775635,0.9348837209302325,1.0,0.08000000000000007,2.0,True,1968.211389541626
pythia-160m,high,draw_1,0.000631,1360,11467,0.11860120345338798,0.9688888888888889,0.9911111111111112,1.0,0.5052217386807832,0.9111111111111111,0.9777777777777777,0.9777777777777777,0.4224399949537797,0.31541189551353455,0.0,0.0,0.0044444444444444444,0.00031057217530840517,5.05312967300415,0.9403669724770641,1.0,0.06666666666666665,3.0,True,2564.409740924835
pythia-160m,high,draw_2,0.000631,1454,11467,0.12679863957443097,0.96,1.0,1.0,0.5085489235073328,0.9333333333333333,0.9866666666666667,0.9955555555555555,0.42712341307765905,0.3136653006076813,0.0,0.0044444444444444444,0.0044444444444444444,0.0003285110171034628,5.069313049316406,0.9722222222222223,1.0,0.053333333333333344,3.0,True,2563.504224061966
pythia-160m,high,draw_3,0.000631,1385,11467,0.12078137263451644,0.9511111111111111,0.9955555555555555,0.9955555555555555,0.5074280625830094,0.9244444444444444,0.9688888888888889,0.9866666666666667,0.4784175016399887,0.2708108723163605,0.0044444444444444444,0.0044444444444444444,0.0044444444444444444,0.0003810146319940739,5.057910919189453,0.9719626168224298,0.9955555555555555,0.04444444444444451,3.0,True,1968.9300634860992
pythia-160m,very_high,draw_1,0.000631,1358,11467,0.11842678991889771,0.9733333333333334,1.0,1.0,0.561537106529706,0.9644444444444444,1.0,1.0,0.5285146881805526,0.2621532678604126,0.0,0.013333333333333334,0.017777777777777778,0.0008729451355338943,4.892047882080078,0.9908675799086757,1.0,0.03555555555555556,4.0,True,2571.62002658844
pythia-160m,very_high,draw_2,0.000631,1306,11467,0.11389203802215052,0.9688888888888889,1.0,1.0,0.5468449862052996,0.9377777777777778,0.9866666666666667,0.9955555555555555,0.48257948000139245,0.2730286121368408,0.0,0.013333333333333334,0.017777777777777778,0.0008961487959843201,4.693145751953125,0.9678899082568807,1.0,0.04888888888888887,4.0,True,2568.5074501037598
pythia-160m,very_high,draw_3,0.000631,1330,11467,0.11598500043603384,0.9644444444444444,1.0,1.0,0.5325090324671732,0.9511111111111111,0.9911111111111112,1.0,0.4780094781642159,0.3031104803085327,0.0,0.0,0.0,0.0006141734873330683,4.639321804046631,0.9861751152073733,1.0,0.040000000000000036,4.0,True,1968.7236495018005
pythia-160m,control,draw_1,0.000631,1392,11467,0.12139182000523241,0.9866666666666667,1.0,1.0,0.5169803247186873,0.9244444444444444,0.9777777777777777,0.9911111111111112,0.43776240545428463,0.3004647493362427,0.0,0.0,0.0,0.00037121089427466183,4.932335376739502,0.9369369369369369,1.0,0.053333333333333344,,True,2560.3520481586456
pythia-160m,control,draw_2,0.000631,1380,11467,0.12034533879829075,0.9733333333333334,1.0,1.0,0.5172031994991833,0.9377777777777778,0.9911111111111112,0.9911111111111112,0.44803173474139635,0.290813684463501,0.0,0.0,0.0,0.00037657709500308554,4.972594738006592,0.9634703196347032,1.0,0.053333333333333344,,True,2561.0153815746307
