model,train_band,draw,test_band,same_band,n_examples,accuracy,mean_correct_prob,std_correct_prob,median_correct_prob
pythia-160m,control,draw_3,high,False,225,0.9155555555555556,0.43069568056199287,0.2638585933849417,0.4106466770172119
pythia-160m,control,draw_3,very_high,False,225,0.9377777777777778,0.4684807948023081,0.2634707326456995,0.46989431977272034
pythia-160m,control,draw_3,control,True,225,0.9466666666666667,0.48976910876834556,0.2643953119869498,0.5224036574363708
pythia-410m,low,draw_1,low,True,225,0.9377777777777778,0.4721572347787312,0.28355599911917734,0.4439132809638977
pythia-410m,low,draw_1,medium,False,225,0.9866666666666667,0.5532784971098105,0.2514616673460361,0.5709619522094727
pythia-410m,low,draw_1,high,False,225,0.9733333333333334,0.5426991480164643,0.26777854684592595,0.5951943397521973
pythia-410m,low,draw_1,very_high,False,225,0.9511111111111111,0.45260802602679984,0.25661405953432365,0.4387427270412445
pythia-410m,low,draw_1,control,False,225,0.9644444444444444,0.4628226698562503,0.2551373453036903,0.4433897137641907
pythia-410m,low,draw_2,low,True,225,0.9422222222222222,0.4742636765612082,0.2846402218127898,0.4880582094192505
pythia-410m,low,draw_2,medium,False,225,0.9733333333333334,0.5043443122252615,0.2621047357247186,0.5123586654663086
pythia-410m,low,draw_2,high,False,225,0.9688888888888889,0.45816488681076506,0.2518250398224026,0.4574781358242035
pythia-410m,low,draw_2,very_high,False,225,0.9377777777777778,0.3900036179791722,0.2445929210492341,0.3811713457107544
pythia-410m,low,draw_2,control,False,225,0.9511111111111111,0.4397834924939606,0.2388216996447308,0.4190976917743683
pythia-410m,low,draw_3,low,True,225,0.96,0.5591031192822589,0.2621791443415164,0.6008089184761047
pythia-410m,low,draw_3,medium,False,225,0.9688888888888889,0.5400420894887712,0.2726403828040179,0.5531625151634216
pythia-410m,low,draw_3,high,False,225,0.9911111111111112,0.5638598745233483,0.25018509576150505,0.5894417762756348
pythia-410m,low,draw_3,very_high,False,225,0.9644444444444444,0.4951159877537025,0.2524658602471147,0.49442893266677856
pythia-410m,low,draw_3,control,False,225,0.9777777777777777,0.5191835878882557,0.2502519782656783,0.5413816571235657
pythia-410m,medium,draw_1,low,False,225,0.9155555555555556,0.38567535833533234,0.28230016941331443,0.3309501111507416
pythia-410m,medium,draw_1,medium,True,225,0.9777777777777777,0.5176761553850439,0.2532557197721016,0.5036346316337585
pythia-410m,medium,draw_1,high,False,225,0.9733333333333334,0.5327727248105738,0.2618955267995874,0.5981736779212952
pythia-410m,medium,draw_1,very_high,False,225,0.9555555555555556,0.4514492837525904,0.26866786396142184,0.4518696367740631
pythia-410m,medium,draw_1,control,False,225,0.9555555555555556,0.4478528336932262,0.2606790143392126,0.45717713236808777
pythia-410m,medium,draw_2,low,False,225,0.9288888888888889,0.4166558654482166,0.2817490779445871,0.37645503878593445
pythia-410m,medium,draw_2,medium,True,225,0.9822222222222222,0.46717587053258386,0.26197982541076886,0.4867528975009918
pythia-410m,medium,draw_2,high,False,225,0.9777777777777777,0.47690700711371997,0.24993997984626554,0.44056445360183716
pythia-410m,medium,draw_2,very_high,False,225,0.9466666666666667,0.41351275072743493,0.2675824410050123,0.37700408697128296
pythia-410m,medium,draw_2,control,False,225,0.9644444444444444,0.43593684217168227,0.2534524142935392,0.43653151392936707
pythia-410m,medium,draw_3,low,False,225,0.9555555555555556,0.4676651704063018,0.27511650083563277,0.4475553035736084
pythia-410m,medium,draw_3,medium,True,225,0.9644444444444444,0.47644366897642615,0.27169302084270086,0.47522494196891785
pythia-410m,medium,draw_3,high,False,225,0.9911111111111112,0.49624900507430236,0.25763246201642004,0.49484917521476746
pythia-410m,medium,draw_3,very_high,False,225,0.9466666666666667,0.452836247605996,0.2633491319734835,0.441032350063324
pythia-410m,medium,draw_3,control,False,225,0.9555555555555556,0.49202184476475747,0.26083038185012,0.5088814496994019
pythia-410m,high,draw_1,low,False,225,0.8977777777777778,0.3452337173341463,0.26715578898213804,0.28297796845436096
pythia-410m,high,draw_1,medium,False,225,0.9688888888888889,0.47266650571591323,0.27208918235357143,0.47262150049209595
pythia-410m,high,draw_1,high,True,225,0.9688888888888889,0.5084002344838033,0.27589273790966423,0.5359882116317749
pythia-410m,high,draw_1,very_high,False,225,0.9466666666666667,0.4446066612481243,0.2670035600045902,0.433292031288147
pythia-410m,high,draw_1,control,False,225,0.9511111111111111,0.4489009049369229,0.26256355813414345,0.44728755950927734
