node,node_type,layer,in_degree,out_degree,total_degree,model,band,draw
A1.1,attn,1,3,13,16,pythia-70m,low,draw_3
A1.2,attn,1,3,13,16,pythia-70m,low,draw_3
A1.3,attn,1,6,11,17,pythia-70m,low,draw_3
A1.5,attn,1,1,4,5,pythia-70m,low,draw_3
A1.6,attn,1,1,5,6,pythia-70m,low,draw_3
A1.7,attn,1,1,7,8,pythia-70m,low,draw_3
M1,mlp,1,10,26,36,pythia-70m,low,draw_3
A2.0,attn,2,0,3,3,pythia-70m,low,draw_3
A2.1,attn,2,3,14,17,pythia-70m,low,draw_3
A2.2,attn,2,4,7,11,pythia-70m,low,draw_3
A2.3,attn,2,1,7,8,pythia-70m,low,draw_3
A2.4,attn,2,6,9,15,pythia-70m,low,draw_3
A2.5,attn,2,3,5,8,pythia-70m,low,draw_3
A2.6,attn,2,6,11,17,pythia-70m,low,draw_3
A2.7,attn,2,8,11,19,pythia-70m,low,draw_3
M2,mlp,2,13,19,32,pythia-70m,low,draw_3
A3.0,attn,3,10,4,14,pythia-70m,low,draw_3
A3.1,attn,3,21,10,31,pythia-70m,low,draw_3
A3.2,attn,3,1,3,4,pythia-70m,low,draw_3
A3.3,attn,3,21,4,25,pythia-70m,low,draw_3
A3.4,attn,3,11,8,19,pythia-70m,low,draw_3
A3.5,attn,3,12,4,16,pythia-70m,low,draw_3
A3.6,attn,3,12,6,18,pythia-70m,low,draw_3
A3.7,attn,3,1,3,4,pythia-70m,low,draw_3
M3,mlp,3,26,12,38,pythia-70m,low,draw_3
A4.0,attn,4,2,2,4,pythia-70m,low,draw_3
A4.2,attn,4,2,2,4,pythia-70m,low,draw_3
A4.4,attn,4,9,2,11,pythia-70m,low,draw_3
A4.5,attn,4,2,2,4,pythia-70m,low,draw_3
A4.6,attn,4,8,2,10,pythia-70m,low,draw_3
A4.7,attn,4,13,2,15,pythia-70m,low,draw_3
M4,mlp,4,34,7,41,pythia-70m,low,draw_3
R5,resid,5,51,0,51,pythia-70m,low,draw_3
A5.0,attn,5,6,1,7,pythia-70m,low,draw_3
A5.1,attn,5,3,1,4,pythia-70m,low,draw_3
A5.2,attn,5,7,1,8,pythia-70m,low,draw_3
A5.3,attn,5,9,1,10,pythia-70m,low,draw_3
A5.5,attn,5,0,1,1,pythia-70m,low,draw_3
A5.6,attn,5,0,1,1,pythia-70m,low,draw_3
A5.7,attn,5,8,1,9,pythia-70m,low,draw_3
embed,embed,-1,0,18,18,pythia-70m,medium,draw_1
A0.0,attn,0,1,8,9,pythia-70m,medium,draw_1
A0.1,attn,0,1,13,14,pythia-70m,medium,draw_1
A0.2,attn,0,1,7,8,pythia-70m,medium,draw_1
A0.3,attn,0,1,23,24,pythia-70m,medium,draw_1
A0.4,attn,0,1,10,11,pythia-70m,medium,draw_1
A0.5,attn,0,1,15,16,pythia-70m,medium,draw_1
A0.6,attn,0,1,2,3,pythia-70m,medium,draw_1
A0.7,attn,0,1,17,18,pythia-70m,medium,draw_1
M0,mlp,0,1,32,33,pythia-70m,medium,draw_1
A2.0,attn,2,1,3,4,pythia-70m,medium,draw_1
A2.1,attn,2,4,13,17,pythia-70m,medium,draw_1
A1.1,attn,1,3,14,17,pythia-70m,medium,draw_1
A2.2,attn,2,5,7,12,pythia-70m,medium,draw_1
M1,mlp,1,10,25,35,pythia-70m,medium,draw_1
