structural,functional,rho,p_value,n,significant,model,scope
total_edges,circuit_accuracy,-0.3013106145695718,0.27512024952495,15,False,pythia-410m,within_model
total_edges,circuit_kl_div,0.2071428571428571,0.4588428049634703,15,False,pythia-410m,within_model
edge_fraction,retention_ratio,0.026809662179890417,0.9244408019594368,15,False,pythia-1b,within_model
edge_fraction,circuit_accuracy,-0.30091311254031666,0.2757853390761507,15,False,pythia-1b,within_model
edge_fraction,circuit_kl_div,0.42142857142857143,0.11769939585541633,15,False,pythia-1b,within_model
skip_fraction,retention_ratio,0.35567485158654616,0.19323721827732732,15,False,pythia-1b,within_model
skip_fraction,circuit_accuracy,0.11892374507581378,0.6729263449532411,15,False,pythia-1b,within_model
skip_fraction,circuit_kl_div,-0.10357142857142855,0.7133796306287293,15,False,pythia-1b,within_model
head_participation_rate,retention_ratio,0.14208839928850286,0.6134602800801342,15,False,pythia-1b,within_model
head_participation_rate,circuit_accuracy,-0.04895757002411831,0.8624433611396355,15,False,pythia-1b,within_model
head_participation_rate,circuit_kl_div,0.06289432567832845,0.8237880230155362,15,False,pythia-1b,within_model
attn_fraction,retention_ratio,0.4164434191942978,0.12256659709733675,15,False,pythia-1b,within_model
attn_fraction,circuit_accuracy,0.31712998686883676,0.2494344961557711,15,False,pythia-1b,within_model
attn_fraction,circuit_kl_div,0.09285714285714285,0.7420450099073672,15,False,pythia-1b,within_model
total_edges,retention_ratio,0.026809662179890417,0.9244408019594368,15,False,pythia-1b,within_model
total_edges,circuit_accuracy,-0.30091311254031666,0.2757853390761507,15,False,pythia-1b,within_model
total_edges,circuit_kl_div,0.42142857142857143,0.11769939585541633,15,False,pythia-1b,within_model
edge_fraction,retention_ratio,-0.7607142857142856,0.0009911286119823727,15,True,pythia-1.4b,within_model
edge_fraction,circuit_accuracy,-0.8139547907799867,0.000221730312902586,15,True,pythia-1.4b,within_model
edge_fraction,circuit_kl_div,0.5964285714285712,0.01893192468786518,15,True,pythia-1.4b,within_model
skip_fraction,retention_ratio,-0.44999999999999996,0.09235737494812248,15,False,pythia-1.4b,within_model
skip_fraction,circuit_accuracy,-0.5062619907488708,0.054149767737038904,15,False,pythia-1.4b,within_model
skip_fraction,circuit_kl_div,0.09285714285714285,0.7420450099073672,15,False,pythia-1.4b,within_model
head_participation_rate,retention_ratio,-0.6959711232341498,0.003954862448708836,15,True,pythia-1.4b,within_model
head_participation_rate,circuit_accuracy,-0.7079989780186523,0.0031424781007698328,15,True,pythia-1.4b,within_model
head_participation_rate,circuit_kl_div,0.679827463159131,0.005298537378795888,15,True,pythia-1.4b,within_model
attn_fraction,retention_ratio,-0.41785714285714276,0.12117253602187843,15,False,pythia-1.4b,within_model
attn_fraction,circuit_accuracy,-0.38282708841080687,0.15901459966253959,15,False,pythia-1.4b,within_model
attn_fraction,circuit_kl_div,0.2964285714285714,0.28335542843426303,15,False,pythia-1.4b,within_model
total_edges,retention_ratio,-0.7607142857142856,0.0009911286119823727,15,True,pythia-1.4b,within_model
total_edges,circuit_accuracy,-0.8139547907799867,0.000221730312902586,15,True,pythia-1.4b,within_model
total_edges,circuit_kl_div,0.5964285714285712,0.01893192468786518,15,True,pythia-1.4b,within_model
