circuit_id,model,band,draw,threshold,total_edges,total_possible_edges,edge_fraction,n_skip,n_input,n_output,n_local,n_forward,skip_fraction,input_fraction,output_fraction,local_fraction,forward_fraction,comp_attn_in,comp_mlp_in,comp_resid_post,attn_fraction,mlp_fraction,resid_fraction,active_heads,total_heads,head_participation_rate,mean_edges_per_head,max_edges_per_head,frequency_rank
pythia_70m_very_high_draw_2,pythia-70m,very_high,draw_2,0.00158,417,1324,0.3149546827794562,258,18,52,8,151,0.6187050359712231,0.04316546762589928,0.12470023980815348,0.019184652278177457,0.36211031175059955,245,120,52,0.5875299760191847,0.28776978417266186,0.12470023980815348,40,48,0.8333333333333334,6.125,22,4.0
pythia_70m_very_high_draw_3,pythia-70m,very_high,draw_3,0.00158,417,1324,0.3149546827794562,254,18,52,8,155,0.6091127098321343,0.04316546762589928,0.12470023980815348,0.019184652278177457,0.37170263788968827,242,123,52,0.580335731414868,0.2949640287769784,0.12470023980815348,40,48,0.8333333333333334,6.05,24,4.0
pythia_70m_control_draw_1,pythia-70m,control,draw_1,0.00158,435,1324,0.3285498489425982,271,17,52,8,156,0.6229885057471264,0.03908045977011494,0.11954022988505747,0.01839080459770115,0.3586206896551724,261,122,52,0.6,0.28045977011494255,0.11954022988505747,43,48,0.8958333333333334,6.069767441860465,22,
pythia_70m_control_draw_2,pythia-70m,control,draw_2,0.00158,410,1324,0.30966767371601206,256,18,51,7,147,0.624390243902439,0.04390243902439024,0.12439024390243902,0.01707317073170732,0.35853658536585364,238,121,51,0.5804878048780487,0.2951219512195122,0.12439024390243902,39,48,0.8125,6.102564102564102,22,
pythia_70m_control_draw_3,pythia-70m,control,draw_3,0.00158,426,1324,0.3217522658610272,262,17,53,8,156,0.6150234741784038,0.03990610328638498,0.12441314553990611,0.018779342723004695,0.36619718309859156,244,129,53,0.5727699530516432,0.3028169014084507,0.12441314553990611,43,48,0.8958333333333334,5.674418604651163,22,
pythia_160m_low_draw_1,pythia-160m,low,draw_1,0.000631,1463,11467,0.1275835004796372,1175,14,127,11,277,0.8031442241968558,0.009569377990430622,0.08680792891319207,0.007518796992481203,0.18933697881066303,840,496,127,0.5741626794258373,0.3390293916609706,0.08680792891319207,102,144,0.7083333333333334,8.235294117647058,38,1.0
pythia_160m_low_draw_2,pythia-160m,low,draw_2,0.000631,1483,11467,0.12932763582454,1190,16,126,10,283,0.8024275118004046,0.01078894133513149,0.08496291301416048,0.006743088334457181,0.19082939986513822,855,502,126,0.576534052596089,0.3385030343897505,0.08496291301416048,97,144,0.6736111111111112,8.814432989690722,40,1.0
pythia_160m_low_draw_3,pythia-160m,low,draw_3,0.000631,1408,11467,0.12278712828115462,1132,19,125,9,267,0.8039772727272727,0.013494318181818182,0.08877840909090909,0.006392045454545455,0.18963068181818182,783,500,125,0.5561079545454546,0.35511363636363635,0.08877840909090909,93,144,0.6458333333333334,8.419354838709678,38,1.0
pythia_160m_medium_draw_1,pythia-160m,medium,draw_1,0.000631,1446,11467,0.12610098543646986,1169,19,128,11,266,0.8084370677731674,0.01313969571230982,0.08852005532503458,0.007607192254495159,0.1839557399723375,823,495,128,0.5691562932226832,0.34232365145228216,0.08852005532503458,102,144,0.7083333333333334,8.068627450980392,41,2.0
pythia_160m_medium_draw_2,pythia-160m,medium,draw_2,0.000631,1513,11467,0.13194383884189412,1225,17,125,10,278,0.8096497025776602,0.011235955056179775,0.08261731658955718,0.006609385327164574,0.18374091209517515,886,502,125,0.5855915399867813,0.3317911434236616,0.08261731658955718,98,144,0.6805555555555556,9.040816326530612,44,2.0
pythia_160m_medium_draw_3,pythia-160m,medium,draw_3,0.000631,1475,11467,0.12862998168657888,1196,15,124,11,268,0.8108474576271186,0.010169491525423728,0.0840677966101695,0.007457627118644068,0.18169491525423728,859,492,124,0.5823728813559322,0.3335593220338983,0.0840677966101695,98,144,0.6805555555555556,8.76530612244898,41,2.0
pythia_160m_high_draw_1,pythia-160m,high,draw_1,0.000631,1360,11467,0.11860120345338798,1104,16,126,9,247,0.8117647058823529,0.011764705882352941,0.09264705882352942,0.006617647058823529,0.18161764705882352,749,485,126,0.5507352941176471,0.35661764705882354,0.09264705882352942,99,144,0.6875,7.565656565656566,42,3.0
pythia_160m_high_draw_2,pythia-160m,high,draw_2,0.000631,1454,11467,0.12679863957443097,1160,16,125,9,285,0.797799174690509,0.011004126547455296,0.0859697386519945,0.006189821182943604,0.19601100412654746,834,495,125,0.5735900962861072,0.3404401650618982,0.0859697386519945,99,144,0.6875,8.424242424242424,40,3.0
pythia_160m_high_draw_3,pythia-160m,high,draw_3,0.000631,1385,11467,0.12078137263451644,1118,15,126,9,258,0.8072202166064982,0.010830324909747292,0.09097472924187726,0.006498194945848376,0.18628158844765344,773,486,126,0.5581227436823105,0.35090252707581226,0.09097472924187726,97,144,0.6736111111111112,7.969072164948454,37,3.0
pythia_160m_very_high_draw_1,pythia-160m,very_high,draw_1,0.000631,1358,11467,0.11842678991889771,1072,14,124,9,277,0.7893961708394698,0.010309278350515464,0.09131075110456553,0.0066273932253313695,0.20397643593519882,751,483,124,0.553019145802651,0.3556701030927835,0.09131075110456553,98,144,0.6805555555555556,7.663265306122449,40,4.0
pythia_160m_very_high_draw_2,pythia-160m,very_high,draw_2,0.000631,1306,11467,0.11389203802215052,1024,19,124,9,273,0.7840735068912711,0.01454823889739663,0.09494640122511486,0.006891271056661562,0.20903522205206737,709,473,124,0.5428790199081164,0.36217457886676874,0.09494640122511486,92,144,0.6388888888888888,7.706521739130435,38,4.0
pythia_160m_very_high_draw_3,pythia-160m,very_high,draw_3,0.000631,1330,11467,0.11598500043603384,1042,19,124,9,279,0.7834586466165413,0.014285714285714285,0.09323308270676692,0.006766917293233083,0.20977443609022556,747,459,124,0.5616541353383459,0.3451127819548872,0.09323308270676692,98,144,0.6805555555555556,7.622448979591836,38,4.0
pythia_160m_control_draw_1,pythia-160m,control,draw_1,0.000631,1392,11467,0.12139182000523241,1120,20,126,9,263,0.8045977011494253,0.014367816091954023,0.09051724137931035,0.00646551724137931,0.18893678160919541,749,517,126,0.5380747126436781,0.3714080459770115,0.09051724137931035,98,144,0.6805555555555556,7.642857142857143,46,
pythia_160m_control_draw_2,pythia-160m,control,draw_2,0.000631,1380,11467,0.12034533879829075,1101,20,125,9,270,0.7978260869565217,0.014492753623188406,0.09057971014492754,0.006521739130434782,0.1956521739130435,777,478,125,0.5630434782608695,0.3463768115942029,0.09057971014492754,104,144,0.7222222222222222,7.471153846153846,40,
pythia_160m_control_draw_3,pythia-160m,control,draw_3,0.000631,1345,11467,0.1172931019447109,1092,17,127,9,244,0.8118959107806691,0.012639405204460967,0.09442379182156134,0.006691449814126394,0.18141263940520447,736,482,127,0.5472118959107807,0.35836431226765797,0.09442379182156134,98,144,0.6805555555555556,7.510204081632653,38,
pythia_410m_low_draw_1,pythia-410m,low,draw_1,0.000251,3957,80581,0.0491058686290813,3493,18,282,9,455,0.8827394490775841,0.004548900682335102,0.0712661106899166,0.002274450341167551,0.11498610058124842,2239,1436,282,0.565832701541572,0.3629011877685115,0.0712661106899166,234,384,0.609375,9.568376068376068,66,1.0
pythia_410m_low_draw_2,pythia-410m,low,draw_2,0.000251,3848,80581,0.04775319243990519,3419,12,266,7,422,0.8885135135135135,0.0031185031185031187,0.06912681912681913,0.0018191268191268192,0.10966735966735967,2210,1372,266,0.5743243243243243,0.35654885654885654,0.06912681912681913,212,384,0.5520833333333334,10.424528301886792,89,1.0
pythia_410m_low_draw_3,pythia-410m,low,draw_3,0.000251,4122,80581,0.05115349772278825,3668,19,276,8,446,0.8898592916060165,0.004609412906356138,0.06695778748180495,0.0019408054342552159,0.10819990295972828,2407,1439,276,0.5839398350315381,0.34910237748665696,0.06695778748180495,231,384,0.6015625,10.41991341991342,63,1.0
pythia_410m_medium_draw_1,pythia-410m,medium,draw_1,0.000251,3809,80581,0.04726920738139263,3388,14,264,6,415,0.8894723024415857,0.0036755053819900237,0.0693095300603833,0.0015752165922814387,0.10895248096613284,2153,1392,264,0.565240220530323,0.36545024940929377,0.0693095300603833,216,384,0.5625,9.967592592592593,69,2.0
pythia_410m_medium_draw_2,pythia-410m,medium,draw_2,0.000251,3709,80581,0.04602822005187327,3294,12,259,6,409,0.8881100026961445,0.0032353734160150984,0.06983014289565921,0.0016176867080075492,0.11027231059584794,2085,1365,259,0.5621461310326233,0.36802372607171746,0.06983014289565921,213,384,0.5546875,9.788732394366198,74,2.0
pythia_410m_medium_draw_3,pythia-410m,medium,draw_3,0.000251,3920,80581,0.04864670331715913,3466,13,271,6,448,0.8841836734693878,0.0033163265306122448,0.06913265306122449,0.001530612244897959,0.11428571428571428,2260,1389,271,0.576530612244898,0.35433673469387755,0.06913265306122449,222,384,0.578125,10.18018018018018,71,2.0
pythia_410m_high_draw_1,pythia-410m,high,draw_1,0.000251,3480,80581,0.04318635906727392,3054,16,258,5,421,0.8775862068965518,0.004597701149425287,0.07413793103448275,0.0014367816091954023,0.12097701149425287,1930,1292,258,0.5545977011494253,0.37126436781609196,0.07413793103448275,216,384,0.5625,8.935185185185185,60,3.0
pythia_410m_high_draw_2,pythia-410m,high,draw_2,0.000251,3483,80581,0.0432235886871595,3101,14,261,6,376,0.8903244329600919,0.004019523399368361,0.07493540051679587,0.0017226528854435831,0.10795291415446454,1959,1263,261,0.5624461670973299,0.36261843238587427,0.07493540051679587,201,384,0.5234375,9.746268656716419,62,3.0
pythia_410m_high_draw_3,pythia-410m,high,draw_3,0.000251,3379,80581,0.04193296186445936,2995,13,257,4,380,0.8863569103284995,0.0038472920982539215,0.07605800532701983,0.0011837821840781297,0.11245930748742232,1889,1233,257,0.5590411364308967,0.36490085824208346,0.07605800532701983,202,384,0.5260416666666666,9.351485148514852,72,3.0
pythia_410m_very_high_draw_1,pythia-410m,very_high,draw_1,0.000251,3131,80581,0.038855313287251336,2770,8,265,6,355,0.8847013733631428,0.0025550942190993293,0.08463749600766528,0.0019163206643244969,0.11338230597253274,1649,1217,265,0.5266687959118492,0.3886937080804855,0.08463749600766528,200,384,0.5208333333333334,8.245,53,4.0
pythia_410m_very_high_draw_2,pythia-410m,very_high,draw_2,0.000251,3476,80581,0.04313671957409315,3090,15,266,5,381,0.8889528193325662,0.00431530494821634,0.07652474108170311,0.0014384349827387803,0.10960874568469506,1916,1294,266,0.5512082853855006,0.3722669735327963,0.07652474108170311,217,384,0.5651041666666666,8.829493087557603,50,4.0
pythia_410m_very_high_draw_3,pythia-410m,very_high,draw_3,0.000251,3280,80581,0.04070438440823519,2888,15,264,5,387,0.8804878048780488,0.004573170731707317,0.08048780487804878,0.001524390243902439,0.11798780487804877,1738,1278,264,0.5298780487804878,0.3896341463414634,0.08048780487804878,215,384,0.5598958333333334,8.083720930232559,60,4.0
pythia_410m_control_draw_1,pythia-410m,control,draw_1,0.000251,3425,80581,0.04250381603603827,3070,12,271,6,349,0.8963503649635036,0.0035036496350364962,0.07912408759124087,0.0017518248175182481,0.1018978102189781,1869,1285,271,0.5456934306569343,0.37518248175182484,0.07912408759124087,220,384,0.5729166666666666,8.495454545454546,52,
pythia_410m_control_draw_2,pythia-410m,control,draw_2,0.000251,3317,80581,0.04116354972015736,2932,13,258,5,380,0.8839312631896292,0.003919204100090443,0.07778112752487187,0.0015073861923424782,0.11456135061802834,1778,1281,258,0.5360265299969852,0.3861923424781429,0.07778112752487187,216,384,0.5625,8.231481481481481,57,
pythia_410m_control_draw_3,pythia-410m,control,draw_3,0.000251,3382,80581,0.04197019148434494,3017,13,264,5,360,0.8920756948551153,0.00384387936132466,0.07806031933767002,0.0014784151389710231,0.10644589000591366,1838,1280,264,0.543465405085748,0.3784742755765819,0.07806031933767002,203,384,0.5286458333333334,9.054187192118226,49,
pythia_1b_low_draw_1,pythia-1b,low,draw_1,0.00158,972,10009,0.09711259866120492,758,5,69,5,209,0.779835390946502,0.0051440329218107,0.07098765432098765,0.0051440329218107,0.21502057613168724,594,309,69,0.6111111111111112,0.31790123456790126,0.07098765432098765,86,128,0.671875,6.906976744186046,31,1.0
pythia_1b_low_draw_2,pythia-1b,low,draw_2,0.00158,952,10009,0.0951143970426616,760,5,68,5,187,0.7983193277310925,0.005252100840336135,0.07142857142857142,0.005252100840336135,0.19642857142857142,588,296,68,0.6176470588235294,0.31092436974789917,0.07142857142857142,81,128,0.6328125,7.2592592592592595,34,1.0
pythia_1b_low_draw_3,pythia-1b,low,draw_3,0.00158,978,10009,0.09771205914676791,782,4,62,6,190,0.7995910020449898,0.00408997955010225,0.06339468302658487,0.006134969325153374,0.19427402862985685,615,301,62,0.6288343558282209,0.30777096114519426,0.06339468302658487,78,128,0.609375,7.884615384615385,40,1.0
pythia_1b_medium_draw_1,pythia-1b,medium,draw_1,0.00158,904,10009,0.09031871315815766,707,7,66,5,192,0.7820796460176991,0.007743362831858407,0.07300884955752213,0.0055309734513274336,0.21238938053097345,562,276,66,0.6216814159292036,0.3053097345132743,0.07300884955752213,75,128,0.5859375,7.493333333333333,40,2.0
pythia_1b_medium_draw_2,pythia-1b,medium,draw_2,0.00158,1007,10009,0.10060945149365572,796,7,70,4,207,0.7904667328699106,0.006951340615690168,0.06951340615690169,0.003972194637537239,0.20556107249255212,623,314,70,0.6186693147964251,0.3118172790466733,0.06951340615690169,86,128,0.671875,7.244186046511628,41,2.0
pythia_1b_medium_draw_3,pythia-1b,medium,draw_3,0.00158,900,10009,0.089919072834449,708,6,67,5,187,0.7866666666666666,0.006666666666666667,0.07444444444444444,0.005555555555555556,0.20777777777777778,547,286,67,0.6077777777777778,0.31777777777777777,0.07444444444444444,80,128,0.625,6.8375,31,2.0
pythia_1b_high_draw_1,pythia-1b,high,draw_1,0.00158,1002,10009,0.10010990108901988,798,6,72,7,197,0.7964071856287425,0.005988023952095809,0.0718562874251497,0.006986027944111776,0.1966067864271457,607,323,72,0.6057884231536926,0.3223552894211577,0.0718562874251497,80,128,0.625,7.5875,35,3.0
pythia_1b_high_draw_2,pythia-1b,high,draw_2,0.00158,902,10009,0.09011889299630332,701,5,69,7,194,0.7771618625277162,0.005543237250554324,0.07649667405764966,0.007760532150776054,0.21507760532150777,561,272,69,0.6219512195121951,0.30155210643015523,0.07649667405764966,82,128,0.640625,6.841463414634147,33,3.0
pythia_1b_high_draw_3,pythia-1b,high,draw_3,0.00158,945,10009,0.09441502647617145,755,4,65,6,184,0.798941798941799,0.004232804232804233,0.06878306878306878,0.006349206349206349,0.19470899470899472,594,286,65,0.6285714285714286,0.30264550264550266,0.06878306878306878,85,128,0.6640625,6.988235294117647,35,3.0
pythia_1b_very_high_draw_1,pythia-1b,very_high,draw_1,0.00158,817,10009,0.08162653611749425,639,4,67,7,171,0.7821297429620563,0.004895960832313341,0.08200734394124846,0.008567931456548347,0.20930232558139536,490,260,67,0.5997552019583844,0.3182374541003672,0.08200734394124846,74,128,0.578125,6.621621621621622,30,4.0
pythia_1b_very_high_draw_2,pythia-1b,very_high,draw_2,0.00158,911,10009,0.09101808372464781,717,4,70,7,187,0.7870472008781558,0.0043907793633369925,0.07683863885839737,0.007683863885839737,0.2052689352360044,568,273,70,0.6234906695938529,0.2996706915477497,0.07683863885839737,84,128,0.65625,6.761904761904762,32,4.0
pythia_1b_very_high_draw_3,pythia-1b,very_high,draw_3,0.00158,812,10009,0.08112698571285842,641,4,68,6,165,0.7894088669950738,0.0049261083743842365,0.08374384236453201,0.007389162561576354,0.20320197044334976,478,266,68,0.5886699507389163,0.3275862068965517,0.08374384236453201,74,128,0.578125,6.45945945945946,28,4.0
pythia_1b_control_draw_1,pythia-1b,control,draw_1,0.00158,928,10009,0.09271655510040963,740,4,66,5,183,0.7974137931034483,0.004310344827586207,0.07112068965517242,0.005387931034482759,0.19719827586206898,568,294,66,0.6120689655172413,0.3168103448275862,0.07112068965517242,75,128,0.5859375,7.573333333333333,34,
pythia_1b_control_draw_2,pythia-1b,control,draw_2,0.00158,823,10009,0.08222599660305725,663,5,69,6,154,0.8055893074119077,0.006075334143377886,0.08383961117861483,0.007290400972053463,0.18712029161603888,479,275,69,0.5820170109356014,0.33414337788578374,0.08383961117861483,75,128,0.5859375,6.386666666666667,27,
pythia_1b_control_draw_3,pythia-1b,control,draw_3,0.00158,870,10009,0.08692177040663403,703,6,65,5,162,0.8080459770114943,0.006896551724137931,0.07471264367816093,0.005747126436781609,0.18620689655172415,518,287,65,0.5954022988505747,0.32988505747126434,0.07471264367816093,76,128,0.59375,6.815789473684211,34,
pythia_1.4b_low_draw_1,pythia-1.4b,low,draw_1,0.000631,2507,80581,0.031111552351050495,2146,9,179,6,355,0.856003191065018,0.0035899481451934583,0.07140007977662545,0.0023932987634623054,0.14160351017151973,1531,797,179,0.6106900678101316,0.31790985241324293,0.07140007977662545,182,384,0.4739583333333333,8.412087912087912,51,1.0
pythia_1.4b_low_draw_2,pythia-1.4b,low,draw_2,0.000631,2589,80581,0.032129161961256376,2186,10,173,6,397,0.8443414445731943,0.003862495171881035,0.0668211664735419,0.002317497103128621,0.1533410583236771,1622,794,173,0.6264967168791039,0.3066821166473542,0.0668211664735419,185,384,0.4817708333333333,8.767567567567568,46,1.0
pythia_1.4b_low_draw_3,pythia-1.4b,low,draw_3,0.000631,2604,80581,0.032315310060684284,2231,10,169,6,367,0.8567588325652842,0.0038402457757296467,0.06490015360983103,0.002304147465437788,0.14093701996927804,1613,822,169,0.619431643625192,0.315668202764977,0.06490015360983103,182,384,0.4739583333333333,8.862637362637363,53,1.0
pythia_1.4b_medium_draw_1,pythia-1.4b,medium,draw_1,0.000631,2551,80581,0.03165758677603902,2109,19,173,4,438,0.826734613876911,0.007448059584476676,0.06781654253234026,0.0015680125441003528,0.17169737357898862,1627,751,173,0.6377891023128185,0.29439435515484125,0.06781654253234026,184,384,0.4791666666666667,8.842391304347826,52,2.0
pythia_1.4b_medium_draw_2,pythia-1.4b,medium,draw_2,0.000631,2451,80581,0.03041659944651965,2080,6,166,5,366,0.8486332109343125,0.0024479804161566705,0.06772745818033456,0.002039983680130559,0.14932680538555693,1544,741,166,0.6299469604243166,0.3023255813953488,0.06772745818033456,168,384,0.4375,9.19047619047619,50,2.0
pythia_1.4b_medium_draw_3,pythia-1.4b,medium,draw_3,0.000631,2453,80581,0.03044141919311004,2084,11,168,6,363,0.8495719527109662,0.004484304932735426,0.06848756624541377,0.0024459845087647777,0.14798206278026907,1478,807,168,0.6025275173257236,0.32898491642886263,0.06848756624541377,180,384,0.46875,8.21111111111111,50,2.0
pythia_1.4b_high_draw_1,pythia-1.4b,high,draw_1,0.000631,2162,80581,0.026830146064208686,1830,8,158,3,329,0.8464384828862165,0.0037002775208140612,0.0730804810360777,0.0013876040703052729,0.15217391304347827,1332,672,158,0.6160962072155411,0.3108233117483811,0.0730804810360777,161,384,0.4192708333333333,8.273291925465838,43,3.0
pythia_1.4b_high_draw_2,pythia-1.4b,high,draw_2,0.000631,2182,80581,0.02707834353011256,1856,8,152,7,319,0.8505957836846929,0.0036663611365719525,0.06966086159486709,0.0032080659945004585,0.1461961503208066,1377,653,152,0.6310724106324473,0.2992667277726856,0.06966086159486709,165,384,0.4296875,8.345454545454546,40,3.0
pythia_1.4b_high_draw_3,pythia-1.4b,high,draw_3,0.000631,2121,80581,0.026321341259105745,1789,8,163,4,328,0.8434700612918434,0.003771805752003772,0.07685054219707685,0.001885902876001886,0.15464403583215464,1308,650,163,0.6166902404526167,0.30645921735030646,0.07685054219707685,163,384,0.4244791666666667,8.024539877300613,42,3.0
pythia_1.4b_very_high_draw_1,pythia-1.4b,very_high,draw_1,0.000631,1940,80581,0.024075154192675693,1628,12,156,5,307,0.8391752577319588,0.006185567010309278,0.08041237113402062,0.002577319587628866,0.15824742268041236,1177,607,156,0.606701030927835,0.31288659793814433,0.08041237113402062,152,384,0.3958333333333333,7.743421052631579,39,4.0
pythia_1.4b_very_high_draw_2,pythia-1.4b,very_high,draw_2,0.000631,2025,80581,0.025129993422767154,1686,11,155,5,334,0.8325925925925926,0.005432098765432099,0.07654320987654321,0.0024691358024691358,0.16493827160493826,1227,643,155,0.605925925925926,0.31753086419753085,0.07654320987654321,163,384,0.4244791666666667,7.52760736196319,49,4.0
pythia_1.4b_very_high_draw_3,pythia-1.4b,very_high,draw_3,0.000631,2108,80581,0.026160012906268227,1755,12,149,6,347,0.8325426944971537,0.0056925996204933585,0.0706831119544592,0.0028462998102466793,0.16461100569259962,1304,655,149,0.618595825426945,0.31072106261859583,0.0706831119544592,167,384,0.4348958333333333,7.808383233532934,56,4.0
pythia_1.4b_control_draw_1,pythia-1.4b,control,draw_1,0.000631,2233,80581,0.027711247068167435,1891,14,166,7,335,0.8468428123600538,0.006269592476489028,0.07433945364979848,0.003134796238244514,0.15002239140170176,1378,689,166,0.6171070309001343,0.30855351545006715,0.07433945364979848,175,384,0.4557291666666667,7.8742857142857146,45,
pythia_1.4b_control_draw_2,pythia-1.4b,control,draw_2,0.000631,2221,80581,0.02756232858862511,1871,8,165,5,345,0.8424133273300315,0.0036019810895992796,0.07429085997298514,0.0022512381809995496,0.15533543448896894,1368,688,165,0.6159387663214768,0.30977037370553806,0.07429085997298514,163,384,0.4244791666666667,8.392638036809815,53,
pythia_1.4b_control_draw_3,pythia-1.4b,control,draw_3,0.000631,2006,80581,0.024894205830158476,1684,8,150,5,317,0.839481555333998,0.003988035892323031,0.07477567298105683,0.0024925224327018943,0.1580259222333001,1199,657,150,0.5977068793619142,0.3275174476570289,0.07477567298105683,156,384,0.40625,7.685897435897436,39,
