model,band,draw,layer,head,js_divergence
pythia-70m,medium,draw_1,4,4,0.016245802763680796
pythia-70m,medium,draw_1,4,5,0.011170250440652054
pythia-70m,medium,draw_1,4,6,0.021878149186953817
pythia-70m,medium,draw_1,4,7,0.014738562615486964
pythia-70m,medium,draw_1,5,0,0.007829484693536625
pythia-70m,medium,draw_1,5,1,0.016260491532511915
pythia-70m,medium,draw_1,5,2,0.011400702557193844
pythia-70m,medium,draw_1,5,3,0.011373588827929632
pythia-70m,medium,draw_1,5,4,0.010699101761306815
pythia-70m,medium,draw_1,5,5,0.009614045226506116
pythia-70m,medium,draw_1,5,6,0.04174589686964385
pythia-70m,medium,draw_1,5,7,0.005121426782829026
pythia-70m,medium,draw_2,0,0,0.0
pythia-70m,medium,draw_2,0,1,0.0
pythia-70m,medium,draw_2,0,2,0.0
pythia-70m,medium,draw_2,0,3,0.0
pythia-70m,medium,draw_2,0,4,0.0
pythia-70m,medium,draw_2,0,5,0.0
pythia-70m,medium,draw_2,0,6,0.0
pythia-70m,medium,draw_2,0,7,0.0
pythia-70m,medium,draw_2,1,0,0.0
pythia-70m,medium,draw_2,1,1,0.0
pythia-70m,medium,draw_2,1,2,0.0
pythia-70m,medium,draw_2,1,3,0.0
pythia-70m,medium,draw_2,1,4,0.0
pythia-70m,medium,draw_2,1,5,0.0
pythia-70m,medium,draw_2,1,6,0.0
pythia-70m,medium,draw_2,1,7,0.0
pythia-70m,medium,draw_2,2,0,0.0
pythia-70m,medium,draw_2,2,1,0.0
pythia-70m,medium,draw_2,2,2,0.0
pythia-70m,medium,draw_2,2,3,0.0
pythia-70m,medium,draw_2,2,4,0.0
pythia-70m,medium,draw_2,2,5,0.0
pythia-70m,medium,draw_2,2,6,0.0
pythia-70m,medium,draw_2,2,7,0.0
pythia-70m,medium,draw_2,3,0,0.0
pythia-70m,medium,draw_2,3,1,0.0
pythia-70m,medium,draw_2,3,2,0.0
pythia-70m,medium,draw_2,3,3,0.0
pythia-70m,medium,draw_2,3,4,0.0
pythia-70m,medium,draw_2,3,5,0.0
pythia-70m,medium,draw_2,3,6,0.0
pythia-70m,medium,draw_2,3,7,0.0
pythia-70m,medium,draw_2,4,0,0.0
pythia-70m,medium,draw_2,4,1,0.0
pythia-70m,medium,draw_2,4,2,0.0
pythia-70m,medium,draw_2,4,3,0.0
pythia-70m,medium,draw_2,4,4,0.0
pythia-70m,medium,draw_2,4,5,0.0
pythia-70m,medium,draw_2,4,6,0.0
pythia-70m,medium,draw_2,4,7,0.0
pythia-70m,medium,draw_2,5,0,0.00168980862930247
pythia-70m,medium,draw_2,5,1,0.00302063931162872
pythia-70m,medium,draw_2,5,2,0.0026247944790420016
pythia-70m,medium,draw_2,5,3,0.002927192977028841
pythia-70m,medium,draw_2,5,4,0.0032529192067999274
pythia-70m,medium,draw_2,5,5,0.001024364752277041
pythia-70m,medium,draw_2,5,6,0.01403879391916689
pythia-70m,medium,draw_2,5,7,0.0011363700794042733
pythia-70m,medium,draw_3,0,0,0.0
pythia-70m,medium,draw_3,0,1,0.0
pythia-70m,medium,draw_3,0,2,0.0
pythia-70m,medium,draw_3,0,3,0.0
pythia-70m,medium,draw_3,0,4,0.0
pythia-70m,medium,draw_3,0,5,0.0
pythia-70m,medium,draw_3,0,6,0.0
pythia-70m,medium,draw_3,0,7,0.0
pythia-70m,medium,draw_3,1,0,0.0
pythia-70m,medium,draw_3,1,1,0.0
pythia-70m,medium,draw_3,1,2,0.0
pythia-70m,medium,draw_3,1,3,0.0
pythia-70m,medium,draw_3,1,4,0.0
pythia-70m,medium,draw_3,1,5,0.0
pythia-70m,medium,draw_3,1,6,0.0
pythia-70m,medium,draw_3,1,7,0.0
pythia-70m,medium,draw_3,2,0,0.0
pythia-70m,medium,draw_3,2,1,0.0
pythia-70m,medium,draw_3,2,2,0.0
pythia-70m,medium,draw_3,2,3,0.0
pythia-70m,medium,draw_3,2,4,0.0
pythia-70m,medium,draw_3,2,5,0.0
pythia-70m,medium,draw_3,2,6,0.0
pythia-70m,medium,draw_3,2,7,0.0
pythia-70m,medium,draw_3,3,0,0.0
pythia-70m,medium,draw_3,3,1,0.0
pythia-70m,medium,draw_3,3,2,0.0
pythia-70m,medium,draw_3,3,3,0.0
pythia-70m,medium,draw_3,3,4,0.0
pythia-70m,medium,draw_3,3,5,0.0
pythia-70m,medium,draw_3,3,6,0.0
pythia-70m,medium,draw_3,3,7,0.0
pythia-70m,medium,draw_3,4,0,0.0
pythia-70m,medium,draw_3,4,1,0.0
pythia-70m,medium,draw_3,4,2,0.0
pythia-70m,medium,draw_3,4,3,0.0
pythia-70m,medium,draw_3,4,4,0.0
pythia-70m,medium,draw_3,4,5,0.0
pythia-70m,medium,draw_3,4,6,0.0
pythia-70m,medium,draw_3,4,7,0.0
pythia-70m,medium,draw_3,5,0,0.0006149132699299446
pythia-70m,medium,draw_3,5,1,0.002960527048593198
pythia-70m,medium,draw_3,5,2,0.0013543088640387076
pythia-70m,medium,draw_3,5,3,0.0011962771415116487
pythia-70m,medium,draw_3,5,4,0.0006306044770178725
pythia-70m,medium,draw_3,5,5,0.0005645896935534508
pythia-70m,medium,draw_3,5,6,0.002339650582378553
pythia-70m,medium,draw_3,5,7,0.001758339590943608
pythia-70m,high,draw_1,0,0,0.0
pythia-70m,high,draw_1,0,1,0.0
pythia-70m,high,draw_1,0,2,0.0
pythia-70m,high,draw_1,0,3,0.0
pythia-70m,high,draw_1,0,4,0.0
pythia-70m,high,draw_1,0,5,0.0
pythia-70m,high,draw_1,0,6,0.0
pythia-70m,high,draw_1,0,7,0.0
pythia-70m,high,draw_1,1,0,0.0
pythia-70m,high,draw_1,1,1,0.0
pythia-70m,high,draw_1,1,2,0.0
pythia-70m,high,draw_1,1,3,0.0
pythia-70m,high,draw_1,1,4,0.0
