model,draw,band,layer,head,entropy_base,entropy_circuit,delta_entropy
pythia-70m,draw_1,medium,4,7,0.9327455163002014,0.9455634951591492,0.012817978858947754
pythia-70m,draw_1,medium,5,0,0.8337772488594055,0.8272930383682251,-0.00648421049118042
pythia-70m,draw_1,medium,5,1,0.6336775422096252,0.6390045881271362,0.005327045917510986
pythia-70m,draw_1,medium,5,2,0.2807864248752594,0.28477227687835693,0.003985852003097534
pythia-70m,draw_1,medium,5,3,0.1699081808328628,0.18425896763801575,0.014350786805152949
pythia-70m,draw_1,medium,5,4,0.1435620933771133,0.14418697357177734,0.000624880194664057
pythia-70m,draw_1,medium,5,5,0.4384602606296539,0.4385738670825958,0.00011360645294195004
pythia-70m,draw_1,medium,5,6,0.1585777103900909,0.1535329818725586,-0.005044728517532293
pythia-70m,draw_1,medium,5,7,0.649930477142334,0.6572023034095764,0.007271826267242432
pythia-70m,draw_1,high,0,0,3.835721492767334,3.835721492767334,0.0
pythia-70m,draw_1,high,0,1,2.5898685455322266,2.5898685455322266,0.0
pythia-70m,draw_1,high,0,2,2.359574317932129,2.359574317932129,0.0
pythia-70m,draw_1,high,0,3,0.6358572244644165,0.6358572244644165,0.0
pythia-70m,draw_1,high,0,4,2.141677141189575,2.141677141189575,0.0
pythia-70m,draw_1,high,0,5,1.82796323299408,1.8279632329940796,-4.440892098500626e-16
pythia-70m,draw_1,high,0,6,2.069877862930298,2.069877862930298,0.0
pythia-70m,draw_1,high,0,7,2.173943996429444,2.1739439964294434,-4.440892098500626e-16
pythia-70m,draw_1,high,1,0,3.644697189331055,3.6446971893310547,-4.440892098500626e-16
pythia-70m,draw_1,high,1,1,2.1692185401916504,2.1692185401916504,0.0
pythia-70m,draw_1,high,1,2,2.423814535140991,2.423814535140991,0.0
pythia-70m,draw_1,high,1,3,2.981019973754883,2.981019973754883,0.0
pythia-70m,draw_1,high,1,4,3.304757595062256,3.304757595062256,0.0
pythia-70m,draw_1,high,1,5,3.2342746257781982,3.2342746257781982,0.0
pythia-70m,draw_1,high,1,6,3.4487972259521484,3.4487972259521484,0.0
pythia-70m,draw_1,high,1,7,1.8262397050857544,1.8262397050857544,0.0
pythia-70m,draw_1,high,2,0,3.297546625137329,3.3087737560272217,0.011227130889892578
pythia-70m,draw_1,high,2,1,0.7133200168609619,0.7093795537948608,-0.003940463066101074
pythia-70m,draw_1,high,2,2,3.713862895965576,3.7145884037017822,0.0007255077362060547
pythia-70m,draw_1,high,2,3,3.322610378265381,3.3208789825439453,-0.0017313957214355469
pythia-70m,draw_1,high,2,4,2.0117995738983154,2.0026891231536865,-0.009110450744628906
pythia-70m,draw_1,high,2,5,3.852768659591675,3.8574864864349365,0.004717826843261719
pythia-70m,draw_1,high,2,6,1.6435288190841677,1.6315969228744507,-0.011931896209717019
pythia-70m,draw_1,high,2,7,2.666339635848999,2.662322521209717,-0.0040171146392822266
pythia-70m,draw_1,high,3,0,1.915635347366333,1.9270734786987305,0.011438131332397461
pythia-70m,draw_1,high,3,1,0.951434850692749,0.9532042145729065,0.0017693638801574707
pythia-70m,draw_1,high,3,2,3.786505460739136,3.786269426345825,-0.00023603439331099096
pythia-70m,draw_1,high,3,3,2.6448655128479004,2.6794967651367188,0.03463125228881836
pythia-70m,draw_1,high,3,4,3.149747133255005,3.1515228748321533,0.0017757415771484375
pythia-70m,draw_1,high,3,5,0.730100154876709,0.7129780650138855,-0.017122089862823486
