model,draw,source_band,test_band,n_edges,ablation,accuracy,top5_accuracy,source_variant,test_variant
pythia-410m,draw_3,low,very_low,4122,tokenwise_mean_corrupt,0.6977777777777778,0.9422222222222222,matched,unmatched
pythia-410m,draw_3,low,low,4122,tokenwise_mean_corrupt,0.7066666666666667,0.9555555555555556,matched,matched
pythia-410m,draw_3,low,medium,4122,tokenwise_mean_corrupt,0.6355555555555555,0.96,matched,matched
pythia-410m,draw_3,low,high,4122,tokenwise_mean_corrupt,0.6311111111111111,0.9288888888888888,matched,matched
pythia-410m,draw_3,low,very_high,4122,tokenwise_mean_corrupt,0.6088888888888889,0.8577777777777778,matched,matched
pythia-410m,draw_3,low,control,4122,tokenwise_mean_corrupt,0.56,0.8488888888888889,matched,matched
pythia-410m,draw_3,medium,very_low,3920,tokenwise_mean_corrupt,0.04,0.0755555555555555,matched,unmatched
pythia-410m,draw_3,medium,low,3920,tokenwise_mean_corrupt,0.0,0.0,matched,matched
pythia-410m,draw_3,medium,medium,3920,tokenwise_mean_corrupt,0.0,0.0,matched,matched
pythia-410m,draw_3,medium,high,3920,tokenwise_mean_corrupt,0.2266666666666666,0.3866666666666666,matched,matched
pythia-410m,draw_3,medium,very_high,3920,tokenwise_mean_corrupt,0.3066666666666666,0.5644444444444444,matched,matched
pythia-410m,draw_3,medium,control,3920,tokenwise_mean_corrupt,0.0844444444444444,0.1911111111111111,matched,matched
pythia-410m,draw_3,high,very_low,3379,tokenwise_mean_corrupt,0.24,0.5911111111111111,matched,unmatched
pythia-410m,draw_3,high,low,3379,tokenwise_mean_corrupt,0.1955555555555555,0.5422222222222223,matched,matched
pythia-410m,draw_3,high,medium,3379,tokenwise_mean_corrupt,0.1422222222222222,0.44,matched,matched
pythia-410m,draw_3,high,high,3379,tokenwise_mean_corrupt,0.28,0.52,matched,matched
pythia-410m,draw_3,high,very_high,3379,tokenwise_mean_corrupt,0.2888888888888888,0.6044444444444445,matched,matched
pythia-410m,draw_3,high,control,3379,tokenwise_mean_corrupt,0.2533333333333333,0.5777777777777777,matched,matched
pythia-410m,draw_3,very_high,very_low,3280,tokenwise_mean_corrupt,0.5511111111111111,0.8266666666666667,matched,unmatched
pythia-410m,draw_3,very_high,low,3280,tokenwise_mean_corrupt,0.3244444444444444,0.5511111111111111,matched,matched
pythia-410m,draw_3,very_high,medium,3280,tokenwise_mean_corrupt,0.3422222222222222,0.44,matched,matched
pythia-410m,draw_3,very_high,high,3280,tokenwise_mean_corrupt,0.5066666666666667,0.7333333333333333,matched,matched
pythia-410m,draw_3,very_high,very_high,3280,tokenwise_mean_corrupt,0.6444444444444445,0.8355555555555556,matched,matched
pythia-410m,draw_3,very_high,control,3280,tokenwise_mean_corrupt,0.5688888888888889,0.8,matched,matched
pythia-410m,draw_3,control,very_low,3382,tokenwise_mean_corrupt,0.5422222222222223,0.7377777777777778,matched,unmatched
pythia-410m,draw_3,control,low,3382,tokenwise_mean_corrupt,0.4933333333333333,0.7733333333333333,matched,matched
pythia-410m,draw_3,control,medium,3382,tokenwise_mean_corrupt,0.4444444444444444,0.6755555555555556,matched,matched
pythia-410m,draw_3,control,high,3382,tokenwise_mean_corrupt,0.4844444444444444,0.7422222222222222,matched,matched
pythia-410m,draw_3,control,very_high,3382,tokenwise_mean_corrupt,0.4355555555555555,0.72,matched,matched
pythia-410m,draw_3,control,control,3382,tokenwise_mean_corrupt,0.5555555555555556,0.7911111111111111,matched,matched
