model,draw,layer,attn_mi,mlp_mi,mlp_advantage
pythia-1b,draw_3,11,1.2833097738864416,0.8486158714736476,-0.43469390241279404
pythia-1b,draw_3,12,1.4271804869457454,0.918609452096973,-0.5085710348487724
pythia-1b,draw_3,13,1.3682980719552795,0.9935952547824275,-0.37470281717285203
pythia-1b,draw_3,14,1.1340053854654046,0.9799772972119005,-0.15402808825350411
pythia-1b,draw_3,15,1.4159574947221316,0.9013043520676901,-0.5146531426544415
pythia-1.4b,draw_1,0,1.1643072808501997,0.8592059460715696,-0.3051013347786301
pythia-1.4b,draw_1,1,0.9519193099077531,0.8193205868057226,-0.13259872310203047
pythia-1.4b,draw_1,2,1.1392340325095711,0.4164853530348746,-0.7227486794746965
pythia-1.4b,draw_1,3,1.208376850938008,0.7526410639229113,-0.45573578701509665
pythia-1.4b,draw_1,4,0.9690401599971254,0.7086644312035237,-0.2603757287936017
pythia-1.4b,draw_1,5,0.9474154465890662,0.8028256696924319,-0.14458977689663433
pythia-1.4b,draw_1,6,1.075451403789616,0.7891072869007553,-0.28634411688886063
pythia-1.4b,draw_1,7,0.9445112903753989,0.7390237184556234,-0.2054875719197755
pythia-1.4b,draw_1,8,1.0616300900826934,0.7868906793179531,-0.2747394107647403
pythia-1.4b,draw_1,9,0.794656409654084,0.6885183796790364,-0.10613802997504762
pythia-1.4b,draw_1,10,0.741194561582734,0.7196760572397972,-0.021518504342936784
pythia-1.4b,draw_1,11,1.073508851496491,0.8058524957540583,-0.26765635574243274
pythia-1.4b,draw_1,12,1.0315881257775663,0.9039849190867952,-0.12760320669077108
pythia-1.4b,draw_1,13,0.9540887333011246,0.9108546002947122,-0.043234133006412434
pythia-1.4b,draw_1,14,1.0259190364208046,0.7995588077948412,-0.2263602286259634
pythia-1.4b,draw_1,15,1.3135142457426159,0.8683477457562548,-0.44516649998636104
pythia-1.4b,draw_1,16,1.4766297712091556,0.8017465863250796,-0.6748831848840761
pythia-1.4b,draw_1,17,1.4544046039224798,0.8265559340032009,-0.6278486699192789
pythia-1.4b,draw_1,18,1.333551781245606,0.8738298197102716,-0.4597219615353343
pythia-1.4b,draw_1,19,1.592799427190166,0.8481875025546232,-0.7446119246355428
pythia-1.4b,draw_1,20,1.3951681029694942,0.9367823104270201,-0.45838579254247414
pythia-1.4b,draw_1,21,1.7182676516274185,0.8868191774617602,-0.8314484741656583
pythia-1.4b,draw_1,22,1.0109515389600645,1.0338230671737298,0.022871528213665338
pythia-1.4b,draw_1,23,1.2169785627926222,0.9453936533106483,-0.2715849094819739
pythia-1.4b,draw_2,0,1.1283386504068218,0.8798453354729799,-0.24849331493384186
pythia-1.4b,draw_2,1,0.9025608976792281,0.9278650291126217,0.025304131433393606
pythia-1.4b,draw_2,2,1.2268726319155576,0.39985259142458296,-0.8270200404909747
pythia-1.4b,draw_2,3,1.359261108775379,0.8022471102178537,-0.5570139985575253
pythia-1.4b,draw_2,4,1.013242277451953,0.6939621557414692,-0.3192801217104837
pythia-1.4b,draw_2,5,0.9410443529458802,0.8139510375935225,-0.12709331535235768
pythia-1.4b,draw_2,6,1.0644071366276497,0.7524240725586206,-0.3119830640690291
pythia-1.4b,draw_2,7,0.9545411758053084,0.6692372153562564,-0.28530396044905204
pythia-1.4b,draw_2,8,1.0252235951710238,0.7400606774780324,-0.2851629176929914
