model,draw,layer,mi,efficiency,d_model,model_capacity
pythia-160m,draw_2,9,0.7319758976139134,0.000953093616684783,768,160
pythia-160m,draw_2,10,0.780321902991826,0.0010160441445206069,768,160
pythia-160m,draw_2,11,0.706723511506589,0.0009202129056075377,768,160
pythia-160m,draw_3,0,0.882677506231046,0.0011493196695716746,768,160
pythia-160m,draw_3,1,0.845021128659188,0.001100287927941651,768,160
pythia-160m,draw_3,2,0.7996843876287163,0.0010412557130582243,768,160
pythia-160m,draw_3,3,0.7923468913509328,0.0010317016814465271,768,160
pythia-160m,draw_3,4,0.84967804745115,0.0011063516242853517,768,160
pythia-160m,draw_3,5,0.8600128376577609,0.0011198083823668761,768,160
pythia-160m,draw_3,6,0.8965985893284821,0.0011674460798547944,768,160
pythia-160m,draw_3,7,0.8330499202639017,0.0010847004170102886,768,160
pythia-160m,draw_3,8,0.7205366073539172,0.0009381987074920797,768,160
pythia-160m,draw_3,9,0.6885765266369644,0.0008965840190585475,768,160
pythia-160m,draw_3,10,0.7518296721822151,0.0009789448856539259,768,160
pythia-160m,draw_3,11,0.6865003302014205,0.0008938806382830997,768,160
pythia-410m,draw_1,0,0.8611591287619128,0.0008409757116815555,1024,410
pythia-410m,draw_1,1,0.9416801880590706,0.0009196095586514361,1024,410
pythia-410m,draw_1,2,0.934405427199008,0.0009125052999990312,1024,410
pythia-410m,draw_1,3,0.9710024421597402,0.0009482445724216213,1024,410
pythia-410m,draw_1,4,0.8809618934434736,0.0008603143490658922,1024,410
pythia-410m,draw_1,5,0.8521989503101973,0.0008322255374123021,1024,410
pythia-410m,draw_1,6,0.8729976398664796,0.000852536757682109,1024,410
pythia-410m,draw_1,7,0.8371541340590613,0.000817533334042052,1024,410
pythia-410m,draw_1,8,0.801289851448677,0.0007825096205553487,1024,410
pythia-410m,draw_1,9,0.7766524036786321,0.0007584496129674141,1024,410
pythia-410m,draw_1,10,0.8212973927931284,0.0008020482351495395,1024,410
pythia-410m,draw_1,11,0.8770198942301647,0.0008564647404591452,1024,410
pythia-410m,draw_1,12,0.852423127562329,0.0008324444605100869,1024,410
pythia-410m,draw_1,13,0.8351636460993866,0.0008155894981439323,1024,410
pythia-410m,draw_1,14,0.879710882439943,0.0008590926586327568,1024,410
pythia-410m,draw_1,15,0.9048553667880066,0.0008836478191289127,1024,410
pythia-410m,draw_1,16,0.9499205042604224,0.0009276567424418188,1024,410
pythia-410m,draw_1,17,0.874034330561721,0.0008535491509391806,1024,410
pythia-410m,draw_1,18,0.7877205879483178,0.0007692583866682791,1024,410
pythia-410m,draw_1,19,0.8101702632013711,0.000791181897657589,1024,410
pythia-410m,draw_1,20,0.7576072653463861,0.0007398508450648302,1024,410
pythia-410m,draw_1,21,0.7771727170385396,0.0007589577314829489,1024,410
pythia-410m,draw_1,22,0.8643631392581098,0.0008441046281817479,1024,410
pythia-410m,draw_1,23,0.9778881944393776,0.0009549689398822047,1024,410
pythia-410m,draw_2,0,0.8933733637120653,0.0008724349255000638,1024,410
pythia-410m,draw_2,1,0.9726761683440093,0.0009498790706484466,1024,410
pythia-410m,draw_2,2,0.9573266285219675,0.0009348892856659839,1024,410
pythia-410m,draw_2,3,1.0100090606814893,0.000986336973321767,1024,410
pythia-410m,draw_2,4,0.9360954769733961,0.0009141557392318322,1024,410
pythia-410m,draw_2,5,0.9042023548396216,0.000883010112148068,1024,410
pythia-410m,draw_2,6,0.9027595848219954,0.0008816011570527298,1024,410
pythia-410m,draw_2,7,0.8764710203649779,0.0008559287308251738,1024,410
pythia-410m,draw_2,8,0.8728368530886689,0.0008523797393444032,1024,410
pythia-410m,draw_2,9,0.9022012997131752,0.0008810559567511477,1024,410
pythia-410m,draw_2,10,0.9163898632064849,0.0008949119757875829,1024,410
pythia-410m,draw_2,11,0.8947348474008363,0.0008737644994148792,1024,410
pythia-410m,draw_2,12,0.891961772596072,0.0008710564185508516,1024,410
pythia-410m,draw_2,13,0.8872975229581129,0.0008665014872637822,1024,410
pythia-410m,draw_2,14,0.9246829326755828,0.0009030106764409988,1024,410
pythia-410m,draw_2,15,0.9794776376509804,0.0009565211305185355,1024,410
pythia-410m,draw_2,16,0.9937840010281578,0.0009704921885040603,1024,410
pythia-410m,draw_2,17,0.8982855720429965,0.0008772320039482388,1024,410
pythia-410m,draw_2,18,0.8146055281276835,0.0007955132110621909,1024,410
pythia-410m,draw_2,19,0.8489986661347186,0.0008291002598971862,1024,410
pythia-410m,draw_2,20,0.8146154526416728,0.0007955229029703836,1024,410
pythia-410m,draw_2,21,0.8087693195320546,0.000789813788605522,1024,410
pythia-410m,draw_2,22,0.9248060770409036,0.0009031309346102574,1024,410
pythia-410m,draw_2,23,1.0221014438772276,0.000998145941286355,1024,410
pythia-410m,draw_3,0,0.8515934913031323,0.0008316342688507152,1024,410
pythia-410m,draw_3,1,0.9501603651918423,0.0009278909816326585,1024,410
pythia-410m,draw_3,2,0.9347736289061578,0.0009128648719786697,1024,410
pythia-410m,draw_3,3,0.9698169318869908,0.0009470868475458895,1024,410
pythia-410m,draw_3,4,0.9201862652378752,0.0008986193996463625,1024,410
pythia-410m,draw_3,5,0.8630642287181437,0.0008428361608575622,1024,410
pythia-410m,draw_3,6,0.8791146691750997,0.0008585104191163083,1024,410
pythia-410m,draw_3,7,0.8719378287800109,0.0008515017859179794,1024,410
pythia-410m,draw_3,8,0.8884874388596773,0.0008676635145114036,1024,410
pythia-410m,draw_3,9,0.8578712140567729,0.0008377648574773173,1024,410
pythia-410m,draw_3,10,0.918951451997322,0.0008974135273411347,1024,410
pythia-410m,draw_3,11,0.8389622642432598,0.0008192990861750584,1024,410
pythia-410m,draw_3,12,0.8299111178546695,0.0008104600760299507,1024,410
pythia-410m,draw_3,13,0.8556482020195748,0.000835593947284741,1024,410
pythia-410m,draw_3,14,0.8954870168609085,0.0008744990399032309,1024,410
pythia-410m,draw_3,15,0.9234398503673401,0.0009017967288743556,1024,410
pythia-410m,draw_3,16,0.9345775921492464,0.0009126734298332484,1024,410
pythia-410m,draw_3,17,0.8455034306424796,0.0008256869439867965,1024,410
pythia-410m,draw_3,18,0.7660656916678055,0.0007481110270193413,1024,410
pythia-410m,draw_3,19,0.812242369024107,0.0007932054385001045,1024,410
pythia-410m,draw_3,20,0.7668134435981557,0.000748841253513824,1024,410
pythia-410m,draw_3,21,0.7594243779977461,0.0007416253691384239,1024,410
pythia-410m,draw_3,22,0.8871750644657027,0.0008663818988922878,1024,410
pythia-410m,draw_3,23,0.939777558815238,0.0009177515222805058,1024,410
pythia-1b,draw_1,0,1.0930626244250436,0.0005337219845825408,2048,1000
pythia-1b,draw_1,1,1.0847493333380098,0.0005296627604189501,2048,1000
pythia-1b,draw_1,2,1.0205943352445375,0.0004983370777561218,2048,1000
pythia-1b,draw_1,3,1.000708616806449,0.0004886272543000239,2048,1000
pythia-1b,draw_1,4,0.9571570506337491,0.0004673618411297603,2048,1000
pythia-1b,draw_1,5,0.9734283156105293,0.0004753067947317038,2048,1000
pythia-1b,draw_1,6,0.9344032464254765,0.0004562515851686897,2048,1000
pythia-1b,draw_1,7,0.9026946280845078,0.0004407688613693886,2048,1000
pythia-1b,draw_1,8,0.8651728590515685,0.0004224476850837737,2048,1000
pythia-1b,draw_1,9,0.9084545381575454,0.00044358131745973896,2048,1000
pythia-1b,draw_1,10,0.9873022912560004,0.00048208119690234397,2048,1000
pythia-1b,draw_1,11,1.123808612660131,0.0005487346741504546,2048,1000
pythia-1b,draw_1,12,1.1960723893357668,0.0005840197213553549,2048,1000
pythia-1b,draw_1,13,1.2246518504763797,0.0005979745363654198,2048,1000
pythia-1b,draw_1,14,1.206839852212778,0.0005892772715882705,2048,1000
pythia-1b,draw_1,15,1.1013261290034189,0.0005377568989274506,2048,1000
pythia-1b,draw_2,0,1.1556501944363133,0.0005642823215021061,2048,1000
pythia-1b,draw_2,1,1.1021979916652598,0.0005381826131178026,2048,1000
pythia-1b,draw_2,2,1.0257840724327942,0.0005008711291175753,2048,1000
pythia-1b,draw_2,3,1.0415828904960598,0.0005085853957500292,2048,1000
pythia-1b,draw_2,4,1.0538582735610493,0.0005145792351372311,2048,1000
pythia-1b,draw_2,5,1.0351878460066382,0.0005054628154329288,2048,1000
pythia-1b,draw_2,6,1.0209466729173142,0.0004985091176354073,2048,1000
pythia-1b,draw_2,7,0.9847674349417457,0.00048084347409264926,2048,1000
pythia-1b,draw_2,8,0.9473493642340954,0.0004625729317549294,2048,1000
pythia-1b,draw_2,9,0.9846716958997304,0.0004807967265135402,2048,1000
pythia-1b,draw_2,10,1.0535534239584772,0.0005144303827922252,2048,1000
pythia-1b,draw_2,11,1.1764334347420526,0.0005744303880576429,2048,1000
pythia-1b,draw_2,12,1.1686039461353919,0.0005706073955739218,2048,1000
pythia-1b,draw_2,13,1.197708686605872,0.0005848186946317734,2048,1000
pythia-1b,draw_2,14,1.1932944505637448,0.0005826633059393285,2048,1000
pythia-1b,draw_2,15,1.0964335799697067,0.0005353679589695833,2048,1000
pythia-1b,draw_3,0,1.1003401588920914,0.000537275468209029,2048,1000
pythia-1b,draw_3,1,1.0905508362557643,0.0005324955255155099,2048,1000
pythia-1b,draw_3,2,1.0395814559046688,0.0005076081327659515,2048,1000
pythia-1b,draw_3,3,1.0198192464460494,0.000497958616428735,2048,1000
pythia-1b,draw_3,4,1.006586194941019,0.0004914971654985445,2048,1000
pythia-1b,draw_3,5,1.021298118014188,0.0004986807216866152,2048,1000
pythia-1b,draw_3,6,0.9652841590060618,0.0004713301557646786,2048,1000
pythia-1b,draw_3,7,0.9793411759036412,0.0004781939335466998,2048,1000
pythia-1b,draw_3,8,0.9396918273328969,0.00045883390006489107,2048,1000
pythia-1b,draw_3,9,0.9614159928500906,0.0004694414027588333,2048,1000
pythia-1b,draw_3,10,1.0219175886853227,0.0004989831976002552,2048,1000
pythia-1b,draw_3,11,1.1387736465067688,0.0005560418195833832,2048,1000
pythia-1b,draw_3,12,1.1479294164008385,0.0005605124103519719,2048,1000
pythia-1b,draw_3,13,1.1904227417007107,0.0005812611043460502,2048,1000
pythia-1b,draw_3,14,1.1766569828053175,0.0005745395423854089,2048,1000
pythia-1b,draw_3,15,1.0621598282497202,0.0005186327286375587,2048,1000
pythia-1.4b,draw_1,0,0.9951427706010411,0.0004859095559575396,2048,1400
pythia-1.4b,draw_1,1,1.0540543869149375,0.0005146749936108093,2048,1400
pythia-1.4b,draw_1,2,1.0218617408233295,0.0004989559281363913,2048,1400
pythia-1.4b,draw_1,3,0.998385999479472,0.00048749316380833596,2048,1400
pythia-1.4b,draw_1,4,0.9842159176497435,0.0004805741785399138,2048,1400
pythia-1.4b,draw_1,5,0.9490614694872075,0.00046340892064805053,2048,1400
pythia-1.4b,draw_1,6,0.9805191965270322,0.00047876913892921496,2048,1400
pythia-1.4b,draw_1,7,0.8688831532648834,0.00042425935218011885,2048,1400
pythia-1.4b,draw_1,8,0.8804955415613916,0.00042992946365302327,2048,1400
pythia-1.4b,draw_1,9,0.8406588799818022,0.00041047796874111437,2048,1400
pythia-1.4b,draw_1,10,0.9684177850365707,0.00047286024659988805,2048,1400
pythia-1.4b,draw_1,11,1.0294867707263222,0.000502679087268712,2048,1400
pythia-1.4b,draw_1,12,1.056929564134325,0.0005160788887374634,2048,1400
pythia-1.4b,draw_1,13,1.0710797512336285,0.0005229881597820452,2048,1400
pythia-1.4b,draw_1,14,1.0619581532967128,0.0005185342545394106,2048,1400
pythia-1.4b,draw_1,15,1.1040885785897254,0.0005391057512645144,2048,1400
pythia-1.4b,draw_1,16,1.1430166229088252,0.0005581135854046998,2048,1400
pythia-1.4b,draw_1,17,1.1654200366506018,0.0005690527522708017,2048,1400
pythia-1.4b,draw_1,18,1.1646584953564119,0.000568680905935748,2048,1400
pythia-1.4b,draw_1,19,1.1761179695753419,0.0005742763523317099,2048,1400
pythia-1.4b,draw_1,20,1.1835984248905589,0.0005779289184035932,2048,1400
pythia-1.4b,draw_1,21,1.1944262520590054,0.0005832159433881862,2048,1400
pythia-1.4b,draw_1,22,1.1999214199977224,0.0005858991308582629,2048,1400
pythia-1.4b,draw_1,23,1.126880449384571,0.0005502345944260601,2048,1400
pythia-1.4b,draw_2,0,0.9963073311791989,0.0004864781890523432,2048,1400
pythia-1.4b,draw_2,1,1.1283155370603475,0.0005509353208302478,2048,1400
pythia-1.4b,draw_2,2,1.152886413080117,0.0005629328188867759,2048,1400
pythia-1.4b,draw_2,3,1.0939349771899054,0.0005341479380810085,2048,1400
pythia-1.4b,draw_2,4,1.0565489849999,0.0005158930590819824,2048,1400
pythia-1.4b,draw_2,5,1.0112238367053885,0.000493761639016303,2048,1400
pythia-1.4b,draw_2,6,0.9883419752851161,0.0004825888551196856,2048,1400
pythia-1.4b,draw_2,7,0.9059051904973778,0.00044233651879754777,2048,1400
pythia-1.4b,draw_2,8,0.918770238170611,0.00044861828035674365,2048,1400
pythia-1.4b,draw_2,9,0.9023734417958951,0.0004406120321269019,2048,1400
pythia-1.4b,draw_2,10,0.9039860936883568,0.00044139945980876797,2048,1400
pythia-1.4b,draw_2,11,0.9938923787040299,0.0004852990130390771,2048,1400
pythia-1.4b,draw_2,12,1.0511400136825293,0.0005132519598059225,2048,1400
pythia-1.4b,draw_2,13,1.0464078671846446,0.0005109413413987523,2048,1400
pythia-1.4b,draw_2,14,1.0064232387390535,0.0004914175970405535,2048,1400
pythia-1.4b,draw_2,15,1.0416751165728535,0.0005086304280140886,2048,1400
pythia-1.4b,draw_2,16,1.0909718247960234,0.0005327010863261833,2048,1400
pythia-1.4b,draw_2,17,1.108659575887698,0.0005413376835389151,2048,1400
pythia-1.4b,draw_2,18,1.1145707907233031,0.0005442240189078629,2048,1400
pythia-1.4b,draw_2,19,1.1112573841968987,0.0005426061446273919,2048,1400
pythia-1.4b,draw_2,20,1.1246478779819562,0.000549144471670877,2048,1400
pythia-1.4b,draw_2,21,1.1449033300252613,0.0005590348291138971,2048,1400
pythia-1.4b,draw_2,22,1.1349256278797049,0.0005541629042381371,2048,1400
pythia-1.4b,draw_2,23,1.0941851187728087,0.0005342700775257855,2048,1400
pythia-1.4b,draw_3,0,0.9715155595763758,0.00047437283182440225,2048,1400
pythia-1.4b,draw_3,1,1.1068853995985746,0.0005404713865227415,2048,1400
pythia-1.4b,draw_3,2,1.1001240454025931,0.0005371699440442349,2048,1400
pythia-1.4b,draw_3,3,1.0444931759371168,0.0005100064335630453,2048,1400
pythia-1.4b,draw_3,4,0.9954827043918295,0.000486075539253823,2048,1400
pythia-1.4b,draw_3,5,0.9834566017271978,0.0004802034188121083,2048,1400
pythia-1.4b,draw_3,6,0.9343697930203031,0.00045623525049819487,2048,1400
pythia-1.4b,draw_3,7,0.8955763398988376,0.0004372931347162293,2048,1400
pythia-1.4b,draw_3,8,0.8715009367226345,0.0004255375667590989,2048,1400
pythia-1.4b,draw_3,9,0.8198787830972558,0.00040033143705920694,2048,1400
pythia-1.4b,draw_3,10,0.8642926757389467,0.0004220179080756576,2048,1400
pythia-1.4b,draw_3,11,1.0072072396334988,0.0004918004099772943,2048,1400
pythia-1.4b,draw_3,12,1.0033874078601357,0.0004899352577442069,2048,1400
pythia-1.4b,draw_3,13,1.0050844027194819,0.000490763868515372,2048,1400
pythia-1.4b,draw_3,14,1.0149894161724518,0.000495600300865455,2048,1400
pythia-1.4b,draw_3,15,1.0157813533191884,0.000495986988925385,2048,1400
pythia-1.4b,draw_3,16,1.0382667147377755,0.0005069661693055545,2048,1400
pythia-1.4b,draw_3,17,1.0444020753564438,0.0005099619508576386,2048,1400
pythia-1.4b,draw_3,18,1.0502569223428797,0.0005128207628627342,2048,1400
pythia-1.4b,draw_3,19,1.080758823772231,0.0005277142694200347,2048,1400
pythia-1.4b,draw_3,20,1.0769533058736358,0.0005258561063836112,2048,1400
pythia-1.4b,draw_3,21,1.0940099356198636,0.0005341845388768865,2048,1400
pythia-1.4b,draw_3,22,1.0769714516342375,0.00052586496661828,2048,1400
pythia-1.4b,draw_3,23,1.0534040452125528,0.0005143574439514418,2048,1400
