model,draw,layer,delta_mi,cumulative_mi
pythia-410m,draw_2,23,0.097295366836324,1.0221014438772276
pythia-410m,draw_3,0,0.8515934913031323,0.8515934913031323
pythia-410m,draw_3,1,0.09856687388871,0.9501603651918423
pythia-410m,draw_3,2,-0.015386736285684544,0.9347736289061578
pythia-410m,draw_3,3,0.035043302980833024,0.9698169318869908
pythia-410m,draw_3,4,-0.04963066664911564,0.9201862652378752
pythia-410m,draw_3,5,-0.05712203651973147,0.8630642287181437
pythia-410m,draw_3,6,0.016050440456956028,0.8791146691750997
pythia-410m,draw_3,7,-0.007176840395088813,0.8719378287800109
pythia-410m,draw_3,8,0.016549610079666377,0.8884874388596773
pythia-410m,draw_3,9,-0.03061622480290438,0.8578712140567729
pythia-410m,draw_3,10,0.061080237940549065,0.918951451997322
pythia-410m,draw_3,11,-0.07998918775406216,0.8389622642432598
pythia-410m,draw_3,12,-0.009051146388590281,0.8299111178546695
pythia-410m,draw_3,13,0.025737084164905277,0.8556482020195748
pythia-410m,draw_3,14,0.03983881484133367,0.8954870168609085
pythia-410m,draw_3,15,0.02795283350643163,0.9234398503673401
pythia-410m,draw_3,16,0.011137741781906296,0.9345775921492464
pythia-410m,draw_3,17,-0.08907416150676684,0.8455034306424796
pythia-410m,draw_3,18,-0.0794377389746741,0.7660656916678055
pythia-410m,draw_3,19,0.04617667735630149,0.812242369024107
pythia-410m,draw_3,20,-0.04542892542595123,0.7668134435981557
pythia-410m,draw_3,21,-0.007389065600409639,0.7594243779977461
pythia-410m,draw_3,22,0.12775068646795662,0.8871750644657027
pythia-410m,draw_3,23,0.052602494349535234,0.939777558815238
pythia-1b,draw_1,0,1.0930626244250436,1.0930626244250436
pythia-1b,draw_1,1,-0.008313291087033825,1.0847493333380098
pythia-1b,draw_1,2,-0.06415499809347236,1.0205943352445375
pythia-1b,draw_1,3,-0.019885718438088507,1.000708616806449
pythia-1b,draw_1,4,-0.04355156617269984,0.9571570506337491
pythia-1b,draw_1,5,0.01627126497678022,0.9734283156105293
pythia-1b,draw_1,6,-0.039025069185052885,0.9344032464254765
pythia-1b,draw_1,7,-0.03170861834096861,0.9026946280845078
pythia-1b,draw_1,8,-0.037521769032939356,0.8651728590515685
pythia-1b,draw_1,9,0.04328167910597691,0.9084545381575454
pythia-1b,draw_1,10,0.07884775309845504,0.9873022912560004
pythia-1b,draw_1,11,0.13650632140413055,1.123808612660131
pythia-1b,draw_1,12,0.07226377667563577,1.1960723893357668
pythia-1b,draw_1,13,0.02857946114061294,1.2246518504763797
pythia-1b,draw_1,14,-0.017811998263601803,1.206839852212778
pythia-1b,draw_1,15,-0.10551372320935903,1.1013261290034189
pythia-1b,draw_2,0,1.1556501944363133,1.1556501944363133
pythia-1b,draw_2,1,-0.05345220277105356,1.1021979916652598
pythia-1b,draw_2,2,-0.07641391923246554,1.0257840724327942
pythia-1b,draw_2,3,0.01579881806326555,1.0415828904960598
pythia-1b,draw_2,4,0.012275383064989542,1.0538582735610493
pythia-1b,draw_2,5,-0.018670427554411173,1.0351878460066382
pythia-1b,draw_2,6,-0.014241173089323933,1.0209466729173142
pythia-1b,draw_2,7,-0.036179237975568546,0.9847674349417457
pythia-1b,draw_2,8,-0.03741807070765024,0.9473493642340954
pythia-1b,draw_2,9,0.03732233166563492,0.9846716958997304
pythia-1b,draw_2,10,0.06888172805874682,1.0535534239584772
pythia-1b,draw_2,11,0.12288001078357547,1.1764334347420526
pythia-1b,draw_2,12,-0.007829488606660773,1.1686039461353919
pythia-1b,draw_2,13,0.02910474047048006,1.197708686605872
pythia-1b,draw_2,14,-0.004414236042127095,1.1932944505637448
pythia-1b,draw_2,15,-0.09686087059403814,1.0964335799697067
pythia-1b,draw_3,0,1.1003401588920914,1.1003401588920914
pythia-1b,draw_3,1,-0.009789322636327036,1.0905508362557643
pythia-1b,draw_3,2,-0.05096938035109555,1.0395814559046688
pythia-1b,draw_3,3,-0.019762209458619395,1.0198192464460494
pythia-1b,draw_3,4,-0.013233051505030291,1.006586194941019
pythia-1b,draw_3,5,0.014711923073168931,1.021298118014188
pythia-1b,draw_3,6,-0.056013959008126224,0.9652841590060618
pythia-1b,draw_3,7,0.014057016897579433,0.9793411759036412
pythia-1b,draw_3,8,-0.039649348570744314,0.9396918273328969
pythia-1b,draw_3,9,0.021724165517193694,0.9614159928500906
pythia-1b,draw_3,10,0.06050159583523207,1.0219175886853227
pythia-1b,draw_3,11,0.11685605782144615,1.1387736465067688
pythia-1b,draw_3,12,0.009155769894069632,1.1479294164008385
pythia-1b,draw_3,13,0.042493325299872264,1.1904227417007107
pythia-1b,draw_3,14,-0.01376575889539322,1.1766569828053175
pythia-1b,draw_3,15,-0.11449715455559728,1.0621598282497202
pythia-1.4b,draw_1,0,0.9951427706010411,0.9951427706010411
pythia-1.4b,draw_1,1,0.05891161631389641,1.0540543869149375
pythia-1.4b,draw_1,2,-0.03219264609160799,1.0218617408233295
pythia-1.4b,draw_1,3,-0.023475741343857437,0.998385999479472
pythia-1.4b,draw_1,4,-0.014170081829728565,0.9842159176497435
pythia-1.4b,draw_1,5,-0.03515444816253599,0.9490614694872075
pythia-1.4b,draw_1,6,0.031457727039824745,0.9805191965270322
pythia-1.4b,draw_1,7,-0.11163604326214882,0.8688831532648834
pythia-1.4b,draw_1,8,0.011612388296508236,0.8804955415613916
pythia-1.4b,draw_1,9,-0.03983666157958943,0.8406588799818022
pythia-1.4b,draw_1,10,0.1277589050547685,0.9684177850365707
pythia-1.4b,draw_1,11,0.0610689856897515,1.0294867707263222
pythia-1.4b,draw_1,12,0.02744279340800282,1.056929564134325
pythia-1.4b,draw_1,13,0.01415018709930349,1.0710797512336285
pythia-1.4b,draw_1,14,-0.009121597936915693,1.0619581532967128
pythia-1.4b,draw_1,15,0.042130425293012586,1.1040885785897254
pythia-1.4b,draw_1,16,0.0389280443190998,1.1430166229088252
pythia-1.4b,draw_1,17,0.022403413741776568,1.1654200366506018
pythia-1.4b,draw_1,18,-0.0007615412941899269,1.1646584953564119
pythia-1.4b,draw_1,19,0.01145947421893001,1.1761179695753419
pythia-1.4b,draw_1,20,0.007480455315217016,1.1835984248905589
pythia-1.4b,draw_1,21,0.010827827168446547,1.1944262520590054
pythia-1.4b,draw_1,22,0.0054951679387169605,1.1999214199977224
pythia-1.4b,draw_1,23,-0.0730409706131514,1.126880449384571
pythia-1.4b,draw_2,0,0.9963073311791989,0.9963073311791989
pythia-1.4b,draw_2,1,0.1320082058811486,1.1283155370603475
pythia-1.4b,draw_2,2,0.024570876019769594,1.152886413080117
pythia-1.4b,draw_2,3,-0.05895143589021168,1.0939349771899054
pythia-1.4b,draw_2,4,-0.03738599219000549,1.0565489849999
pythia-1.4b,draw_2,5,-0.0453251482945114,1.0112238367053885
pythia-1.4b,draw_2,6,-0.022881861420272376,0.9883419752851161
pythia-1.4b,draw_2,7,-0.0824367847877383,0.9059051904973778
pythia-1.4b,draw_2,8,0.012865047673233154,0.918770238170611
pythia-1.4b,draw_2,9,-0.016396796374715916,0.9023734417958951
pythia-1.4b,draw_2,10,0.0016126518924617361,0.9039860936883568
pythia-1.4b,draw_2,11,0.0899062850156731,0.9938923787040299
pythia-1.4b,draw_2,12,0.057247634978499384,1.0511400136825293
pythia-1.4b,draw_2,13,-0.0047321464978846706,1.0464078671846446
pythia-1.4b,draw_2,14,-0.03998462844559114,1.0064232387390535
pythia-1.4b,draw_2,15,0.035251877833800016,1.0416751165728535
pythia-1.4b,draw_2,16,0.049296708223169894,1.0909718247960234
pythia-1.4b,draw_2,17,0.01768775109167464,1.108659575887698
pythia-1.4b,draw_2,18,0.005911214835605083,1.1145707907233031
pythia-1.4b,draw_2,19,-0.0033134065264044388,1.1112573841968987
pythia-1.4b,draw_2,20,0.013390493785057522,1.1246478779819562
pythia-1.4b,draw_2,21,0.020255452043305144,1.1449033300252613
pythia-1.4b,draw_2,22,-0.009977702145556488,1.1349256278797049
pythia-1.4b,draw_2,23,-0.040740509106896194,1.0941851187728087
pythia-1.4b,draw_3,0,0.9715155595763758,0.9715155595763758
pythia-1.4b,draw_3,1,0.13536984002219876,1.1068853995985746
pythia-1.4b,draw_3,2,-0.0067613541959814505,1.1001240454025931
pythia-1.4b,draw_3,3,-0.05563086946547635,1.0444931759371168
pythia-1.4b,draw_3,4,-0.04901047154528726,0.9954827043918295
pythia-1.4b,draw_3,5,-0.012026102664631666,0.9834566017271978
pythia-1.4b,draw_3,6,-0.04908680870689475,0.9343697930203031
pythia-1.4b,draw_3,7,-0.03879345312146554,0.8955763398988376
pythia-1.4b,draw_3,8,-0.024075403176203047,0.8715009367226345
pythia-1.4b,draw_3,9,-0.0516221536253787,0.8198787830972558
pythia-1.4b,draw_3,10,0.04441389264169093,0.8642926757389467
pythia-1.4b,draw_3,11,0.14291456389455204,1.0072072396334988
pythia-1.4b,draw_3,12,-0.0038198317733630915,1.0033874078601357
pythia-1.4b,draw_3,13,0.001696994859346157,1.0050844027194819
pythia-1.4b,draw_3,14,0.009905013452969902,1.0149894161724518
pythia-1.4b,draw_3,15,0.0007919371467366432,1.0157813533191884
pythia-1.4b,draw_3,16,0.022485361418587146,1.0382667147377755
pythia-1.4b,draw_3,17,0.006135360618668262,1.0444020753564438
pythia-1.4b,draw_3,18,0.005854846986435902,1.0502569223428797
pythia-1.4b,draw_3,19,0.030501901429351275,1.080758823772231
pythia-1.4b,draw_3,20,-0.0038055178985951787,1.0769533058736358
pythia-1.4b,draw_3,21,0.01705662974622779,1.0940099356198636
pythia-1.4b,draw_3,22,-0.01703848398562613,1.0769714516342375
pythia-1.4b,draw_3,23,-0.023567406421684645,1.0534040452125528
