model,draw,band_1,band_2,layer_name,layer_idx,cka
pythia-160m,draw_2,low,medium,final,11,0.0627039926598012
pythia-160m,draw_2,low,high,early,1,0.4112557337202877
pythia-160m,draw_2,low,high,middle,6,0.19838370112208997
pythia-160m,draw_2,low,high,final,11,0.06870886426576475
pythia-160m,draw_2,low,very_high,early,1,0.42214156916714113
pythia-160m,draw_2,low,very_high,middle,6,0.1928422586538685
pythia-160m,draw_2,low,very_high,final,11,0.07334419698172244
pythia-160m,draw_2,low,control,early,1,0.42819178125132945
pythia-160m,draw_2,low,control,middle,6,0.18863113667735013
pythia-160m,draw_2,low,control,final,11,0.05709350872347974
pythia-160m,draw_2,medium,high,early,1,0.4187703590635771
pythia-160m,draw_2,medium,high,middle,6,0.19182288893158128
pythia-160m,draw_2,medium,high,final,11,0.06930656258513214
pythia-160m,draw_2,medium,very_high,early,1,0.4311785152990596
pythia-160m,draw_2,medium,very_high,middle,6,0.19154416531542193
pythia-160m,draw_2,medium,very_high,final,11,0.08313654015970745
pythia-160m,draw_2,medium,control,early,1,0.4259165428346395
pythia-160m,draw_2,medium,control,middle,6,0.1841244767639455
pythia-160m,draw_2,medium,control,final,11,0.058799105349689226
pythia-160m,draw_2,high,very_high,early,1,0.4172339370567113
pythia-160m,draw_2,high,very_high,middle,6,0.18279147721365807
pythia-160m,draw_2,high,very_high,final,11,0.06547953862771534
pythia-160m,draw_2,high,control,early,1,0.4111271698057122
pythia-160m,draw_2,high,control,middle,6,0.17533090585062758
pythia-160m,draw_2,high,control,final,11,0.06582493218805818
pythia-160m,draw_2,very_high,control,early,1,0.42508246036030084
pythia-160m,draw_2,very_high,control,middle,6,0.17410399922691244
pythia-160m,draw_2,very_high,control,final,11,0.05893570173602625
pythia-160m,draw_3,low,medium,early,1,0.40842645904145536
pythia-160m,draw_3,low,medium,middle,6,0.20983084058140167
pythia-160m,draw_3,low,medium,final,11,0.0615646172019677
pythia-160m,draw_3,low,high,early,1,0.4111833460883325
pythia-160m,draw_3,low,high,middle,6,0.20966920608543896
pythia-160m,draw_3,low,high,final,11,0.0585695123745755
pythia-160m,draw_3,low,very_high,early,1,0.40401977626696056
pythia-160m,draw_3,low,very_high,middle,6,0.20896267689719067
pythia-160m,draw_3,low,very_high,final,11,0.058725604043323706
pythia-160m,draw_3,low,control,early,1,0.4201971163178591
pythia-160m,draw_3,low,control,middle,6,0.20974332172657034
pythia-160m,draw_3,low,control,final,11,0.06386911871365811
pythia-160m,draw_3,medium,high,early,1,0.4150963930976286
pythia-160m,draw_3,medium,high,middle,6,0.1920371004778936
pythia-160m,draw_3,medium,high,final,11,0.06604085645497723
pythia-160m,draw_3,medium,very_high,early,1,0.40519557113411186
pythia-160m,draw_3,medium,very_high,middle,6,0.19584394678764236
pythia-160m,draw_3,medium,very_high,final,11,0.060068253704218415
pythia-160m,draw_3,medium,control,early,1,0.4223555303649929
pythia-160m,draw_3,medium,control,middle,6,0.18270116764816696
pythia-160m,draw_3,medium,control,final,11,0.06822285348943233
pythia-160m,draw_3,high,very_high,early,1,0.40569139389169395
pythia-160m,draw_3,high,very_high,middle,6,0.18638621829206042
pythia-160m,draw_3,high,very_high,final,11,0.06331982063713729
pythia-160m,draw_3,high,control,early,1,0.4164320471444029
pythia-160m,draw_3,high,control,middle,6,0.18529662391273652
pythia-160m,draw_3,high,control,final,11,0.06043916163826725
pythia-160m,draw_3,very_high,control,early,1,0.4160164232235422
pythia-160m,draw_3,very_high,control,middle,6,0.19141980662152702
pythia-160m,draw_3,very_high,control,final,11,0.052407203067001557
pythia-410m,draw_1,low,medium,early,1,0.5138000907987166
pythia-410m,draw_1,low,medium,middle,12,0.3547850435377068
pythia-410m,draw_1,low,medium,final,23,0.19065371780549595
pythia-410m,draw_1,low,high,early,1,0.49509535463112997
pythia-410m,draw_1,low,high,middle,12,0.34362954209857616
pythia-410m,draw_1,low,high,final,23,0.20312389055450034
pythia-410m,draw_1,low,very_high,early,1,0.48385773003669036
pythia-410m,draw_1,low,very_high,middle,12,0.3633649647846096
pythia-410m,draw_1,low,very_high,final,23,0.21063403366643568
pythia-410m,draw_1,low,control,early,1,0.5087198677202247
