model,band,draw,status,n_examples,circuit_edges,file_size_mb,extraction_time_s,filename,timestamp
pythia-160m,high,draw_2,success,225,1454,53.7,2.2,pythia_160m_high_draw_2_circuit.npz,2026-02-27
pythia-160m,high,draw_3,success,225,1385,53.7,2.1,pythia_160m_high_draw_3_circuit.npz,2026-02-27
pythia-160m,very_high,draw_1,success,225,1358,53.7,2.0,pythia_160m_very_high_draw_1_circuit.npz,2026-02-27
pythia-160m,very_high,draw_2,success,225,1306,53.7,2.0,pythia_160m_very_high_draw_2_circuit.npz,2026-02-27
pythia-160m,very_high,draw_3,success,225,1330,53.7,2.0,pythia_160m_very_high_draw_3_circuit.npz,2026-02-27
pythia-160m,control,draw_1,success,225,1392,53.7,2.0,pythia_160m_control_draw_1_circuit.npz,2026-02-27
pythia-160m,control,draw_2,success,225,1380,53.7,2.0,pythia_160m_control_draw_2_circuit.npz,2026-02-27
pythia-160m,control,draw_3,success,225,1345,53.7,2.0,pythia_160m_control_draw_3_circuit.npz,2026-02-27
pythia-410m,low,draw_1,success,225,3957,142.5,5.4,pythia_410m_low_draw_1_circuit.npz,2026-02-27
pythia-410m,low,draw_2,success,225,3848,142.5,5.3,pythia_410m_low_draw_2_circuit.npz,2026-02-27
pythia-410m,low,draw_3,success,225,4122,142.5,5.4,pythia_410m_low_draw_3_circuit.npz,2026-02-27
pythia-410m,medium,draw_1,success,225,3809,142.5,5.4,pythia_410m_medium_draw_1_circuit.npz,2026-02-27
pythia-410m,medium,draw_2,success,225,3709,142.5,5.3,pythia_410m_medium_draw_2_circuit.npz,2026-02-27
pythia-410m,medium,draw_3,success,225,3920,142.5,5.3,pythia_410m_medium_draw_3_circuit.npz,2026-02-27
pythia-410m,high,draw_1,success,225,3480,142.4,5.3,pythia_410m_high_draw_1_circuit.npz,2026-02-27
pythia-410m,high,draw_2,success,225,3483,142.4,5.3,pythia_410m_high_draw_2_circuit.npz,2026-02-27
pythia-410m,high,draw_3,success,225,3379,142.4,5.3,pythia_410m_high_draw_3_circuit.npz,2026-02-27
pythia-410m,very_high,draw_1,success,225,3131,142.4,5.3,pythia_410m_very_high_draw_1_circuit.npz,2026-02-27
pythia-410m,very_high,draw_2,success,225,3476,142.4,5.3,pythia_410m_very_high_draw_2_circuit.npz,2026-02-27
pythia-410m,very_high,draw_3,success,225,3280,142.4,5.3,pythia_410m_very_high_draw_3_circuit.npz,2026-02-27
pythia-410m,control,draw_1,success,225,3425,142.4,5.3,pythia_410m_control_draw_1_circuit.npz,2026-02-27
pythia-410m,control,draw_2,success,225,3317,142.4,5.3,pythia_410m_control_draw_2_circuit.npz,2026-02-27
pythia-410m,control,draw_3,success,225,3382,142.4,5.3,pythia_410m_control_draw_3_circuit.npz,2026-02-27
pythia-1b,low,draw_1,success,225,972,182.8,6.7,pythia_1b_low_draw_1_circuit.npz,2026-02-27
pythia-1b,low,draw_2,success,225,952,182.8,6.8,pythia_1b_low_draw_2_circuit.npz,2026-02-27
pythia-1b,low,draw_3,success,225,978,182.8,6.8,pythia_1b_low_draw_3_circuit.npz,2026-02-27
pythia-1b,medium,draw_1,success,225,904,182.8,6.8,pythia_1b_medium_draw_1_circuit.npz,2026-02-27
pythia-1b,medium,draw_2,success,225,1007,182.8,6.7,pythia_1b_medium_draw_2_circuit.npz,2026-02-27
pythia-1b,medium,draw_3,success,225,900,182.8,6.7,pythia_1b_medium_draw_3_circuit.npz,2026-02-27
pythia-1b,high,draw_1,success,225,1002,182.7,6.7,pythia_1b_high_draw_1_circuit.npz,2026-02-27
pythia-1b,high,draw_2,success,225,902,182.7,6.7,pythia_1b_high_draw_2_circuit.npz,2026-02-27
pythia-1b,high,draw_3,success,225,945,182.7,6.7,pythia_1b_high_draw_3_circuit.npz,2026-02-27
pythia-1b,very_high,draw_1,success,225,817,182.7,6.7,pythia_1b_very_high_draw_1_circuit.npz,2026-02-27
pythia-1b,very_high,draw_2,success,225,911,182.6,6.7,pythia_1b_very_high_draw_2_circuit.npz,2026-02-27
pythia-1b,very_high,draw_3,success,225,812,182.6,6.9,pythia_1b_very_high_draw_3_circuit.npz,2026-02-27
pythia-1b,control,draw_1,success,225,928,182.7,6.7,pythia_1b_control_draw_1_circuit.npz,2026-02-27
pythia-1b,control,draw_2,success,225,823,182.7,6.7,pythia_1b_control_draw_2_circuit.npz,2026-02-27
pythia-1b,control,draw_3,success,225,870,182.7,6.9,pythia_1b_control_draw_3_circuit.npz,2026-02-27
