model,band,draw,status,n_examples,n_layers,n_heads,d_model,file_size_mb,extraction_time_s,filename,timestamp
pythia-410m,low,draw_2,success,225,24,16,1024,153.3,7.6,pythia_410m_low_draw_2.npz,2026-02-27
pythia-410m,low,draw_3,success,225,24,16,1024,153.3,7.6,pythia_410m_low_draw_3.npz,2026-02-27
pythia-410m,medium,draw_1,success,225,24,16,1024,153.3,7.6,pythia_410m_medium_draw_1.npz,2026-02-27
pythia-410m,medium,draw_2,success,225,24,16,1024,153.3,7.5,pythia_410m_medium_draw_2.npz,2026-02-27
pythia-410m,medium,draw_3,success,225,24,16,1024,153.3,7.6,pythia_410m_medium_draw_3.npz,2026-02-27
pythia-410m,high,draw_1,success,225,24,16,1024,153.3,7.5,pythia_410m_high_draw_1.npz,2026-02-27
pythia-410m,high,draw_2,success,225,24,16,1024,153.3,7.6,pythia_410m_high_draw_2.npz,2026-02-27
pythia-410m,high,draw_3,success,225,24,16,1024,153.3,7.5,pythia_410m_high_draw_3.npz,2026-02-27
pythia-410m,very_high,draw_1,success,225,24,16,1024,153.2,7.5,pythia_410m_very_high_draw_1.npz,2026-02-27
pythia-410m,very_high,draw_2,success,225,24,16,1024,153.2,7.5,pythia_410m_very_high_draw_2.npz,2026-02-27
pythia-410m,very_high,draw_3,success,225,24,16,1024,153.2,7.5,pythia_410m_very_high_draw_3.npz,2026-02-27
pythia-410m,control,draw_1,success,225,24,16,1024,153.2,7.6,pythia_410m_control_draw_1.npz,2026-02-27
pythia-410m,control,draw_2,success,225,24,16,1024,153.2,7.5,pythia_410m_control_draw_2.npz,2026-02-27
pythia-410m,control,draw_3,success,225,24,16,1024,153.2,7.5,pythia_410m_control_draw_3.npz,2026-02-27
pythia-1b,low,draw_1,success,225,16,8,2048,200.1,10.9,pythia_1b_low_draw_1.npz,2026-02-27
pythia-1b,low,draw_2,success,225,16,8,2048,200.1,10.9,pythia_1b_low_draw_2.npz,2026-02-27
pythia-1b,low,draw_3,success,225,16,8,2048,200.1,10.9,pythia_1b_low_draw_3.npz,2026-02-27
pythia-1b,medium,draw_1,success,225,16,8,2048,200.1,10.9,pythia_1b_medium_draw_1.npz,2026-02-27
pythia-1b,medium,draw_2,success,225,16,8,2048,200.1,10.9,pythia_1b_medium_draw_2.npz,2026-02-27
pythia-1b,medium,draw_3,success,225,16,8,2048,200.1,10.9,pythia_1b_medium_draw_3.npz,2026-02-27
pythia-1b,high,draw_1,success,225,16,8,2048,200.0,10.9,pythia_1b_high_draw_1.npz,2026-02-27
pythia-1b,high,draw_2,success,225,16,8,2048,200.0,10.9,pythia_1b_high_draw_2.npz,2026-02-27
pythia-1b,high,draw_3,success,225,16,8,2048,200.0,11.0,pythia_1b_high_draw_3.npz,2026-02-27
pythia-1b,very_high,draw_1,success,225,16,8,2048,199.9,10.9,pythia_1b_very_high_draw_1.npz,2026-02-27
pythia-1b,very_high,draw_2,success,225,16,8,2048,199.9,10.9,pythia_1b_very_high_draw_2.npz,2026-02-27
pythia-1b,very_high,draw_3,success,225,16,8,2048,199.9,11.0,pythia_1b_very_high_draw_3.npz,2026-02-27
pythia-1b,control,draw_1,success,225,16,8,2048,200.0,10.9,pythia_1b_control_draw_1.npz,2026-02-27
pythia-1b,control,draw_2,success,225,16,8,2048,200.0,11.0,pythia_1b_control_draw_2.npz,2026-02-27
pythia-1b,control,draw_3,success,225,16,8,2048,200.0,11.0,pythia_1b_control_draw_3.npz,2026-02-27
