model,draw,layer,base_mi,circuit_mi,info_loss,fractional_loss
pythia-410m,draw_3,8.0,0.8662512465112426,0.8884874388596773,-0.022236192348434658,-0.025669449178848676
pythia-410m,draw_3,9.0,0.8375201530843387,0.8578712140567729,-0.02035106097243422,-0.024299189574707294
pythia-410m,draw_3,10.0,0.8842544045348362,0.918951451997322,-0.03469704746248581,-0.039238761248509994
pythia-410m,draw_3,11.0,0.8343212135853141,0.8389622642432598,-0.004641050657945733,-0.005562666491484529
pythia-410m,draw_3,12.0,0.8121044652617847,0.8299111178546695,-0.01780665259288483,-0.02192655422371652
pythia-410m,draw_3,13.0,0.8285627598058567,0.8556482020195748,-0.027085442213718114,-0.03268966881888898
pythia-410m,draw_3,14.0,0.8735812125230642,0.8954870168609085,-0.02190580433784428,-0.025075864755122496
pythia-410m,draw_3,15.0,0.8900018966422328,0.9234398503673401,-0.03343795372510727,-0.03757065445732282
pythia-410m,draw_3,16.0,0.909131992628005,0.9345775921492464,-0.02544559952124137,-0.027988894602296872
pythia-410m,draw_3,17.0,0.8292541254703735,0.8455034306424796,-0.0162493051721061,-0.019595085116868236
pythia-410m,draw_3,18.0,0.7593145873173154,0.7660656916678055,-0.006751104350490089,-0.008891050512202028
pythia-410m,draw_3,19.0,0.7759348787497686,0.812242369024107,-0.03630749027433833,-0.0467919296691999
pythia-410m,draw_3,20.0,0.7181367645327783,0.7668134435981557,-0.048676679065377426,-0.06778190655236346
pythia-410m,draw_3,21.0,0.7480682977307878,0.7594243779977461,-0.011356080266958335,-0.015180539399151389
pythia-410m,draw_3,22.0,0.8932430882636553,0.8871750644657027,0.006068023797952571,0.006793250211146884
pythia-410m,draw_3,23.0,0.9560381507718976,0.939777558815238,0.01626059195665963,0.017008308657485018
pythia-1b,draw_1,0.0,1.1202581442135475,1.0930626244250436,0.027195519788503875,0.02427611879366955
pythia-1b,draw_1,1.0,1.125527686200807,1.0847493333380098,0.040778352862797185,0.03623043072395987
pythia-1b,draw_1,2.0,1.0680806563849865,1.0205943352445375,0.04748632114044904,0.04445948988643863
pythia-1b,draw_1,3.0,1.0154259172742774,1.000708616806449,0.014717300467828487,0.01449372151868484
pythia-1b,draw_1,4.0,0.9986099810006892,0.9571570506337491,0.04145293036694009,0.041510630932609795
pythia-1b,draw_1,5.0,1.0168133300940063,0.9734283156105293,0.04338501448347698,0.04266762954363113
pythia-1b,draw_1,6.0,0.983519080470998,0.9344032464254765,0.049115834045521556,0.049938872585980176
pythia-1b,draw_1,7.0,0.9113403499516252,0.9026946280845078,0.008645721867117317,0.009486820009205386
pythia-1b,draw_1,8.0,0.8794225081626799,0.8651728590515685,0.014249649111111373,0.016203416422536462
pythia-1b,draw_1,9.0,0.9151338964215296,0.9084545381575454,0.0066793582639842475,0.0072987770315389965
pythia-1b,draw_1,10.0,0.9612686963643492,0.9873022912560004,-0.026033594891651246,-0.027082536849596675
pythia-1b,draw_1,11.0,1.0797129492453872,1.123808612660131,-0.0440956634147438,-0.04084017279366921
pythia-1b,draw_1,12.0,1.1214674730287515,1.1960723893357668,-0.07460491630701527,-0.06652436927620334
pythia-1b,draw_1,13.0,1.1509771330691618,1.2246518504763797,-0.07367471740721787,-0.0640105830867022
pythia-1b,draw_1,14.0,1.1515625822610067,1.206839852212778,-0.05527726995177118,-0.048001967763869516
pythia-1b,draw_1,15.0,1.0239297913381264,1.1013261290034189,-0.07739633766529241,-0.07558754352107162
pythia-1b,draw_2,0.0,1.1505468983091354,1.1556501944363133,-0.00510329612717797,-0.004435539424492705
pythia-1b,draw_2,1.0,1.168618830289527,1.1021979916652598,0.06642083862426729,0.05683704292854106
pythia-1b,draw_2,2.0,1.094634165275317,1.0257840724327942,0.06885009284252286,0.06289781100081598
pythia-1b,draw_2,3.0,1.070061242843522,1.0415828904960598,0.02847835234746232,0.026613759294547953
