model,draw,layer,base_efficiency,circuit_efficiency,delta_efficiency
pythia-410m,draw_3,2.0,0.000922933593125,0.0009128648719786697,-1.0068721146330273e-05
pythia-410m,draw_3,3.0,0.0009446731423838,0.0009470868475458895,2.4137051620894655e-06
pythia-410m,draw_3,4.0,0.0009020571062908,0.0008986193996463625,-3.4377066444375324e-06
pythia-410m,draw_3,5.0,0.000863214395156,0.0008428361608575622,-2.037823429843779e-05
pythia-410m,draw_3,6.0,0.0008511329720036,0.0008585104191163083,7.3774471127083284e-06
pythia-410m,draw_3,7.0,0.0008382784192725,0.0008515017859179794,1.3223366645479418e-05
pythia-410m,draw_3,8.0,0.0008459484829211,0.0008676635145114036,2.1715031590303566e-05
pythia-410m,draw_3,9.0,0.0008178907744964,0.0008377648574773173,1.9874082980917297e-05
pythia-410m,draw_3,10.0,0.0008635296919285,0.0008974135273411347,3.3883835412634755e-05
pythia-410m,draw_3,11.0,0.0008147668101419,0.0008192990861750584,4.53227603315837e-06
pythia-410m,draw_3,12.0,0.0007930707668572,0.0008104600760299507,1.7389309172750693e-05
pythia-410m,draw_3,13.0,0.0008091433201229,0.000835593947284741,2.6450627161841034e-05
pythia-410m,draw_3,14.0,0.0008531066528545,0.0008744990399032309,2.1392387048730917e-05
pythia-410m,draw_3,15.0,0.0008691424771896,0.0009017967288743556,3.265425168475563e-05
pythia-410m,draw_3,16.0,0.0008878242115507,0.0009126734298332484,2.4849218282548468e-05
pythia-410m,draw_3,17.0,0.0008098184819046,0.0008256869439867965,1.5868462082196445e-05
pythia-410m,draw_3,18.0,0.000741518151677,0.0007481110270193413,6.592875342341289e-06
pythia-410m,draw_3,19.0,0.000757748905029,0.0007932054385001045,3.545653347110443e-05
pythia-410m,draw_3,20.0,0.000701305434114,0.000748841253513824,4.753581939982395e-05
pythia-410m,draw_3,21.0,0.0007305354470027,0.0007416253691384239,1.1089922135723942e-05
pythia-410m,draw_3,22.0,0.0008723077033824,0.0008663818988922878,-5.925804490112163e-06
pythia-410m,draw_3,23.0,0.0009336310066131,0.0009177515222805058,-1.5879484332594214e-05
pythia-1b,draw_1,0.0,0.0005470010469792,0.0005337219845825408,-1.3279062396659175e-05
pythia-1b,draw_1,1.0,0.0005495740655277,0.0005296627604189501,-1.991130510874985e-05
pythia-1b,draw_1,2.0,0.0005215237580004,0.0004983370777561218,-2.3186680244278242e-05
pythia-1b,draw_1,3.0,0.000495813436169,0.0004886272543000239,-7.186181868976105e-06
pythia-1b,draw_1,4.0,0.0004876025297854,0.0004673618411297603,-2.024068865563971e-05
pythia-1b,draw_1,5.0,0.0004964908838349,0.0004753067947317038,-2.1184089103196168e-05
pythia-1b,draw_1,6.0,0.0004802339260112,0.0004562515851686897,-2.3982340842510332e-05
pythia-1b,draw_1,7.0,0.0004449904052498,0.0004407688613693886,-4.22154388041141e-06
pythia-1b,draw_1,8.0,0.0004294055215638,0.0004224476850837737,-6.957836480026339e-06
pythia-1b,draw_1,9.0,0.000446842722862,0.00044358131745973896,-3.2614054022610315e-06
pythia-1b,draw_1,10.0,0.0004693694806466,0.00048208119690234397,1.2711716255743946e-05
pythia-1b,draw_1,11.0,0.0005272035884987,0.0005487346741504546,2.153108565175455e-05
pythia-1b,draw_1,12.0,0.0005475915395648,0.0005840197213553549,3.6428181790554856e-05
pythia-1b,draw_1,13.0,0.0005620005532564,0.0005979745363654198,3.597398310901977e-05
pythia-1b,draw_1,14.0,0.0005622864171196,0.0005892772715882705,2.6990854468670472e-05
pythia-1b,draw_1,15.0,0.0004999657184268,0.0005377568989274506,3.779118050065058e-05
pythia-1b,draw_2,0.0,0.00056179047769,0.0005642823215021061,2.491843812106099e-06
pythia-1b,draw_2,1.0,0.0005706146632273,0.0005381826131178026,-3.243205010949738e-05
pythia-1b,draw_2,2.0,0.0005344893385133,0.0005008711291175753,-3.3618209395724734e-05
