model,draw,source_band,test_band,n_edges,ablation,accuracy,top5_accuracy,source_variant,test_variant
pythia-160m,draw_3,very_high,medium,1330,zero,0.3822222222222222,0.6,matched,matched
pythia-160m,draw_3,very_high,high,1330,zero,0.3866666666666666,0.6666666666666666,matched,matched
pythia-160m,draw_3,very_high,very_high,1330,zero,0.4311111111111111,0.6133333333333333,matched,matched
pythia-160m,draw_3,very_high,control,1330,zero,0.4177777777777778,0.6622222222222223,matched,matched
pythia-160m,draw_3,control,very_low,1345,zero,0.0,0.0,matched,unmatched
pythia-160m,draw_3,control,low,1345,zero,0.0,0.0,matched,matched
pythia-160m,draw_3,control,medium,1345,zero,0.0,0.0,matched,matched
pythia-160m,draw_3,control,high,1345,zero,0.0,0.0133333333333333,matched,matched
pythia-160m,draw_3,control,very_high,1345,zero,0.0,0.0222222222222222,matched,matched
pythia-160m,draw_3,control,control,1345,zero,0.0044444444444444,0.0044444444444444,matched,matched
