model,draw,band,mean_convergence_layer,median_convergence_layer,std_convergence_layer,frac_converged,n_converged,n_total,n_layers,frac_convergence_layer
pythia-410m,draw_3,low,21.186666666666667,22.0,2.4423667938201983,1.0,225,225,24,0.8827777777777778
pythia-410m,draw_3,medium,20.284444444444443,22.0,2.6126151696511597,1.0,225,225,24,0.8451851851851852
pythia-410m,draw_3,high,18.546666666666667,18.0,2.4583282485823115,1.0,225,225,24,0.7727777777777778
pythia-410m,draw_3,very_high,17.475555555555555,17.0,2.2111993282234423,1.0,225,225,24,0.7281481481481481
pythia-410m,draw_3,control,17.782222222222224,17.0,2.353558902210191,1.0,225,225,24,0.740925925925926
pythia-1b,draw_1,low,12.48,11.0,1.7513930963029911,1.0,225,225,16,0.78
pythia-1b,draw_1,medium,11.817777777777778,11.0,1.5456446176112468,1.0,225,225,16,0.7386111111111111
pythia-1b,draw_1,high,11.36888888888889,11.0,1.2443333283725728,1.0,225,225,16,0.7105555555555556
pythia-1b,draw_1,very_high,11.013333333333334,11.0,1.183140829412214,1.0,225,225,16,0.6883333333333334
pythia-1b,draw_1,control,11.04888888888889,11.0,1.0337896244663713,1.0,225,225,16,0.6905555555555556
pythia-1b,draw_2,low,12.382222222222222,11.0,1.6721627896415252,1.0,225,225,16,0.7738888888888888
pythia-1b,draw_2,medium,11.644444444444444,11.0,1.407212462132228,1.0,225,225,16,0.7277777777777777
pythia-1b,draw_2,high,11.422222222222222,11.0,1.2344839477627687,1.0,225,225,16,0.7138888888888889
pythia-1b,draw_2,very_high,11.142222222222221,11.0,1.0571426664759827,1.0,225,225,16,0.6963888888888888
pythia-1b,draw_2,control,11.12,11.0,1.0535864674740485,1.0,225,225,16,0.695
pythia-1b,draw_3,low,12.346666666666666,11.0,1.7268597060689221,1.0,225,225,16,0.7716666666666666
pythia-1b,draw_3,medium,11.80888888888889,11.0,1.5474455254777104,1.0,225,225,16,0.7380555555555556
pythia-1b,draw_3,high,11.266666666666667,11.0,1.243650540411842,1.0,225,225,16,0.7041666666666667
pythia-1b,draw_3,very_high,10.88888888888889,11.0,1.0671295292038194,1.0,225,225,16,0.6805555555555556
pythia-1b,draw_3,control,10.977777777777778,11.0,0.9997530559290659,1.0,225,225,16,0.6861111111111111
pythia-1.4b,draw_1,low,21.275555555555556,23.0,3.340602444374072,1.0,225,225,24,0.8864814814814815
pythia-1.4b,draw_1,medium,19.115555555555556,18.0,3.9129389668156964,1.0,225,225,24,0.7964814814814815
pythia-1.4b,draw_1,high,16.63111111111111,15.0,3.5642560216199843,1.0,225,225,24,0.6929629629629629
pythia-1.4b,draw_1,very_high,14.27111111111111,15.0,2.601249462360751,1.0,225,225,24,0.5946296296296296
pythia-1.4b,draw_1,control,15.302222222222222,15.0,3.231407597584742,1.0,225,225,24,0.6375925925925926
pythia-1.4b,draw_2,low,21.61777777777778,23.0,2.9852443703350793,1.0,225,225,24,0.9007407407407407
pythia-1.4b,draw_2,medium,19.702222222222222,23.0,3.8465273740747215,1.0,225,225,24,0.820925925925926
pythia-1.4b,draw_2,high,16.524444444444445,15.0,3.5365492004090058,1.0,225,225,24,0.6885185185185185
pythia-1.4b,draw_2,very_high,14.724444444444444,15.0,2.697254205097024,1.0,225,225,24,0.6135185185185185
pythia-1.4b,draw_2,control,15.088888888888889,15.0,3.6173791754204356,1.0,225,225,24,0.6287037037037037
pythia-1.4b,draw_3,low,21.448888888888888,23.0,3.159227910052442,1.0,225,225,24,0.8937037037037037
pythia-1.4b,draw_3,medium,19.364444444444445,23.0,3.931703365975705,1.0,225,225,24,0.8068518518518518
pythia-1.4b,draw_3,high,16.555555555555557,16.0,3.1647752636065336,1.0,225,225,24,0.6898148148148149
pythia-1.4b,draw_3,very_high,14.506666666666666,15.0,2.696697568838185,1.0,225,225,24,0.6044444444444445
pythia-1.4b,draw_3,control,14.697777777777778,15.0,3.3661378389212295,1.0,225,225,24,0.6124074074074074
