model,draw,band,model_capacity,n_layers,frequency_rank,circuit_convergence_layer,circuit_frac_convergence,circuit_frac_converged,circuit_final_prob,circuit_mean_attn_frac,circuit_mean_mlp_frac,circuit_edges
pythia-160m,draw_1,high,160,12,3.0,9.0,0.75,1.0,0.5130650401115417,0.40085765192450057,0.599142348062906,1360
pythia-160m,draw_1,very_high,160,12,4.0,8.71111111111111,0.7259259259259259,1.0,0.5567763447761536,0.40863792786029207,0.5913620721269048,1358
pythia-160m,draw_1,control,160,12,,8.902222222222223,0.7418518518518519,1.0,0.5185838937759399,0.40784809716716564,0.5921519028200622,1392
pythia-160m,draw_2,low,160,12,1.0,9.582222222222223,0.7985185185185185,1.0,0.40681254863739014,0.3948874416601527,0.6051125583268416,1483
pythia-160m,draw_2,medium,160,12,2.0,9.053333333333333,0.7544444444444444,1.0,0.4541318416595459,0.394497756689638,0.6055022432982584,1513
pythia-160m,draw_2,high,160,12,3.0,8.933333333333334,0.7444444444444445,1.0,0.5075503587722778,0.39889037490124046,0.6011096250853857,1454
pythia-160m,draw_2,very_high,160,12,4.0,8.71111111111111,0.7259259259259259,1.0,0.5537492632865906,0.41341242808688344,0.5865875719015478,1306
pythia-160m,draw_2,control,160,12,,8.684444444444445,0.7237037037037037,1.0,0.5159907937049866,0.405849098053654,0.5941509019341118,1380
pythia-160m,draw_3,low,160,12,1.0,9.524444444444445,0.7937037037037037,1.0,0.4056309461593628,0.3895117695230835,0.6104882304647387,1408
pythia-160m,draw_3,medium,160,12,2.0,9.235555555555555,0.7696296296296296,1.0,0.45287585258483887,0.39309843988246357,0.6069015601037799,1475
pythia-160m,draw_3,high,160,12,3.0,8.986666666666666,0.7488888888888888,1.0,0.502015233039856,0.391113745584287,0.6088862544041943,1385
pythia-160m,draw_3,very_high,160,12,4.0,8.533333333333333,0.7111111111111111,1.0,0.5479662418365479,0.406964801891601,0.5930351980959948,1330
pythia-160m,draw_3,control,160,12,,8.488888888888889,0.7074074074074074,1.0,0.5175104141235352,0.40832372512663,0.591676274861332,1345
pythia-410m,draw_1,low,410,24,1.0,21.15111111111111,0.8812962962962962,1.0,0.5790452361106873,0.5123100501259348,0.48768994975889307,3957
pythia-410m,draw_1,medium,410,24,2.0,19.871111111111112,0.827962962962963,1.0,0.5571964979171753,0.5211254480559776,0.47887455182575805,3809
pythia-410m,draw_1,high,410,24,3.0,18.835555555555555,0.7848148148148147,1.0,0.5359876155853271,0.5375693376034697,0.4624306622786148,3480
pythia-410m,draw_1,very_high,410,24,4.0,17.364444444444445,0.7235185185185186,1.0,0.5112500786781311,0.534570788850377,0.4654292110392379,3131
pythia-410m,draw_1,control,410,24,,17.782222222222224,0.740925925925926,1.0,0.4892524182796478,0.5315881419650964,0.4684118579159822,3425
pythia-410m,draw_2,low,410,24,1.0,20.773333333333333,0.8655555555555555,1.0,0.6338003277778625,0.5162027524618197,0.48379724742338936,3848
pythia-410m,draw_2,medium,410,24,2.0,20.093333333333334,0.8372222222222222,1.0,0.5477949976921082,0.526612706313348,0.4733872935721237,3709
pythia-410m,draw_2,high,410,24,3.0,18.662222222222223,0.7775925925925926,1.0,0.5262516140937805,0.5334035345155016,0.4665964653670471,3483
pythia-410m,draw_2,very_high,410,24,4.0,17.404444444444444,0.7251851851851852,1.0,0.49977126717567444,0.5317199311306927,0.46828006875704825,3476
pythia-410m,draw_2,control,410,24,,17.56888888888889,0.732037037037037,1.0,0.48363199830055237,0.531262139446556,0.4687378604383515,3317
pythia-410m,draw_3,low,410,24,1.0,21.186666666666667,0.8827777777777778,1.0,0.6212003827095032,0.5249148526951921,0.47508514719530015,4122
pythia-410m,draw_3,medium,410,24,2.0,20.284444444444443,0.8451851851851852,1.0,0.5524665713310242,0.5219161450317998,0.4780838548482758,3920
pythia-410m,draw_3,high,410,24,3.0,18.546666666666667,0.7727777777777778,1.0,0.5398460626602173,0.5362782608253619,0.4637217390517949,3379
pythia-410m,draw_3,very_high,410,24,4.0,17.475555555555555,0.7281481481481481,1.0,0.5091778039932251,0.5253892787131754,0.4746107211672752,3280
pythia-410m,draw_3,control,410,24,,17.782222222222224,0.740925925925926,1.0,0.5123605728149414,0.5258605667848452,0.4741394330990878,3382
pythia-1b,draw_1,low,1000,16,1.0,12.48,0.78,1.0,0.6583266854286194,0.5963858934456926,0.4036141064769151,972
pythia-1b,draw_1,medium,1000,16,2.0,11.817777777777778,0.7386111111111111,1.0,0.7138723134994507,0.5978647839737952,0.40213521595100055,904
pythia-1b,draw_1,high,1000,16,3.0,11.36888888888889,0.7105555555555556,1.0,0.6281980276107788,0.5982845135313691,0.4017154863911534,1002
pythia-1b,draw_1,very_high,1000,16,4.0,11.013333333333334,0.6883333333333334,1.0,0.5844851732254028,0.5959317874706597,0.40406821245170066,817
pythia-1b,draw_1,control,1000,16,,11.04888888888889,0.6905555555555556,1.0,0.5731099843978882,0.5910855852831083,0.40891441463724587,928
pythia-1b,draw_2,low,1000,16,1.0,12.382222222222222,0.7738888888888888,1.0,0.7073390483856201,0.5923893668798279,0.40761063304713185,952
pythia-1b,draw_2,medium,1000,16,2.0,11.644444444444444,0.7277777777777777,1.0,0.639948308467865,0.601268014458985,0.398731985463054,1007
pythia-1b,draw_2,high,1000,16,3.0,11.422222222222222,0.7138888888888889,1.0,0.692138671875,0.6046387847757018,0.3953612151470286,902
pythia-1b,draw_2,very_high,1000,16,4.0,11.142222222222221,0.6963888888888888,1.0,0.6428171396255493,0.5931452103825416,0.40685478953814935,911
pythia-1b,draw_2,control,1000,16,,11.12,0.695,1.0,0.6111667156219482,0.5969029601152483,0.4030970397914063,823
pythia-1b,draw_3,low,1000,16,1.0,12.346666666666666,0.7716666666666666,1.0,0.6117792129516602,0.5826098178492318,0.4173901820745117,978
pythia-1b,draw_3,medium,1000,16,2.0,11.80888888888889,0.7380555555555556,1.0,0.6535422801971436,0.6031924001189768,0.39680759980595165,900
pythia-1b,draw_3,high,1000,16,3.0,11.266666666666667,0.7041666666666667,1.0,0.6553794145584106,0.5983764618879601,0.40162353803456863,945
pythia-1b,draw_3,very_high,1000,16,4.0,10.88888888888889,0.6805555555555556,1.0,0.5977987051010132,0.6032582956911868,0.3967417042334435,812
pythia-1b,draw_3,control,1000,16,,10.977777777777778,0.6861111111111111,1.0,0.5702993273735046,0.5966375282983092,0.4033624716204316,870
pythia-1.4b,draw_1,low,1400,24,1.0,21.275555555555556,0.8864814814814815,1.0,0.4954231083393097,0.5393420428109282,0.4606579571029061,2507
pythia-1.4b,draw_1,medium,1400,24,2.0,19.115555555555556,0.7964814814814815,1.0,0.48231756687164307,0.5467243715789777,0.4532756283306916,2551
pythia-1.4b,draw_1,high,1400,24,3.0,16.63111111111111,0.6929629629629629,1.0,0.5377323031425476,0.5600362025345719,0.4399637973749641,2162
pythia-1.4b,draw_1,very_high,1400,24,4.0,14.27111111111111,0.5946296296296296,1.0,0.517147958278656,0.5506958355557887,0.4493041643573458,1940
pythia-1.4b,draw_1,control,1400,24,,15.302222222222222,0.6375925925925926,1.0,0.5531240105628967,0.5537944612885316,0.4462055386266572,2233
pythia-1.4b,draw_2,low,1400,24,1.0,21.61777777777778,0.9007407407407407,1.0,0.5274654030799866,0.5372751588978709,0.4627248410166085,2589
pythia-1.4b,draw_2,medium,1400,24,2.0,19.702222222222222,0.820925925925926,1.0,0.5503472685813904,0.5487019871204853,0.451298012790998,2451
pythia-1.4b,draw_2,high,1400,24,3.0,16.524444444444445,0.6885185185185185,1.0,0.5463831424713135,0.5593012931311919,0.4406987067778502,2182
pythia-1.4b,draw_2,very_high,1400,24,4.0,14.724444444444444,0.6135185185185185,1.0,0.5475319027900696,0.552163795256654,0.447836204660927,2025
pythia-1.4b,draw_2,control,1400,24,,15.088888888888889,0.6287037037037037,1.0,0.5365384817123413,0.5533908757404699,0.446609124177868,2221
pythia-1.4b,draw_3,low,1400,24,1.0,21.448888888888888,0.8937037037037037,1.0,0.4938667416572571,0.5446098226845449,0.4553901772310205,2604
pythia-1.4b,draw_3,medium,1400,24,2.0,19.364444444444445,0.8068518518518518,1.0,0.5096775889396667,0.5464491162914974,0.4535508836198787,2453
pythia-1.4b,draw_3,high,1400,24,3.0,16.555555555555557,0.6898148148148149,1.0,0.5076152086257935,0.5532293057965904,0.44677069411359915,2121
pythia-1.4b,draw_3,very_high,1400,24,4.0,14.506666666666666,0.6044444444444445,1.0,0.5464897751808167,0.5512823935275312,0.44871760639027963,2108
pythia-1.4b,draw_3,control,1400,24,,14.697777777777778,0.6124074074074074,1.0,0.4966035485267639,0.5585723347488615,0.4414276651706836,2006
