model,band,layer,head,n_correct,n_incorrect,induction_score_correct,induction_score_incorrect,induction_score_diff,bos_fraction_correct,bos_fraction_incorrect,source_fraction_correct,source_fraction_incorrect,target_fraction_correct,target_fraction_incorrect,repeat_fraction_correct,repeat_fraction_incorrect,entropy_correct,entropy_incorrect
pythia-410m,very_high,0,5,117,108,0.6050063967704773,0.6192564368247986,-0.014250040054321289,0.006170501466840506,0.0048167044296860695,0.6390088796615601,0.6554955244064331,0.00624861940741539,0.01202495489269495,0.2587549388408661,0.24197283387184143,1.8074852228164673,1.8287674188613892
pythia-410m,very_high,1,4,117,108,0.5629781484603882,0.5582567453384399,0.004721403121948242,0.09323981404304504,0.09124346077442169,0.5838502645492554,0.5799952745437622,0.006674807518720627,0.0057386308908462524,0.17243456840515137,0.17401684820652008,2.3307595252990723,2.3815431594848633
pythia-410m,very_high,2,10,117,108,0.6398575901985168,0.6486588716506958,-0.008801281452178955,0.25415030121803284,0.2435392588376999,0.6599652171134949,0.6718517541885376,0.012059311382472515,0.014629317447543144,0.020772268995642662,0.018862614408135414,1.5236979722976685,1.5338364839553833
pythia-410m,very_high,6,0,117,108,0.9732314348220825,0.9765865206718445,-0.003355085849761963,0.024729356169700623,0.020517172291874886,0.9736753106117249,0.9779342412948608,0.00011650843225652352,0.00020480022067204118,0.000826430507004261,0.0006299059605225921,0.17248481512069702,0.16070464253425598
pythia-410m,very_high,7,0,117,108,0.37242889404296875,0.35320398211479187,0.01922491192817688,0.03552892059087753,0.03923775255680084,0.3807534873485565,0.36417335271835327,0.007101916708052158,0.00685894163325429,0.5472493171691895,0.5591716170310974,1.6229588985443115,1.6801657676696777
pythia-410m,very_high,7,8,117,108,0.8632798790931702,0.8546234369277954,0.008656442165374756,0.1299573928117752,0.13937518000602722,0.8633768558502197,0.8547093272209167,6.251746071939124e-06,6.530523023684509e-06,0.006646284833550453,0.005895398091524839,0.5371274948120117,0.5439070463180542
pythia-410m,very_high,9,8,117,108,0.6683937907218933,0.6679795384407043,0.00041425228118896484,0.1508374661207199,0.16057875752449036,0.703251302242279,0.7078312039375305,0.015271705575287342,0.0139866191893816,0.04635899141430855,0.044768813997507095,1.7362698316574097,1.6874135732650757
pythia-410m,very_high,9,9,117,108,0.2798749804496765,0.29162928462028503,-0.01175430417060852,0.541571319103241,0.5228574275970459,0.28334006667137146,0.29764923453330994,0.0015387077583000064,0.0012307027354836464,0.16832059621810913,0.17331460118293762,1.3931924104690552,1.4169646501541138
pythia-410m,control,0,5,118,107,0.6382006406784058,0.6104491949081421,0.027751445770263672,0.006831829436123371,0.007981202565133572,0.6640928983688354,0.6489428281784058,0.0069130053743720055,0.011832645162940025,0.23687803745269775,0.25023552775382996,1.6488202810287476,1.7993241548538208
pythia-410m,control,1,4,118,107,0.5558909773826599,0.5760446190834045,-0.02015364170074463,0.09640129655599594,0.09116075932979584,0.5737051963806152,0.5961765646934509,0.005669560749083757,0.004926435183733702,0.17704486846923828,0.16364631056785583,2.3471240997314453,2.278017997741699
pythia-410m,control,2,10,118,107,0.6047408580780029,0.6552271842956543,-0.05048632621765137,0.27400872111320496,0.24127790331840515,0.6245567202568054,0.6760454177856445,0.012560596689581871,0.00988098420202732,0.02006249874830246,0.019732553511857986,1.6281219720840454,1.496720790863037
pythia-410m,control,6,0,118,107,0.9757999777793884,0.9706932902336121,0.005106687545776367,0.021683955565094948,0.02634001523256302,0.976472020149231,0.9715800285339355,0.0001107098360080272,0.00012005839380435646,0.0007246813038364053,0.0007910890271887183,0.165384441614151,0.1847071796655655
pythia-410m,control,7,0,118,107,0.36643216013908386,0.379485160112381,-0.01305299997329712,0.03263789042830467,0.03380318358540535,0.37528377771377563,0.39000895619392395,0.005560506600886583,0.0037752902135252953,0.5547702312469482,0.54182368516922,1.603922724723816,1.6139066219329834
pythia-410m,control,7,8,118,107,0.8619968891143799,0.8598988652229309,0.0020980238914489746,0.13074690103530884,0.13359731435775757,0.8621255159378052,0.86012202501297,3.5361208574613556e-06,4.315952082833974e-06,0.0070984032936394215,0.006250889506191015,0.5499891638755798,0.5439094305038452
pythia-410m,control,9,8,118,107,0.6891908645629883,0.67991042137146,0.00928044319152832,0.1390123814344406,0.14620842039585114,0.7185196876525879,0.71785569190979,0.014827560633420944,0.013348841108381748,0.041236381977796555,0.04137888178229332,1.6622576713562012,1.6668620109558105
pythia-410m,control,9,9,118,107,0.26108279824256897,0.2987388074398041,-0.03765600919723511,0.5757328867912292,0.5252834558486938,0.26380854845046997,0.3022306263446808,0.001134887570515275,0.0011460189707577229,0.1516067236661911,0.16599707305431366,1.3292410373687744,1.4128186702728271
pythia-1b,low,1,7,163,62,0.8662347197532654,0.8518469929695129,0.014387726783752441,0.09422852098941803,0.10089435428380966,0.8741417527198792,0.8650940656661987,0.0024759897496551275,0.0033092594239860773,0.01181124523282051,0.013268490321934223,0.8032059669494629,0.8509461283683777
pythia-1b,low,4,3,163,62,0.6761168241500854,0.6788655519485474,-0.002748727798461914,0.11715571582317352,0.10190198570489883,0.7101032137870789,0.7166653871536255,0.009096099995076656,0.008934182114899158,0.12654848396778107,0.1449960619211197,1.5911412239074707,1.6017714738845825
