model,draw,band,model_capacity,frequency_rank,mean_induction_score,mean_bos_fraction,mean_target_fraction,mean_repeat_fraction,mean_source_fraction,mean_entropy,entropy_median
pythia-160m,draw_1,medium,160,2.0,0.03385352111416083,0.36947813483103853,0.10652536339728881,0.29123567803246275,0.07093395485853378,1.664833044190598,1.6247659768271356
pythia-160m,draw_1,high,160,3.0,0.032491393383202255,0.3792621794451843,0.10331484282984417,0.2894452737203387,0.06812876404115167,1.656437325468384,1.615189038815031
pythia-160m,draw_1,very_high,160,4.0,0.03091338867757902,0.38389654081510904,0.09495600524267599,0.30076587574870295,0.06600671035683034,1.65209103108201,1.6081559081557173
pythia-160m,draw_1,control,160,,0.03217941565961349,0.37911547542081636,0.10044365672970015,0.29734235868090764,0.06744910354920812,1.6581067792730109,1.6165640989610506
pythia-160m,draw_2,low,160,1.0,0.03429759636158982,0.37625762512945937,0.1111625340372669,0.28748439137247117,0.0716948251886857,1.6574396187918157,1.6212088394284139
pythia-160m,draw_2,medium,160,2.0,0.03302273530920064,0.363917463174272,0.1097870509220154,0.2956677085405077,0.07067137356749537,1.6685344351942155,1.6259817718575398
pythia-160m,draw_2,high,160,3.0,0.03236852680313235,0.3738862948610854,0.10310401001956249,0.2928166611962158,0.06762834407415323,1.6663452953277254,1.6221055926353072
pythia-160m,draw_2,very_high,160,4.0,0.03187391927070417,0.3784412591180215,0.09492759624212112,0.3043603089989675,0.06713563184936477,1.6636056361886504,1.6253950312410526
pythia-160m,draw_2,control,160,,0.03146701974505501,0.37697883890267725,0.10007094674522114,0.2978012666837155,0.06714146328977796,1.6599796840574628,1.6208142636453908
pythia-160m,draw_3,low,160,1.0,0.03385366738068869,0.372336114510449,0.11036567727934248,0.2867237661675909,0.07267346210153909,1.669280708211267,1.6284369685757931
pythia-160m,draw_3,medium,160,2.0,0.03304566898531092,0.3724687405531249,0.10765872429773807,0.291502090602232,0.07020981704788312,1.661500269946676,1.6183282209519245
