model,draw,band,layer,head,entropy_mean,entropy_std,entropy_median
pythia-70m,draw_1,high,1,5,3.2342746257781982,0.3373900353908539,3.27251935005188
pythia-70m,draw_1,high,1,6,3.4487972259521484,0.4604131281375885,3.5608484745025635
pythia-70m,draw_1,high,1,7,1.8262397050857544,0.5495527386665344,1.820034384727478
pythia-70m,draw_1,high,2,0,3.297546625137329,0.3591720461845398,3.3505873680114746
pythia-70m,draw_1,high,2,1,0.7133200168609619,0.28917571902275085,0.671058177947998
pythia-70m,draw_1,high,2,2,3.713862895965576,0.21081390976905823,3.758852958679199
pythia-70m,draw_1,high,2,3,3.322610378265381,0.4193069636821747,3.388359785079956
pythia-70m,draw_1,high,2,4,2.0117995738983154,0.6442979574203491,2.0939176082611084
pythia-70m,draw_1,high,2,5,3.852768659591675,0.22591327130794525,3.9010260105133057
pythia-70m,draw_1,high,2,6,1.6435288190841675,0.5880201458930969,1.676184892654419
pythia-70m,draw_1,high,2,7,2.666339635848999,0.18774977326393127,2.681062698364258
pythia-70m,draw_1,high,3,0,1.915635347366333,0.7113685607910156,1.9655487537384033
pythia-70m,draw_1,high,3,1,0.951434850692749,0.6596421003341675,0.9021209478378296
pythia-70m,draw_1,high,3,2,3.7865054607391357,0.2221679538488388,3.8147499561309814
pythia-70m,draw_1,high,3,3,2.6448655128479004,0.5298491716384888,2.6818149089813232
pythia-70m,draw_1,high,3,4,3.149747133255005,0.3901633620262146,3.190203905105591
pythia-70m,draw_1,high,3,5,0.730100154876709,0.7507575750350952,0.4592560827732086
pythia-70m,draw_1,high,3,6,0.4589669108390808,0.6238653063774109,0.09063124656677246
pythia-70m,draw_1,high,3,7,3.368847370147705,0.5178496837615967,3.5036001205444336
pythia-70m,draw_1,high,4,0,2.2755074501037598,1.05719792842865,2.499940872192383
pythia-70m,draw_1,high,4,1,0.4860095977783203,0.5743983387947083,0.25659361481666565
pythia-70m,draw_1,high,4,2,0.98598712682724,0.7675366401672363,0.9264583587646484
pythia-70m,draw_1,high,4,3,0.08832351863384247,0.2733878791332245,0.0004996437346562743
pythia-70m,draw_1,high,4,4,0.8077570796012878,0.7871177196502686,0.5466567873954773
pythia-70m,draw_1,high,4,5,1.219761848449707,0.8704533576965332,1.1564316749572754
pythia-70m,draw_1,high,4,6,0.7713119387626648,0.670385479927063,0.686025857925415
pythia-70m,draw_1,high,4,7,1.0021549463272095,0.8112831711769104,0.9677722454071045
pythia-70m,draw_1,high,5,0,0.6511458158493042,0.5743280649185181,0.5787954330444336
pythia-70m,draw_1,high,5,1,0.6720615029335022,0.6459330916404724,0.49395912885665894
pythia-70m,draw_1,high,5,2,0.2735147476196289,0.45477986335754395,0.02229316346347332
pythia-70m,draw_1,high,5,3,0.22565191984176636,0.3676282465457916,0.005286992061883211
pythia-70m,draw_1,high,5,4,0.11880911886692047,0.3079398572444916,3.719658252521185e-06
pythia-70m,draw_1,high,5,5,0.42026758193969727,0.6414211392402649,0.03612827509641647
pythia-70m,draw_1,high,5,6,0.12671183049678802,0.2865873873233795,1.9864359273924492e-05
pythia-70m,draw_1,high,5,7,0.6754740476608276,0.5991431474685669,0.57578045129776
pythia-70m,draw_1,very_high,0,0,3.892733097076416,0.24101142585277557,3.9634692668914795
pythia-70m,draw_1,very_high,0,1,2.4816033840179443,0.3272112309932709,2.4681556224823
pythia-70m,draw_1,very_high,0,2,2.1174521446228027,0.6593901515007019,2.115560293197632
pythia-70m,draw_1,very_high,0,3,0.8062772750854492,0.20475183427333832,0.767504096031189
pythia-70m,draw_1,very_high,0,4,2.2329611778259277,0.5300432443618774,2.2813901901245117
pythia-70m,draw_1,very_high,0,5,2.0182063579559326,0.5882018804550171,2.040621519088745
pythia-70m,draw_1,very_high,0,6,2.0897409915924072,0.3594876527786255,2.088937759399414
pythia-70m,draw_1,very_high,0,7,2.045947790145874,0.6794970035552979,2.0990819931030273
pythia-70m,draw_1,very_high,1,0,3.5244336128234863,0.3062770366668701,3.573685646057129
pythia-70m,draw_1,very_high,1,1,2.183803081512451,0.4021638333797455,2.180164337158203
pythia-70m,draw_1,very_high,1,2,2.287463903427124,0.537394642829895,2.3399462699890137
pythia-70m,draw_1,very_high,1,3,3.007974147796631,0.2458920180797577,3.0346388816833496
pythia-70m,draw_1,very_high,1,4,3.4777300357818604,0.2913213074207306,3.4895873069763184
pythia-70m,draw_1,very_high,1,5,3.0997281074523926,0.3947998285293579,3.1573333740234375
pythia-70m,draw_1,very_high,1,6,3.3903932571411133,0.4147506654262543,3.4645309448242188
pythia-70m,draw_1,very_high,1,7,1.9538137912750244,0.5396907925605774,1.9178398847579956
pythia-70m,draw_1,very_high,2,0,3.3964524269104004,0.3381956219673157,3.4584314823150635
pythia-70m,draw_1,very_high,2,1,0.7713462114334106,0.24551266431808472,0.7727751135826111
pythia-70m,draw_1,very_high,2,2,3.7694780826568604,0.17973197996616364,3.8058838844299316
pythia-70m,draw_1,very_high,2,3,3.2302114963531494,0.5448799729347229,3.351224184036255
pythia-70m,draw_1,very_high,2,4,2.0554404258728027,0.6211181282997131,2.117621898651123
pythia-70m,draw_1,very_high,2,5,3.8280088901519775,0.21909353137016296,3.8607969284057617
pythia-70m,draw_1,very_high,2,6,1.3697421550750732,0.5068132281303406,1.3315722942352295
pythia-70m,draw_1,very_high,2,7,2.755615711212158,0.1730319857597351,2.7533888816833496
pythia-70m,draw_1,very_high,3,0,1.7976336479187012,0.7745391726493835,1.8301717042922974
pythia-70m,draw_1,very_high,3,1,0.7607070803642273,0.551578164100647,0.695300281047821
pythia-70m,draw_1,very_high,3,2,3.9015862941741943,0.20504295825958252,3.939976215362549
pythia-70m,draw_1,very_high,3,3,2.631366729736328,0.4933716654777527,2.6523640155792236
pythia-70m,draw_1,very_high,3,4,3.0093390941619873,0.4609971344470978,3.062546968460083
pythia-70m,draw_1,very_high,3,5,0.47119954228401184,0.5325793027877808,0.24802875518798828
pythia-70m,draw_1,very_high,3,6,0.23803669214248657,0.4313564598560333,0.0374557301402092
pythia-70m,draw_1,very_high,3,7,3.4991915225982666,0.41834166646003723,3.5925145149230957
pythia-70m,draw_1,very_high,4,0,1.943299651145935,1.1009998321533203,2.095963954925537
pythia-70m,draw_1,very_high,4,1,0.3772484064102173,0.4664333760738373,0.16520075500011444
pythia-70m,draw_1,very_high,4,2,1.0387064218521118,0.7480749487876892,1.0406869649887085
pythia-70m,draw_1,very_high,4,3,0.19730034470558167,0.338554710149765,0.011412892490625381
pythia-70m,draw_1,very_high,4,4,0.34225335717201233,0.5702749490737915,0.038964662700891495
pythia-70m,draw_1,very_high,4,5,1.0705868005752563,0.8297998905181885,0.9938068389892578
pythia-70m,draw_1,very_high,4,6,0.4429956078529358,0.5620765089988708,0.13549692928791046
pythia-70m,draw_1,very_high,4,7,0.753361701965332,0.6809616684913635,0.599819540977478
pythia-70m,draw_1,very_high,5,0,0.5752266645431519,0.5648600459098816,0.447624146938324
pythia-70m,draw_1,very_high,5,1,0.5873148441314697,0.5633145570755005,0.44115394353866577
pythia-70m,draw_1,very_high,5,2,0.24616071581840515,0.43477535247802734,0.0015867602778598666
pythia-70m,draw_1,very_high,5,3,0.2271057814359665,0.3571331799030304,0.01922876574099064
pythia-70m,draw_1,very_high,5,4,0.08010835945606232,0.2677076458930969,9.902346675971785e-08
pythia-70m,draw_1,very_high,5,5,0.3171460032463074,0.5937532782554626,0.0062820338644087315
pythia-70m,draw_1,very_high,5,6,0.13019947707653046,0.31506627798080444,1.605778743396513e-05
pythia-70m,draw_1,very_high,5,7,0.5203439593315125,0.5352903604507446,0.2983793318271637
pythia-70m,draw_1,control,0,0,3.8717784881591797,0.27412208914756775,3.9314792156219482
