model,layer,head,bos_fraction
pythia-160m,0,5,0.6268300294876099
pythia-160m,0,6,0.42930468916893005
pythia-160m,0,7,0.07126670554280282
pythia-160m,0,8,0.009685849770903587
pythia-160m,0,9,0.03861501179635525
pythia-160m,0,10,0.1908406436443329
pythia-160m,0,11,0.9844695448875427
pythia-160m,1,0,0.1542920470237732
pythia-160m,1,1,0.6618989109992981
pythia-160m,1,2,0.0025702126789838077
pythia-160m,1,3,0.10767147541046143
pythia-160m,1,4,0.6533960938453675
pythia-160m,1,5,0.12321400791406631
pythia-160m,1,6,0.3335365056991577
pythia-160m,1,7,0.007577677816152572
pythia-160m,1,8,0.5069384038448334
pythia-160m,1,9,0.41536194682121275
pythia-160m,1,10,0.3861696720123291
pythia-160m,1,11,0.024891052395105362
pythia-160m,2,0,0.40498971939086914
pythia-160m,2,1,0.3230911731719971
pythia-160m,2,2,0.6243447542190552
pythia-160m,2,3,0.3116795778274536
pythia-160m,2,4,0.31045467853546144
pythia-160m,2,5,0.766881799697876
pythia-160m,2,6,0.4364826500415802
pythia-160m,2,7,0.036222736909985544
pythia-160m,2,8,0.0013082119869068265
pythia-160m,2,9,0.6573704361915589
pythia-160m,2,10,0.38886964321136475
pythia-160m,2,11,0.5699395179748535
pythia-160m,3,0,0.026345982030034066
pythia-160m,3,1,0.039871373772621156
pythia-160m,3,2,1.0408227717562113e-05
pythia-160m,3,3,0.005617285659536719
pythia-160m,3,4,0.01770000662654638
pythia-160m,3,5,0.5342936933040618
pythia-160m,3,6,0.31991565227508545
pythia-160m,3,7,0.37891621589660646
pythia-160m,3,8,0.21450649499893187
pythia-160m,3,9,0.39823392033576965
pythia-160m,3,10,0.32416447401046755
pythia-160m,3,11,0.37240121364593504
pythia-160m,4,0,0.5682186603546142
pythia-160m,4,1,0.4851974844932556
pythia-160m,4,2,0.6015717506408691
pythia-160m,4,3,0.19297735393047333
pythia-160m,4,4,0.43996660113334657
pythia-160m,4,5,0.25615754127502444
pythia-160m,4,6,0.01071896106004715
pythia-160m,4,7,0.1680687725543976
pythia-160m,4,8,0.08845698833465576
pythia-160m,4,9,0.3054032862186432
pythia-160m,4,10,0.07673671916127205
pythia-160m,4,11,0.2179616153240204
pythia-160m,5,0,0.34223904013633727
pythia-160m,5,1,0.12565509378910064
pythia-160m,5,2,0.407981151342392
pythia-160m,5,3,0.5595895290374756
pythia-160m,5,4,0.3752151131629944
pythia-160m,5,5,0.4735873222351074
pythia-160m,5,6,0.4476869523525238
pythia-160m,5,7,0.44847151041030886
pythia-160m,5,8,0.43031710386276245
pythia-160m,5,9,0.9379225850105286
pythia-160m,5,10,0.05321382284164429
pythia-160m,5,11,0.3078106760978699
pythia-160m,6,0,0.30083807110786437
pythia-160m,6,1,0.3917889177799225
pythia-160m,6,2,0.48365719318389894
pythia-160m,6,3,0.14486102610826493
pythia-160m,6,4,0.6410253047943115
pythia-160m,6,5,0.31394060850143435
pythia-160m,6,6,0.16036245822906495
pythia-160m,6,7,0.1469792753458023
pythia-160m,6,8,0.27672218084335326
pythia-160m,6,9,0.885382890701294
pythia-160m,6,10,0.16319724023342133
pythia-160m,6,11,0.0398819200694561
pythia-160m,7,0,0.22976722121238707
pythia-160m,7,1,0.7949724912643432
pythia-160m,7,2,0.2280106335878372
pythia-160m,7,3,0.010598494485020638
pythia-160m,7,4,0.1649894744157791
pythia-160m,7,5,0.12595973759889603
pythia-160m,7,6,0.9076196908950805
pythia-160m,7,7,0.046636663377285004
pythia-160m,7,8,0.19051013588905336
pythia-160m,7,9,0.751319146156311
pythia-160m,7,10,0.965051817893982
pythia-160m,7,11,0.34688106179237366
pythia-160m,8,0,0.8541741847991944
pythia-160m,8,1,0.31386207044124603
pythia-160m,8,2,0.0020476714366623127
pythia-160m,8,3,0.897871220111847
pythia-160m,8,4,0.7239539742469787
pythia-160m,8,5,0.9871781826019287
pythia-160m,8,6,0.9998769640922547
pythia-160m,8,7,0.4647295266389847
pythia-160m,8,8,0.12219467163085937
pythia-160m,8,9,0.991346788406372
pythia-160m,8,10,0.7819542527198792
pythia-160m,8,11,0.008297720784321427
pythia-160m,9,0,0.712727528810501
pythia-160m,9,1,0.6827795326709747
pythia-160m,9,2,0.15242638289928437
pythia-160m,9,3,0.4271387279033661
pythia-160m,9,4,0.29986982941627505
pythia-160m,9,5,0.3409002125263214
pythia-160m,9,6,0.03238078281283378
pythia-160m,9,7,0.03651115149259567
pythia-160m,9,8,0.02671729391440749
pythia-160m,9,9,0.03710440769791603
pythia-160m,9,10,0.9929459929466248
pythia-160m,9,11,0.9991526126861572
pythia-160m,10,0,0.7722822308540345
pythia-160m,10,1,0.6112629175186157
pythia-160m,10,2,0.8932813286781311
pythia-160m,10,3,0.9910399198532105
pythia-160m,10,4,0.8315542697906494
pythia-160m,10,5,4.5152908114687305e-07
pythia-160m,10,6,0.09012982845306397
pythia-160m,10,7,0.7779047846794128
pythia-160m,10,8,0.5811268448829651
pythia-160m,10,9,0.34157786667346957
pythia-160m,10,10,0.41312987804412843
pythia-160m,10,11,0.3544726550579071
pythia-160m,11,0,0.35877689719200134
pythia-160m,11,1,0.33441952168941497
pythia-160m,11,2,0.65282644033432
pythia-160m,11,3,0.9879046559333802
pythia-160m,11,4,0.19561679661273956
pythia-160m,11,5,0.4460039496421814
pythia-160m,11,6,0.593391752243042
pythia-160m,11,7,0.4351793110370636
pythia-160m,11,8,0.05065935626626015
pythia-160m,11,9,0.08643395826220512
pythia-160m,11,10,0.6586833596229553
pythia-160m,11,11,0.020840355416294188
pythia-410m,0,0,0.0027503025252372027
pythia-410m,0,1,0.9995417833328247
pythia-410m,0,2,0.4564184844493866
pythia-410m,0,3,0.11926273554563523
pythia-410m,0,4,0.0052710302174091336
pythia-410m,0,5,0.006544195301830769
pythia-410m,0,6,0.09580380767583847
pythia-410m,0,7,0.11208206117153167
pythia-410m,0,8,0.592050039768219
pythia-410m,0,9,0.017619754560291766
pythia-410m,0,10,0.04025375992059708
pythia-410m,0,11,0.30650231838226316
pythia-410m,0,12,0.2724707216024399
pythia-410m,0,13,0.5902810037136078
pythia-410m,0,14,0.0046737432479858395
pythia-410m,0,15,0.3550974279642105
pythia-410m,1,0,0.9175839304924012
pythia-410m,1,1,0.7773359417915344
pythia-410m,1,2,0.004855005443096161
pythia-410m,1,3,0.08150458484888076
pythia-410m,1,4,0.10740938931703567
pythia-410m,1,5,0.007486567087471485
pythia-410m,1,6,0.029934630170464514
pythia-410m,1,7,0.6702829718589782
pythia-410m,1,8,0.21270472407341004
pythia-410m,1,9,0.7833441257476806
pythia-410m,1,10,0.004458255833014846
pythia-410m,1,11,0.07151426821947098
pythia-410m,1,12,0.18598514795303345
pythia-410m,1,13,0.14618924558162688
pythia-410m,1,14,0.00913059115409851
pythia-410m,1,15,0.8460650563240051
pythia-410m,2,0,0.11829366981983185
pythia-410m,2,1,0.5906967639923095
pythia-410m,2,2,0.8181401014328002
pythia-410m,2,3,0.20559948086738586
pythia-410m,2,4,0.21837264001369477
pythia-410m,2,5,0.4867237448692322
pythia-410m,2,6,0.7205455899238586
pythia-410m,2,7,0.0010284337215125561
pythia-410m,2,8,0.33688707947731017
pythia-410m,2,9,0.6116235136985779
pythia-410m,2,10,0.2379508763551712
pythia-410m,2,11,0.38043766021728515
pythia-410m,2,12,0.8482933044433594
pythia-410m,2,13,0.01484144851565361
pythia-410m,2,14,0.14921914637088776
pythia-410m,2,15,0.3048202097415924
pythia-410m,3,0,0.5525793552398681
pythia-410m,3,1,0.000628910562954843
pythia-410m,3,2,0.5671700477600098
pythia-410m,3,3,0.45792319178581237
pythia-410m,3,4,0.5079476118087769
pythia-410m,3,5,0.2587671339511871
pythia-410m,3,6,0.08837725669145584
pythia-410m,3,7,0.12211746871471404
pythia-410m,3,8,0.6874330282211304
pythia-410m,3,9,0.454538631439209
pythia-410m,3,10,0.5349917531013488
pythia-410m,3,11,0.7002814054489136
pythia-410m,3,12,0.11722129881381989
pythia-410m,3,13,0.6707841038703919
pythia-410m,3,14,0.22480558454990388
pythia-410m,3,15,0.27504204511642455
pythia-410m,4,0,0.7319316625595093
pythia-410m,4,1,0.35930681228637695
pythia-410m,4,2,0.539817601442337
pythia-410m,4,3,0.4718172252178192
pythia-410m,4,4,0.16167643368244172
pythia-410m,4,5,0.6616174697875976
pythia-410m,4,6,0.17925778925418853
pythia-410m,4,7,0.36902247071266175
pythia-410m,4,8,0.22256849110126495
pythia-410m,4,9,0.0019352101488038897
pythia-410m,4,10,0.13626205027103425
pythia-410m,4,11,0.028743436187505723
pythia-410m,4,12,0.1360626772046089
pythia-410m,4,13,0.21178887486457826
pythia-410m,4,14,0.004145039385184646
pythia-410m,4,15,0.43443434238433837
pythia-410m,5,0,0.3513981342315674
pythia-410m,5,1,0.35878599286079405
pythia-410m,5,2,0.0001589935942320153
pythia-410m,5,3,0.19863128066062927
pythia-410m,5,4,0.3396967887878418
pythia-410m,5,5,0.04309704378247261
pythia-410m,5,6,0.0009888825588859618
pythia-410m,5,7,0.3027960598468781
pythia-410m,5,8,0.41890339851379393
pythia-410m,5,9,0.15130009055137633
pythia-410m,5,10,0.18756718337535858
pythia-410m,5,11,0.032376792281866074
pythia-410m,5,12,0.496790474653244
pythia-410m,5,13,0.5306052744388581
pythia-410m,5,14,0.3807852387428284
pythia-410m,5,15,0.425842148065567
pythia-410m,6,0,0.030419259145855904
pythia-410m,6,1,0.18116445541381837
pythia-410m,6,2,0.2933678537607193
pythia-410m,6,3,0.08758263885974885
pythia-410m,6,4,0.6448672771453857
pythia-410m,6,5,0.48268688321113584
pythia-410m,6,6,0.18603636026382447
pythia-410m,6,7,0.3249682605266571
pythia-410m,6,8,0.8588783144950867
pythia-410m,6,9,0.6172761917114258
pythia-410m,6,10,0.37189234495162965
pythia-410m,6,11,0.24177052080631256
pythia-410m,6,12,0.22862229645252227
pythia-410m,6,13,0.14670685529708863
pythia-410m,6,14,0.5893198132514954
pythia-410m,6,15,0.49171614050865176
pythia-410m,7,0,0.029103093221783637
pythia-410m,7,1,0.18614813089370727
pythia-410m,7,2,0.33717681765556334
pythia-410m,7,3,0.3760144770145416
pythia-410m,7,4,0.27817878127098083
pythia-410m,7,5,0.7028136014938354
pythia-410m,7,6,0.1576605498790741
pythia-410m,7,7,0.71891930103302
pythia-410m,7,8,0.1198905736207962
pythia-410m,7,9,0.43983069658279417
pythia-410m,7,10,0.35786566138267517
pythia-410m,7,11,0.44961145520210266
pythia-410m,7,12,0.2633074700832367
pythia-410m,7,13,0.7073040127754211
pythia-410m,7,14,0.5383951425552368
pythia-410m,7,15,0.8359755873680115
pythia-410m,8,0,0.16082922220230103
pythia-410m,8,1,0.631994104385376
pythia-410m,8,2,0.29030885100364684
pythia-410m,8,3,0.2924503147602081
pythia-410m,8,4,0.195618137717247
pythia-410m,8,5,0.44810378551483154
pythia-410m,8,6,0.13921719193458557
pythia-410m,8,7,0.1091079756617546
pythia-410m,8,8,0.45303088426589966
pythia-410m,8,9,0.04794207215309143
pythia-410m,8,10,0.03352891206741333
pythia-410m,8,11,0.34929233193397524
pythia-410m,8,12,0.27555340230464936
pythia-410m,8,13,0.12123094499111176
pythia-410m,8,14,0.040731529146432875
pythia-410m,8,15,0.13040554374456406
pythia-410m,9,0,0.7111958622932434
pythia-410m,9,1,0.20166335701942445
pythia-410m,9,2,0.3878545045852661
pythia-410m,9,3,0.17388370335102082
pythia-410m,9,4,0.03583279773592949
pythia-410m,9,5,0.08611572831869126
pythia-410m,9,6,0.027259408682584762
pythia-410m,9,7,0.6652771830558777
pythia-410m,9,8,0.14667283296585082
pythia-410m,9,9,0.5391018748283386
pythia-410m,9,10,0.6345385670661926
pythia-410m,9,11,0.9061572313308716
pythia-410m,9,12,0.5763822555541992
pythia-410m,9,13,0.4574433743953705
pythia-410m,9,14,0.7283046841621399
pythia-410m,9,15,0.3552549958229065
pythia-410m,10,0,0.12218996286392211
pythia-410m,10,1,0.20107887983322142
pythia-410m,10,2,0.5367380917072296
pythia-410m,10,3,0.2882056325674057
pythia-410m,10,4,0.2562556654214859
pythia-410m,10,5,0.4733168721199036
pythia-410m,10,6,0.19688030779361726
pythia-410m,10,7,0.2509735763072968
pythia-410m,10,8,0.8903709888458252
pythia-410m,10,9,0.0017812740057706832
pythia-410m,10,10,0.25644901394844055
pythia-410m,10,11,0.5621565818786621
pythia-410m,10,12,0.19624077379703522
pythia-410m,10,13,0.40406966805458067
pythia-410m,10,14,0.7137019515037537
pythia-410m,10,15,0.5046933770179749
pythia-410m,11,0,0.7033010721206665
pythia-410m,11,1,0.291585373878479
pythia-410m,11,2,0.043953247368335724
pythia-410m,11,3,0.6304904818534851
pythia-410m,11,4,0.5678506731987
pythia-410m,11,5,0.8951852202415467
pythia-410m,11,6,0.12095149159431458
pythia-410m,11,7,0.7279979467391968
pythia-410m,11,8,0.5264983177185059
pythia-410m,11,9,0.5662956595420837
pythia-410m,11,10,0.876932418346405
pythia-410m,11,11,0.9252318501472473
pythia-410m,11,12,0.7507505416870117
pythia-410m,11,13,0.46961180567741395
pythia-410m,11,14,0.006210960331372917
pythia-410m,11,15,0.20316179990768432
pythia-410m,12,0,0.35666540265083313
pythia-410m,12,1,0.3429693281650543
pythia-410m,12,2,0.5337467193603516
pythia-410m,12,3,0.7015527963638306
pythia-410m,12,4,0.39812073707580564
pythia-410m,12,5,0.2532687962055206
pythia-410m,12,6,0.5968555927276611
pythia-410m,12,7,0.41570996642112734
pythia-410m,12,8,0.8231812477111816
pythia-410m,12,9,0.5604498267173768
pythia-410m,12,10,0.33724393248558043
pythia-410m,12,11,0.23209580779075623
pythia-410m,12,12,0.3335259258747101
pythia-410m,12,13,0.1575617402791977
pythia-410m,12,14,0.6610576391220093
pythia-410m,12,15,0.644336485862732
pythia-410m,13,0,0.19121046960353852
pythia-410m,13,1,0.8649904608726502
pythia-410m,13,2,0.7646167278289795
pythia-410m,13,3,0.8410057783126831
pythia-410m,13,4,0.854998779296875
pythia-410m,13,5,0.7782776117324829
pythia-410m,13,6,0.8412940621376037
pythia-410m,13,7,0.8674622535705566
pythia-410m,13,8,0.6349317789077759
pythia-410m,13,9,0.571235466003418
pythia-410m,13,10,0.8625376701354981
pythia-410m,13,11,0.8109089493751526
pythia-410m,13,12,0.33110883831977844
pythia-410m,13,13,0.850968086719513
pythia-410m,13,14,0.5897498369216919
pythia-410m,13,15,0.889235544204712
pythia-410m,14,0,0.27110645473003386
pythia-410m,14,1,0.6724878072738647
pythia-410m,14,2,0.20571826994419098
pythia-410m,14,3,0.922696590423584
pythia-410m,14,4,0.9463155746459961
pythia-410m,14,5,0.23443338871002198
pythia-410m,14,6,0.7689209222793579
pythia-410m,14,7,0.7317838191986084
pythia-410m,14,8,0.29193743467330935
pythia-410m,14,9,0.8363041400909423
pythia-410m,14,10,0.8707436800003052
pythia-410m,14,11,0.48228331804275515
pythia-410m,14,12,0.6905583381652832
pythia-410m,14,13,0.7304832935333252
pythia-410m,14,14,0.7985875844955445
pythia-410m,14,15,0.8504201412200928
pythia-410m,15,0,0.7173312544822693
pythia-410m,15,1,0.8642376065254211
pythia-410m,15,2,0.560978364944458
pythia-410m,15,3,0.8009681344032288
pythia-410m,15,4,0.5303200364112854
pythia-410m,15,5,0.7797611474990844
pythia-410m,15,6,0.25555849373340606
pythia-410m,15,7,0.948234748840332
pythia-410m,15,8,0.7210056066513062
pythia-410m,15,9,0.9319305539131164
pythia-410m,15,10,0.5008915066719055
pythia-410m,15,11,0.1489361435174942
pythia-410m,15,12,0.7964976310729981
pythia-410m,15,13,0.8366268038749695
pythia-410m,15,14,0.7048575162887574
pythia-410m,15,15,0.7543405652046203
pythia-410m,16,0,0.6391517877578735
pythia-410m,16,1,0.29304860830307006
pythia-410m,16,2,0.8449740529060363
pythia-410m,16,3,0.4508342444896698
pythia-410m,16,4,0.4030471533536911
pythia-410m,16,5,0.21539576649665831
pythia-410m,16,6,0.7518760204315186
pythia-410m,16,7,0.5267291069030762
pythia-410m,16,8,0.910797905921936
pythia-410m,16,9,0.9081836938858032
pythia-410m,16,10,0.48164008259773256
pythia-410m,16,11,0.7075446486473084
pythia-410m,16,12,0.3065043926239014
pythia-410m,16,13,0.6345621824264527
pythia-410m,16,14,0.5161139726638794
pythia-410m,16,15,0.6162580728530884
pythia-410m,17,0,0.669358205795288
pythia-410m,17,1,0.42930275201797485
pythia-410m,17,2,0.547535490989685
pythia-410m,17,3,0.9519713997840882
pythia-410m,17,4,0.33253636956214905
pythia-410m,17,5,0.6478536367416382
pythia-410m,17,6,0.8617768287658691
pythia-410m,17,7,0.6843646049499512
pythia-410m,17,8,0.9257164120674133
pythia-410m,17,9,0.3075534820556641
pythia-410m,17,10,0.5010098814964294
pythia-410m,17,11,0.782050609588623
pythia-410m,17,12,0.760721218585968
pythia-410m,17,13,0.8991636514663697
pythia-410m,17,14,0.9204509973526
pythia-410m,17,15,0.5442634046077728
pythia-410m,18,0,0.49070216417312623
pythia-410m,18,1,0.8549315929412842
pythia-410m,18,2,0.6849164366722107
pythia-410m,18,3,0.9411137342453003
pythia-410m,18,4,0.8729935884475708
pythia-410m,18,5,0.9489452958106994
pythia-410m,18,6,0.9771183371543884
pythia-410m,18,7,0.8882046222686768
pythia-410m,18,8,0.2809376746416092
pythia-410m,18,9,0.8574772953987122
pythia-410m,18,10,0.6202293276786804
pythia-410m,18,11,0.3640447616577148
pythia-410m,18,12,0.4183076858520508
pythia-410m,18,13,0.4505930066108704
pythia-410m,18,14,0.40562430024147034
pythia-410m,18,15,0.5933493912220001
pythia-410m,19,0,0.984542965888977
pythia-410m,19,1,0.93431156873703
pythia-410m,19,2,0.022212549485266207
pythia-410m,19,3,0.34983322620391843
pythia-410m,19,4,0.3468067228794098
pythia-410m,19,5,0.8873250365257264
pythia-410m,19,6,0.5067273318767548
pythia-410m,19,7,0.24521181881427764
pythia-410m,19,8,0.5389214336872101
pythia-410m,19,9,0.27110334634780886
pythia-410m,19,10,0.6419311761856079
pythia-410m,19,11,0.24392238557338713
pythia-410m,19,12,0.1887390911579132
pythia-410m,19,13,0.9424228310585022
pythia-410m,19,14,0.8959647178649902
pythia-410m,19,15,0.3204922556877136
pythia-410m,20,0,0.9990813970565796
pythia-410m,20,1,0.14988584220409393
pythia-410m,20,2,0.11273390054702759
pythia-410m,20,3,0.9750076532363892
pythia-410m,20,4,0.7418378949165344
pythia-410m,20,5,0.9997556567192077
pythia-410m,20,6,0.17036841213703155
pythia-410m,20,7,0.007314193272031843
pythia-410m,20,8,0.9999950885772705
pythia-410m,20,9,0.9999587178230286
pythia-410m,20,10,0.9998450875282288
pythia-410m,20,11,0.8426409482955932
pythia-410m,20,12,0.997700297832489
pythia-410m,20,13,0.4436562180519104
pythia-410m,20,14,0.9546882271766662
pythia-410m,20,15,0.5283263742923736
pythia-410m,21,0,0.9779485821723938
pythia-410m,21,1,0.19834527671337127
pythia-410m,21,2,0.39208759665489196
pythia-410m,21,3,0.9929510354995728
pythia-410m,21,4,0.2621192455291748
pythia-410m,21,5,0.7861677050590515
pythia-410m,21,6,0.32021626830101013
pythia-410m,21,7,0.11876868009567261
pythia-410m,21,8,0.4491060435771942
pythia-410m,21,9,0.2094365045428276
pythia-410m,21,10,0.15782284885644912
pythia-410m,21,11,0.6394408464431762
pythia-410m,21,12,0.6882790565490723
pythia-410m,21,13,0.7993538558483124
pythia-410m,21,14,0.39931607246398926
pythia-410m,21,15,0.9965486884117126
pythia-410m,22,0,0.4695731163024902
pythia-410m,22,1,0.009117936808615923
pythia-410m,22,2,0.09185137003660201
pythia-410m,22,3,0.11477302759885788
pythia-410m,22,4,0.9991758823394775
pythia-410m,22,5,0.8311123847961426
pythia-410m,22,6,0.0006697201829126698
pythia-410m,22,7,0.3227618455886841
pythia-410m,22,8,0.19970914125442504
pythia-410m,22,9,0.7398330330848694
pythia-410m,22,10,0.42865493297576907
pythia-410m,22,11,0.13649806380271912
pythia-410m,22,12,0.945571768283844
pythia-410m,22,13,0.03051344808191061
pythia-410m,22,14,0.6884488701820374
pythia-410m,22,15,0.019909331761300563
pythia-410m,23,0,0.4065331697463989
pythia-410m,23,1,0.4038598895072937
pythia-410m,23,2,0.9980170845985412
pythia-410m,23,3,0.7710000038146972
pythia-410m,23,4,0.9853302001953125
pythia-410m,23,5,0.5452821791172028
pythia-410m,23,6,0.7228125810623169
pythia-410m,23,7,0.0015611937283935618
pythia-410m,23,8,0.07862484678626061
pythia-410m,23,9,0.9994966864585877
pythia-410m,23,10,0.11632663905620574
pythia-410m,23,11,0.28259809911251066
pythia-410m,23,12,0.04815508164465428
pythia-410m,23,13,0.17038066387176515
pythia-410m,23,14,0.0745139792561531
pythia-410m,23,15,0.38461137413978574
pythia-1b,0,0,0.17614688575267792
pythia-1b,0,1,0.045175335556268695
pythia-1b,0,2,0.9994758486747741
pythia-1b,0,3,0.03040836863219738
pythia-1b,0,4,0.08380512520670891
pythia-1b,0,5,0.04964026510715484
pythia-1b,0,6,0.6523771166801453
pythia-1b,0,7,0.37664268016815183
pythia-1b,1,0,0.016376752778887747
pythia-1b,1,1,0.3107875347137451
pythia-1b,1,2,0.75922132730484
pythia-1b,1,3,0.0009938343544490635
pythia-1b,1,4,0.8743143081665039
pythia-1b,1,5,0.03991727381944656
pythia-1b,1,6,0.15145743191242217
pythia-1b,1,7,0.11743571609258652
pythia-1b,2,0,0.24211417138576508
pythia-1b,2,1,0.07221927493810654
pythia-1b,2,2,0.17307002544403077
pythia-1b,2,3,0.35637388229370115
pythia-1b,2,4,0.11514902710914612
pythia-1b,2,5,0.017832021787762643
pythia-1b,2,6,0.03934635743498802
pythia-1b,2,7,0.47071778774261475
pythia-1b,3,0,0.43251482844352723
pythia-1b,3,1,0.09994427710771561
pythia-1b,3,2,0.032875065505504605
pythia-1b,3,3,0.46305572986602783
pythia-1b,3,4,0.3440640330314636
pythia-1b,3,5,4.098744498301423e-16
pythia-1b,3,6,0.08436213880777359
pythia-1b,3,7,0.5133775115013123
pythia-1b,4,0,0.33695552945137025
pythia-1b,4,1,0.46213369965553286
pythia-1b,4,2,0.3490694880485535
pythia-1b,4,3,0.14312529265880586
pythia-1b,4,4,0.057464712858200075
pythia-1b,4,5,0.33081563115119933
pythia-1b,4,6,0.2614907562732697
pythia-1b,4,7,0.32412084341049197
pythia-1b,5,0,0.3797006905078888
pythia-1b,5,1,0.07447191476821899
pythia-1b,5,2,0.13996057361364364
pythia-1b,5,3,0.360237854719162
pythia-1b,5,4,0.2315678834915161
pythia-1b,5,5,0.3419440448284149
pythia-1b,5,6,0.3226232945919037
pythia-1b,5,7,0.4732696235179901
pythia-1b,6,0,0.47465130090713503
pythia-1b,6,1,0.06569948568940162
pythia-1b,6,2,0.4381152391433716
pythia-1b,6,3,0.0020063212141394615
pythia-1b,6,4,0.7086045980453491
pythia-1b,6,5,0.20277132093906403
pythia-1b,6,6,0.39515318870544436
pythia-1b,6,7,0.6847466230392456
pythia-1b,7,0,0.07089274078607559
pythia-1b,7,1,0.027433713153004646
pythia-1b,7,2,0.09225881397724152
pythia-1b,7,3,0.2910220384597778
pythia-1b,7,4,0.18238104581832887
pythia-1b,7,5,0.673863410949707
pythia-1b,7,6,0.45552552938461305
pythia-1b,7,7,0.17052213847637177
pythia-1b,8,0,0.7301979303359986
pythia-1b,8,1,0.38387011289596557
pythia-1b,8,2,0.24365718364715577
pythia-1b,8,3,0.6775667190551757
pythia-1b,8,4,0.7080831050872802
pythia-1b,8,5,0.10037008076906204
pythia-1b,8,6,0.5860108733177185
pythia-1b,8,7,0.5207691133022309
pythia-1b,9,0,0.3634415030479431
pythia-1b,9,1,0.6538608789443969
pythia-1b,9,2,0.22456810474395753
pythia-1b,9,3,0.6987273693084717
pythia-1b,9,4,0.22469134330749513
pythia-1b,9,5,0.48015984892845154
pythia-1b,9,6,0.3811513721942902
pythia-1b,9,7,0.5540862083435059
pythia-1b,10,0,0.35635318160057067
pythia-1b,10,1,0.2996686637401581
pythia-1b,10,2,0.33157916069030763
pythia-1b,10,3,0.7258265972137451
pythia-1b,10,4,0.8199249744415283
pythia-1b,10,5,0.14484160095453263
pythia-1b,10,6,0.150271737575531
pythia-1b,10,7,0.5734494090080261
pythia-1b,11,0,0.6215246081352234
pythia-1b,11,1,0.7205740332603454
pythia-1b,11,2,0.547031718492508
pythia-1b,11,3,0.5911141991615295
pythia-1b,11,4,0.47827133536338806
pythia-1b,11,5,0.36856183409690857
pythia-1b,11,6,0.3028959289193153
pythia-1b,11,7,0.4100893437862396
pythia-1b,12,0,0.6606790482997894
pythia-1b,12,1,0.4658746659755707
pythia-1b,12,2,0.18964314460754395
pythia-1b,12,3,0.43870089650154115
pythia-1b,12,4,0.45211326479911806
pythia-1b,12,5,0.6652157783508301
pythia-1b,12,6,0.5581369876861573
pythia-1b,12,7,0.7694762110710144
pythia-1b,13,0,0.19218845367431642
pythia-1b,13,1,0.4304847538471222
pythia-1b,13,2,0.5802436530590057
pythia-1b,13,3,0.17725396305322647
pythia-1b,13,4,0.339358913898468
pythia-1b,13,5,0.801925253868103
pythia-1b,13,6,0.44926342368125916
pythia-1b,13,7,0.6384407162666321
pythia-1b,14,0,0.23108069598674774
pythia-1b,14,1,0.43887594938278196
pythia-1b,14,2,0.0535194031894207
pythia-1b,14,3,0.43046559691429137
pythia-1b,14,4,0.25751417875289917
pythia-1b,14,5,0.3801744282245636
pythia-1b,14,6,0.14517488330602646
pythia-1b,14,7,0.6040357351303101
pythia-1b,15,0,0.05131268724799156
pythia-1b,15,1,0.5909004271030426
pythia-1b,15,2,0.17633750140666962
